doi,标题,期刊,年份,作者
,"Exploiting prompt learning with pre-trained language models for
  Alzheimer's Disease detection",,2023,"Yi Wang,Jiajun Deng,Tianzi Wang,Bo Zheng,Shoukang Hu,Xunying Liu,Helen Meng"
,"Unsupervised Model-based speaker adaptation of end-to-end lattice-free
  MMI model for speech recognition",,2023,"Xurong Xie,Xunying Liu,Hui Chen,Hongan Wang"
,"Exploring Self-supervised Pre-trained ASR Models For Dysarthric and
  Elderly Speech Recognition",,2023,"Shujie Hu,Xurong Xie,Zengrui Jin,Mengzhe Geng,Yi Wang,Mingyu Cui,Jiajun Deng,Xunying Liu,Helen Meng"
,"Leveraging Pretrained Representations with Task-related Keywords for
  Alzheimer's Disease Detection",,2023,"Jinchao Li,Kaitao Song,Junan Li,Bo Zheng,Dongsheng Li,Xixin Wu,Xunying Liu,Helen Meng"
,"A Hierarchical Regression Chain Framework for Affective Vocal Burst
  Recognition",,2023,"Jinchao Li,Xixin Wu,Kaitao Song,Dongsheng Li,Xunying Liu,Helen Meng"
,Use of Speech Impairment Severity for Dysarthric Speech Recognition,CoRR,2023,"Mengzhe Geng,Zengrui Jin,Tianzi Wang,Shujie Hu,Jiajun Deng,Mingyu Cui,Guinan Li,Jianwei Yu,Xurong Xie,Xunying Liu"
,"Factorised Speaker-environment Adaptive Training of Conformer Speech
  Recognition Systems",CoRR,2023,"Jiajun Deng,Guinan Li,Xurong Xie,Zengrui Jin,Mingyu Cui,Tianzi Wang,Shujie Hu,Mengzhe Geng,Xunying Liu"
10.1109/TASLP.2023.3250842,"Confidence Score Based Speaker Adaptation of Conformer Speech
  Recognition Systems",,2023,"Jiajun Deng,Xurong Xie,Tianzi Wang,Mingyu Cui,Boyang Xue,Zengrui Jin,Guinan Li,Shujie Hu,Xunying Liu"
,"Towards Effective and Compact Contextual Representation for Conformer
  Transducer Speech Recognition Systems",CoRR,2023,"Mingyu Cui,Jiawen Kang,Jiajun Deng,Xi Yin,Yutao Xie,Xie Chen,Xunying Liu"
,"Hyper-parameter Adaptation of Conformer ASR Systems for Elderly and
  Dysarthric Speech Recognition",CoRR,2023,"Tianzi Wang,Shoukang Hu,Jiajun Deng,Zengrui Jin,Mengzhe Geng,Yi Wang,Helen Meng,Xunying Liu"
,"Audio-visual End-to-end Multi-channel Speech Separation, Dereverberation
  and Recognition",IEEE ACM Trans. Audio Speech Lang. Process.,2023,"Guinan Li,Jiajun Deng,Mengzhe Geng,Zengrui Jin,Tianzi Wang,Shujie Hu,Mingyu Cui,Helen Meng,Xunying Liu"
,"Adversarial Data Augmentation Using VAE-GAN for Disordered Speech
  Recognition",,2023,"Zengrui Jin,Xurong Xie,Mengzhe Geng,Tianzi Wang,Shujie Hu,Jiajun Deng,Guinan Li,Xunying Liu"
,"On-the-fly Feature Based Speaker Adaptation for Dysarthric and Elderly
  Speech Recognition",,2022,"Mengzhe Geng,Xurong Xie,Rongfeng Su,Jianwei Yu,Zi Ye,Xunying Liu,Helen Meng"
