doi,标题,期刊,年份,作者
,"Metallic Glass-Fiber Fabrics: A New Type of Flexible, Super-Lightweight, and 3D Current Collector for Lithium Batteries",ADVANCED MATERIALS,2023,"Jian Shang,Wancheng Yu,Lei Wang,Chuan Xie,Hailong Xu,Wenshuo Wang,Qiyao Huang,Zijian Zheng"
10.1039/d2ee03096a,"Intrinsically stretchable, semi-transparent organic photovoltaics with high efficiency and mechanical robustness via a full-solution process",ENERGY & ENVIRONMENTAL SCIENCE,2023,"Jiaming Huang,Zhen Lu,Jiaqi He,Hong Hu,Qiong Liang,Kuan Liu,Zhiwei Ren,Yaokang Zhang,Hongyu Yu,Zijian Zheng,Gang Li"
10.1002/adma.202211748,"Metallic Glass Fiber Fabrics: A New Type of Flexible, Super-Lightweight, and Three-Dimensional Current Collectors for Lithium Batteries.","Advanced materials (Deerfield Beach, Fla.)",2023,"Jian Shang,Wancheng Yu,Lei Wang,Chuan Xie,Hailong Xu,Wenshuo Wang,Qiyao Huang,Zijian Zheng"
10.1088/1674-4926/44/2/021601,Wearable sweat biosensors on textiles for health monitoring,Journal of Semiconductors,2023,"Yuqing Shi,Ziyu Zhang,Qiyao Huang,Yuanjing Lin,Zijian Zheng"
,Stretchable and conductive fibers fabricated by a continuous method for wearable devices,CELL REPORTS PHYSICAL SCIENCE,2023,"Zhiju Ma,Qiyao Huang,Ningjing Zhou,Qiuna Zhuang,Sze-Wing Ng,Zijian Zheng"
10.1016/j.bioactmat.2022.12.029,Artificial cilia for soft and stable surface covalent immobilization of bone morphogenetic protein-2,Bioactive Materials,2023,"Qi Gan,Lina Chen,Ho-Pan Bei,Sze-Wing Ng,Han Guo,Guoqiang Liu,Hao Pan,Changsheng Liu,Xin Zhao,Zijian Zheng"
10.1021/acsnano.2c12606,Technology Roadmap for Flexible Sensors.,ACS nano,2023,"Yifei Luo,Mohammad Reza Abidian,Jong-Hyun Ahn,Deji Akinwande,Anne M Andrews,Markus Antonietti,Zhenan Bao,Magnus Berggren,Christopher A Berkey,Christopher John Bettinger,Jun Chen,Peng Chen,Wenlong Cheng,Xu Cheng,Seon-Jin Choi,Alex Chortos,Canan Dagdeviren,Reinhold H Dauskardt,Chong-An Di,Michael D Dickey,Xiangfeng Duan,Antonio Facchetti,Zhiyong Fan,Yin Fang,Jianyou Feng,Xue Feng,Huajian Gao,Wei Gao,Xiwen Gong,Chuan Fei Guo,Xiaojun Guo,Martin C Hartel,Zihan He,John S Ho,Youfan Hu,Qiyao Huang,Yu Huang,Fengwei Huo,Muhammad M Hussain,Ali Javey,Unyong Jeong,Chen Jiang,Xingyu Jiang,Jiheong Kang,Daniil Karnaushenko,Ali Khademhosseini,Dae-Hyeong Kim,Il-Doo Kim,Dmitry Kireev,Lingxuan Kong,Chengkuo Lee,Nae-Eung Lee,Pooi See Lee,Tae-Woo Lee,Fengyu Li,Jinxing Li,Cuiyuan Liang,Chwee Teck Lim,Yuanjing Lin,Darren J Lipomi,Jia Liu,Kai Liu,Nan Liu,Ren Liu,Yuxin Liu,Yuxuan Liu,Zhiyuan Liu,Zhuangjian Liu,Xian Jun Loh,Nanshu Lu,Zhisheng Lv,Shlomo Magdassi,George G Malliaras,Naoji Matsuhisa,Arokia Nathan,Simiao Niu,Jieming Pan,Changhyun Pang,Qibing Pei,Huisheng Peng,Dianpeng Qi,Huaying Ren,John A Rogers,Aaron Rowe,Oliver G Schmidt,Tsuyoshi Sekitani,Dae-Gyo Seo,Guozhen Shen,Xing Sheng,Qiongfeng Shi,Takao Someya,Yanlin Song,Eleni Stavrinidou,Meng Su,Xuemei Sun,Kuniharu Takei,Xiao-Ming Tao,Benjamin C K Tee,Aaron Voon-Yew Thean,Tran Quang Trung,Changjin Wan,Huiliang Wang,Joseph Wang,Ming Wang,Sihong Wang,Ting Wang,Zhong Lin Wang,Paul S Weiss,Hanqi Wen,Sheng Xu,Tailin Xu,Hongping Yan,Xuzhou Yan,Hui Yang,Le Yang,Shuaijian Yang,Lan Yin,Cunjiang Yu,Guihua Yu,Jing Yu,Shu-Hong Yu,Xinge Yu,Evgeny Zamburg,Haixia Zhang,Xiangyu Zhang,Xiaosheng Zhang,Xueji Zhang,Yihui Zhang,Yu Zhang,Siyuan Zhao,Xuanhe Zhao,Yuanjin Zheng,Yu-Qing Zheng,Zijian Zheng,Tao Zhou,Bowen Zhu,Ming Zhu,Rong Zhu,Yangzhi Zhu,Yong Zhu,Guijin Zou,Xiaodong Chen"
,"Wafer-patterned, permeable, and stretchable liquid metal microelectrodes for implantable bioelectronics with chronic biocompatibility",Science Advances,2023,"Qiuna Zhuang,Kuanming Yao,Mengge Wu,Zhuogui Lei,Fan Chen,Jiyu Li,Quanjing Mei,Yingying Zhou,Qiyao Huang,Xin Zhao,Ying Li,Xinge Yu,Zijian Zheng"
10.1002/aenm.202203621,Cracking-Controlled Slurry Coating of Mosaic Electrode for Flexible and High-Performance Lithium-Sulfur Battery,ADVANCED ENERGY MATERIALS,2023,"Yufeng Luo,Lei Wang,Zhenyao Wei,Qiyao Huang,Yonghong Deng,Zijian Zheng"
10.1016/j.scitotenv.2022.159807,ARSCP: An antimicrobial residue surveillance cloud platform for animal-derived foods,Science of The Total Environment,2023,"Jun-Jun Yu,Ya-Lin Hu,Cheng-Zheng Liu,Shuai-Bin Wu,Zi-Jian Zheng,Ze-Hua Cui,Li Chen,Tian Wei,Shi-Kai Sun,Jun Ning,Xiang Wen,Qiu-Yue Diao,Yang Yu,Liang-Xing Fang,Yu-Feng Zhou,Ya-Hong Liu,Xiao-Ping Liao,Xi-Ming Li,Jian Sun"
10.1016/j.jmps.2022.105121,Revisiting the contact splitting hypothesis: An effective route for enhancing adhesion on rough surface,Journal of the Mechanics and Physics of Solids,2023,"Hong Hu,Hongmiao Tian,Yuan Gao,Zhiguo Wan,Lei Wang,Hailong Xu,Chunhui Wang,Jinyou Shao,Zijian Zheng"
10.1002/smm2.1186,Advanced two-dimensional materials toward polysulfides regulation of metal-sulfur batteries,SMARTMAT,2023,"Haining Fan,Wenbin Luo,Shixue Dou,Zijian Zheng"
10.31635/ccschem.023.202202635,Pushing the Limit of Flexible Batteries,CCS CHEMISTRY,2023,"Chuan Xie,Yanpeng Guo,Zijian Zheng"
