doi,标题,期刊,年份,作者
,Fluorination Influences the Bioisostery of Myo-Inositol Pyrophosphate Analogs.,"Chemistry (Weinheim an der Bergstrasse, Germany)",2023,"Sarah Hostachy,Huanchen Wang,Guangning Zong,Katy Franke,Andrew M Riley,Peter Schmieder,Barry V L Potter,Stephen B Shears,Dorothea Fiedler"
10.1096/fj.202200393R,Structural and catalytic analyses of the InsP(6) kinase activities of higher plant ITPKs,FASEB JOURNAL,2022,"Guangning Zong,Stephen B Shears,Huanchen Wang"
10.1038/s41467-022-29673-y,A structural expose of noncanonical molecular reactivity within the protein tyrosine phosphatase WPD loop,NATURE COMMUNICATIONS,2022,"Huanchen Wang,Lalith Perera,Nikolaus Jork,Guangning Zong,Andrew M Riley,Barry V L Potter,Henning J Jessen,Stephen B Shears"
10.1021/acs.jmedchem.2c00220,Development of Novel IP6K Inhibitors for the Treatment of Obesity and Obesity-Induced Metabolic Dysfunctions br,JOURNAL OF MEDICINAL CHEMISTRY,2022,"Yubai Zhou,Sandip Mukherjee,Daowei Huang,Molee Chakraborty,Chunfang Gu,Guangning Zong,Michael A Stashko,Kenneth H Pearce,Stephen B Shears,Anutosh Chakraborty,Huanchen Wang,Xiaodong Wang"
10.1096/fj.202001489R,New Structural Insights Reveal An Expanded Reaction Cycle For Inositol Pyrophosphate Hydrolysis By Human Dipp1,FASEB JOURNAL,2021,"Guangning Zong,Nikolaus Jork,Sarah Hostachy,Dorothea Fiedler,Henning J Jessen,Stephen B Shears,Huanchen Wang"
10.1073/pnas.2020187118,"Metabolic Supervision By Ppip5k, An Inositol Pyrophosphate Kinase/Phosphatase, Controls Proliferation Of The Hct116 Tumor Cell Line",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2021,"Chunfang Gu,Juan Liu,Xiaojing Liu,Haibo Zhang,Ji Luo,Huanchen Wang,Jason W Locasale,Stephen B Shears"
10.1096/fasebj.2021.35.S1.00386,New Structural Insights Reveal An Expanded Cycle For Inositol Pyrophosphate Hydrolysis By Human Dipp1,FASEB JOURNAL,2021,"Guangning Zong,Nikolaus Jork,Sarah Hostachy,Dorothea Fiedler,Henning Jessen,Stephen Shears,Huanchen Wang"
10.3390/molecules25194515,Metabolism And Functions Of Inositol Pyrophosphates: Insights Gained From The Application Of Synthetic Analogues,MOLECULES,2020,"Stephen B. Shears,Huanchen Wang"
10.1016/j.jbior.2019.100674,"A two-way switch for inositol pyrophosphate signaling: Evolutionary history and biological significance of a unique, bifunctional kinase/phosphatase.",Advances in Biological Regulation,2020,"Thomas A Randall,Chunfang Gu,Xingyao Li,Huanchen Wang,Stephen B Shears"
10.1016/j.jmb.2020.08.026,Structural Analysis of the Regulatory GAF Domains of cGMP Phosphodiesterase Elucidates the Allosteric Communication Pathway,Journal of Molecular Biology,2020,"Richa Gupta,Yong Liu,Huanchen Wang,Christopher T Nordyke,Ryan Z Puterbaugh,Wenjun Cui,Krisztina Varga,Feixia Chu,Hengming Ke,Harish Vashisth,Rick H Cote"
10.1039/d0sc02144j,Rapid Stimulation Of Cellular Pi Uptake By The Inositol Pyrophosphate Insp(8) Induced By Its Photothermal Release From Lipid Nanocarriers Using A Near Infra-Red Light-Emitting Diode,CHEMICAL SCIENCE,2020,"Zhenzhen Wang,Nikolaus Jork,Tamara Bittner,Huanchen Wang,Henning J. Jessen,Stephen B. Shears"
10.1073/pnas.1908830117,Control Of Xpr1-Dependent Cellular Phosphate Efflux By Insp(8) Is An Exemplar For Functionally-Exclusive Inositol Pyrophosphate Signaling,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2020,"Xingyao Li,Chunfang Gu,Sarah Hostachy,Soumyadip Sahu,Christopher Wittwer,Henning J Jessen,Dorothea Fiedler,Huanchen Wang,Stephen B Shears"
10.1073/pnas.1922284117,Insp(7) Is A Small-Molecule Regulator Of Nudt3-Mediated Mrna Decapping And Processing-Body Dynamics,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2020,"Soumyadip Sahu,Zhenzhen Wang,Xinfu Jiao,Chunfang Gu,Nikolaus Jork,Christopher Wittwer,Xingyao Li,Sarah Hostachy,Dorothea Fiedler,Huanchen Wang,Henning J Jessen,Megerditch Kiledjian,Stephen B Shears"
10.1039/c9md00163h,"Synthesis of an α-phosphono-α,α-difluoroacetamide analogue of the diphosphoinositol pentakisphosphate 5-InsP 7 .",MEDCHEMCOMM,2019,"Andrew M Riley,Huanchen Wang,Stephen B Shears,Barry V L Potter"
10.1021/acs.jmedchem.8b01593,Inhibition of Inositol Polyphosphate Kinases by Quercetin and Related Flavonoids: A Structure/Activity Analysis.,JOURNAL OF MEDICINAL CHEMISTRY,2019,"Chunfang Gu,Michael A Stashko,Ana C Puhl-Rubio,Molee Chakraborty,Anutosh Chakraborty,Stephen V Frye,Kenneth H Pearce,Xiaodong Wang,Stephen B Shears,Huanchen Wang"
10.1096/fasebj.2019.33.1_supplement.493.11,Comprehensive snapshots of an unusual reaction cycle for an atypical protein tyrosine phosphatases (PTP),FASEB JOURNAL,2019,"Huanchen Wang,Henning J. Jessen,Stephen B Shears"
10.1016/j.jbior.2018.10.006,Inositol phosphate kinases: Expanding the biological significance of the universal core of the protein kinase fold,Advances in Biological Regulation,2019,"Stephen B. Shears,Huanchen Wang"
10.1016/j.str.2019.03.007,"Dynamics of Substrate Processing by PPIP5K2, a Versatile Catalytic Machine.",Structure,2019,"Yi An,Henning J Jessen,Huanchen Wang,Stephen B Shears,Dmitri Kireev"
10.1021/acs.biochem.8b00336,Identification of a PDE4-specific pocket for design of selective inhibitors.,BIOCHEMISTRY,2018,"Xiaoqing Feng,Huanchen Wang,Mengchun Ye,Xue-Tao Xu,Ying Xu,Wenzhe Yang,Han-Ting Zhang,Guoqiang Song,Hengming Ke"
10.1021/acs.biochem.8b00707,Crystal structures of Candida albicans phosphodiesterase-2 and implication on its biological functions.,BIOCHEMISTRY,2018,"Ting Yao,Yiyou Huang,Meng Zhang,Yujuan Chen,Hairun Pei,Jianyou Shi,Huanchen Wang,Yousheng Wang,Hengming Ke"
10.2210/pdb6byf/pdb,Structural resolution of Siw14: a protein-tyrosine phosphatase fold that metabolizes inositol pyrophosphates.,Journal of Biological Chemistry,2018,"Huanchen Wang,Stephen B. Shears,Chunfang Gu,Ronda J. Rolfes,Henning J. Jessen"
10.1074/jbc.RA117.001670,Structural and biochemical characterization of Siw14: A protein-tyrosine phosphatase fold that metabolizes inositol pyrophosphates,Journal of Biological Chemistry,2018,"Huanchen Wang,Chunfang Gu,Ronda J Rolfes,Henning J Jessen,Stephen B Shears"
10.1177/2472555218775323,Use of Protein Kinase-Focused Compound Libraries for the Discovery of New Inositol Phosphate Kinase Inhibitors.,SLAS DISCOVERY,2018,"Ana C Puhl-Rubio,Michael A Stashko,Huanchen Wang,P Brian Hardy,Vikas Tyagi,Bing Li,Xiaodong Wang,Dmitri Kireev,Henning J Jessen,Stephen V Frye,Stephen B Shears,Kenneth H Pearce"
10.1152/ajpcell.00198.2018,MicroRNA-21 Mediates High Phosphate-induced Endothelial Cell Apoptosis.,AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY,2018,"Zhaoyu Li,Szymon Wiernek,Cam Patterson,Huanchen Wang,Guoxian Qi,Xuming Dai"
