doi,标题,期刊,年份,作者
,Targeting heparan sulfate-protein interactions with oligosaccharides and monoclonal antibodies.,Frontiers in molecular biosciences,2023,"Miaomiao Li,Lars C Pedersen,Ding Xu"
10.1073/pnas.2209528120,Using heparan sulfate octadecasaccharide (18-mer) as a multi-target agent to protect against sepsis.,Proceedings of the National Academy of Sciences of the United States of America,2023,"Yi-En Liao,Yongmei Xu,Katelyn Arnold,Fuming Zhang,Jine Li,Rani Sellers,Chaoyin Yin,Vijayakanth Pagadala,Anna Marie Inman,Robert J Linhardt,Ding Xu,Rafal Pawlinski,Jian Liu"
,Heparan sulfate promotes TRAIL-induced tumor cell apoptosis.,bioRxiv : the preprint server for biology,2023,"Yin Luo,Huanmeng Hao,Zhangjie Wang,Chihyean Ong,Robert Dutcher,Yongmei Xu,Jian Liu,Lars C Pedersen,Ding Xu"
10.1073/pnas.2201490119,IFT80 negatively regulates osteoclast differentiation via association with Cbl-b to disrupt TRAF6 stabilization and activation,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2022,"Vishwa Deepak,Shu-Ting Yang,Ziqing Li,Xinhua Li,Andrew Ng,Ding Xu,Yi-Ping Li,Merry Jo Oursler,Shuying Yang"
10.7554/eLife.71403; 10.7554/eLife.71403.sa0; 10.7554/eLife.71403.sa1; 10.7554/eLife.71403.sa2,Heparan sulfate-dependent RAGE oligomerization is indispensable for pathophysiological functions of RAGE,ELIFE,2022,"Miaomiao Li,Chih Yean Ong,Christophe J. Langouet-Astrie,Lisi Tan,Ashwni Verma,Yimu Yang,Xiaoxiao Zhang,Dhaval K. Shah,Eric P. Schmidt,Ding Xu"
10.1073/pnas.2212944119,"IFT80 negatively regulates osteoclast differentiation via association with Cbl-b to disrupt TRAF6 stabilization and activation (vol 119, e2201490119, 2022)",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2022,"Vishwa Deepak,Shu-ting Yang,Ziqing Li,Xinhua Li,Andrew Ng,Ding Xu,Yi-Ping Li,Merry Jo Oursler,Shuying Yang"
10.1038/s41598-022-19522-9,Biochemical characterization of a disease-causing human osteoprotegerin variant,SCIENTIFIC REPORTS,2022,"Yin Luo,Miaomiao Li,Ding Xu"
10.1073/pnas.2018090118,"Sialoglycan Recognition Is A Common Connection Linking Acidosis, Zinc, And Hmgb1 In Sepsis",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2021,"Shoib S Siddiqui,Chirag Dhar,Venkatasubramaniam Sundaramurthy,Aniruddha Sasmal,Hai Yu,Esther Bandala-Sanchez,Miaomiao Li,Xiaoxiao Zhang,Xi Chen,Leonard C Harrison,Ding Xu,Ajit Varki"
10.1021/acs.analchem.1c01761,Improving The Sensitivity For Quantifying Heparan Sulfate From Biological Samples,ANALYTICAL CHEMISTRY,2021,"Zhangjie Wang,Vijay M Dhurandhare,Cressida A Mahung,Katelyn Arnold,Jine Li,Guowei Su,Ding Xu,Rob Maile,Jian Liu"
10.1038/s42003-021-01737-7,Ph-Dependent And Dynamic Interactions Of Cystatin C With Heparan Sulfate,COMMUNICATIONS BIOLOGY,2021,"Xiaoxiao Zhang,Xinyue Liu,Guowei Su,Miaomiao Li,Jian Liu,Chunyu Wang,Ding Xu"
10.1073/pnas.2005859117,Antiresorptive Activity Of Osteoprotegerin Requires An Intact Heparan Sulfate-Binding Site,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2020,"Miaomiao Li,Ding Xu"
10.1126/scitranslmed.aav8075,Design of anti-inflammatory heparan sulfate to protect against acetaminophen-induced acute liver failure.,SCIENCE TRANSLATIONAL MEDICINE,2020,"Katelyn Arnold,Yongmei Xu,Erica M Sparkenbaugh,Miaomiao Li,Xiaorui Han,Xing Zhang,Ke Xia,Mark Piegore,Fuming Zhang,Xiaoxiao Zhang,Mike Henderson,Vijayakanth Pagadala,Guowei Su,Lisi Tan,Pyong Woo Park,Richard T Stravitz,Nigel S Key,Robert J Linhardt,Rafal Pawlinski,Ding Xu,Jian Liu"
10.1074/jbc.RA119.011639,Proteomics-based screening of the endothelial heparan sulfate interactome reveals that C-type lectin 14a (CLEC14A) is a heparin-binding protein,Journal of Biological Chemistry,2020,"Daniel R Sandoval,Alejandro Gomez Toledo,Chelsea D Painter,Ember M Tota,M Osman Sheikh,Alan M V West,Martin M Frank,Lance Wells,Ding Xu,Roy Bicknell,Kevin D Corbett,Jeffrey D Esko"
10.1101/2020.07.15.198010,"Acidosis, Zinc and HMGB1 in Sepsis: A Common Connection Involving Sialoglycan Recognition",biorxiv,2020,"Shoib S Siddiqui,Chirag Dhar,Venkatasubramaniam Sundaramurthy,Aniruddha Sasmal,Hai Yu,Esther Bandala-Sanchez,Miaomiao Li,Xiaoxiao Zhang,Xi Chen,Leonard C. Harrison,Ding Xu,Ajit Varki"
,Disruption of Heparan Sulfate-RAGE Interaction Impairs Osteoclastogenesis,JOURNAL OF BONE AND MINERAL RESEARCH,2019,"Miaomiao Li,Xiaoxiao Zhang,Ding Xu"
,Osteoprotegerin Requires Heparan Sulfate for Its Anti-osteoclastogenic Activity,JOURNAL OF BONE AND MINERAL RESEARCH,2019,"Ding Xu,Miaomiao Li"
10.1074/jbc.RA118.004489,Dimerization interface of osteoprotegerin revealed by hydrogen–deuterium exchange mass spectrometry,Journal of Biological Chemistry,2018,"Yiming Xiao,Miaomiao Li,Rinzhi Larocque,Fuming Zhang,Anju Malhotra,Jianle Chen,Robert J Linhardt,Lars Konermann,Ding Xu"
10.1016/j.sbi.2018.04.003,Using structurally defined oligosaccharides to understand the interactions between proteins and heparan sulfate,Current Opinion in Structural Biology,2018,"Ding Xu,Katelyn M. Arnold,Jian Liu"
10.1111/omi.12224,<i>Tannerella forsythia</i>-produced methylglyoxal causes accumulation of advanced glycation endproducts to trigger cytokine secretion in human monocytes,Molecular Oral Microbiology,2018,"R.P. Settem,K. Honma,M. Shankar,M. Li,M. LaMonte,D. Xu,R.J. Genco,R.W. Browne,A. Sharma"
,Synthetic Heparan Sulfate to Treat Acute Liver Injury,HEPATOLOGY,2018,"Katelyn Arnold,Yongmei Xu,Erica Sparkenbaugh,Mark Piegore,Miaomiao Li,Fuming Zhang,Xiaoxiao Zhang,Michael Henderson,R. Todd Stravitz,Nigel Key,Robert Linhardt,Rafal Rafal Pawlinski,Ding Xu,Jian Liu"
10.1074/jbc.M116.751974,Heparan Sulfate Regulates the Structure and Function of Osteoprotegerin in Osteoclastogenesis,Journal of Biological Chemistry,2016,"Miaomiao Li,Shuying Yang,Ding Xu"
10.4049/jimmunol.1600197,The Receptor for Advanced Glycation Endproducts Drives T Cell Survival and Inflammation in Type 1 Diabetes Mellitus.,JOURNAL OF IMMUNOLOGY,2016,"Sean P. Durning,Paula Preston-Hurlburt,Paul R. Clark,Ding Xu,Kevan C. Herold"
10.1128/IAI.00545-15,Heparan Sulfate Modulates Neutrophil And Endothelial Function In Antibacterial Innate Immunity,INFECTION AND IMMUNITY,2015,"ding xu,joshua olson,jason n cole,xander m van wijk,volker brinkmann,arturo zychlinsky,victor nizet,jeffrey d esko,yungchi chang"
10.1039/c5sc01208b,Small molecule antagonists of cell-surface heparan sulfate and heparin-protein interactions.,CHEMICAL SCIENCE,2015,"Ryan J. Weiss,Philip L S M Gordts,Dzung Le,Ding Xu,Jeffrey D. Esko,Yitzhak Tor"
10.1146/annurev-biochem-060713-035314,Demystifying heparan sulfate-protein interactions.,"ANNUAL REVIEW OF BIOCHEMISTRY, VOL 83",2014,"Ding Xu,Jeffrey D Esko"
,Hepatocyte Heparan Sulfate Is Dispensable for Adenovirus Liver Transduction In Vivo,MOLECULAR THERAPY,2013,"Anne K. Zaiss,Erin Foley,Ding Xu,Roger Lawrence,Jeffrey D. Esko,Harvey R. Herschman"
10.1096/fasebj.26.1_supplement.609.1,Alteration Of Heparan Sulfate 2-O-Sulfation In Endothelial Cells Enhances Neutrophil Infiltration In Mice,FASEB JOURNAL,2012,"Ding Xu,Jakob Axelsson,Bit Na Kang,P. Sriramarao,Tracy M. Handel,Klaus Ley,Jeffrey D. Esko"
10.1074/jbc.M111.299685,Heparan Sulfate Is Essential for High Mobility Group Protein 1 (HMGB1) Signaling by the Receptor for Advanced Glycation End Products (RAGE),Journal of Biological Chemistry,2011,"Ding Xu,Jeffrey Young,Danyin Song,Jeffrey D Esko"
10.1074/jbc.M110.206664,Lymphatic Endothelial Heparan Sulfate Deficiency Results in Altered Growth Responses to Vascular Endothelial Growth Factor-C (VEGF-C),Journal of Biological Chemistry,2011,"Xin Yin,Scott C Johns,Roger Lawrence,Ding Xu,Krisanavane Reddi,Joseph R Bishop,Judith A Varner,Mark M Fuster"
10.1074/jbc.M110.177006,Heparan Sulfate Regulates VEGF165- and VEGF121-mediated Vascular Hyperpermeability,Journal of Biological Chemistry,2011,"Ding Xu,Mark M Fuster,Roger Lawrence,Jeffrey D Esko"
10.1016/j.ydbio.2011.04.035,Stage-dependent regulation of mammary ductal branching by heparan sulfate and HGF-cMet signaling,Developmental Biology,2011,"Omai B. Garner,Kevin T. Bush,Kabir B. Nigam,Yu Yamaguchi,Ding Xu,Jeffrey D. Esko,Sanjay K. Nigam"
10.1371/journal.ppat.1002082,Glycosaminoglycan binding facilitates entry of a bacterial pathogen into central nervous systems.,PLOS PATHOGENS,2011,"Yung-Chi Chang,Zhipeng Wang,Lindsay A Flax,Ding Xu,Jeffrey D Esko,Victor Nizet,Miriam J Baron"
10.1074/jbc.M110.177006,Heparan Sulfate Regulates Vegf(165)- And Vegf(121)-Mediated Vascular Hyperpermeability*,JOURNAL OF BIOLOGICAL CHEMISTRY,2011,"Ding Xu,Mark M. Fuster,Roger Lawrence,Jeffrey D. Esko"
10.1208/s12248-010-9193-1,Pulmonary immunization using antigen 85-B polymeric microparticles to boost tuberculosis immunity.,The AAPS journal,2010,"Dongmei Lu,Lucila Garcia-Contreras,Pavan Muttil,Danielle Padilla,Ding Xu,Jian Liu,Miriam Braunstein,David N McMurray,Anthony James Hickey"
10.1038/nchembio0909-612,A Golgi-on-a-chip for glycan synthesis.,NATURE CHEMICAL BIOLOGY,2009,"Ding Xu,Jeffrey D Esko"
10.1073/pnas.0806975105,Redirecting The Substrate Specificity Of Heparan Sulfate 2-O-Sulfotransferase By Structurally Guided Mutagenesis,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2008,"Bethea Heather N,D. Xu,J. Liu,Pedersen Lars C,Xu Ding,Liu Jian"
10.1038/nchembio.66,Engineering sulfotransferases to modify heparan sulfate.,NATURE CHEMICAL BIOLOGY,2008,"Ding Xu,Andrea F Moon,Danyin Song,Lars C Pedersen,Jian Liu"
10.1074/jbc.M608062200,Mutational Study of Heparan Sulfate 2-O-Sulfotransferase and Chondroitin Sulfate 2-O-Sulfotransferase,Journal of Biological Chemistry,2007,"Ding Xu,Danyin Song,Lars C Pedersen,Jian Liu"
10.1016/j.bbrc.2005.11.051,Enzymatic synthesis of heparin related polysaccharides on sensor chips: rapid screening of heparin-protein interactions.,Biochemical and Biophysical Research Communications,2006,"Eva Muñoz,Ding Xu,Fikri Avci,Melissa Kemp,Jian Liu,Robert J Linhardt"
10.1021/bi052403n,"Affinity, Kinetic, and Structural Study of the Interaction of 3-<i>O</i>-Sulfotransferase Isoform 1 with Heparan Sulfate<sup>†</sup>",BIOCHEMISTRY,2006,"Eva Muñoz,Ding Xu,Melissa Kemp,Fuming Zhang,Jian Liu,Robert J. Linhardt"
10.1128/JVI.00296-06,Role for 3-O-sulfated heparan sulfate as the receptor for herpes simplex virus type 1 entry into primary human corneal fibroblasts.,JOURNAL OF VIROLOGY,2006,"Vaibhav Tiwari,Christian Clement,Ding Xu,Tibor Valyi-Nagy,Beatrice Y J T Yue,Jian Liu,Deepak Shukla"
10.1042/BJ20040908,Characterization of heparan sulphate 3-O-sulphotransferase isoform 6 and its role in assisting the entry of herpes simplex virus type 1.,BIOCHEMICAL JOURNAL,2005,"Ding Xu,Vaibhav Tiwari,Guoqing Xia,Christian Clement,Deepak Shukla,Jian Liu"
