doi,标题,期刊,年份,作者
10.1126/science.add7631,Engineering longevity—design of a synthetic gene oscillator to slow cellular aging,Science,2023,"Zhen Zhou,Yuting Liu,Yushen Feng,Stephen Klepin,Lev S. Tsimring,Lorraine Pillus,Jeff Hasty,Nan Hao"
,Fabrication of Microfluidic Devices for Continuously Monitoring Yeast Aging.,Bio-protocol,2023,"Richard O'Laughlin,Emerald Forrest,Jeff Hasty,Nan Hao"
,Enhanced cellular longevity arising from environmental fluctuations.,bioRxiv : the preprint server for biology,2023,"Yuting Liu,Zhen Zhou,Songlin Wu,Gavin Ni,Alex Zhang,Lev S Tsimring,Jeff Hasty,Nan Hao"
,Elf1 promotes Rad26’s interaction with lesion-arrested Pol II for transcription-coupled repair,,2023,"Reta D Sarsam,Jun Xu,Indrajit Lahiri,Wenzhi Gong,Juntaek Oh,Zhen Zhou,Jenny Chong,Nan Hao,Shisheng Li,Dong Wang,Andres E. Leschziner"
,Quantifying dynamic pro-inflammatory gene expression and heterogeneity in single macrophage cells,The Journal of biological chemistry,2023,"Beverly Naigles,Avaneesh V Narla,Jan Soroczynski,Lev S Tsimring,Nan Hao"
10.7554/eLife.75978,Age-dependent aggregation of ribosomal RNA-binding proteins links deterioration in chromatin stability with challenges to proteostasis,ELIFE,2022,"Julie Paxman,Zhen Zhou,Richard O'Laughlin,Yuting Liu,Yang Li,Wanying Tian,Hetian Su,Yanfei Jiang,Shayna E Holness,Elizabeth Stasiowski,Lev S Tsimring,Lorraine Pillus,Jeff Hasty,Nan Hao"
10.3389/fcell.2022.1048630,Quantitative cell imaging approaches to metastatic state profiling,Frontiers in Cell and Developmental Biology,2022,"Andres J. Nevarez,Nan Hao"
,A complex systems approach to aging biology,,2022,"Alan A. Cohen,Luigi Ferrucci,Tamàs Fülöp,Dominique Gravel,Nan Hao,Andres Kriete,Morgan E. Levine,Lewis A. Lipsitz,Marcel G. M. Olde Rikkert,Andrew Rutenberg,Nicholas Stroustrup,Ravi Varadhan "
10.1016/j.bioadv.2022.213171,3D printing a biocompatible elastomer for modeling muscle regeneration after volumetric muscle loss,Biomaterials Advances,2022,"Wisarut Kiratitanaporn,David B. Berry,Anusorn Mudla,Trevor Fried,Alison Lao,Claire Yu,Nan Hao,Samuel R. Ward,Shaochen Chen"
10.1016/j.ceb.2020.11.008,Memorizing Environmental Signals Through Feedback And Feedforward Loops,CURRENT OPINION IN CELL BIOLOGY,2021,"Yanfei Jiang,Nan Hao"
10.1101/2021.12.06.471495,Age-dependent aggregation of ribosomal RNA-binding proteins links deterioration in chromatin stability with loss of proteostasis,,2021,"Julie Paxman,Zhen Zhou,Richard O'Laughlin,Yang Li,Wanying Tian,Hetian Su,Yanfei Jiang,Shayna E Holness,Elizabeth Stasiowski,Lev Tsimring,Lorraine Pillus,Jeff Hasty,Nan Hao"
10.1101/2021.11.05.467477,Age-induced P-bodies become detrimental and shorten the lifespan of yeast,,2021,"Joonhyuk Choi,Shuhao Wang,Yang Li,Nan Hao,Brian M. Zid"
10.1126/science.aax9552,A Programmable Fate Decision Landscape Underlies Single-Cell Aging In Yeast,SCIENCE,2020,"Yang Li,Yanfei Jiang,Julie Paxman,Richard O'Laughlin,Stephen Klepin,Yuelian Zhu,Lorraine Pillus,Lev S Tsimring,Jeff Hasty,Nan Hao"
10.1126/scisignal.aay3585,A Protein Kinase A-Regulated Network Encodes Short- and Long-Lived Cellular Memory,SCIENCE SIGNALING,2020,"Yanfei Jiang,Zohreh AkhavanAghdam,Yutian Li,Brian M Zid,Nan Hao"
10.1016/j.tma.2019.09.002,Advances in quantitative biology methods for studying replicative aging in Saccharomyces cerevisiae,Translational Medicine of Aging,2020,"Richard O'Laughlin,Meng Jin,Yang Li,Lorraine Pillus,Lev S. Tsimring,Jeff Hasty,Nan Hao"
10.7554/eLife.58825,Cell cycle gated feedback control mediates desensitization to interferon stimulation,bioRxiv,2020,"Anusorn Mudla,Yanfei Jiang,Kei-ichiro Arimoto,Bingxian Xu,Adarsh Rajesh,Andy P Ryan,Wei Wang,Matthew D Daugherty,Dong-Er Zhang,Nan Hao"
