doi,标题,期刊,年份,作者
10.1158/2767-9764.CRC-21-0088,Phase I Study of High-Dose L-methylfolate in Combination with Temozolomide and Bevacizumab in Recurrent IDH wild-type High-Grade Glioma.,Cancer research communications,2022,"Lucas A Salas,Thomas G Stewart,Bret C Mobley,Chengwei Peng,Jing Liu,Sudan N Loganathan,Jialiang Wang,Yanjun Ma,Mitchell S Berger,Devin Absher,Yang Hu,Paul L Moots,Brock C Christensen,Stephen W Clark"
10.3389/fphar.2020.00974,A Brain-Penetrating Hsp90 Inhibitor NXD30001 Inhibits Glioblastoma as a Monotherapy or in Combination With Radiation.,FRONTIERS IN PHARMACOLOGY,2020,"Hao Chen,Yuanying Gong,Yufang Ma,Reid C Thompson,Jialiang Wang,Zhixiang Cheng,Lixia Xue"
10.1158/1538-7445.AM2019-3934,Bcl2-expressing quiescent type B neural stem cells in the SVZ are resistant to concurrent temozolomide/X-irradiation,CANCER RESEARCH,2019,"Brent D. Cameron,Geri Traver,Joseph T. Roland,Daniel Dean,Levi Johnson,Kelli L. Boyd,Rebecca A. Ihrie,Jialiang Wang,Michael L. Freeman"
10.1158/1535-7163.MCT-18-1151,Targeting the IGF1R/PI3K/AKT pathway sensitizes Ewing sarcoma to BET bromodomain inhibitors.,MOLECULAR CANCER THERAPEUTICS,2019,"Sudan N Loganathan,Nan Tang,Albert E Holler,Nenghui Wang,Jialiang Wang"
10.1158/1538-7445.am2019-3934,Abstract 3934: Bcl2-expressing quiescent type B neural stem cells in the SVZ are resistant to concurrent temozolomide/X-irradiation,Cancer Research,2019,"Brent D. Cameron,Geri Traver,Joseph T. Roland,Daniel Dean,Levi Johnson,Kelli L. Boyd,Rebecca A. Ihrie,Jialiang Wang,Michael L. Freeman"
10.1093/neuonc/noz175.377,EXTH-45. THERAPEUTIC EFFICACY OF MUTANT ISOCITRATE DEHYDROGENASE 1 (IDH1) INHIBITOR SYC-435 WITH STANDARD THERAPY IN PATIENT-DERIVED IDH1 MUTANT GLIOMA XENOGRAFT MOUSE MODELS,Neuro-Oncology,2019,"Mari Kogiso,Lin Qi,Huiyuan Zhang,Frank Braun,Yuchen Du,Lei Huang,Lei Guo,Yulun Huang,Holly B Lindsay,Sibo Zhao,Sarah Injac,Patricia Baxter,Jack Su,Laszlo Perlaky,Williams Parsons,Murali Chintagumpala,Adesina Adekunle,Jialiang Wang,Yongcheng Song,Xiao-Nan Li"
10.1053/j.gastro.2018.10.030,Inhibition of AURKA Reduces Proliferation and Survival of Gastrointestinal Cancer Cells With Activated KRAS by Preventing Activation of RPS6KB1.,Gastroenterology,2019,"Lihong Wang-Bishop,Zheng Chen,Ahmed Gomaa,Albert Craig Lockhart,Safia Salaria,Jialiang Wang,Keeli B Lewis,Jeffrey Ecsedy,Kay Washington,Robert Daniel Beauchamp,Wael El-Rifai"
,THERAPEUTIC EFFICACY OF MUTANT ISOCITRATE DEHYDROGENASE 1 (IDH1) INHIBITOR SYC-435 WITH STANDARD THERAPY IN PATIENT-DERIVED IDH1 MUTANT GLIOMA XENOGRAFT MOUSE MODELS,NEURO-ONCOLOGY,2019,"Mari Kogiso,Lin Qi,Huiyuan Zhang,Frank Braun,Yuchen Du,Lei Huang,Lei Guo,Yulun Huang,Holly B. Lindsay,Sibo Zhao,Sarah Injac,Patricia Baxter,Jack Su,Laszlo Perlaky,Williams Parsons,Murali Chintagumpala,Adesina Adekunle,Jialiang Wang,Yongcheng Song,Xiao-Nan Li"
10.1093/neuonc/nox168.303,EXTH-07. MUTANT ISOCITRATE DEHYDROGENASE 1 (IDH1) INHIBITOR SYC-435 SYNERGISTICALLY PROLONGS ANIMAL SURVIVAL WITH STANDARD THERAPIES IN PATIENT-DERIVED IDH1 MUTANT GLIOMA XENOGRAFT MOUSE MODELS,Neuro-oncology,2017,"Mari Kogiso,Lin Qi,Huiyuan Zhang,Frank Braun,Yuchen Du,Yulun Huang,Holly Lindsay,Sibo Zhao,Sarah Injac,Zhen Liu,Patricia Baxter,Jack Su,Laszlo Perlaky,D. Will Parsons,Murali Chintagumpala,Adekunle M. Adesina,Jialiang Wang,Yongcheng Song,Xiao-Nan Li"
10.3892/ijo.2016.3798,"Microtubule Actin Cross-Linking Factor 1, A Novel Target In Glioblastoma",INTERNATIONAL JOURNAL OF ONCOLOGY,2017,"Najlaa Afghani,Toral Mehta,Jialiang Wang,Nan Tang,Omar Skalli,Quincy A Quick"
10.1093/neuonc/nov310,Bone morphogenetic protein signaling promotes tumorigenesis in a murine model of high-grade glioma.,NEURO-ONCOLOGY,2016,"Laura D. Hover,Philip Owens,Alexander L. Munden,Jialiang Wang,Lola B. Chambless,Corey R. Hopkins,Charles C. Hong,Harold L. Moses,Ty W. Abel"
10.1158/1538-7445.AM2015-3529,Bet Bromodomain Proteins Regulate The Canonical Wnt Signaling And Drug Resistance In Colorectal Cancer,CANCER RESEARCH,2015,"Lihong Wang,Yufang Ma,Ethan Lee,Jialiang Wang"
10.1158/0008-5472.CAN-13-2136,"Jnk Signaling Mediates Epha2-Dependent Tumor Cell Proliferation, Motility, And Cancer Stem Cell-Like Properties In Non-Small Cell Lung Cancer",CANCER RESEARCH,2014,"Wenqiang Song,Yufang Ma,Jialiang Wang,Dana Brantley-Sieders,Jin Chen"
,REDUNDANT INSULIN RECEPTOR AND IGF-1R SIGNALING IN GLIOBLASTOMA,NEURO-ONCOLOGY,2013,"Yuanying Gong,Yufang Ma,Zhixiang Cheng,Reid Thompson,Jialiang Wang"
10.1158/1538-7445.AM2013-1018,Abstract 1018: Inhibition of BET bromodomain targets genetically diverse glioblastoma.,Cancer Research,2013,"jialiang wang,zhixiang cheng"
10.1016/j.bpj.2011.11.148,Multi-Network Modeling Of Cancer Cell States,BIOPHYSICAL JOURNAL,2012,"michael l blinov,akshata udyavar,wendell g yarbrough,jialiang wang,lourdes estrada,vito quaranta"
,INHIBITION OF BET BROMODOMAIN TARGETS GENETICALLY DIVERSE GLIOBLASTOMA,NEURO-ONCOLOGY,2012,"Zhixiang Cheng,Yuanying Gong,Yufang Ma,Susanne Mu Ller-Knapp,Stefan Knapp,Jialiang Wang"
10.1016/j.ccr.2007.07.002,"LZAP, a Putative Tumor Suppressor, Selectively Inhibits NF-κB",Cancer Cell,2007,"Jialiang Wang,Hanbing An,Marty W. Mayo,Albert S. Baldwin,Wendell G. Yarbrough"
