doi,标题,期刊,年份,作者
10.3390/polym11040680,Studies on Curing Kinetics and Tensile Properties of Silica-Filled Phenolic Amine/Epoxy Resin Nanocomposite.,POLYMERS,2019,"Ting Zheng,Xiaodong Wang,Chunrui Lu,Xiaohong Zhang,Yi Ji,Chengying Bai,Yiwen Chen,Yingjie Qiao"
,C-XC motif chemokine receptor 4 promotes tumor angiogenesis in gastric cancer via activation of JAK 2 / STAT 3 † Running head : CXCR 4 promotes angiogenesis in GC,,2017,"Qing  Zhang,Feng  Xu,Yi  Shi,Yi-Wen  Chen,Hai-Ping  Wang,Xue  Yu,Yong  Li"
10.1002/cbin.10794,C-X-C motif chemokine receptor 4 promotes tumor angiogenesis in gastric cancer via activation of JAK2/STAT3.,CELL BIOLOGY INTERNATIONAL,2017,"Qing Zhang,Feng Xu,Yi Shi,Yi-Wen Chen,Hai-Ping Wang,Xue Yu,Yong Li"
10.1038/nature20579,Addendum: REST and stress resistance in ageing and Alzheimer’s disease,Nature,2016,"Lu T.,Liviu Aron,Joseph Zullo,Ying Pan,Haeyoung Kim,Yiwen Chen,Tun-Hsiang Yang,Hyun-Min Kim,Derek Drake,X. Shirley Liu,David A. Bennett,Monica P. Colaiácovo,Bruce A. Yankner"
10.1158/1541-7786.MCR-15-0313,Integrative analysis reveals the transcriptional collaboration between EZH2 and E2F1 in the regulation of cancer-related gene expression,MOLECULAR CANCER RESEARCH,2016,"Han Xu,Kexin Xu,Housheng Hansen He,Chongzhi Zang,Chen Hao Chen,Yiwen Chen,Qian Qin,Su Wang,Chenfei Wang,Shengen Hu,Fugen Li,Henry W. Long,Myles Brown,X. Shirley Liu"
10.1158/1538-7445.NONRNA15-IA11,Dependency Of Prostate Cancer On Hnrnpl And Its Associated Rnas,CANCER RESEARCH,2016,"Teng Fei,Yiwen Chen,Myles Brown,X. Shirley Liu"
10.1158/1538-7445.NONRNA15-A22,Functional Long Noncoding Rnas In Castration-Resistant Prostate Cancer,CANCER RESEARCH,2016,"Teng Fei,Yiwen Chen,Xiaole Shirley Liu,Myles Brown"
10.1200/jco.2015.33.15_suppl.e16081,Long Non-Coding Rna-Mediated Pten Regulation In Prostate Cancer.,JOURNAL OF CLINICAL ONCOLOGY,2015,"Tong Sun,Zhou Du,Teng Fei,Myles Brown,Gwo-Shu Mary Lee,Yiwen Chen,Xiaole Shirley Liu,Philip W. Kantoff"
,XBP1 promotes triple-negative breast cancer by controlling the HIF1[agr] pathway,Nature,2014,"xi chen,dimitrios iliopoulos,qing zhang,q tang,matthew b greenblatt,maria hatziapostolou,elgene lim,wai leong tam,min ni,yiwen chen,junhua mai,haifa shen,d z hu,stanley adoro,bella hu,minkyung song,c tan,melissa d landis,mauro ferrari,sandra j shin,myles brown,jenny c chang,x shirley liu,laurie h glimcher"
10.1158/1538-7445.AM2014-5238,Integrative Analysis Of Functional Long Noncoding Rnas During Prostate Cancer Progression,CANCER RESEARCH,2014,"teng fei,yiwen chen,z du,xiaole shirley liu,myles brown"
10.4236/jct.2013.41A007,Expressions of CCR7 and CXCR4 Are Associated with Differentiation in Gastrointestinal Cancer,Journal of Cancer Therapy,2013,"chunhui lu,s chen,feng xu,yiwen chen,qing zhang,yong li"
10.1158/1538-7445.am2011-941,Abstract 941: Targeting androgen receptor in estrogen receptor-negative breast cancer,Cancer Research,2011,"myles brown,x shirley liu,yuuki imai,shannon t bailey,yiwen chen,min ni"
10.1158/0008-5472.CAN-11-2091,A Comprehensive View Of Nuclear Receptor Cancer Cistromes,CANCER RESEARCH,2011,"Qianzi Tang,Yiwen Chen,Clifford Meyer,Tim Geistlinger,Mathieu Lupien,Qian Wang,Tao Liu,Yong Zhang,Myles Brown,Xiaole Shirley Liu"
