doi,标题,期刊,年份,作者
10.1158/0008-5472.22389590.v1,Supplementary Table 2 from A Comprehensive View of Nuclear Receptor Cancer Cistromes,,2023,"Qianzi Tang,Yiwen Chen,Clifford Meyer,Tim Geistlinger,Mathieu Lupien,Qian Wang,Tao Liu,Yong Zhang,Myles Brown,Xiaole Shirley Liu"
10.1158/0008-5472.22389617.v1,Supplementary Figure 3 from A Comprehensive View of Nuclear Receptor Cancer Cistromes,,2023,"Qianzi Tang,Yiwen Chen,Clifford Meyer,Tim Geistlinger,Mathieu Lupien,Qian Wang,Tao Liu,Yong Zhang,Myles Brown,Xiaole Shirley Liu"
,Modulation of the proteostasis network promotes tumor resistance to oncogenic KRAS inhibitors.,"Science (New York, N.Y.)",2023,"Xiangdong Lv,Xuan Lu,Jin Cao,Qin Luo,Yao Ding,Fanglue Peng,Apar Pataer,Dong Lu,Dong Han,Eric Malmberg,Doug W Chan,Xiaoran Wang,Sara R Savage,Sufeng Mao,Jingjing Yu,Fei Peng,Liang Yan,Huan Meng,Laure Maneix,Yumin Han,Yiwen Chen,Wantong Yao,Eric C Chang,Andre Catic,Xia Lin,George Miles,Pengxiang Huang,Zheng Sun,Bryan Burt,Huamin Wang,Jin Wang,Qizhi Cathy Yao,Bing Zhang,Jack A Roth,Bert W O'Malley,Matthew J Ellis,Mothaffar F Rimawi,Haoqiang Ying,Xi Chen"
10.1158/0008-5472.22389605.v1,Supplementary Figure 7 from A Comprehensive View of Nuclear Receptor Cancer Cistromes,,2023,"Qianzi Tang,Yiwen Chen,Clifford Meyer,Tim Geistlinger,Mathieu Lupien,Qian Wang,Tao Liu,Yong Zhang,Myles Brown,Xiaole Shirley Liu"
10.1158/0008-5472.22389599.v1,Supplementary Figure 9 from A Comprehensive View of Nuclear Receptor Cancer Cistromes,,2023,"Qianzi Tang,Yiwen Chen,Clifford Meyer,Tim Geistlinger,Mathieu Lupien,Qian Wang,Tao Liu,Yong Zhang,Myles Brown,Xiaole Shirley Liu"
10.1158/0008-5472.22389626.v1,Supplementary Figure 10 from A Comprehensive View of Nuclear Receptor Cancer Cistromes,,2023,"Qianzi Tang,Yiwen Chen,Clifford Meyer,Tim Geistlinger,Mathieu Lupien,Qian Wang,Tao Liu,Yong Zhang,Myles Brown,Xiaole Shirley Liu"
10.1158/0008-5472.22389602.v1,Supplementary Figure 8 from A Comprehensive View of Nuclear Receptor Cancer Cistromes,,2023,"Qianzi Tang,Yiwen Chen,Clifford Meyer,Tim Geistlinger,Mathieu Lupien,Qian Wang,Tao Liu,Yong Zhang,Myles Brown,Xiaole Shirley Liu"
10.1158/0008-5472.22389596.v1,"Supplementary Methods, Figure Legends 1-11 from A Comprehensive View of Nuclear Receptor Cancer Cistromes",,2023,"Qianzi Tang,Yiwen Chen,Clifford Meyer,Tim Geistlinger,Mathieu Lupien,Qian Wang,Tao Liu,Yong Zhang,Myles Brown,Xiaole Shirley Liu"
10.1158/0008-5472.22389608.v1,Supplementary Figure 6 from A Comprehensive View of Nuclear Receptor Cancer Cistromes,,2023,"Qianzi Tang,Yiwen Chen,Clifford Meyer,Tim Geistlinger,Mathieu Lupien,Qian Wang,Tao Liu,Yong Zhang,Myles Brown,Xiaole Shirley Liu"
10.1158/0008-5472.22389629.v1,Supplementary Figure 1 from A Comprehensive View of Nuclear Receptor Cancer Cistromes,,2023,"Qianzi Tang,Yiwen Chen,Clifford Meyer,Tim Geistlinger,Mathieu Lupien,Qian Wang,Tao Liu,Yong Zhang,Myles Brown,Xiaole Shirley Liu"
10.1158/0008-5472.22389611.v1,Supplementary Figure 5 from A Comprehensive View of Nuclear Receptor Cancer Cistromes,,2023,"Qianzi Tang,Yiwen Chen,Clifford Meyer,Tim Geistlinger,Mathieu Lupien,Qian Wang,Tao Liu,Yong Zhang,Myles Brown,Xiaole Shirley Liu"
10.1158/0008-5472.22389623.v1,Supplementary Figure 11 from A Comprehensive View of Nuclear Receptor Cancer Cistromes,,2023,"Qianzi Tang,Yiwen Chen,Clifford Meyer,Tim Geistlinger,Mathieu Lupien,Qian Wang,Tao Liu,Yong Zhang,Myles Brown,Xiaole Shirley Liu"
,Multiomics analyses reveal DARS1-AS1 /YBX1-controlled posttranscriptional circuits promoting glioblastoma tumorigenesis/radioresistance.,Science advances,2023,"Caishang Zheng,Yanjun Wei,Qiang Zhang,Ming Sun,Yunfei Wang,Jiakai Hou,Peng Zhang,Xiangdong Lv,Dan Su,Yujie Jiang,Joy Gumin,Nidhi Sahni,Baoli Hu,Wenyi Wang,Xi Chen,Daniel J McGrail,Chaolin Zhang,Suyun Huang,Han Xu,Junjie Chen,Frederick F Lang,Jian Hu,Yiwen Chen"
10.1158/0008-5472.22389593.v1,Supplementary Table 1 from A Comprehensive View of Nuclear Receptor Cancer Cistromes,,2023,"Qianzi Tang,Yiwen Chen,Clifford Meyer,Tim Geistlinger,Mathieu Lupien,Qian Wang,Tao Liu,Yong Zhang,Myles Brown,Xiaole Shirley Liu"
10.1158/0008-5472.22389614.v1,Supplementary Figure 4 from A Comprehensive View of Nuclear Receptor Cancer Cistromes,,2023,"Qianzi Tang,Yiwen Chen,Clifford Meyer,Tim Geistlinger,Mathieu Lupien,Qian Wang,Tao Liu,Yong Zhang,Myles Brown,Xiaole Shirley Liu"
10.1172/JCI159940,CRISPR/Cas9 screen uncovers functional translation of cryptic lncRNA-encoded open reading frames in human cancer.,The Journal of clinical investigation,2023,"Caishang Zheng,Yanjun Wei,Peng Zhang,Longyong Xu,Zhenzhen Zhang,Kangyu Lin,Jiakai Hou,Xiangdong Lv,Yao Ding,Yulun Chiu,Antrix Jain,Nelufa Islam,Anna Malovannaya,Yun Wu,Feng Ding,Han Xu,Ming Sun,Xi Chen,Yiwen Chen"
10.1158/0008-5472.22389620.v1,Supplementary Figure 2 from A Comprehensive View of Nuclear Receptor Cancer Cistromes,,2023,"Qianzi Tang,Yiwen Chen,Clifford Meyer,Tim Geistlinger,Mathieu Lupien,Qian Wang,Tao Liu,Yong Zhang,Myles Brown,Xiaole Shirley Liu"
10.1126/sciadv.abn2571,Critical role of lncEPAT in coupling dysregulated EGFR pathway and histone H2A deubiquitination during glioblastoma tumorigenesis,Science Advances,2022,"Linlin Li,Aidong Zhou,Yanjun Wei,Feng Liu,Peng Li,Runping Fang,Li Ma,Sicong Zhang,Longqiang Wang,Jinze Liu,Hope T. Richard,Yiwen Chen,Hengbin Wang,Suyun Huang"
10.1038/s41467-022-28028-x,Systematic decomposition of sequence determinants governing CRISPR/Cas9 specificity,NATURE COMMUNICATIONS,2022,"Rongjie Fu,Wei He,Jinzhuang Dou,Oscar D Villarreal,Ella Bedford,Helen Wang,Connie Hou,Liang Zhang,Yalong Wang,Dacheng Ma,Yiwen Chen,Xue Gao,Martin Depken,Han Xu"
,Preclinical Evaluation Of Epcoritamab Combined With Standard Of Care Therapies For The Treatment Of B-Cell Lymphomas.,CANCER RESEARCH,2021,"Jiakai Hou,Yunfei Wang,Leilei Shi,Yuan Chen,Chunyu Xu,Arash Saeedi,Ke Pan,Ritu Bohat,Nicholas A. Egan,Jodi A. Mckenzie,Rina M. Mbofung,Leila J. Williams,Zhenghuang Yang,Ming Sun,Xiaofang Liang,Jordi Rodon Ahnert,Navin Varadarajan,Cassian Yee,Yiwen Chen,Patrick Hwu,Weiyi Peng"
10.1084/jem.20190348,Qki Is An Essential Regulator Of Microglial Phagocytosis In Demyelination,JOURNAL OF EXPERIMENTAL MEDICINE,2021,"Jiangong Ren,Congxin Dai,Xin Zhou,Joseph A Barnes,Xi Chen,Yunfei Wang,Liang Yuan,Takashi Shingu,Amy B Heimberger,Yiwen Chen,Jian Hu"
10.1038/s41467-021-22782-0,Qki Activates Srebp2-Mediated Cholesterol Biosynthesis For Maintenance Of Eye Lens Transparency,NATURE COMMUNICATIONS,2021,"Seula Shin,Hao Zhou,Chenxi He,Yanjun Wei,Yunfei Wang,Takashi Shingu,Ailiang Zeng,Shaobo Wang,Xin Zhou,Hongtao Li,Qiang Zhang,Qinling Mo,Jiafu Long,Fei Lan,Yiwen Chen,Jian Hu"
