doi,标题,期刊,年份,作者
,ATR kinase supports normal proliferation in the early S phase by preventing replication resource exhaustion,Nature Communications,2023,"Demis Menolfi,Brian J. Lee,Hanwen Zhang,Wenxia Jiang,Nicole E. Bowen,Yunyue Wang,Junfei Zhao,Antony Holmes,Steven Gershik,Raul Rabadan,Baek Kim,Shan Zha"
,Inactive PARP1 causes embryonic lethality and genome instability in a dominant-negative manner.,Proceedings of the National Academy of Sciences of the United States of America,2023,"Zhengping Shao,Brian J Lee,Hanwen Zhang,Xiaohui Lin,Chen Li,Wenxia Jiang,Napon Chirathivat,Steven Gershik,Michael M Shen,Richard Baer,Shan Zha"
10.1126/sciadv.adf7175,Clinical PARP inhibitors allosterically induce PARP2 retention on DNA.,Science advances,2023,"Marie-France Langelier,Xiaohui Lin,Shan Zha,John M Pascal"
10.1101/2023.02.09.527940,Scalable co-sequencing of RNA and DNA from individual nuclei,,2023,"Timothy R Olsen,Pranay Talla,Julia Furnari,Jeffrey N Bruce,Peter Canoll,Shan Zha,Peter A Sims"
10.1101/2023.02.08.527716,A Non-Canonical IRAK Signaling Pathway Triggered by DNA Damage,,2023,"Yuanyuan Li,Richa B. Shah,Samanta Sarti,Alicia L. Belcher,Brian J. Lee,Andrej Gorbatenko,Francesca Nemati,Ian Yu,Zoe Stanley,Zhengping Shao,Jose M. Silva,Shan Zha,Samuel Sidi"
,"Multiscale reorganization of the genome following DNA damage facilitates chromosome translocations via nuclear actin polymerization(vol 30, pg 99, 2023)",NATURE STRUCTURAL & MOLECULAR BIOLOGY,2023,"Jennifer Zagelbaum,Allana Schooley,Junfei Zhao,Benjamin R. Schrank,Elsa Callen,Shan Zha,Max E. Gottesman,Andre Nussenzweig,Raul Rabadan,Job Dekker,Jean Gautier"
10.1093/nar/gkac188,PARP inhibitors trap PARP2 and alter the mode of recruitment of PARP2 at DNA damage sites,NUCLEIC ACIDS RESEARCH,2022,"Xiaohui Lin,Wenxia Jiang,Johannes Rudolph,Brian J Lee,Karolin Luger,Shan Zha"
10.1021/acs.biochem.2c00366,Targeting Scaffolding Functions of Enzymes Using PROTAC Approaches,BIOCHEMISTRY,2022,"Chiho Kim,Xu-Dong Wang,Zhengshuai Liu,Shan Zha,Yonghao Yu"
10.1016/j.tcb.2021.12.002,DNA-PKcs kinase activity orchestrates both end-processing and end-ligation,TRENDS IN CELL BIOLOGY,2022,"Demis Menolfi,Shan Zha"
10.1038/s41594-022-00893-6,Multiscale reorganization of the genome following DNA damage facilitates chromosome translocations via nuclear actin polymerization,Nature Structural &amp; Molecular Biology,2022,"Jennifer Zagelbaum,Allana Schooley,Junfei Zhao,Benjamin R. Schrank,Elsa Callen,Shan Zha,Max E. Gottesman,André Nussenzweig,Raul Rabadan,Job Dekker,Jean Gautier"
10.1042/BST20220366,Revisiting PARP2 and PARP1 trapping through quantitative live-cell imaging,BIOCHEMICAL SOCIETY TRANSACTIONS,2022,"Hanwen Zhang,Xiaohui Lin,Shan Zha"
10.1101/2021.10.22.465487,ARP2/3- and resection-coupled genome reorganization facilitates translocations,,2021,"Jennifer Zagelbaum,Allana Schooley,Junfei Zhao,Benjamin R. Schrank,Elsa Callen,Shan Zha,Max E. Gottesman,André Nussenzweig,Raul Rabadan,Job Dekker,Jean Gautier"
10.1016/j.molcel.2021.01.025,The plié by DNA-PK: dancing on DNA,Molecular Cell,2021,"Shan Zha,Zhengping Shao,Yimeng Zhu"
10.4049/jimmunol.2000967,"Fatc Domain Deletion Compromises Atm Protein Stability, Blocks Lymphocyte Development, And Promotes Lymphomagenesis",JOURNAL OF IMMUNOLOGY,2021,"Maja Milanovic,Zhengping Shao,Verna M Estes,Xiaobin S Wang,Demis Menolfi,Xiaohui Lin,Brian J Lee,Jun Xu,Olivia M Cupo,Dong Wang,Shan Zha"
10.1016/j.molcel.2021.05.009,Xrcc1 Prevents Toxic Parp1 Trapping During Dna Base Excision Repair,MOLECULAR CELL,2021,"Annie A Demin,Kouji Hirota,Masataka Tsuda,Marek Adamowicz,Richard Hailstone,Jan Brazina,William Gittens,Ilona Kalasova,Zhengping Shao,Shan Zha,Hiroyuki Sasanuma,Hana Hanzlikova,Shunichi Takeda,Keith W Caldecott"
10.1158/0008-5472.CAN-20-2447,The Cancer-Associated Atm R3008h Mutation Reveals The Link Between Atm Activation And Its Exchange,CANCER RESEARCH,2021,"Maja Milanovic,Lisa M Houghton,Demis Menolfi,Ji-Hoon Lee,Kenta Yamamoto,Yang Li,Brian J Lee,Jun Xu,Verna M Estes,Dong Wang,Peter J McKinnon,Tanya T Paull,Shan Zha"
10.1038/s43018-021-00293-7,Targeting BRCA-mutated tumors in mitosis,NATURE CANCER,2021,"Demis Menolfi,Shan Zha"
10.1093/nar/gkab271,Inhibition Of Dna Replication Initiation By Silver Nanoclusters,NUCLEIC ACIDS RESEARCH,2021,"Yu Tao,Tomas Aparicio,Mingqiang Li,Kam W Leong,Shan Zha,Jean Gautier"
10.1073/pnas.2105440118,DNA damage-induced phosphorylation of CtIP at a conserved ATM/ATR site T855 promotes lymphomagenesis in mice,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2021,"Xiaobin S Wang,Demis Menolfi,Foon Wu-Baer,Marco Fangazio,Stefanie N Meyer,Zhengping Shao,Yunyue Wang,Yimeng Zhu,Brian J Lee,Verna M Estes,Olivia M Cupo,Jean Gautier,Laura Pasqualucci,Riccardo Dalla-Favera,Richard Baer,Shan Zha"
10.1021/acsami.0c03001,Dual-color plasmonic nanosensor for radiation dosimetry.,ACS applied materials & interfaces,2020,"Yu Tao,Mingqiang Li,Xiangyu Liu,Kam W Leong,Jean Gautier,Shan Zha"
