doi,标题,期刊,年份,作者
10.1002/advs.202103230,"A Selective
            <i>β</i>
            −Catenin‐Metadherin/CEACAM1‐CCL3 Axis Mediates Metastatic Heterogeneity upon Tumor–Macrophage Interaction",Advanced Science,2022,"Sally K. Y. To,Maggie K. S. Tang,Yin Tong,Jiangwen Zhang,Karen K. L. Chan,Philip P. C. Ip,Jue Shi,Alice S. T. Wong"
10.1002/advs.202103230,A Selective beta-Catenin-Metadherin/CEACAM1-CCL3 Axis Mediates Metastatic Heterogeneity upon Tumor-Macrophage Interaction,ADVANCED SCIENCE,2022,"Sally K Y To,Maggie K S Tang,Yin Tong,Jiangwen Zhang,Karen K L Chan,Philip P C Ip,Jue Shi,Alice S T Wong"
10.1101/2020.01.27.920744,Molecular and cellular heterogeneity of gastric cancer explained by methylation-driven key regulators,,2020,"Seungyeul Yoo,Quan Chen,Li Wang,Wenhui Wang,Ankur Chakravarthy,Rita Busuttil,Alex Boussioutas,Dan Liu,Junjun She,Tim R. Fenton,Jiangwen Zhang,Xiaodan Fan,Suet-Yi Leung,Jun Zhu"
10.1016/j.fertnstert.2020.01.009,Human embryonic stem cell–derived blastocyst-like spheroids resemble human trophectoderm during early implantation process,Fertility and Sterility,2020,"Chaomin Yue,Andy Chun Hang Chen,Siyu Tian,Sze Wan Fong,Kai Chuen Lee,Jiangwen Zhang,Ernest Hung Yu Ng,Kai Fai Lee,William Shu Biu Yeung,Yin Lau Lee"
10.1158/2326-6074.tumimm19-b103,Abstract B103: Molecular heterogeneity of gastric cancer explained by methylation-driven key regulators,,2020,"Seungyeul Yoo,Quan Chen,Li Wang,Wenhui Wang,Ankur Chakravarthy,Rita Busuttil,Alex Boussioutas,Tim R. Fenton,Jiangwen Zhang,Xiaodan Fan,Seut-Yi Leung,Jun Zhu"
,Molecular heterogeneity of gastric cancer explained by methylation-driven key regulators.,CANCER IMMUNOLOGY RESEARCH,2020,"Seungyeul Yoo,Quan Chen,Li Wang,Wenhui Wang,Ankur Chakravarthy,Rita Busuttil,Alex Boussioutas,Tim R. Fenton,Jiangwen Zhang,Xiaodan Fan,Seut-Yi Leung,Jun Zhu"
10.1016/j.sleep.2019.11.441,Striatal dopamine transmission in individuals with isolated rapid eye movement sleep without atonia (RSWA): a search for precursor biomarker for neurodegeneration,SLEEP MEDICINE,2019,"B. Huang,Y.K. Wing,J. Zhang,S.P. Lam,X.S. Li,Y.L.E. Leung,Y. Liu"
10.1016/j.sleep.2019.11.1093,Congition and olfaction in first degree relative of RBD: a 2-year prospective case control study,SLEEP MEDICINE,2019,"C.C. Tsang,Y. Liu,J. Zhang,S.P. Lam,W.M.M. Yu,S.X. Li,W.Y.J. Chan,W.H.S. Chau,N.Y. Chan,Y.K. Wing"
10.1016/j.sleep.2019.11.618,Associations of sleep and circadian rhythm disorders with bipolar disorder: A case-control study,SLEEP MEDICINE,2019,"B.B. Lei,H. Feng,Y. Liu,S. Liu,M.H.B. Lam,M.W.M. Yu,J.W.Y. Chan,S.P. Lam,S.X. Li,Y.K. Wing,J. Zhang"
10.1093/bioinformatics/bty836,A framework for identifying dysregulated chromatin regulators as master regulators in human cancer.,BIOINFORMATICS,2019,"Beibei Ru,Jianlong Sun,Qingzheng Kang,Yin Tong,Jiangwen Zhang"
