doi,标题,期刊,年份,作者
10.1158/2159-8290.22531206,Supplementary Figure Legends from Chronic Myelogenous Leukemia– Initiating Cells Require Polycomb Group Protein EZH2,,2023,"Huafeng Xie,Cong Peng,Jialiang Huang,Bin E. Li,Woojin Kim,Elenoe C. Smith,Yuko Fujiwara,Jun Qi,Giulia Cheloni,Partha P. Das,Minh Nguyen,Shaoguang Li,James E. Bradner,Stuart H. Orkin"
10.1002/stem.3173,Selective killing of leukemia cells: Yamanaka factors' new trick.,STEM CELLS,2020,"Huafeng Xie,Thomas Graf"
10.1073/pnas.2008672117,Enhancer Dependence Of Cell-Type-Specific Gene Expression Increases With Developmental Age,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2020,"Wenqing Cai,Jialiang Huang,Qian Zhu,Bin E Li,Davide Seruggia,Pingzhu Zhou,Minh Nguyen,Yuko Fujiwara,Huafeng Xie,Zhenggang Yang,Danni Hong,Pengfei Ren,Jian Xu,William T Pu,Guo-Cheng Yuan,Stuart H Orkin"
10.1038/s41598-018-32729-z,Polycomb Repressive Complex 2 Is Essential For Development And Maintenance Of A Functional Tec Compartment,SCIENTIFIC REPORTS,2018,"Nandini Singarapu,Keyue Ma,Kaitlin A G Reeh,Jianjun Shen,Jessica N Lancaster,Song Yi,Huafeng Xie,Stuart H Orkin,Nancy R Manley,Lauren I R Ehrlich,Ning Jiang,Ellen R Richie"
10.1016/j.cmet.2018.04.013,"The Polycomb-Dependent Epigenome Controls β Cell Dysfunction, Dedifferentiation, and Diabetes.",Cell Metabolism,2018,"Tess Tsai-Hsiu Lu,Steffen Heyne,Erez Dror,Eduard Casas,Laura Leonhardt,Thorina Boenke,Chih-Hsiang Yang,Sagar,Laura Arrigoni,Kevin Dalgaard,Raffaele Teperino,Lennart Enders,Madhan Selvaraj,Marius Ruf,Sunil J Raja,Huafeng Xie,Ulrike Boenisch,Stuart H Orkin,Francis C Lynn,Brad G Hoffman,Dominic Grün,Tanya Vavouri,Adelheid M Lempradl,J Andrew Pospisilik"
10.7554/eLife.24570,EED orchestration of heart maturation through interaction with HDACs is H3K27me3-independent.,ELIFE,2017,"Shanshan Ai,Yong Peng,Chen Li,Fei Gu,Xianhong Yu,Yanzhu Yue,Qing Ma,Jinghai Chen,Zhiqiang Lin,Pingzhu Zhou,Huafeng Xie,Terence W Prendiville,Wen Zheng,Yuli Liu,Stuart H Orkin,Da-Zhi Wang,Jia Yu,William T Pu,Aibin He"
10.1038/nature21688,Transcription control by the ENL YEATS domain in acute leukaemia,NATURE,2017,"Michael A. Erb,Thomas G. Scott,Bin E. Li,Huafeng Xie,Joshiawa Paulk,Hyuk-Soo Seo,Amanda Souza,Justin M. Roberts,Shiva Dastjerdi,Dennis L. Buckley,Neville E. Sanjana,Ophir Shalem,Behnam Nabet,Rhamy Zeid,Nana K. Offei-Addo,Sirano Dhe-Paganon,Feng Zhang,Stuart H. Orkin,Georg E. Winter,James E. Bradner"
10.1158/0008-5472.CAN-17-0216,Prmt1-Mediated Translation Regulation Is A Crucial Vulnerability Of Cancer,CANCER RESEARCH,2017,"Jessie Hao-Ru Hsu,Benjamin Hubbell-Engler,Guillaume Adelmant,Jialiang Huang,Cailin E Joyce,Francisca Vazquez,Barbara A Weir,Philip Montgomery,Aviad Tsherniak,Andrew O Giacomelli,Jennifer A Perry,Jennifer Trowbridge,Yuko Fujiwara,Glenn S Cowley,Huafeng Xie,Woojin Kim,Carl D Novina,William C Hahn,Jarrod A Marto,Stuart H Orkin"
10.1002/stem.2627,Reduced Erg Dosage Impairs Survival of Hematopoietic Stem and Progenitor Cells.,STEM CELLS,2017,"Ying Xie,Mia Lee Koch,Xin Zhang,Melanie J Hamblen,Frank J Godinho,Yuko Fujiwara,Huafeng Xie,Jan-Henning Klusmann,Stuart H Orkin,Zhe Li"
10.1158/1557-3125.DEVBIOLCA15-IA05,Abstract IA05: Polycomb repressive complex-2 is a barrier to Kras-driven inflammation and epithelial-mesenchymal transition in non-small cell lung cancer,Molecular Cancer Research,2016,"Michela Serresi,Gaetano Gargiulo,Nathalie Proost,Bjorn Siteur,Matteo Cesaroni,Martijn Koppens,Huafeng Xie,Kate D. Sutherland,Danielle Hulsman,Elisabetta Citterio,Stuart H. Orkin,Anton Berns,Maarten van Lohuizen"
10.1016/j.ccell.2015.12.006,Polycomb Repressive Complex 2 Is a Barrier to KRAS-Driven Inflammation and Epithelial-Mesenchymal Transition in Non-Small-Cell Lung Cancer.,Cancer Cell,2016,"Michela Serresi,Gaetano Gargiulo,Natalie Proost,Bjorn Siteur,Matteo Cesaroni,Martijn Koppens,Huafeng Xie,Kate D Sutherland,Danielle Hulsman,Elisabetta Citterio,stuart h orkin,Anton Berns,Maarten van Lohuizen"
10.1016/j.celrep.2016.01.064,Ezh2 Controls an Early Hematopoietic Program and Growth and Survival Signaling in Early T Cell Precursor Acute Lymphoblastic Leukemia,Cell Reports,2016,"Etienne Danis,Taylor Yamauchi,Kristen Echanique,Xi Zhang,Jessica Haladyna,Simone S. Riedel,Nan Zhu,Huafeng Xie,Stuart H. Orkin,Scott A. Armstrong,Kathrin M. Bernt,Tobias Neff"
10.1158/2159-8290.CD-15-1439,Chronic myelogenous leukemia initiating cells require Polycomb group protein EZH2,CANCER DISCOVERY,2016,"Huafeng Xie,Cong Peng,Jialiang Huang,Bin E. Li,Woojin Kim,Elenoe C. Smith,Yuko Fujiwara,Jun Qi,Giulia Cheloni,Partha P. Das,Minh Nguyen,Shaoguang Li,James E. Bradner,Stuart H. Orkin"
10.1016/j.celrep.2015.07.053,PRC2 Is Required to Maintain Expression of the Maternal Gtl2 - Rian - Mirg Locus by Preventing De Novo DNA Methylation in Mouse Embryonic Stem Cells,Cell Reports,2015,"p das,david a hendrix,effie apostolou,alice h buchner,matthew c canver,semir beyaz,damir ljuboja,rachael kuintzle,woojin kim,rahul karnik,zhen shao,huafeng xie,jian xu,alejandro de los angeles,yingying zhang,junho choe,don leong jia jun,xiaohua shen,richard i gregory,george q daley,alexander meissner,manolis kellis,konrad hochedlinger,jonghwan kim,stuart h orkin"
10.1182/blood.V126.23.4112.4112,Neutrophils Derived From Ezh2-/- Progenitor Cells Demonstrate Aberrant Erythroid Lineage Gene Expression,BLOOD,2015,"Albert Perez-Ladaga,Huafeng Xie,Stuart H. Orkin,David B. Sykes,Benjamin L. Ebert,Rafael Bejar"
10.1073/pnas.1521740112,Ezh2 Regulates Differentiation And Function Of Natural Killer Cells Through Histone Methyltransferase Activity,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2015,"Jie Yin,Jianmei W. Leavenworth,Yang Li,Qi Luo,Huafeng Xie,Xinhua Liu,Shan Huang,Han Yan,Zheng Fu,Liyun Y. Zhang,Litao Zhang,Junwei Hao,Xudong Wu,Xianming Deng,Charles W. M. Roberts,Stuart H. Orkin,Harvey Cantor,Xi Wang"
,Developmental Control Of Polycomb Subunit Composition Mediates A Switch To Non-Canonical Functions During Hematopoiesis,BLOOD,2014,"Jian Xu,Zhen Shao,Dan Li,Huafeng Xie,Woojin Kim,Jialiang Huang,Luca Pinello,Kimberly Glass,Guo-Cheng Yuan,Stuart H. Orkin"
,Context Dependent Role Of Polycomb Repressive Complex 2 In Acute Leukemia,BLOOD,2014,"Etienne Danis,Taylor Yamauchi,Kristen Echanique,Jessica Haladyna,Huafeng Xie,Nan Zhu,Simone S. Riedel,Kathrin M. Bernt,Stuart H. Orkin,Scott A. Armstrong,Tobias Neff"
,Eradication Of Chronic Myelogenous Leukemia By Inactivation Of The Polycomb Group Protein Ezh2,BLOOD,2014,"Huafeng Xie,Cong Peng,Jun Qi,Giullia Cheloni,Partha Das,Jialiang Huang,Minh Nguyen,Shaoguang Li,James E. Bradner,Stuart H. Orkin"
10.1016/j.stem.2013.10.001,Polycomb repressive complex 2 regulates normal hematopoietic stem cell function in a developmental-stage-specific manner.,Cell Stem Cell,2014,"Huafeng Xie,Jian Xu,jessie haoru hsu,Minh Nguyen,Yuko Fujiwara,Cong Peng,Stuart H Orkin"
10.1182/blood.V122.21.1556.1556,Functional Defects In Neutrophils Derived From Ezh2 Null Mice,BLOOD,2013,"Bennett Caughey,Huafeng Xie,Stuart H. Orkin,David B. Sykes,Benjamin L. Ebert,Rafael Bejar"
10.1016/j.molcel.2011.11.032,Direct recruitment of polycomb repressive complex 1 to chromatin by core binding transcription factors.,Molecular Cell,2012,"Ming Yu,Tali Mazor,Hui Huang,Hsuan-Ting Huang,Katie L Kathrein,Andrew J Woo,Candace R Chouinard,Adam Labadorf,Thomas E Akie,Tyler B Moran,Huafeng Xie,Sima Zacharek,Ichiro Taniuchi,Robert G Roeder,Carla F Kim,Leonard I Zon,Ernest Fraenkel,Alan B Cantor"
10.1073/pnas.1202258109,Polycomb Repressive Complex 2 Is Required For Mll-Af9 Leukemia,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2012,"Tobias Neff,Amit U Sinha,Michael J Kluk,Nan Zhu,Mohamed H Khattab,Lauren Stein,Huafeng Xie,Stuart H Orkin,Scott A Armstrong"
10.1161/CIRCRESAHA.111.252205,Polycomb repressive complex 2 regulates normal development of the mouse heart.,CIRCULATION RESEARCH,2012,"Aibin He,Qing Ma,Jingjing Cao,Alexander von Gise,Pingzhu Zhou,Huafeng Xie,Bing Zhang,Michael Hsing,Danos C Christodoulou,Patrick Cahan,George Q Daley,Sek Won Kong,Stuart H Orkin,Christine E Seidman,Jonathan G Seidman,William T Pu"
10.1073/pnas.0711961105,PU.1 and C/EBPα/β convert fibroblasts into macrophage-like cells,Proceedings of the National Academy of Sciences,2008,"Ru Feng,Sabrina C. Desbordes,Huafeng Xie,Ester Sanchez Tillo,Fiona Pixley,E. Richard Stanley,Thomas Graf"
10.1038/449410a,Immunology: changed destiny.,NATURE,2007,"Huafeng Xie,Stuart H Orkin"
,Reprogramming of committed T cell progenitors to macrophages and dendritic cells by C/EBP alpha and PU.1 transcription factors.,Immunity,2006,"Catherine V Laiosa,Matthias Stadtfeld,Huafeng Xie,Luisa de Andres-Aguayo,Thomas Graf"
10.1016/S1074-7613(03)00299-1,"Hematopoietic stem cells expressing the myeloid lysozyme gene retain long-term, multilineage repopulation potential.",Immunity,2003,"Min Ye,Hiromi Iwasaki,Catherine V Laiosa,Matthias Stadtfeld,Huafeng Xie,Susanne Heck,Bjorn Clausen,Koichi Akashi,Thomas Graf"
