doi,标题,期刊,年份,作者
10.1101/2022.11.21.22282595,Temporal Associations of Plasma Levels of the Secreted Phospholipase A2 Family and Mortality in Severe COVID-19,,2022,"Eric Lu,Aki Hara,Shudong Sun,Brian Hallmark,Justin M. Snider,Michael C. Seeds,Joseph C. Watkins,Charles E. McCall,Hao Helen Zhang,Guang Yao,Floyd H. Chilton"
10.3389/fcell.2022.792719,Extracellular Fluid Flow Induces Shallow Quiescence Through Physical and Biochemical Cues,FRONTIERS IN CELL AND DEVELOPMENTAL BIOLOGY,2022,"Bi Liu,Xia Wang,Linan Jiang,Jianhua Xu,Yitshak Zohar,Guang Yao"
10.1097/01.hs9.0000850800.32486.b9,Pb1992: hispanic ethnicity as a strong predictor of poor response to induction therapy and asct in transplant eligible multiple myeloma patients,HemaSphere,2022,"I. Chineke,E. Lu,H. Win,A. Larsen,G. Yao,F. Chilton,K. Gowin"
10.3389/fcell.2022.984347,Editorial: Cellular dormancy—State determination and plasticity,Frontiers in Cell and Developmental Biology,2022,"Guang Yao,Jyotsna Dhawan,Alexis R. Barr"
10.1172/JCI149236,Group Iia Secreted Phospholipase A(2) Is Associated With The Pathobiology Leading To Covid-19 Mortality,JOURNAL OF CLINICAL INVESTIGATION,2021,"Justin M Snider,Jeehyun Karen You,Xia Wang,Ashley J Snider,Brian Hallmark,Manja M Zec,Michael C Seeds,Susan Sergeant,Laurel Johnstone,Qiuming Wang,Ryan Sprissler,Tara F Carr,Karen Lutrick,Sairam Parthasarathy,Christian Bime,Hao H Zhang,Chiara Luberto,Richard R Kew,Yusuf A Hannun,Stefano Guerra,Charles E McCall,Guang Yao,Maurizio Del Poeta,Floyd H Chilton"
10.1101/2021.02.22.21252237,Group IIA Secreted Phospholipase A 2 Plays a Central Role in the Pathobiology of COVID-19.,medRxiv : the preprint server for health sciences,2021,"Justin M Snider,Jeehyun Karen You,Xia Wang,Ashley J Snider,Brian Hallmark,Michael C Seeds,Susan Sergeant,Laurel Johnstone,Qiuming Wang,Ryan Sprissler,Hao Helen Zhang,Chiara Luberto,Richard R Kew,Yusuf A Hannun,Charles E McCall,Guang Yao,Maurizio Del Poeta,Floyd H Chilton"
10.1101/2021.07.30.454549,"Circadian Proteins Cry and Rev-erb Converge to Deepen Cellular Quiescence by Downregulating Cyclin D and Cdk4,6",,2021,"Xia Wang,Bi Liu,Qiong Pan,Jungeun Sarah Kwon,Matthew A. Miller,Kimiko Della Croce,Guang Yao"
10.1152/physiolgenomics.00068.2020,Cell dormancy plasticity: quiescence deepens into senescence through a dimmer switch.,PHYSIOLOGICAL GENOMICS,2020,"Kotaro Fujimaki,Guang Yao"
10.1007/s40484-019-0193-6,Quantifying E2F1 protein dynamics in single cells,Quantitative Biology,2020,"Bernard Mathey-Prevot,Bao-Tran Parker,Carolyn Im,Cierra Hong,Peng Dong,Guang Yao,Lingchong You"
10.1186/s12964-020-00652-4,Curcumin derivative C212 inhibits Hsp90 and eliminates both growing and quiescent leukemia cells in deep dormancy.,CELL COMMUNICATION AND SIGNALING,2020,"Bi Liu,Yunzhu Shen,Huafang Huang,Kimiko Della Croce,Min Wu,Yingjuan Fan,Yang Liu,Jianhua Xu,Guang Yao"
,Curcumin derivative C212 inhibits Hsp90 and eliminates both growing and quiescent leukemia cells in deep dormancy,Cell Communication and Signaling,2020,"Bi Liu,Yunzhu Shen,Huafang Huang,Kimiko Della Croce,Min Wu,Yingjuan Fan,Yang Liu,Jianhua Xu,Guang Yao"
10.1364/BOE.10.001638,Multi-wavelength quantitative polarization and phase microscope.,BIOMEDICAL OPTICS EXPRESS,2019,"Xiaobo Tian,Xingzhou Tu,Kimiko Della Croce,Guang Yao,Haijiang Cai,Neal Brock,Stanley Pau,Rongguang Liang"
10.1371/journal.pcbi.1006786,Spatial Clustering And Common Regulatory Elements Correlate With Coordinated Gene Expression,PLOS COMPUTATIONAL BIOLOGY,2019,"Jingyu Zhang,Hengyu Chen,Ruoyan Li,David A. Taft,Guang Yao,Fan Bai,Jianhua Xing"
10.1016/j.molcel.2018.10.022,ATP-Dependent Dynamic Protein Aggregation Regulates Bacterial Dormancy Depth Critical for Antibiotic Tolerance.,Molecular Cell,2019,"Yingying Pu,Yingxing Li,Xin Jin,Tian Tian,Qi Ma,Ziyi Zhao,Ssu-Yuan Lin,Zhanghua Chen,Binghui Li,Guang Yao,Mark C Leake,Chien-Jung Lo,Fan Bai"
10.1073/pnas.1915905116,Graded Regulation Of Cellular Quiescence Depth Between Proliferation And Senescence By A Lysosomal Dimmer Switch,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2019,"Kotaro Fujimaki,Ruoyan Li,Hengyu Chen,Kimiko Della Croce,Hao Helen Zhang,Jianhua Xing,Fan Bai,Guang Yao"
10.1101/413989,A lysosomal dimmer switch regulates cellular quiescence depth,bioRxiv,2018,"Kotaro Fujimaki,Ruoyan Li,Hengyu Chen,Kimiko Della Croce,Hao Helen Zhang,Jianhua Xing,Fan Bai,Guang Yao"
10.1080/23723556.2017.1403531,Crack The State Of Silence: Tune The Depth Of Cellular Quiescence For Cancer Therapy,MOLECULAR & CELLULAR ONCOLOGY,2018,"Kotaro Fujimaki,Guang Yao"
10.1007/978-1-4939-7371-2_20,Study Quiescence Heterogeneity By Coupling Single-Cell Measurements And Computer Modeling,CELLULAR QUIESCENCE: METHODS AND PROTOCOLS,2018,"Jungeun Sarah Kwon,Xia Wang,Guang Yao"
10.1038/s41467-017-00367-0,Exit From Quiescence Displays A Memory Of Cell Growth And Division,NATURE COMMUNICATIONS,2017,"Xia Wang,Kotaro Fujimaki,Geoffrey C Mitchell,Jungeun Sarah Kwon,Kimiko Della Croce,Chris Langsdorf,Hao Helen Zhang,Guang Yao"
10.18632/oncotarget.14634,Elimination of quiescent slow-cycling cells via reducing quiescence depth by natural compounds purified from Ganoderma lucidum.,ONCOTARGET,2017,"Jian Dai,Matthew A Miller,Nicholas J Everetts,Xia Wang,Peng Li,Ye Li,Jian-Hua Xu,Guang Yao"
10.1038/cdd.2017.12,Expression level is a key determinant of E2F1-mediated cell fate,Cell Death & Differentiation,2017,"Shats, Igor,Deng, Michael,Davidovich, Adam,Zhang, Carolyn,Kwon, Jungeun S,Manandhar, Dinesh,Gordân, Raluca,Yao, Guang,You, Lingchong"
10.1016/j.celrep.2017.09.007,Controlling Depth of Cellular Quiescence by an Rb-E2F Network Switch.,Cell Reports,2017,"Jungeun Sarah Kwon,Nicholas J Everetts,Xia Wang,Weikang Wang,Kimiko Della Croce,Jianhua Xing,Guang Yao"
10.3892/ol.2016.5059,Antitumor effects and mechanisms of Ganoderma extracts and spores oil.,Oncology letters,2016,"Chun Chen,Peng Li,Ye Li,Guan Yao,Jian-Hua Xu"
10.1186/s13045-014-0049-5,IMP3 signatures of fallopian tube: a risk for pelvic serous cancers.,JOURNAL OF HEMATOLOGY & ONCOLOGY,2014,"Yiying Wang,Yue Wang,Dake Li,Lingmin Li,Wenjing Zhang,Guang Yao,Zhong Jiang,Wenxin Zheng"
