doi,标题,期刊,年份,作者
10.1126/sciadv.ade8184,TWIST2-mediated chromatin remodeling promotes fusion-negative rhabdomyosarcoma,Science Advances,2023,"Akansha M. Shah,Lei Guo,Maria Gabriela Morales,Priscilla Jaichander,Kenian Chen,Huocong Huang,Karla Cano Hernandez,Lin Xu,Rhonda Bassel-Duby,Eric N. Olson,Ning Liu"
10.1016/j.ajhg.2023.07.013,GLA-modified RNA treatment lowers GB3 levels in iPSC-derived cardiomyocytes from Fabry-affected individuals.,American journal of human genetics,2023,"Menno Ter Huurne,Benjamin L Parker,Ning Qing Liu,Elizabeth Ling Qian,Celine Vivien,Kathy Karavendzas,Richard J Mills,Jennifer T Saville,Dad Abu-Bonsrah,Andrea F Wise,James E Hudson,Andrew S Talbot,Patrick F Finn,Paolo G V Martini,Maria Fuller,Sharon D Ricardo,Kevin I Watt,Kathy M Nicholls,Enzo R Porrello,David A Elliott"
10.1126/science.ade1105,Ablation of CaMKIIδ oxidation by CRISPR-Cas9 base editing as a therapy for cardiac disease.,"Science (New York, N.Y.)",2023,"Simon Lebek,Francesco Chemello,Xurde M Caravia,Wei Tan,Hui Li,Kenian Chen,Lin Xu,Ning Liu,Rhonda Bassel-Duby,Eric N Olson"
,Single-swap editing for the correction of common Duchenne muscular dystrophy mutations,Molecular Therapy - Nucleic Acids,2023,"Andreas C. Chai,Francesco Chemello,Hui Li,Takahiko Nishiyama,Kenian Chen,Yu Zhang,Efraín Sánchez-Ortiz,Adeeb Alomar,Lin Xu,Ning Liu,Rhonda Bassel-Duby,Eric N. Olson"
,Cryo-EM structures of Myomaker reveal a molecular basis for myoblast fusion.,Nature structural & molecular biology,2023,"Tao Long,Yichi Zhang,Linda Donnelly,Hui Li,Yu-Chung Pien,Ning Liu,Eric N Olson,Xiaochun Li"
,Ablation of CaMKIId oxidation by CRISPR-Cas9 base editing as a therapy for cardiac disease,SCIENCE,2023,"Simon Lebek,Francesco Chemello,Xurde M. Caravia,Wei Tan,Hui Li,Kenian Chen,Lin Xu,Ning Liu,Rhonda Bassel-Duby,Eric N. Olson"
,Elimination of CaMKIIδ Autophosphorylation by CRISPR-Cas9 Base Editing Improves Survival and Cardiac Function in Heart Failure in Mice.,Circulation,2023,"Simon Lebek,Xurde M Caravia,Francesco Chemello,Wei Tan,John R McAnally,Kenian Chen,Lin Xu,Ning Liu,Rhonda Bassel-Duby,Eric N Olson"
10.1038/s41591-022-02176-5,Base editing correction of hypertrophic cardiomyopathy in human cardiomyocytes and humanized mice.,Nature medicine,2023,"Andreas C Chai,Miao Cui,Francesco Chemello,Hui Li,Kenian Chen,Wei Tan,Ayhan Atmanli,John R McAnally,Yu Zhang,Lin Xu,Ning Liu,Rhonda Bassel-Duby,Eric N Olson"
10.1002/jbio.202200278,Light sheet imaging and interactive analysis of the cardiac structure in neonatal mice.,Journal of biophotonics,2023,"Oluwatofunmi Sodimu,Milad Almasian,Peiheng Gan,Sohail Hassan,Xinyuan Zhang,Ning Liu,Yichen Ding"
,Opposing gene regulatory programs governing myofiber development and maturation revealed at single nucleus resolution.,Nature communications,2023,"Matthieu Dos Santos,Akansha M Shah,Yichi Zhang,Svetlana Bezprozvannaya,Kenian Chen,Lin Xu,Weichun Lin,John R McAnally,Rhonda Bassel-Duby,Ning Liu,Eric N Olson"
