doi,标题,期刊,年份,作者
10.1038/s41388-020-1344-y,Inhibition of p53 DNA binding by a small molecule protects mice from radiation toxicity.,ONCOGENE,2020,"Qingliang Li,Rezaul M Karim,Mo Cheng,Mousumi Das,Lihong Chen,Chen Zhang,Harshani R Lawrence,Gary W Daughdrill,Ernst Schonbrunn,Haitao Ji,Jiandong Chen"
10.1177/1087057113499633,"High-throughput fluorescence anisotropy screen for inhibitors of the oncogenic mRNA binding protein, IMP-1.",JOURNAL OF BIOMOLECULAR SCREENING,2014,"Lily Mahapatra,Chengjian Mao,Neal Andruska,Chen Zhang,David J Shapiro"
10.1007/978-1-62703-284-1_27,Fluorescence anisotropy microplate assay to investigate the interaction of full-length steroid receptor coactivator-1a with steroid receptors.,"Methods in molecular biology (Clifton, N.J.)",2013,"Chen Zhang,Steven K Nordeen,David J Shapiro"
10.1177/1087057112442960,Evaluation of a luciferase-based reporter assay as a screen for inhibitors of estrogen-ERα-induced proliferation of breast cancer cells.,JOURNAL OF BIOMOLECULAR SCREENING,2012,"Neal Andruska,Chengjian Mao,Mathew Cherian,Chen Zhang,David J Shapiro"
10.1158/1538-7445.AM10-LB-5,Runx3 Targets Estrogen Receptor A For Proteasome-Mediated Degradation Suppressing Breast Cancer Tumorigenesis,CANCER RESEARCH,2010,"bo huang,zhaoxia qu,a r victor,chen zhang,xiaodong yang,kosei ito,gutian xiao,yoshiaki ito,david j shapiro,linfeng chen"
10.1002/jcp.21357,Fgf-21/Fgf-21 Receptor Interaction And Activation Is Determined By Beta Klotho,JOURNAL OF CELLULAR PHYSIOLOGY,2008,"Alexei Kharitonenkov,James D. Dunbar,Holly A. Bina,Stuart Bright,Julie S. Moyers,Chen Zhang,Liyun Ding,Radmila Micanovic,Sean F. Mehrbod,Michael D. Knierman,John E. Hale,Tamer Coskun,Armen B. Shanafelt"
10.1074/jbc.M709936200,A New Small Molecule Inhibitor of Estrogen Receptor α Binding to Estrogen Response Elements Blocks Estrogen-dependent Growth of Cancer Cells,Journal of Biological Chemistry,2008,"Chengjian Mao,Nicole M. Patterson,Milu T. Cherian,Irene O. Aninye,Chen Zhang,Jamie Bonéy Montoya,Jingwei Cheng,Karson S. Putt,Paul J. Hergenrother,Elizabeth M. Wilson,Ann M. Nardulli,Steven K. Nordeen,David J. Shapiro"
,A functional serine 118 phosphorylation site in estrogen receptor-alpha is required for down-regulation of gene expression by 17beta-estradiol and 4-hydroxytamoxifen.,Endocrinology,2007,"Jingwei Cheng,Chen Zhang,David J Shapiro"
10.1210/en.2007-0148,A Functional Serine 118 Phosphorylation Site in Estrogen Receptor-α Is Required for Down-Regulation of Gene Expression by 17β-Estradiol and 4-Hydroxytamoxifen,Endocrinology,2007,"Jingwei Cheng,Chen Zhang,David J. Shapiro"
10.1074/jbc.M607531200,In Vitro Fluorescence Anisotropy Analysis of the Interaction of Full-length SRC1a with Estrogen Receptors α and β Supports an Active Displacement Model for Coregulator Utilization,Journal of Biological Chemistry,2007,"Stanley Wang,Chen Zhang,Steven K Nordeen,David J Shapiro"
