doi,标题,期刊,年份,作者
10.1002/lpor.202200371,Simultaneous Manipulation of Line-Gap and Point-Gap Topologies in Non-Hermitian Lattices,LASER & PHOTONICS REVIEWS,2023,"Dongjue Liu,Zihao Wang,Zheyu Cheng,Hao Hu,Qijie Wang,Haoran Xue,Baile Zhang,Yu Luo"
10.1038/s41467-023-36418-y,Photonic Majorana quantum cascade laser with polarization-winding emission.,Nature communications,2023,"Song Han,Yunda Chua,Yongquan Zeng,Bofeng Zhu,Chongwu Wang,Bo Qiang,Yuhao Jin,Qian Wang,Lianhe Li,Alexander Giles Davies,Edmund Harold Linfield,Yidong Chong,Baile Zhang,Qi Jie Wang"
,Localization of chiral edge states by the non-Hermitian skin effect,,2023,"Gui-Geng Liu,Subhaskar Mandal,Peiheng Zhou,Xiang Xi,Rimi Banerjee,Yuan-Hang Hu,Minggui Wei,Maoren Wang,Qiang Wang,Zhen Gao,Hongsheng Chen,Yihao Yang,Yidong Chong,Baile Zhang"
10.1103/PhysRevLett.130.036601,Unsupervised Data-Driven Classification of Topological Gapped Systems with Symmetries.,Physical review letters,2023,"Yang Long,Baile Zhang"
,"Realization of a quadrupole topological insulator phase in a
  gyromagnetic photonic crystal",,2023,"Peiheng Zhou,Gui-Geng Liu,Zihao Wang,Yuan-Hang Hu,Shuwei Li,Qindong Xie,Yunpeng Zhang,Xiang Xi,Zhen Gao,Longjiang Deng,Baile Zhang"
,"Three-dimensional flat Landau levels in an inhomogeneous acoustic
  crystal",,2023,"Zheyu Cheng,Yi-jun Guan,Haoran Xue,Yong Ge,Ding Jia,Yang Long,Shou-qi Yuan,Hong-xiang Sun,Yidong Chong,Baile Zhang"
10.1021/acsphotonics.2c01367,Topology with memory in nonlinear driven-dissipative photonic lattices,,2023,"Subhaskar Mandal,Gui-Geng Liu,Baile Zhang"
,Higher-order topological polariton corner state lasing,Science Advances,2023,"Jinqi Wu,Sanjib Ghosh,Yusong Gan,Ying Shi,Subhaskar Mandal,Handong Sun,Baile Zhang,Timothy C. H. Liew,Rui Su,Qihua Xiong"
10.1002/adma.202210825,Higher-Order Topological States in Thermal Diffusion.,"Advanced materials (Deerfield Beach, Fla.)",2023,"Haotian Wu,Hao Hu,Xixi Wang,Zhixia Xu,Baile Zhang,Qi Jie Wang,Yuanjin Zheng,Jingjing Zhang,Tie Jun Cui,Yu Luo"
,"Dipole-matter interactions governed by the asymmetry of Maxwell
  equations",,2023,"Yuhan Zhong,Chan Wang,Chenxu Bian,Xuhuinan Chen,Jialin Chen,Xingjian Zhu,Hao Hu,Tony Low,Hongsheng Chen,Baile Zhang,Xiao Lin"
,Pseudomagnetic suppression of non-Hermitian skin effect,,2023,"Hau Tian Teo,Subhaskar Mandal,Yang Long,Haoran Xue,Baile Zhang"
,"Bulk-plasmon-mediated free-electron radiation beyond the conventional
  formation time",,2023,"Fuyang Tay,Xiao Lin,Xihang Shi,Hongsheng Chen,Ido Kaminer,Baile Zhang"
10.1103/PhysRevLett.130.103602,Continuum of Bound States in a Non-Hermitian Model.,Physical review letters,2023,"Qiang Wang,Changyan Zhu,Xu Zheng,Haoran Xue,Baile Zhang,Y. D. Chong"
,Interfacial Cherenkov radiation from ultralow-energy electrons.,Proceedings of the National Academy of Sciences of the United States of America,2023,"Zheng Gong,Jialin Chen,Ruoxi Chen,Xingjian Zhu,Chan Wang,Xinyan Zhang,Hao Hu,Yi Yang,Baile Zhang,Hongsheng Chen,Ido Kaminer,Xiao Lin"
,Free-electron Brewster radiation,,2023,"Ruoxi Chen,Jialin Chen,Zheng Gong,Xinyan Zhang,Xingjian Zhu,Yi Yang,Ido Kaminer,Hongsheng Chen,Baile Zhang,Xiao Lin"
10.1038/s41578-022-00465-6,Topological acoustics,Nature Reviews Materials,2023,"Xue, Haoran,Yang, Yihao,Zhang, Baile"
,"Topological phenomena at defects in acoustic, photonic and solid-state lattices",Nature Reviews Physics,2023,"Zhi-Kang Lin,Qiang Wang,Yang Liu,Haoran Xue,Baile Zhang,Yidong Chong,Jian-Hua Jiang"
,Beam splitter benefits from topological antichiral edge states,Opto-Electronic Advances,2023,"Gui-Geng Liu,Baile Zhang"
,Free-electron Brewster-transition radiation.,Science advances,2023,"Ruoxi Chen,Jialin Chen,Zheng Gong,Xinyan Zhang,Xingjian Zhu,Yi Yang,Ido Kaminer,Hongsheng Chen,Baile Zhang,Xiao Lin"
10.1103/PhysRevLett.128.116802,Projectively Enriched Symmetry and Topology in Acoustic Crystals,PHYSICAL REVIEW LETTERS,2022,"Haoran Xue,Zihao Wang,Yue-Xin Huang,Zheyu Cheng,Letian Yu,Y. X. Foo,Y. X. Zhao,Shengyuan A. Yang,Baile Zhang"
10.1103/PhysRevB.105.L100102,Non-Hermitian topological systems with eigenvalues that are always real,PHYSICAL REVIEW B,2022,"Yang Long,Haoran Xue,Baile Zhang"
10.1103/PhysRevB.106.134112,Anomalous Floquet non-Hermitian skin effect in a ring resonator lattice,,2022,"He Gao,Haoran Xue,Zhongming Gu,Linhu Li,Weiwei Zhu,Zhongqing Su,Jie Zhu,Baile Zhang,Y. D. Chong"
10.1103/PhysRevB.106.024301,Amplification of quantum signals by the non-Hermitian skin effect,PHYSICAL REVIEW B,2022,"Qiang Wang,Changyan Zhu,You Wang,Baile Zhang,Yidong Chong"
,Low-velocity-favored transition radiation,,2022,"Jialin Chen,Ruoxi Chen,Zheng Gong,Hao Hu,Yi Yang,Xinyan Zhang,Chan Wang,Ido Kaminer,Hongsheng Chen,Baile Zhang,Xiao Lin"
10.1093/nsr/nwab205,A metamaterial-free fluid-flow cloak,NATIONAL SCIENCE REVIEW,2022,"Fuyang Tay,Youming Zhang,Hongyi Xu,Honghui Goh,Yu Luo,Baile Zhang"
