doi,标题,期刊,年份,作者
10.1038/s41467-023-37710-7,Topological antichiral surface states in a magnetic Weyl photonic crystal,Nature Communications,2023,"Xiang Xi,Bei Yan,Linyun Yang,Yan Meng,Zhen-Xiao Zhu,Jing-Ming Chen,Ziyao Wang,Peiheng Zhou,Perry Ping Shum,Yihao Yang,Hongsheng Chen,Subhaskar Mandal,Gui-Geng Liu,Baile Zhang,Zhen Gao"
,"Stiefel-Whitney topological charges in a three-dimensional acoustic
  nodal-line crystal",Nature Communications,2023,"Haoran Xue,Z. Y. Chen,Zheyu Cheng,J. X. Dai,Yang Long,Y. X. Zhao,Baile Zhang"
10.1038/s41467-022-30909-0,Three-dimensional photonic topological insulator without spin-orbit coupling,NATURE COMMUNICATIONS,2022,"Minkyung Kim,Zihao Wang,Yihao Yang,Hau Tian Teo,Junsuk Rho,Baile Zhang"
10.1002/adom.202102702,Deterministic and Scalable Generation of Exciton Emitters in 2D Semiconductor Nanodisks,ADVANCED OPTICAL MATERIALS,2022,"Shun Feng,Chenji Zou,Chunxiao Cong,Jingzhi Shang,Jing Zhang,Yu Chen,Lishu Wu,Hongbo Zhang,Zumeng Huang,Weibo Gao,Baile Zhang,Wei Huang,Ting Yu"
10.1038/s41586-022-05077-2,Topological Chern vectors in three-dimensional photonic crystals,NATURE,2022,"Gui-Geng Liu,Zhen Gao,Qiang Wang,Xiang Xi,Yuan-Hang Hu,Maoren Wang,Chengqi Liu,Xiao Lin,Longjiang Deng,Shengyuan A Yang,Peiheng Zhou,Yihao Yang,Yidong Chong,Baile Zhang"
10.1103/PhysRevLett.129.254301,Observation of π/2 Modes in an Acoustic Floquet System.,Physical review letters,2022,"Zheyu Cheng,Raditya Weda Bomantara,Haoran Xue,Weiwei Zhu,Jiangbin Gong,Baile Zhang"
10.1038/s41467-021-22223-y,Non-Hermitian Route To Higher-Order Topology In An Acoustic Crystal,NATURE COMMUNICATIONS,2021,"He Gao,Haoran Xue,Zhongming Gu,Tuo Liu,Jie Zhu,Baile Zhang"
10.1038/s41699-020-00159-z,Confined transverse-electric graphene plasmons in negative refractive-index systems,NPJ 2D MATERIALS AND APPLICATIONS,2020,"Xinyan Zhang,Hao Hu,Xiao Lin,Lian Shen,Baile Zhang,Hongsheng Chen"
10.1038/s41567-019-0479-7,Audible Landau levels,NATURE PHYSICS,2019,Baile Zhang
10.1126/sciadv.1601192,Splashing transients of 2D plasmons launched by swift electrons,Science Advances,2017,"Xiao Lin,Ido Kaminer,Xihang Shi,Fei Gao,Zhaoju Yang,Zhen Gao,Hrvoje Buljan,John D. Joannopoulos,Marin Soljačić,Hongsheng Chen,Baile Zhang"
10.1039/c3tc00629h,Ab Initio Study Of Electronic And Optical Behavior Of Two-Dimensional Silicon Carbide,JOURNAL OF MATERIALS CHEMISTRY C,2013,"Xiao Lin,Shisheng Lin,Yang Xu,Ayaz Ali Hakro,Tawfique Hasan,Baile Zhang,Bin Yu,J. K. Luo,Erping Li,Hongsheng Chen"
10.1038/ncomms3652,Ray-optics cloaking devices for large objects in incoherent natural light.,NATURE COMMUNICATIONS,2013,"Hongsheng Chen,Bin Zheng,Lian Shen,Xianmin Zhang,Lian Shen,Huaping Wang,Nikolay I. Zheludev,Baile Zhang"
10.1039/c2tc00570k,Ab initio optical study of graphene on hexagonal boron nitride and fluorographene substrates,JOURNAL OF MATERIALS CHEMISTRY C,2013,"Xiao Lin,Yang Xu,Ayaz Ali Hakro,Tawfique Hasan,Ran Hao,Baile Zhang,Hongsheng Chen"
