doi,标题,期刊,年份,作者
,"The breakdown of both strange metal and superconducting states at a
  pressure-induced quantum critical point in iron-pnictide superconductors",,2023,"Shu Cai,Jinyu Zhao,Ni Ni,Jing Guo,Run Yang,Pengyu Wang,Jinyu Han,Sijin Long,Yazhou Zhou,Qi Wu,Xianggang Qiu,Tao Xiang,Robert J Cava,Liling Sun"
10.1016/j.scienta.2023.111940,"Effects of chromium and lead mixture on pea's growth, ultrastructure, translocation and their accumulation in organs",Scientia Horticulturae,2023,"Hong-sheng Wu,Guang-yao Yang,Jun Ding,Wei Tian,Yun-cheng Wu,Ming-chun Di,Ya-jun Duan,Yan-hui Li,Zheng Liu,Ying-cheng Feng,Zhen-wei Li,Yu Liu,Jia-yin Zhao,Meng-meng Wang,Na Wang,Ni Ni,Zheng-jun Shan"
10.1038/s41563-023-01493-5,Axion optical induction of antiferromagnetic order.,Nature materials,2023,"Jian-Xiang Qiu,Christian Tzschaschel,Junyeong Ahn,Anyuan Gao,Houchen Li,Xin-Yue Zhang,Barun Ghosh,Chaowei Hu,Yu-Xuan Wang,Yu-Fei Liu,Damien Bérubé,Thao Dinh,Zhenhao Gong,Shang-Wei Lien,Sheng-Chin Ho,Bahadur Singh,Kenji Watanabe,Takashi Taniguchi,David C. Bell,Hai-Zhou Lu,Arun Bansil,Hsin Lin,Tay-Rong Chang,Brian B. Zhou,Qiong Ma,Ashvin Vishwanath,Ni Ni,Su-Yang Xu"
,Quantum metric nonlinear Hall effect in a topological antiferromagnet,,2023,"Anyuan Gao,Yu-Fei Liu,Jian-Xiang Qiu,Barun Ghosh,Thaís V. Trevisan,Yugo Onishi,Chaowei Hu,Tiema Qian,Hung-Ju Tien,Shao-Wen Chen,Mengqi Huang,Damien Bérubé,Houchen Li,Christian Tzschaschel,Thao Dinh,Zhe Sun,Sheng-Chin Ho,Shang-Wei Lien,Bahadur Singh,Kenji Watanabe,Takashi Taniguchi,David C. Bell,Hsin Lin,Tay-Rong Chang,Chunhui Rita Du,Arun Bansil,Liang Fu,Ni Ni,Peter P. Orth,Qiong Ma,Su-Yang Xu"
,"Layer-dependent magnetism and spin fluctuations in atomically thin van
  der Waals magnet CrPS4",,2023,"Mengqi Huang,Jazmine C. Green,Jingcheng Zhou,Violet Williams,Senlei Li,Hanyi Lu,Dziga Djugba,Hailong Wang,Benedetta Flebus,Ni Ni,Chunhui Rita Du"
,Quantized resistance revealed at the criticality of the quantum anomalous Hall phase transitions,Nature Communications,2023,"Peng Deng,Peng Zhang,Christopher Eckberg,Su Kong Chong,Gen Yin,Eve Emmanouilidou,Xiaoyu Che,Ni Ni,Kang L. Wang"
10.1021/acs.nanolett.2c01680,Unconventional Pressure-Driven Metamagnetic Transitions in Topological van der Waals Magnets.,Nano letters,2022,"Tiema Qian,Eve Emmanouilidou,Chaowei Hu,Jazmine C Green,Igor I Mazin,Ni Ni"
10.2172/1845327,Exploring superconductivity at the edge of magnetic or structural instabilities,,2022,Ni  Ni
10.1088/1361-6463/ac3032,"Unusual dynamic susceptibility arising from soft ferromagnetic domains in MnBi8Te13 and Sb-doped MnBi2n Te3n+1 (n=2, 3)",JOURNAL OF PHYSICS D-APPLIED PHYSICS,2022,"Chaowei Hu,Makariy A. Tanatar,Ruslan Prozorov,Ni Ni"
,Exchange-biased quantum anomalous Hall effect,,2022,"Peng Zhang,Purnima P. Balakrishnan,Christopher Eckberg,Peng Deng,Tomohiro Nozaki,Sukong Chong,Patrick Quarterman,Megan E. Holtz,Brian B. Maranville,Lei Pan,Eve Emmanouilidou,Ni Ni,Masashi Sahashi,Alexander Grutter,Kang L. Wang"
10.1103/PhysRevB.106.045121,Magnetic dilution effect and topological phase transitions in (Mn1-xPbx)Bi2Te4,PHYSICAL REVIEW B,2022,"Tiema Qian,Yueh-Ting Yao,Chaowei Hu,Erxi Feng,Huibo Cao,Igor I. Mazin,Tay-Rong Chang,Ni Ni"
