doi,标题,期刊,年份,作者
10.1364/OME.412956,Enhanced Radiative And Thermal Properties From Surface Encapsulation Of Inas Nanowires,OPTICAL MATERIALS EXPRESS,2021,"Xinxin Li,Alexander C. Walhof,Weitao Dai,Ilke Arslan,Yuzi Liu,Fatima Toor,John P. Prineas"
10.1021/acs.nanolett.0c03349,Rewritable Nanoplasmonics Through Room-Temperature Phase Manipulations Of Vanadium Dioxide,NANO LETTERS,2020,"Dustin Schrecongost,Yinxiao Xiang,Jun Chen,Cuifeng Ying,Hai-Tian Zhang,Ming Yang,Prakash Gajurel,Weitao Dai,Roman Engel-Herbert,Cheng Cen"
10.1002/adfm.201905585,On-Demand Nanoscale Manipulations Of Correlated Oxide Phases,ADVANCED FUNCTIONAL MATERIALS,2019,"Dustin Schrecongost,Mina Aziziha,Hai‐Tian Zhang,I‐Cheng Tung,Joseph Tessmer,Weitao Dai,Qiang Wang,Roman Engel‐Herbert,Haidan Wen,Yoosuf N. Picard,Cheng Cen"
10.1109/RAPID.2019.8864364,Enhanced MWIR Led Performance with a Plasmonic Grating,2019 IEEE Research and Applications of Photonics in Defense Conference (RAPID),2019,"Weitao Dai,John P. Prineas"
10.1021/acs.nanolett.9b02712, Large and reconfigurable infrared photothermoelectric effect at oxide interfaces.,NANO LETTERS,2019,"Weitao Dai,Yi Liang,Ming Yang,Dustin Schrecongost,Prakash Gajurel,Hyungwoo Lee,Jung-Woo Lee,Jun Chen,Chang-Beom Eom,Cheng Cen"
10.1021/acs.nanolett.9b00517,"Carrier Recombination in the Base, Interior, and Surface of InAs/InAlAs Core-Shell Nanowires Grown on Silicon.",NANO LETTERS,2019,"Kailing Zhang,Xinxin Li,Weitao Dai,Fatima Toor,J P Prineas"
10.1364/OME.9.003753,Light management on silicon utilizing localized surface plasmon resonance of electroless plated silver nanoparticles,OPTICAL MATERIALS EXPRESS,2019,"Bingtao Gao,Wenqi Duan,Aaron D. Silva,Alexander C. Walhof,Weitao Dai,Fatima Toor"
,Manipulating hot-electron based photovoltage generations at oxide interfaces,Bulletin of the American Physical Society,2018,"Dustin Schrecongost,Weitao Dai,Ming Yang,Hyungwoo Lee,Jung-Woo Lee,Chang-Beom Eom,Cheng Cen"
,Programming spatial light modulations using mobile electrons,Bulletin of the American Physical Society,2018,"Ming Yang,Weitao Dai,Hyungwoo Lee,Jung-Woo Lee,Chang-Beom Eom,Cheng Cen"
,Vacancy Controlled Contact Friction in Graphene,Bulletin of the American Physical Society,2018,"Prakash Gajurel,Min A. Kim,Qiang Wang,Weitao Dai,Haitao Liu,Cheng Cen"
,Optical properties of structurally modified VO$_{2}$,Bulletin of the American Physical Society,2017,"Ming Yang,Mina Aziziha,Logan Lang,Weitao Dai,Cheng Cen"
10.1002/adfm.201702832,Vacancy-Controlled Contact Friction in Graphene,ADVANCED FUNCTIONAL MATERIALS,2017,"Prakash Gajurel,Mina kim,Qiang Wang,Weitao Dai,Haitao Liu,Cheng Cen"
10.1002/adfm.201702832,Vacancy‐Controlled Contact Friction in Graphene,Advanced Functional Materials,2017,"Prakash Gajurel,Mina Kim,Qiang Wang,Weitao Dai,Haitao Liu,Cheng Cen"
10.1021/acs.nanolett.7b02508,Tailoring the Doping Mechanisms at Oxide Interfaces in Nanoscale,NANO LETTERS,2017,"Weitao Dai,Ming Yang,Hyungwoo Lee,Jung-Woo Lee,Chang-Beom Eom,Cheng Cen"
10.1021/acs.nanolett.6b00421,Tailoring LaAlO3/SrTiO3 Interface Metallicity by Oxygen Surface Adsorbates,NANO LETTERS,2016,"Weitao Dai,Sanjay Adhikari,A. C. Garcia-Castro,Aldo H. Romero,Hyungwoo Lee,Jung-Woo Lee,Sangwoo Ryu,Chang-Beom Eom,Cheng Cen"
,Characterization of the plasmon mode of graphene/LaAlO$_3$/SrTiO$_3$ system,,2014,"weitao dai,sangwoo ryu,changbeom eom,cheng cen"
10.1117/12.884550,Inassb Detectors For Visible To Mwir High Operating Temperature Applications,INFRARED TECHNOLOGY AND APPLICATIONS XXXVII,2011,"arvind i dsouza,a c ionescu,michael m salcido,enders a robinson,larry c dawson,d okerlund,t j de lyon,r d rajavel,hasan sharifi,daniel yap,m l beliciu,sohan s mehta,wei dai,g chen,nibir k dhar,priyalal s wijewarnasuriya"
10.1103/PhysRevB.82.045427,Control Of Beaming Angles Via A Subwavelength Metallic Slit Surrounded By Grooves,PHYSICAL REVIEW B,2010,"W. Dai,C. Soukoulis"
10.1103/PhysRevB.80.155407,Theoretical Analysis Of The Surface Wave Along A Metal-Dielectric Interface,PHYSICAL REVIEW B,2009,"W. Dai,C. Soukoulis"
10.1103/PhysRevB.78.073109,Experimental Verification Of Quantized Conductance For Microwave Frequencies In Photonic Crystal Waveguides,PHYSICAL REVIEW B,2008,"W. Dai,B. Wang,C. M. Soukoulis,C. Soukoulis"
10.1063/1.3025818,Converging And Wave Guiding Of Gaussian Beam By Two-Layer Dielectric Rods,APPLIED PHYSICS LETTERS,2008,"W. Dai,C. M. Soukoulis,Ames IA"
10.1103/PhysRevB.74.195104,Surface Waves In Photonic Crystal Slabs,PHYSICAL REVIEW B,2006,"Bingnan Wang,Weitao Dai,Anan Fang,Lei Zhang,Gary Tuttle,C. M. Soukoulis,Costas M. Soukoulis"
