doi,标题,期刊,年份,作者
10.1038/s41563-023-01492-6,Coherent antiferromagnetic spintronics.,Nature materials,2023,"Jiahao Han,Ran Cheng,Luqiao Liu,Hideo Ohno,Shunsuke Fukami"
10.1038/s41467-023-37505-w,Hybrid magnonics in hybrid perovskite antiferromagnets,Nature Communications,2023,"Comstock, Andrew H.,Chou, Chung-Tao,Wang, Zhiyu,Wang, Tonghui,Song, Ruyi,Sklenar, Joseph,Amassian, Aram,Zhang, Wei,Lu, Haipeng,Liu, Luqiao,Beard, Matthew C.,Sun, Dali"
10.1103/PhysRevLett.128.217201,Tunable Magnonic Chern Bands and Chiral Spin Currents in Magnetic Multilayers,PHYSICAL REVIEW LETTERS,2022,"Zhongqiang Hu,Liang Fu,Luqiao Liu"
10.1063/5.0102039,Spin-generation in magnetic Weyl semimetal Co<sub>2</sub>MnGa across varying degree of chemical order,Applied Physics Letters,2022,"Taqiyyah S. Safi,Chung-Tao Chou,Justin T. Hou,Jiahao Han,Luqiao Liu"
,"Coherent magnon-induced domain wall motion in a magnetic insulator
  channel",,2022,"Yabin Fan,Miela J. Gross,Takian Fakhrul,Joseph Finley,Justin T. Hou,Luqiao Liu,Caroline A. Ross"
,"Observation of the unidirectional magnetoresistance in antiferromagnetic
  insulator Fe2O3/Pt bilayers",,2022,"Yihong Fan,Pengxiang Zhang,Jiahao Han,Yang Lv,Luqiao Liu,Jian-Ping Wang"
10.1103/PhysRevLett.129.017203,Control of Ne?el Vector with Spin-Orbit Torques in an Antiferromagnetic Insulator with Tilted Easy Plane,PHYSICAL REVIEW LETTERS,2022,"Pengxiang Zhang,Chung-Tao Chou,Hwanhui Yun,Brooke C. McGoldrick,Justin T. Hou,K. Andre Mkhoyan,Luqiao Liu"
10.1103/PhysRevApplied.17.014006,Ising Machine Based on Electrically Coupled Spin Hall Nano-Oscillators,PHYSICAL REVIEW APPLIED,2022,"Brooke C. McGoldrick,Jonathan Z. Sun,Luqiao Liu"
10.1021/acs.nanolett.1c02575,Nonreciprocal Transmission Of Incoherent Magnons With Asymmetric Diffusion Length,NANO LETTERS,2021,"Jiahao Han,Yabin Fan,Brooke C McGoldrick,Joseph Finley,Justin T Hou,Pengxiang Zhang,Luqiao Liu"
10.1063/5.0073537,Current-induced switching of a ferromagnetic Weyl semimetal Co<sub>2</sub>MnGa,Applied Physics Letters,2021,"Jiahao Han,Brooke C. McGoldrick,Chung-Tao Chou,Taqiyyah S. Safi,Justin T. Hou,Luqiao Liu"
10.1103/PhysRevMaterials.5.084408,Magnetism And Spin Transport In Platinum/Scandium-Substituted Terbium Iron Garnet Heterostructures,PHYSICAL REVIEW MATERIALS,2021,"Bharat Khurana,Jackson J. Bauer,Pengxiang Zhang,Taqiyyah Safi,Chung-Tao Chou,Justin T. Hou,Takian Fakhrul,Yabin Fan,Luqiao Liu,Caroline A. Ross"
10.1109/TQE.2021.3057799,Quantum Engineering With Hybrid Magnonic Systems and Materials <italic>(Invited Paper)</italic>,IEEE Transactions on Quantum Engineering,2021,"David D. Awschalom,Chunhui Rita Du,Rui He,F. Joseph Heremans,Axel Hoffmann,Justin Hou,Hidekazu Kurebayashi,Yi Li,Luqiao Liu,Valentine Novosad,Joseph Sklenar,Sean E. Sullivan,Dali Sun,Hong Tang,Vasyl Tyberkevych,Cody Trevillian,Adam W. Tsen,Leah R. Weiss,Wei Zhang,Xufeng Zhang,Liuyan Zhao,Ch. W. Zollitsch"
10.1109/TMAG.2021.3078583,Roadmap of Spin–Orbit Torques,IEEE Transactions on Magnetics,2021,"Qiming Shao,Peng Li,Luqiao Liu,Hyunsoo Yang,Shunsuke Fukami,Armin Razavi,Hao Wu,Kang L. Wang,Frank Freimuth,Yuriy Mokrousov,Mark D. Stiles,Satoru Emori,Axel Hoffmann,Johan Åkerman,Kaushik Roy,Jian-Ping Wang,See-Hun Yang,Kevin Garello,Wei Zhang"
10.1063/5.0048619,Topological Insulators For Efficient Spin-Orbit Torques,APL MATERIALS,2021,"Jiahao Han,Luqiao Liu"
10.1002/adma.202008555,Resonant Spin Transmission Mediated By Magnons In A Magnetic Insulator Multilayer Structure,ADVANCED MATERIALS,2021,"Yabin Fan,Joseph Finley,Jiahao Han,Megan E Holtz,Patrick Quarterman,Pengxiang Zhang,Taqiyyah S Safi,Justin T Hou,Alexander J Grutter,Luqiao Liu"
10.1103/PhysRevApplied.16.034034,Proposal For A Spin-Torque-Oscillator Maser Enabled By Microwave Photon-Spin Coupling,PHYSICAL REVIEW APPLIED,2021,"Justin T. Hou,Pengxiang Zhang,Luqiao Liu"
10.1063/5.0073537,Current-induced switching of a ferromagnetic Weyl semimetal Co2MnGa,APPLIED PHYSICS LETTERS,2021,"Jiahao Han,Brooke C. McGoldrick,Chung-Tao Chou,Taqiyyah S. Safi,Justin T. Hou,Luqiao Liu"
10.48550/arXiv.2104.11459,Roadmap of spin-orbit torques.,IEEE transactions on magnetics,2021,"Qiming Shao,Peng Li,Luqiao Liu,Hyunsoo Yang,Shunsuke Fukami,Armin Razavi,Hao Wu,Kang Wang,Frank Freimuth,Yuriy Mokrousov,Mark D Stiles,Satoru Emori,Axel Hoffmann,Johan Åkerman,Kaushik Roy,Jian-Ping Wang,See-Hun Yang,Kevin Garello,Wei Zhang"
,Exotic coupling in garnet-ferromagnet heterostructures,Bulletin of the American Physical Society,2020,"Patrick Quarterman,Yabin Fan,Luqiao Liu,Alexander Grutter"
,Manipulation of magnetic coupling and magnon transport in magnetic insulator-ferromagnetic metal hybrid structures,Bulletin of the American Physical Society,2020,"Yabin Fan,Patrick Quarterman,Joseph Finley,Alexander Grutter,Luqiao Liu"
10.1103/PhysRevApplied.13.061002,Manipulation of coupling and magnon transport in magnetic  metal-insulator hybrid structures,PHYSICAL REVIEW APPLIED,2020,"Fan Yabin,Quarterman Patrick,Finley Joseph,Han Jiahao,Zhang Pengxiang,Hou Justin T.,Stiles Mark D.,Grutter Alexander J.,Liu Luqiao"
10.1021/acsaelm.0c00384,Direct Evidence of Spin Transfer Torque on Two-Dimensional Cobalt-Doped MoS2 Ferromagnetic Material,ACS APPLIED ELECTRONIC MATERIALS,2020,"Meng Huang,Junxiang Xiang,Chao Feng,Haoliang Huang,Ping Liu,Yanfei Wu,Alpha T. N'Diaye,Gong Chen,Jinghua Liang,Hongxin Yang,Jing Liang,Xudong Cui,Jinxing Zhang,Yalin Lu,Kaihui Liu,Dazhi Hou,Luqiao Liu,Bin Xiang"
10.1038/s41467-020-14388-9,Variable spin-charge conversion across metal-insulator transition.,NATURE COMMUNICATIONS,2020,"Taqiyyah S Safi,Pengxiang Zhang,Yabin Fan,Zhongxun Guo,Jiahao Han,Ethan R Rosenberg,Caroline Ross,Yaraslov Tserkovnyak,Luqiao Liu"
10.1038/s41565-020-0703-8,Birefringence-like spin transport via linearly polarized antiferromagnetic magnons.,NATURE NANOTECHNOLOGY,2020,"Jiahao Han,Pengxiang Zhang,Zhen Bi,Yabin Fan,Taqiyyah S Safi,Junxiang Xiang,Joseph Finley,Liang Fu,Ran Cheng,Luqiao Liu"
10.1021/acsaelm.0c00384,Direct Evidence of Spin Transfer Torque on Two-Dimensional Cobalt-Doped MoS<sub>2</sub> Ferromagnetic Material,ACS Applied Electronic Materials,2020,"Meng Huang,Junxiang Xiang,Chao Feng,Haoliang Huang,Ping Liu,Yanfei Wu,Alpha T. N’Diaye,Gong Chen,Jinghua Liang,Hongxin Yang,Jing Liang,Xudong Cui,Jinxing Zhang,Yalin Lu,Kaihui Liu,Dazhi Hou,Luqiao Liu,Bin Xiang"
10.1021/acs.nanolett.9b04200,Magnetic domain wall based synaptic and activation function generator for neuromorphic accelerators.,NANO LETTERS,2020,"Saima Siddiqui,Sumit Dutta,Astera Tang,Luqiao Liu,Caroline A Ross,Marc A Baldo"
10.1063/1.5144076,Spintronics With Compensated Ferrimagnets,APPLIED PHYSICS LETTERS,2020,"Joseph Finley,Luqiao Liu"
,Quantitative Study on Current-Induced Effects in an Antiferromagnet Insulator/Pt Bilayer Film,Bulletin of the American Physical Society,2020,"Pengxiang Zhang,Luqiao Liu"
,Spin Orbit Torque Switching Mediated by Antiferromagnetic Insulators,Bulletin of the American Physical Society,2019,"Hailong Wang,Joseph Finley,Pengxiang Zhang,Jiahao Han,Justin Hou,Luqiao Liu"
10.1103/PhysRevApplied.11.044070,Spin-Orbit-Torque Switching Mediated by an Antiferromagnetic Insulator,PHYSICAL REVIEW APPLIED,2019,"Hailong Wang,Joseph Finley,Pengxiang Zhang,Jiahao Han,Justin T. Hou,Luqiao Liu"
10.1063/1.5097699,Large Spin-Orbit Torque Observed In Epitaxial Sriro3 Thin Films,APPLIED PHYSICS LETTERS,2019,"Hailong Wang,Keng-Yuan Meng,Pengxiang Zhang,Justin T. Hou,Joseph Finley,Jiahao Han,Fengyuan Yang,Luqiao Liu"
10.1103/PhysRevLett.123.107702,Strong Coupling between Microwave Photons and Nanomagnet Magnons,PHYSICAL REVIEW LETTERS,2019,"Justin T. Hou,Luqiao Liu"
,Non-Spin Torque Origin of Current-Induced Switching in an  Antiferromagnet Insulator/Pt Bilayer Film,,2019,"Zhang Pengxiang,Finley Joseph,Safi Taqiyyah,Han Jiahao,Liu Luqiao"
10.1063/1.5121165,Temperature-Dependent Spin Hall Effect Tunneling Spectroscopy In Platinum,APPLIED PHYSICS LETTERS,2019,"Keita Nakagawara,Shinya Kasai,Jeongchun Ryu,Seiji Mitani,Luqiao Liu,Makoto Kohda,Junsaku Nitta"
10.1063/1.5097699,Large spin-orbit torque observed in epitaxial SrIrO<sub>3</sub> thin films,Applied Physics Letters,2019,"Hailong Wang,Keng-Yuan Meng,Pengxiang Zhang,Justin T. Hou,Joseph Finley,Jiahao Han,Fengyuan Yang,Luqiao Liu"
10.1126/science.aau2610,Mutual Control Of Coherent Spin Waves And Magnetic Domain Walls In A Magnonic Device,SCIENCE,2019,"Jiahao Han,Pengxiang Zhang,Justin Hou,Luqiao Liu"
10.1103/PhysRevLett.123.047204,Gigahertz frequency antiferromagnetic resonance and strong magnon-magnon  coupling in the layered crystal CrCl3,PHYSICAL REVIEW LETTERS,2019,"MacNeill David,Hou Justin T.,Klein Dahlia R.,Zhang Pengxiang,Jarillo-Herrero Pablo,Liu Luqiao"
10.1103/physrevlett.123.047204,Gigahertz frequency antiferromagnetic resonance and strong magnon-magnon coupling in the layered crystal CrCl 3,Bulletin of the American Physical Society,2019,"Justin Hou,David MacNeill,Dahlia Klein,Pengxiang Zhang,Pablo Jarillo-Herrero,Luqiao Liu"
10.1103/PhysRevLett.123.247206,Quantitative Study on Current-Induced Effect in an Antiferromagnet Insulator/Pt Bilayer Film.,PHYSICAL REVIEW LETTERS,2019,"Pengxiang Zhang,Joseph Finley,Taqiyyah Safi,Luqiao Liu"
10.1063/1.5111469,Electrical Manipulation Of Spin Pumping Signal Through Nonlocal Thermal Magnon Transport,APPLIED PHYSICS LETTERS,2019,"Yabin Fan,Justin T. Hou,Joseph Finley,Se Kwon Kim,Yaroslav Tserkovnyak,Luqiao Liu"
10.1002/adma.201805361,Spin-Orbit Torque Switching in a Nearly Compensated Heusler Ferrimagnet.,ADVANCED MATERIALS,2019,"Joseph Finley,Chia-Hao Lee,Pinshane Y Huang,Luqiao Liu"
10.1103/PhysRevLett.121.057701,Current-Induced Domain Wall Motion in a Compensated Ferrimagnet.,PHYSICAL REVIEW LETTERS,2018,"Saima A Siddiqui,Jiahao Han,Joseph T Finley,Caroline A Ross,Luqiao Liu"
,Magnetic Switching with Topological Insulator and Compensated Ferrimagnet,Bulletin of the American Physical Society,2018,Luqiao Liu
,Current-induced magnetic domain wall motion in compensated ferrimagnet,Bulletin of the American Physical Society,2018,"Saima Siddiqui,Jiahao Han,Joseph Finley,C. A. Ross,Luqiao Liu"
,Magnetic Switching with Topological Insulator and Compensated Ferrimagnet,Bulletin of the American Physical Society,2018,Luqiao Liu
,Spin-Orbit Torque Efficiency in Compensated Ferrimagnetic Cobalt-Terbium Alloys,Bulletin of the American Physical Society,2017,"Joseph Finley,Luqiao Liu"
10.1103/PhysRevLett.119.077702,Room-Temperature Spin-Orbit Torque Switching Induced by a Topological Insulator.,PHYSICAL REVIEW LETTERS,2017,"Jiahao Han,A Richardella,Saima A Siddiqui,Joseph Finley,N Samarth,Luqiao Liu"
