doi,标题,期刊,年份,作者
10.1016/j.mri.2023.03.015,In vivo detection of penetrating arteriole alterations in cerebral white matter in patients with diabetes with 7 T MRI.,Magnetic resonance imaging,2023,"Xiaopeng Zong,Jordan Jimenez,Tengfei Li,William J Powers"
,In vivo detection of penetrating arteriole alterations in cerebral white matter in patients with diabetes with 7 T MRI,Magnetic Resonance Imaging,2023,"Xiaopeng Zong,Jordan Jimenez,Tengfei Li,William J. Powers"
10.3389/fendo.2021.782194,"Exercise Increases Bone in SEIPIN Deficient Lipodystrophy, Despite Low Marrow Adiposity",FRONTIERS IN ENDOCRINOLOGY,2022,"Cody McGrath,Sarah E Little-Letsinger,Jeyantt Srinivas Sankaran,Buer Sen,Zhihui Xie,Martin A Styner,Xiaopeng Zong,Weiqin Chen,Janet Rubin,Eric L Klett,Rosalind A Coleman,Maya Styner"
10.1002/mrm.29364,Prospective motion correction and automatic segmentation of penetrating arteries in phase contrast MRI at 7 T,MAGNETIC RESONANCE IN MEDICINE,2022,"Julia Moore,Jordan Jimenez,Weili Lin,William Powers,Xiaopeng Zong"
10.1002/mrm.28847,Effects of motion and retrospective motion correction on the visualization and quantification of perivascular spaces in ultrahigh resolution T2-weighted images at 7T,MAGNETIC RESONANCE IN MEDICINE,2021,"Xiaopeng Zong,Soham Nanavati,Sheng-Che Hung,Tengfei Li,Weili Lin"
10.4085/1062-6050-0458.20,Changes in Infrapatellar Fat Pad Volume 6 to 12 Months After Anterior Cruciate Ligament Reconstruction and Associations With Patient-Reported Knee Function,JOURNAL OF ATHLETIC TRAINING,2021,"Kyle G Wallace,Steven J Pfeiffer,Laura S Pietrosimone,Matthew S Harkey,Xiaopeng Zong,Daniel Nissman,Ganesh M Kamath,R Alexander Creighton,Jeffrey T Spang,J Troy Blackburn,Brian Pietrosimone"
10.1007/978-3-030-59713-9_16,Acceleration of High-Resolution 3D MR Fingerprinting via a Graph Convolutional Network,medical image computing and computer-assisted intervention,2020,"Feng Cheng,Yong Chen,Xiaopeng Zong,Weili Lin,Dinggang Shen,Pew Thian Yap"
10.1016/j.neuroimage.2020.116978,"Morphology of Perivascular Spaces and Enclosed Blood Vessels in Young to Middle-Aged Healthy Adults at 7T: Dependences on Age, Brain Region, and Breathing Gas.",NeuroImage,2020,"Xiaopeng Zong,Chunfeng Lian,Jordan Jimenez,Koji Yamashita,Dinggang Shen,Weili Lin"
10.1016/j.neuroimage.2019.03.059,Quantitative phase contrast MRI of penetrating arteries in centrum semiovale at 7T.,NeuroImage,2019,"Xiaopeng Zong,Weili Lin"
10.1109/ISBI.2019.8759167,Frnet: Flattened Residual Network For Infant Mri Skull Stripping,2019 IEEE 16TH INTERNATIONAL SYMPOSIUM ON BIOMEDICAL IMAGING (ISBI 2019),2019,"Qian Zhang,Li Wang,Xiaopeng Zong,Weili Lin,Gang Li,Dinggang Shen"
10.1109/ACCESS.2019.2896911,Enhancement of Perivascular Spaces Using Densely Connected Deep Convolutional Neural Network.,IEEE ACCESS,2019,"Euijin Jung,Philip Chikontwe,Xiaopeng Zong,Weili Lin,Dinggang Shen,Sang Hyun Park"
10.1101/293308,Velocity and Diameter Measurements of Penetrating Arteries by Model Based Analysis of Complex Difference Images in Phase Contrast MRI,bioRxiv,2018,"Xiaopeng Zong,Weili Lin"
10.1016/j.media.2018.02.009,Multi-channel multi-scale fully convolutional network for 3D perivascular spaces segmentation in 7T MR images.,Medical Image Analysis,2018,"Chunfeng Lian,Jun Zhang,Mingxia Liu,Xiaopeng Zong,Sheng-Che Hung,Weili Lin,Dinggang Shen"
10.1007/978-3-030-00320-3_3,Enhancement Of Perivascular Spaces Using A Very Deep 3d Dense Network,PREDICTIVE INTELLIGENCE IN MEDICINE,2018,"Euijin Jung,Xiaopeng Zong,Weili Lin,Dinggang Shen,Sang Hyun Park"
10.1016/j.ins.2018.06.028,Kernel Wiener filtering model with low-rank approximation for image denoising.,Information Sciences,2018,"Yongqin Zhang,Jinsheng Xiao,Jinye Peng,Yu Ding,Jiaying Liu,Zongming Guo,Xiaopeng Zong"
10.1002/mrm.26596,Investigating magnetic susceptibility of human knee joint at 7 Tesla.,MAGNETIC RESONANCE IN MEDICINE,2017,"Hongjiang Wei,Russell Dibb,Kyle Decker,Nian Wang,Yuyao Zhang,Xiaopeng Zong,Weili Lin,Daniel B Nissman,Chunlei Liu"
10.1038/s41598-017-09336-5,Enhancement Of Perivascular Spaces In 7 T Mr Image Using Haar Transform Of Non-Local Cubes And Block-Matching Filtering,SCIENTIFIC REPORTS,2017,"Yingkun Hou,Sang Hyun Park,Qian Wang,Jun Zhang,Xiaopeng Zong,Weili Lin,Dinggang Shen"
10.1109/TBME.2016.2638918,Structured Learning for 3-D Perivascular Space Segmentation Using Vascular Features.,IEEE Transactions on Biomedical Engineering,2017,"Jun Zhang,Yaozong Gao,Sang Hyun Park,Xiaopeng Zong,Weili Lin,Dinggang Shen"
10.1002/jbmr.3159,Exercise Decreases Marrow Adipose Tissue Through ß-Oxidation in Obese Running Mice.,JOURNAL OF BONE AND MINERAL RESEARCH,2017,"Maya Styner,Gabriel M Pagnotti,Cody McGrath,Xin Wu,Buer Sen,Gunes Uzer,Zhihui Xie,Xiaopeng Zong,Martin A Styner,Clinton T Rubin,Janet Rubin"
10.1109/TMI.2016.2549918,Reconstruction of 7T-like Images from 3T MRI,IEEE Trans. Med. Imaging,2016,"K. Bahrami,F. Shi,x. zong,H. Won Shin"
10.1007/978-3-319-47157-0_8,Segmentation of Perivascular Spaces Using Vascular Features and Structured Random Forest from 7T MR Image.,Lecture Notes in Computer Science,2016,"Jun Zhang,Yaozong Gao,Sang Hyun Park,Xiaopeng Zong,Weili Lin,Dinggang Shen"
10.1016/j.neuroimage.2016.03.076,Segmentation of perivascular spaces in 7T MR image using auto-context model with orientation-normalized features.,NeuroImage,2016,"Sang Hyun Park,Xiaopeng Zong,Yaozong Gao,Weili Lin,Dinggang Shen"
