doi,标题,期刊,年份,作者
,Efficient continuous wave and broad tunable lasers with the Tm:GdScO<sub>3</sub> crystal,Optics Letters,2023,"Qingsong Song,Ning Zhang,Jian Liu,Xinyu Qian,Chaoyi Zhang,Yanyan Xue,Yongguang Zhao,Xiaodong Xu,Kheirreddine Lebbou,Jun Xu"
,Absence of nematic instability in the kagome metal CsV$_3$Sb$_5$,,2023,"Zhaoyu Liu,Yue Shi,Qianni Jiang,Elliott W. Rosenberg,Jonathan M. DeStefano,Jinjin Liu,Chaowei Hu,Yuzhou Zhao,Zhiwei Wang,Yugui Yao,David Graf,Pengcheng Dai,Jihui Yang,Xiaodong Xu,Jiun-Haw Chu"
,Library of intrinsic defects in β-Ga2O3: First-principles studies,Materials Today Communications,2023,"Yuanting Huang,Xiaodong Xu,Jianqun Yang,Xueqiang Yu,Yadong Wei,Tao Ying,Zhongli Liu,Yuhang Jing,Weiqi Li,Xingji Li"
,"Strain Tuning Three-state Potts Nematicity in a Correlated
  Antiferromagnet",,2023,"Kyle Hwangbo,John Cenker,Elliott Rosenberg,Qianni Jiang,Haidan Wen,Di Xiao,Jiun-Haw Chu,Xiaodong Xu"
10.1364/OL.484843,High-power femtosecond regenerative amplifier based on Yb:CaYAlO 4 dual-crystal configuration.,Optics letters,2023,"Jiajun Song,Yujie Peng,Liya Shen,Jianyu Sun,Guangxin Luo,Xiaodong Xu,Jun Xu,Yuxin Leng"
10.1038/s41563-023-01520-5,Ambipolar charge-transfer graphene plasmonic cavities,Nature Materials,2023,"Kim, Brian S. Y.,Sternbach, Aaron J.,Choi, Min Sup,Sun, Zhiyuan,Ruta, Francesco L.,Shao, Yinming,McLeod, Alexander S.,Xiong, Lin,Dong, Yinan,Chung, Ted S.,Rajendran, Anjaly,Liu, Song,Nipane, Ankur,Chae, Sang Hoon,Zangiabadi, Amirali,Xu, Xiaodong,Millis, Andrew J.,Schuck, P. James,Dean, Cory. R.,Hone, James C.,Basov, D. N."
,"Revealing the conduction band and pseudovector potential in 2D moir\'e
  semiconductors",,2023,"Abigail J. Graham,Heonjoon Park,Paul V. Nguyen,James Nunn,Viktor Kandyba,Mattia Cattelan,Alessio Giampietri,Alexei Barinov,Kenji Watanabe,Takashi Taniguchi,Anton Andreev,Mark Rudner,Xiaodong Xu,Neil R. Wilson,David H. Cobden"
10.1038/s41563-023-01496-2,Intercell moiré exciton complexes in electron lattices.,Nature materials,2023,"Xi Wang,Xiaowei Zhang,Jiayi Zhu,Heonjoon Park,Yingqi Wang,Chong Wang,William Holtzmann,Takashi Taniguchi,Kenji Watanabe,Jiaqiang Yan,Daniel R. Gamelin,Wang Yao,Di Xiao,Ting Cao,Xiaodong Xu"
,"Chirality selective magnon-phonon hybridization and magnon-induced
  chiral phonons in an atomically thin antiferromagnet",,2023,"Jun Cui,Emil Vinas Bostroem,Mykhaylo Ozerov,Fangliang Wu,Qianni Jiang,Jiun-Haw Chu,Changcun Li,Fucai Liu,Xiaodong Xu,Angel Rubio,Qi Zhang"
,"Programming Correlated Magnetic States via Gate Controlled Moir\'e
  Geometry",,2023,"Eric Anderson,Feng-Ren Fan,Jiaqi Cai,William Holtzmann,Takashi Taniguchi,Kenji Watanabe,Di Xiao,Wang Yao,Xiaodong Xu"
10.1021/acsnano.2c08147,Ultrastrong Optical Harmonic Generations in Layered Platinum Disulfide in the Mid-Infrared.,ACS nano,2023,"Song Zhu,Ruihuan Duan,Wenduo Chen,Fakun Wang,Jiayue Han,Xiaodong Xu,Lishu Wu,Ming Ye,Fangyuan Sun,Song Han,Xiaoxu Zhao,Chuan Seng Tan,Houkun Liang,Zheng Liu,Qi Jie Wang"
,"Observation of flat and weakly dispersing bands in a van der Waals
  semiconductor Nb3Br8 with breathing kagome lattice",,2023,"Sabin Regmi,Anup Pradhan Sakhya,Tharindu Fernando,Yuzhou Zhao,Dylan Jeff,Milo Sprague,Favian Gonzalez,Iftakhar Bin Elius,Mazharul Islam Mondal,Nathan Valadez,Damani Jarrett,Alexis Agosto,Jihui Yang,Jiun-Haw Chu,Saiful I. Khondaker,Xiaodong Xu,Ting Cao,Madhab Neupane"
,Efficient continuous wave and passively Q switched Er:GdScO3 laser using Fe:ZnSe at 2.8?m,OPTICS LETTERS,2023,"Wentao Hou,Yanyan Xue,Zhipeng Qin,Huili Tang,Guoqiang Xie,Qingguo Wang,Xiaodong Xu,Jun Xu"
,"Crystal growth and spectroscopic analysis of Ho,Pr:Lu2O3 crystal for a 2.9?m mid-IR laser",OPTICAL MATERIALS EXPRESS,2023,"Jianda LI,Jianshu Dong,Xiao Cao,Qingsong Song,Xiaodong Xu,Yanyan Xue,Huili Tang,Qingguo Wang,Jun Xu"
,Two-Dimensional Moir\'e Polaronic Electron Crystals,,2023,"Eric A. Arsenault,Yiliu Li,Birui Yang,Xi Wang,Heonjoon Park,Edoardo Mosconi,Enrico Ronca,Takashi Taniguchi,Kenji Watanabe,Daniel Gamelin,Andrew Millis,Cory R. Dean,Filippo de Angelis,Xiaodong Xu,X. -Y. Zhu"
,"Fermi Surface Evolution and Anomalous Hall Effect in an Ideal Type-II
  Weyl Semimetal",,2023,"Qianni Jiang,Johanna C. Palmstrom,John Singleton,Shalinee Chikara,David Graf,Chong Wang,Yue Shi,Paul Malinowski,Aaron Wang,Zhong Lin,Lingnan Shen,Xiaodong Xu,Di Xiao,Jiun-Haw Chu"
,"Dynamically tunable moir\'e Rydberg excitons in a monolayer
  semiconductor on twisted bilayer graphene",,2023,"Minhao He,Jiaqi Cai,Huiyuan Zheng,Eric Seewald,Takashi Taniguchi,Kenji Watanabe,Jiaqiang Yan,Matthew Yankowitz,Abhay Pasupathy,Wang Yao,Xiaodong Xu"
10.1038/s42005-023-01154-8,Nematic fluctuations in an orbital selective superconductor Fe1+yTe1-xSex,COMMUNICATIONS PHYSICS,2023,"Qianni Jiang,Yue Shi,Morten H. Christensen,Joshua J. Sanchez,Bevin Huang,Zhong Lin,Zhaoyu Liu,Paul Malinowski,Xiaodong Xu,Rafael M. Fernandes,Jiun-Haw Chu"
,Temperature dependence of Cr:CYA effective emission cross-section,Optical Materials,2023,"Jianda Li,Xiao Cao,Mengmeng Wu,Jian Liu,Qingsong Song,Yongjun Dong,Jun Xu,Yanyan Xue,Xiaodong Xu,Qingguo Wang"
,Visualizing moiré ferroelectricity via plasmons and nano-photocurrent in graphene/twisted-WSe2 structures,Nature Communications,2023,"Shuai Zhang,Yang Liu,Zhiyuan Sun,Xinzhong Chen,Baichang Li,S. L. Moore,Song Liu,Zhiying Wang,S. E. Rossi,Ran Jing,Jordan Fonseca,Birui Yang,Yinming Shao,Chun-Ying Huang,Taketo Handa,Lin Xiong,Matthew Fu,Tsai-Chun Pan,Dorri Halbertal,Xinyi Xu,Wenjun Zheng,P. J. Schuck,A. N. Pasupathy,C. R. Dean,Xiaoyang Zhu,David H. Cobden,Xiaodong Xu,Mengkun Liu,M. M. Fogler,James C. Hone,D. N. Basov"
,Strain-programmable van der Waals magnetic tunnel junctions,,2023,"John Cenker,Dmitry Ovchinnikov,Harvey Yang,Daniel G. Chica,Catherine Zhu,Jiaqi Cai,Geoffrey Diederich,Zhaoyu Liu,Xiaoyang Zhu,Xavier Roy,Ting Cao,Matthew W. Daniels,Jiun-Haw Chu,Di Xiao,Xiaodong Xu"
,SPECIAL TOPIC-Attosecond physics ? COVER ARTICLE Yb:CaYAlO4 regenerative amplifier,ACTA PHYSICA SINICA,2023,"Ge-Yang Wang,Chuan Bai,Hai-Jing Mai,Zheng Li,Tian Xuan,Yu Yang,Wen-Long Tian,Xiao-Dong Xu,Zhi-Yi Wei,Jiang-Feng Zhu"
,"Reversible Non-Volatile Electronic Switching in a Near Room Temperature
  van der Waals Ferromagnet",,2023,"Han Wu,Lei Chen,Paul Malinowski,Jianwei Huang,Qinwen Deng,Kirsty Scott,Bo Gyu Jang,Jacob P. C. Ruff,Yu He,Xiang Chen,Chaowei Hu,Ziqin Yue,Ji Seop Oh,Xiaokun Teng,Yucheng Guo,Mason Klemm,Chuqiao Shi,Yue Shi,Chandan Setty,Tyler Werner,Makoto Hashimoto,Donghui Lu,T. Yilmaz,Elio Vescovo,Sung-Kwan Mo,Alexei Fedorov,Jonathan Denlinger,Yaofeng Xie,Bin Gao,Junichiro Kono,Pengcheng Dai,Yimo Han,Xiaodong Xu,Robert J. Birgeneau,Jian-Xin Zhu,Eduardo H. da Silva Neto,Liang Wu,Jiun-Haw Chu,Qimiao Si,Ming Yi"
10.1016/j.jlumin.2022.119515,"Crystal growth and spectroscopic analysis of Ho,Eu:GdScO3 crystal for 3 μm mid-infrared emission",Journal of Luminescence,2023,"Jianshu Dong,Jianda Li,Qingguo Wang,Wudi Wang,Xiao Cao,Xiaodong Xu,Feng Wu,Ping Luo,Yanyan Xue,Dongzhen Li,Jun Xu"
,Ambipolar charge-transfer graphene plasmonic cavities,NATURE MATERIALS,2023,"Brian S. Y. Kim,Aaron J. Sternbach,Min Sup Choi,Zhiyuan Sun,Francesco L. Ruta,Yinming Shao,Alexander S. McLeod,Lin Xiong,Yinan Dong,Ted S. Chung,Anjaly Rajendran,Song Liu,Ankur Nipane,Sang Hoon Chae,Amirali Zangiabadi,Xiaodong Xu,Andrew J. Millis,P. James Schuck,Cory. R. Dean,James C. Hone,D. N. Basov"
,Phase-resolved terahertz nanoimaging of WTe2 microcrystals,PHYSICAL REVIEW B,2023,"Ran Jing,Rocco A. Vitalone,Suheng Xu,Chiu Fan Bowen Lo,Zaiyao Fei,Elliott Runburg,Yinming Shao,Xinzhong Chen,Fabian Mooshammer,Alexander S. Mcleod,Mengkun Liu,Michael M. Fogler,David H. Cobden,Xiaodong Xu,D. N. Basov"
,"Ce,Tb,Gd:YAG-Al2O3 eutectic crystal phosphor plates for high-power warm white LED applications",Optical Materials,2023,"Xinyu Qian,Qingsong Song,Jian Liu,Peng Chen,Wudi Wang,Yanyan Xue,Guixin Cao,Xiaodong Xu,Jun Xu"
10.1038/s41467-023-36488-y,Creation of chiral interface channels for quantized transport in magnetic topological insulator multilayer heterostructures.,Nature communications,2023,"Yi-Fan Zhao,Ruoxi Zhang,Jiaqi Cai,Deyi Zhuo,Ling-Jie Zhou,Zi-Jie Yan,Moses H W Chan,Xiaodong Xu,Cui-Zu Chang"
,Fractional Chern Insulator in Twisted Bilayer MoTe$_2$,,2023,"Chong Wang,Xiao-Wei Zhang,Xiaoyu Liu,Yuchi He,Xiaodong Xu,Ying Ran,Ting Cao,Di Xiao"
,"Luminescence Property and Judd-Ofelt Analysis of 0.6％Pr, x％La:CaF2 Crystals",Journal of Inorganic Materials,2023,"QIAN Xinyu,WANG Wudi,SONG Qingsong,DONG Yongjun,XUE Yanyan,ZHANG Chenbo,WANG Qingguo,XU Xiaodong,TANG Huili,CAO Guixin,XU Jun"
,2 µm cylindrical vector beam generation from a c-cut Tm:CaYAlO<sub>4</sub> crystal resonator,Optics Express,2023,"Yangyu Liu,Luyao Li,Xiaozhao Song,Wei Zhou,Qiang Zhu,Guangmiao Liu,Xiaodong Xu,Haotian Wang,Xue Cao,Yishan Wang,Baohua Jia,Deyuan Shen"
,Spectroscopic characteristics and Judd-Ofelt analysis of Pr:GdScO3 crystal,Journal of Luminescence,2023,"Na Li,Jian Liu,Ruiqin You,Yanyan Xue,Xiaodong Xu,Jun Xu"
,Raman Study of Layered Breathing Kagome Lattice Semiconductor Nb3Cl8,,2023,"Dylan A. Jeff,Favian Gonzalez,Kamal Harrison,Yuzhou Zhao,Tharindu Fernando,Sabin Regmi,Zhaoyu Liu,Humberto R. Gutierrez,Madhab Neupane,Jihui Yang,Jiun-Haw Chu,Xiaodong Xu,Ting Cao,Saiful I. Khondaker"
,Kerr-lens mode-locked femtosecond Yb:CALYO oscillator with more than 20-W average power.,Optics letters,2023,"Wenlong Tian,Xuan Tian,Qian Li,Geyang Wang,Chuan Bai,Yang Yu,Xiaodong Xu,Jun Xu,Zhiyi Wei,Jiangfeng Zhu"
,Visualizing moiré ferroelectricity via plasmons and nano-photocurrent in graphene/twisted-WSe 2 structures.,Nature communications,2023,"Shuai Zhang,Yang Liu,Zhiyuan Sun,Xinzhong Chen,Baichang Li,S L Moore,Song Liu,Zhiying Wang,S E Rossi,Ran Jing,Jordan Fonseca,Birui Yang,Yinming Shao,Chun-Ying Huang,Taketo Handa,Lin Xiong,Matthew Fu,Tsai-Chun Pan,Dorri Halbertal,Xinyi Xu,Wenjun Zheng,P J Schuck,A N Pasupathy,C R Dean,Xiaoyang Zhu,David H Cobden,Xiaodong Xu,Mengkun Liu,M M Fogler,James C Hone,D N Basov"
,Dipole ladders with large Hubbard interaction in a moiré exciton lattice,Nature Physics,2023,"Heonjoon Park,Jiayi Zhu,Xi Wang,Yingqi Wang,William Holtzmann,Takashi Taniguchi,Kenji Watanabe,Jiaqiang Yan,Liang Fu,Ting Cao,Di Xiao,Daniel R. Gamelin,Hongyi Yu,Wang Yao,Xiaodong Xu"
,"Spectral Evidence for Local-Moment Ferromagnetism in van der Waals
  Metals Fe$_3$GaTe$_2$ and Fe$_3$GeTe$_2$",,2023,"Han Wu,Chaowei Hu,Yaofeng Xie,Bo Gyu Jang,Jianwei Huang,Yucheng Guo,Shan Wu,Cheng Hu,Ziqin Yue,Yue Shi,Zheng Ren,T. Yilmaz,Elio Vescovo,Chris Jozwiak,Aaron Bostwick,Eli Rotenberg,Alexei Fedorov,Jonathan Denlinger,Christoph Klewe,Padraic Shafer,Donghui Lu,Makoto Hashimoto,Junichiro Kono,Robert J. Birgeneau,Xiaodong Xu,Jian-Xin Zhu,Pengcheng Dai,Jiun-Haw Chu,Ming Yi"
,High average power amplification of femtosecond pulses based on the Yb:CaYAlO4 crystal,OPTICS EXPRESS,2023,"Chuan Bai,Geyang Wang,Wenlong Tian,Li Zheng,Xuan Tian,Yang Yu,Xiaodong Xu,Zhiyi Wei,Jiangfeng Zhu"
,Luminescence properties of Pr3+doped Bi4Ge3O12 crystal fibers grown by the micro-pulling down technique,JOURNAL OF LUMINESCENCE,2023,"Jie Xu,Y. Guyot,K. Lebbou,Xiaodong Xu,Jian Liu,Jun Xu,R. Moncorge"
,Spectroscopic characterization of Tm:CaYAlO4 shaped crystal fibers grown by the micro-pulling-down method,Optical Materials,2023,"Peng Chen,Jian Liu,Jun Guo,Zhiheng Zhang,Dongzhen Li,Peng Liu,Xiaodan Wang,Xiaodong Xu,Jun Xu,Kheirreddine Lebbou"
10.1021/acsami.2c18812,Ferroelectricity and High Curie Temperature in a 2D Janus Magnet.,ACS applied materials & interfaces,2023,"Kaijuan Pang,Xiaodong Xu,Ruiqi Ku,Yadong Wei,Tao Ying,Weiqi Li,Jianqun Yang,Xingji Li,Yongyuan Jiang"
,Relying on energy transfer to enhance the 2.9 mu m emission by co-doped Tm3+ ions in Dy:Y2O3 transparent ceramics,CERAMICS INTERNATIONAL,2023,"Yuxin Pan,Hui Lin,Dawei Zhang,Xiaodong Xu,Xufeng Yao"
,Observation of Fractionally Quantized Anomalous Hall Effect,Nature,2023,"Heonjoon Park,Jiaqi Cai,Eric Anderson,Yinong Zhang,Jiayi Zhu,Xiaoyu Liu,Chong Wang,William Holtzmann,Chaowei Hu,Zhaoyu Liu,Takashi Taniguchi,Kenji Watanabe,Jiun-haw Chu,Ting Cao,Liang Fu,Wang Yao,Cui-Zu Chang,David Cobden,Di Xiao,Xiaodong Xu"
10.1364/OL.487752,Efficient continuous wave and passively Q switched Er:GdScO 3 laser using Fe:ZnSe at 2.8 µm.,Optics letters,2023,"Wentao Hou,Yanyan Xue,Zhipeng Qin,Huili Tang,Guoqiang Xie,Qingguo Wang,Xiaodong Xu,Jun Xu"
,"Signatures of Fractional Quantum Anomalous Hall States in Twisted MoTe2
  Bilayer",Nature,2023,"Jiaqi Cai,Eric Anderson,Chong Wang,Xiaowei Zhang,Xiaoyu Liu,William Holtzmann,Yinong Zhang,Fengren Fan,Takashi Taniguchi,Kenji Watanabe,Ying Ran,Ting Cao,Liang Fu,Di Xiao,Wang Yao,Xiaodong Xu"
,Magneto-optics in a van der Waals magnet tuned by self-hybridized polaritons.,Nature,2023,"Florian Dirnberger,Jiamin Quan,Rezlind Bushati,Geoffrey M Diederich,Matthias Florian,Julian Klein,Kseniia Mosina,Zdenek Sofer,Xiaodong Xu,Akashdeep Kamra,Francisco J García-Vidal,Andrea Alù,Vinod M Menon"
10.1038/s41565-023-01350-1,Every-other-layer dipolar excitons in a spin-valley locked superlattice.,Nature nanotechnology,2023,"Yinong Zhang,Chengxin Xiao,Dmitry Ovchinnikov,Jiayi Zhu,Xi Wang,Takashi Taniguchi,Kenji Watanabe,Jiaqiang Yan,Wang Yao,Xiaodong Xu"
,High Power Kerr-Lens Mode-Locked Femtosecond Laser with Broadband Highly Reflective Mirrors Compensating Dispersion,Chinese Journal of Lasers,2023,"Tian Xuan,Tian Wenlong,Li Qian,Wang Geyang,Bai Chuan,Zheng Li,Yu Yang,Wei Zhiyi,Xu Xiaodong,Zhu Jiangfeng"
,"Extrinsic nonlinear Kerr rotation in topological materials under a
  magnetic field",ACS nano,2023,"Shuang Wu,Zaiyao Fei,Zeyuan Sun,Yangfan Yi,Wei Xia,Dayu Yan,Yanfeng Guo,Youguo Shi,Jiaqiang Yan,David H. Cobden,Wei-Tao Liu,Xiaodong Xu,Shiwei Wu"
10.1016/j.jlumin.2022.119514,Enhance and modulated near-infrared luminescence of Tm3+:CaF2 crystal by co-doping Y3+ ions,Journal of Luminescence,2023,"Xiao Cao,Jianshu Dong,Jianda Li,Mengmeng Wu,QingSong Song,Qiu Li,Qingguo Wang,Yanyan Xue,Xiaodong Xu,Hui Lin,Jun Xu"
10.1016/j.jlumin.2022.119515,"Crystal growth and spectroscopic analysis of Ho,Eu:GdScO3 crystal for 3 mu m mid-infrared emission",JOURNAL OF LUMINESCENCE,2023,"Jianshu Dong,Jianda Li,Qingguo Wang,Wudi Wang,Xiao Cao,Xiaodong Xu,Feng Wu,Ping Luo,Yanyan Xue,Dongzhen Li,Jun Xu"
10.21203/rs.3.rs-1832450/v1,Tunable phononic coupling in excitonic quantum emitters,,2023,"Adina Ripin,Ruoming Peng,Xiaowei Zhang,Srivatsa Chakravarthi,Minhao He,Xiaodong Xu,Kai-Mei Fu,Ting Cao,Mo Li"
,"Visualizing moir\'e ferroelectricity via plasmons and nano-photocurrent
  in graphene/twisted-WSe2 structures",,2023,"Shuai Zhang,Yang Liu,Zhiyuan Sun,Xinzhong Chen,Baichang Li,S. L. Moore,Song Liu,Zhiying Wang,S. E. Rossi,Ran Jing,Jordan Fonseca,Birui Yang,Yinming Shao,Chun-Ying Huang,Taketo Handa,Lin Xiong,Matthew Fu,Tsai-Chun Pan,Dorri Halbertal,Xinyi Xu,Wenjun Zheng,P. J. Schuck,A. N. Pasupathy,C. R. Dean,Xiaoyang Zhu,David H. Cobden,Xiaodong Xu,Mengkun Liu,M. M. Fogler,James C. Hone,D. N. Basov"
,"Crystal growth and spectroscopic analysis of Ho,Pr:Lu<sub>2</sub>O<sub>3</sub> crystal for a 2.9 µm mid-IR laser",Optical Materials Express,2023,"Jianda Li,Jianshu Dong,Xiao Cao,Qingsong Song,Xiaodong Xu,Yanyan Xue,Huili Tang,Qingguo Wang,Jun Xu"
,"Cavity-controlled magneto-optical properties of a strongly coupled van
  der Waals magnet",,2023,"Florian Dirnberger,Jiamin Quan,Rezlind Bushati,Geoffrey Diederich,Matthias Florian,Julian Klein,Kseniia Mosina,Zdenek Sofer,Xiaodong Xu,Akashdeep Kamra,Francisco J. García-Vidal,Andrea Alù,Vinod M. Menon"
10.1364/OL.481997,Efficient continuous wave and broad tunable lasers with the Tm:GdScO 3 crystal.,Optics letters,2023,"Qingsong Song,Ning Zhang,Jian Liu,Xinyu Qian,Chaoyi Zhang,Yanyan Xue,Yongguang Zhao,Xiaodong Xu,Kheirreddine Lebbou,Jun Xu"
10.1364/cleo_qels.2022.fm5n.5,Visualizing exciton coupling dynamics in transition metal dichalcogenide heterostructures in space and time,Conference on Lasers and Electro-Optics,2022,"Torben L. Purz,Eric W. Martin,Pasqual Rivera,William G. Holtzmann,Xiaodong Xu,Steven T. Cundiff"
10.1038/s41565-022-01259-1,Tunable interaction between excitons and hybridized magnons in a layered semiconductor,Nature Nanotechnology,2022,"Diederich, Geoffrey M.,Cenker, John,Ren, Yafei,Fonseca, Jordan,Chica, Daniel G.,Bae, Youn Jue,Zhu, Xiaoyang,Roy, Xavier,Cao, Ting,Xiao, Di,Xu, Xiaodong"
10.1002/adma.202205639,Layered Antiferromagnetism Induces Large Negative Magnetoresistance in the van der Waals Semiconductor CrSBr.,"Advanced materials (Deerfield Beach, Fla.)",2022,"Evan J Telford,Avalon H Dismukes,Kihong Lee,Minghao Cheng,Andrew Wieteska,Amymarie K Bartholomew,Yu-Sheng Chen,Xiaodong Xu,Abhay N Pasupathy,Xiaoyang Zhu,Cory R Dean,Xavier Roy"
10.1002/adts.202100305,The Potential of Phosphorus Nitride Monolayer for Li-S Battery from the Anchoring and Diffusing Perspective: A First-Principles Study,ADVANCED THEORY AND SIMULATIONS,2022,"Xinyi Zheng,Shiru Lin,Dalin Kong,Yadong Wei,Kaijuan Pang,RuiQi Ku,Ngeywo Tolbert Kaner,Xiaodong Xu,Ming Sha,Jinhong Liu,Hongxi Huang,Jianqun Yang,HongYan Shi,Xingji Li,Weiqi Li"
10.3788/COL202220.031403,Realization of a continuous-wave single-frequency tunable Nd:CYA laser,CHINESE OPTICS LETTERS,2022,"Huiqi Yang,Pixian Jin,Jing Su,Xiaodong Xu,Jun Xu,Huadong Lu"
10.1364/OE.449790,"Ho:LuAG single crystal fiber: growth, spectroscopy and laser characteristics",OPTICS EXPRESS,2022,"Jian Liu,Qingsong Song,Zhanxin Wang,Yinyin Wang,Jifei Dong,Jie Xu,Peng Liu,Dongzhen Li,Jianlei Wang,Chun Wang,Kheirreddine Lebbou,Yanyan Xue,Jun Xu,Xiaodong Xu,Yongguang Zhao"
,Crossover from Ising- to Rashba-type superconductivity in epitaxial Bi2Se3/monolayer NbSe2 heterostructures,Nature Materials,2022,"Hemian Yi,Lun-Hui Hu,Yuanxi Wang,Run Xiao,Jiaqi Cai,Danielle Reifsnyder Hickey,Chengye Dong,Yi-Fan Zhao,Ling-Jie Zhou,Ruoxi Zhang,Anthony R. Richardella,Nasim Alem,Joshua A. Robinson,Moses H. W. Chan,Xiaodong Xu,Nitin Samarth,Chao-Xing Liu,Cui-Zu Chang"
