doi,标题,期刊,年份,作者
10.1038/s41567-021-01427-5,Evidence for equilibrium exciton condensation in monolayer WTe2,NATURE PHYSICS,2022,"Bosong Sun,Wenjin Zhao,Tauno Palomaki,Zaiyao Fei,Elliott Runburg,Paul Malinowski,Xiong Huang,John Cenker,Yong-Tao Cui,Jiun-Haw Chu,Xiaodong Xu,S. Samaneh Ataei,Daniele Varsano,Maurizia Palummo,Elisa Molinari,Massimo Rontani,David H. Cobden"
10.1038/s41467-021-22239-4,Magnetic Domains And Domain Wall Pinning In Atomically Thin Crbr3 Revealed By Nanoscale Imaging,NATURE COMMUNICATIONS,2021,"Qi-Chao Sun,Tiancheng Song,Eric Anderson,Andreas Brunner,Johannes Förster,Tetyana Shalomayeva,Takashi Taniguchi,Kenji Watanabe,Joachim Gräfe,Rainer Stöhr,Xiaodong Xu,Jörg Wrachtrup"
10.1038/s41467-021-25044-1,Competing Correlated States And Abundant Orbital Magnetism In Twisted Monolayer-Bilayer Graphene,NATURE COMMUNICATIONS,2021,"Minhao He,Ya-Hui Zhang,Yuhao Li,Zaiyao Fei,Kenji Watanabe,Takashi Taniguchi,Xiaodong Xu,Matthew Yankowitz"
10.23919/JCC.2021.06.009,Sample-efficient deep reinforcement learning with directed associative graph,China Communications,2021,"Dujia Yang,Xiaowei Qin,Xiaodong Xu,Chensheng Li,Guo Wei"
10.1038/s41467-021-21158-8,Intrinsic Donor-Bound Excitons In Ultraclean Monolayer Semiconductors,NATURE COMMUNICATIONS,2021,"Pasqual Rivera,Minhao He,Bumho Kim,Song Liu,Carmen Rubio-Verdú,Hyowon Moon,Lukas Mennel,Daniel A. Rhodes,Hongyi Yu,Takashi Taniguchi,Kenji Watanabe,Jiaqiang Yan,David G. Mandrus,Hanan Dery,Abhay Pasupathy,Dirk Englund,James Hone,Wang Yao,Xiaodong Xu"
10.1038/s41563-021-00927-2,Van Der Waals Epitaxial Growth Of Air-Stable Crse2 Nanosheets With Thickness-Tunable Magnetic Order,NATURE MATERIALS,2021,"Bo Li,Zhong Wan,Cong Wang,Peng Chen,Bevin Huang,Xing Cheng,Qi Qian,Jia Li,Zhengwei Zhang,Guangzhuang Sun,Bei Zhao,Huifang Ma,Ruixia Wu,Zhongming Wei,Yuan Liu,Lei Liao,Yu Ye,Yu Huang,Xiaodong Xu,Xidong Duan,Wei Ji,Xiangfeng Duan"
10.1109/ACCESS.2020.3009329,Sample Efficient Reinforcement Learning Method via High Efficient Episodic Memory,IEEE ACCESS,2020,"Dujia Yang,Xiaowei Qin,Xiaodong Xu,Chensheng Li,Guo Wei"
10.1038/s41467-020-14472-0,Valley phonons and exciton complexes in a monolayer semiconductor.,NATURE COMMUNICATIONS,2020,"Minhao He,Pasqual Rivera,Dinh Van Tuan,Nathan P Wilson,Min Yang,Takashi Taniguchi,Kenji Watanabe,Jiaqiang Yan,David G Mandrus,Hongyi Yu,Hanan Dery,Wang Yao,Xiaodong Xu"
10.1016/j.vlsi.2018.02.012,Reconfigurable topology synthesis for application-specific NoC on partially dynamically reconfigurable systems,Integration,2019,"Jinglei Huang,Xiaodong Xu,Nan Wang,Song Chen"
10.1038/s41467-018-03888-4,Tuning Ising Superconductivity With Layer And Spin-Orbit Coupling In Two-Dimensional Transition-Metal Dichalcogenides,NATURE COMMUNICATIONS,2018,"Sergio C de la Barrera,Michael R Sinko,Devashish P Gopalan,Nikhil Sivadas,Kyle L Seyler,Kenji Watanabe,Takashi Taniguchi,Adam W Tsen,Xiaodong Xu,Di Xiao,Benjamin M Hunt"
