doi,标题,期刊,年份,作者
,Anesthesia-induced hippocampal-cortical hyperactivity and tau hyperphosphorylation impair remote memory retrieval in Alzheimer's disease.,Alzheimer's & dementia : the journal of the Alzheimer's Association,2023,"Kai Chen,Riya Gupta,Alejandro Martín-Ávila,Meng Cui,Zhongcong Xie,Guang Yang"
10.1364/OE.460538,Monolithic 3D phase profile formation in glass for spatial and temporal control of optical waves,OPTICS EXPRESS,2022,"Bowen Wei,Zongyue Cheng,Dawen Cai,Meng Cui"
10.1364/OPTICA.461145,Probing neuronal functions with precise and targeted laser ablation in the living cortex: reply,OPTICA,2022,"Zongyue Cheng,Jianian Jin,Yiyong Han,Bowen Wei,Baoling Lai,Baoming Li,Meng Cui,Wen-Biao Gan"
10.1038/s41467-022-34472-6,Optical gearbox enabled versatile multiscale high-throughput multiphoton functional imaging,NATURE COMMUNICATIONS,2022,"Jianian Lin,Zongyue Cheng,Guang Yang,Meng Cui"
10.1016/j.brs.2021.12.005,High resolution ultrasonic neural modulation observed via in vivo two-photon calcium imaging,BRAIN STIMULATION,2022,"Zongyue Cheng,Chenmao Wang,Bowen Wei,Wenbiao Gan,Qifa Zhou,Meng Cui"
10.1088/2515-7647/ac76f9,Roadmap on wavefront shaping and deep imaging in complex media,JOURNAL OF PHYSICS-PHOTONICS,2022,"Sylvain Gigan,Ori Katz,Hilton B. de Aguiar,Esben Ravn Andresen,Alexandre Aubry,Jacopo Bertolotti,Emmanuel Bossy,Dorian Bouchet,Joshua Brake,Sophie Brasselet,Yaron Bromberg,Hui Cao,Thomas Chaigne,Zhongtao Cheng,Wonshik Choi,Tomáš Čižmár,Meng Cui,Vincent R Curtis,Hugo Defienne,Matthias Hofer,Ryoichi Horisaki,Roarke Horstmeyer,Na Ji,Aaron K. LaViolette,Jerome Mertz,Christophe Moser,Allard P. Mosk,Nicolas C. Pégard,Rafael Piestun,Sebastien Popoff,David B. Phillips,Demetri Psaltis,Babak Rahmani,Hervé Rigneault,Stefan Rotter,Lei Tian,Ivo M. Vellekoop,Laura Waller,Lihong Wang,Timothy Weber,Sheng Xiao,Chris Xu,Alexey Yamilov,Changhuei Yang,Hasan Yılmaz"
10.1364/OPTICA.433562,Probing neuronal functions with precise and targeted laser ablation in the living cortex,OPTICA,2021,"Zongyue Cheng,Yiyong Han,Bowen Wei,Baoling Lai,Baoming Li,Meng Cui,Wen-Biao Gan"
10.1038/s41592-021-01230-3,Clear Optically Matched Panoramic Access Channel Technique (Compact) For Large-Volume Deep Brain Imaging,NATURE METHODS,2021,"Bowen Wei,Chenmao Wang,Zongyue Cheng,Baoling Lai,Wen-Biao Gan,Meng Cui"
10.1364/OE.402883,Jitter suppression for resonant galvo based high-throughput laser scanning systems.,OPTICS EXPRESS,2020,"Jianian Lin,Zongyue Cheng,Wenbiao Gan,Meng Cui"
10.1364/OE.402870,Line scanning mechanical streak camera for phosphorescence lifetime imaging.,OPTICS EXPRESS,2020,"Chenmao Wang,Zongyue Cheng,Wenbiao Gan,Meng Cui"
10.1038/NMETH.4290,Large-field-of-view imaging by multi-pupil adaptive optics,NATURE METHODS,2017,"Jung-Hoon Park,Lingjie Kong,Yifeng Zhou,Meng Cui"
10.1038/s41598-017-02864-0,A Proof-Of-Concept Study For Developing Integrated Two-Photon Microscopic And Magnetic Resonance Imaging Modality At Ultrahigh Field Of 16.4 Tesla,SCIENTIFIC REPORTS,2017,"Meng Cui,Yifeng Zhou,Bowen Wei,Xiao-Hong Zhu,Wei Zhu,Mark A. Sanders,Kamil Ugurbil,Wei Chen"
10.1109/JSTQE.2015.2509947,In Vivo Deep Tissue Imaging via Iterative Multiphoton Adaptive Compensation Technique,IEEE Journal of Selected Topics in Quantum Electronics,2016,"Lingjie Kong,Meng Cui"
10.1117/12.2213566,Large field-of-view wavefront control for deep brain imaging(Conference Presentation),ADAPTIVE OPTICS AND WAVEFRONT CONTROL FOR BIOLOGICAL SYSTEMS II,2016,"Jung-Hoon Park,Meng Cui"
10.1364/OE.24.006126,Multicolor multiphoton in vivo imaging flow cytometry.,OPTICS EXPRESS,2016,"Lingjie Kong,Jianyong Tang,Meng Cui"
10.1364/BOE.7.003686,Motion quantification during multi-photon functional imaging in behaving animals.,BIOMEDICAL OPTICS EXPRESS,2016,"Lingjie Kong,Justin P Little,Meng Cui"
10.1073/pnas.1505939112,High-Resolution In Vivo Imaging Of Mouse Brain Through The Intact Skull,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2015,"Jung-Hoon Park,Wei Sun,Meng Cui"
10.1364/OE.23.006145,In vivo neuroimaging through the highly scattering tissue via iterative multi-photon adaptive compensation technique.,OPTICS EXPRESS,2015,"Lingjie Kong,Meng Cui"
10.1038/nmeth.3476,Continuous volumetric imaging via an optical phase-locked ultrasound lens.,Nature methods,2015,"Lingjie Kong,Justin P Little,Yang Yu,Meng Cui,Jianyong Tang,Tim Lämmermann,Ronald N Germain,Charles P Lin"
10.1364/OE.23.007463,Numerical study of multi-conjugate large area wavefront correction for deep tissue microscopy.,OPTICS EXPRESS,2015,"Tsai-wei Wu,Meng Cui"
