doi,标题,期刊,年份,作者
,"Four phonon-dominated near-field radiation in weakly anharmonic polar
  materials",,2023,"Dudong Feng,Xiaolong Yang,Zherui Han,Xiulin Ruan"
,Fast and accurate machine learning prediction of phonon scattering rates and lattice thermal conductivity,npj Computational Materials,2023,"Ziqi Guo,Prabudhya Roy Chowdhury,Zherui Han,Yixuan Sun,Dudong Feng,Guang Lin,Xiulin Ruan"
,Is Thermal Conductivity of Graphene Divergent and Higher Than Diamond?,,2023,"Zherui Han,Xiulin Ruan"
10.1109/TED.2022.3221358,Alleviation of Self-Heating Effect in Top-Gated Ultrathin In<sub>2</sub>O<sub>3</sub> FETs Using a Thermal Adhesion Layer,IEEE Transactions on Electron Devices,2023,"Pai-Ying Liao,Krutarth Khot,Sami Alajlouni,Mike Snure,Jinhyun Noh,Mengwei Si,Zhuocheng Zhang,Ali Shakouri,Xiulin Ruan,Peide D. Ye"
,"Predictions and Measurements of Thermal Conductivity of Ceramic
  Materials at High Temperature",,2023,"Zherui Han,Zixin Xiong,William T. Riffe,Hunter B. Schonfeld,Mauricio Segovia,Jiawei Song,Haiyan Wang,Xianfan Xu,Patrick E. Hopkins,Amy Marconnet,Xiulin Ruan"
,"Prediction of Hot Zone-center Optical Phonons in Laser Irradiated
  Molybdenum Disulfide with a Semiconductor Multitemperature Model",,2023,"Zherui Han,Peter Sokalski,Li Shi,Xiulin Ruan"
,Radiative cooling sorbent towards all weather ambient water harvesting,Communications Engineering,2023,"Wenkai Zhu,Yun Zhang,Chi Zhang,Xiwei Shan,Akshay K. Rao,Sarah L. Pitts,Travest J. Woodbury,Tanya Sophia Masnyk,Dominique Derome,David M. Warsinger,Xiulin Ruan,Lisa J. Mauer,Jan Carmeliet,Tian Li"
,Accelerated Prediction of Photon Transport in Nanoparticle Media Using Machine Learning Trained With Monte Carlo Simulations,ASME JOURNAL OF HEAT AND MASS TRANSFER,2023,"Daniel Carne,Joseph Peoples,Dudong Feng,Xiulin Ruan"
10.1038/s41524-022-00701-1,Unexpected thermal conductivity enhancement in aperiodic superlattices discovered using active machine learning,NPJ COMPUTATIONAL MATERIALS,2022,"Prabudhya Roy Chowdhury,Xiulin Ruan"
10.1016/j.applthermaleng.2022.118636,Lifespan and efficiency gain for outdoor electronic systems from radiative cooling: A case study on distribution transformers,Applied Thermal Engineering,2022,"Joseph Peoples,Fredrik Arentz,Yizhou Fang,Carmela Mohan,Jie Li,Xiangyu Li,Xiulin Ruan"
10.1016/j.xcrp.2022.101058,Thin layer lightweight and ultrawhite hexagonal boron nitride nanoporous paints for daytime radiative cooling,Cell Reports Physical Science,2022,"Andrea Felicelli,Ioanna Katsamba,Fernando Barrios,Yun Zhang,Ziqi Guo,Joseph Peoples,George Chiu,Xiulin Ruan"
10.1016/j.carbon.2022.06.011,Quantifying the diverse wave effects in thermal transport of nanoporous graphene,CARBON,2022,"Han Wei,Yue Hu,Hua Bao,Xiulin Ruan"
10.1016/j.mtphys.2022.100658,Atomistic characteristics of ultra-efficient radiative cooling paint pigments: the case study of BaSO4,Materials Today Physics,2022,"Zhen Tong,Joseph Peoples,Xiangyu Li,Xiaolong Yang,Hua Bao,Xiulin Ruan"
,RESEARCHERS CREATE WORLD'S WHITEST PAINT,ADVANCED MATERIALS & PROCESSES,2022,Xiulin Ruan
10.1109/TED.2022.3142651,Enhancement of Thermal Transfer From β-Ga 2 O 3 Nano-Membrane Field-Effect Transistors to High Thermal Conductivity Substrate by Inserting an Interlayer,IEEE Transactions on Electron Devices,2022,"Jinhyun Noh,Prabudhya Roy Chowdhury,Mauricio Segovia,Sami Alajlouni,Mengwei Si,Adam R. Charnas,Shouyuan Huang,Kerry Maize,Ali Shakouri,Xianfan Xu,Xiulin Ruan,Peide D. Ye"
,"Temperature-Dependent Full Spectrum Optical Responses of Semiconductors
  from First Principles",,2022,"Zherui Han,Changkyun Lee,Jiawei Song,Haiyan Wang,Peter Bermel,Xiulin Ruan"
10.1016/j.mtphys.2022.100776,Evolution of in-plane heat transport in tellurium from 2D to 3D,Materials Today Physics,2022,"Yanhua Cheng,Jinlong Ma,Yaxin Xu,Guoqing Sun,Xiulin Ruan,Xiaobing Luo"
10.1016/j.nanoen.2022.107831,Thermoradiative devices enabled by hyperbolic phonon polaritons at nanoscales,Nano Energy,2022,"Dudong Feng,Xiulin Ruan,Shannon K. Yee,Zhuomin M. Zhang"
10.1016/j.cpc.2021.108179,Fourphonon: An Extension Module To Shengbte For Computing Four-Phonon Scattering Rates And Thermal Conductivity,COMPUTER PHYSICS COMMUNICATIONS,2022,"Zherui Han,Xiaolong Yang,Wu Li,Tianli Feng,Xiulin Ruan"
10.1109/TED.2022.3142651,Enhancement of Thermal Transfer From beta-Ga2O3 Nano-Membrane Field-Effect Transistors to High Thermal Conductivity Substrate by Inserting an Interlayer,IEEE TRANSACTIONS ON ELECTRON DEVICES,2022,"Jinhyun Noh,Prabudhya Roy Chowdhury,Mauricio Segovia,Sami Alajlouni,Mengwei Si,Adam R. Charnas,Shouyuan Huang,Kerry Maize,Ali Shakouri,Xianfan Xu,Xiulin Ruan,Peide D. Ye"
10.1016/j.egyai.2022.100153,Perspective: Predicting and optimizing thermal transport properties with machine learning methods,Energy and AI,2022,"Han Wei,Hua Bao,Xiulin Ruan"
,Effects of hot phonons and thermal stress in micro-Raman spectra of molybdenum disulfide,Applied Physics Letters,2022,"Peter Sokalski,Zherui Han,Gabriella Coloyan Fleming,Brandon Smith,Sean E. Sullivan,Rui Huang,Xiulin Ruan,Li Shi"
,Concentrated radiative cooling,Applied Energy,2022,"Joseph Peoples,Yu-Wei Hung,Xiangyu Li,Daniel Gallagher,Nathan Fruehe,Mason Pottschmidt,Cole Breseman,Conrad Adams,Anil Yuksel,James Braun,W. Travis Horton,Xiulin Ruan"
10.1021/acsami.2c10880,Unconventional and Dynamically Anisotropic Thermal Conductivity in Compressed Flexible Graphene Foams,ACS APPLIED MATERIALS & INTERFACES,2022,"Zixin Xiong,Amy Marconnet,Xiulin Ruan"
10.1016/j.ijheatmasstransfer.2022.123001,Energy savings of radiative cooling paints applied to residential buildings,International Journal of Heat and Mass Transfer,2022,"Joseph Peoples,Yu-Wei Hung,Ziqi Fang,James Braun,W. Travis Horton,Xiulin Ruan"
10.1103/PhysRevLett.128.045901,Raman Linewidth Contributions from Four-Phonon and Electron-Phonon Interactions in Graphene,PHYSICAL REVIEW LETTERS,2022,"Zherui Han,Xiaolong Yang,Sean E. Sullivan,Tianli Feng,Li Shi,Wu Li,Xiulin Ruan"
10.1016/j.ijheatmasstransfer.2022.122908,Abnormal in-plane thermal conductivity anisotropy in bilayer α-phase tellurene,International Journal of Heat and Mass Transfer,2022,"Yanhua Cheng,Xiaolong Yang,Zherui Han,Wenzhuo Wu,Xiaobing Luo,Xiulin Ruan"
