doi,标题,期刊,年份,作者
,Large dynamic range dual-mode pH sensors via dye-doped ionic liquid fiber optofluidic lasers.,The Analyst,2023,"Zhi Li,Dongyang Li,Mengda Zhang,Yingxia Jin,Qingbo Xu,Haiyan Yang,Yuze Sun,Xiaoyun Pu,Liang Li,Yuanxian Zhang"
10.1109/JLT.2022.3205885,Monitoring the pH Value of an Aqueous Micellar Solution in Real-Time Using a Fiber Optofluidic Laser,Journal of Lightwave Technology,2023,"Dongyang Li,Mengda Zhang,Lingwei Zhou,Zhi Li,Qingbo Xu,Xiaoyun Pu,Yuze Sun,Yuanxian Zhang"
10.1364/OE.449943,High sensitivity pH sensing by using a ring resonator laser integrated into a microfluidic chip,OPTICS EXPRESS,2022,"Dong-Yang Li,Han Zhang,Zhi Li,Ling-Wei Zhou,Meng-Da Zhang,Xiao-Yun Pu,Yu-Ze Sun,Hang Liu,Yuan-Xian Zhang"
10.1364/OE.461670,Optical fiber optofluidic laser based on surfactant solubilization of rhodamine B gain in an aqueous solution,OPTICS EXPRESS,2022,"Dongyang Li,Li Zhou,Qiuhan Yu,Xiaoyun Pu,Yuze Sun,Qing Zhou,Yuanxian Zhang"
10.1364/oe.440687,Complete 2π phase control by photonic crystal slabs,Optics Express,2021,"Mingsen Pan,Zhonghe Liu,Akhil Raj Kumar Kalapala,Yudong Chen,Yuze Sun,Weidong Zhou"
10.1109/JPHOT.2020.3044861,Microfluidic Ionic Liquid Dye Laser,IEEE Photonics Journal,2021,"Han Zhang,Chen Zhang,Seyedmohsen Vaziri,Fariba Kenarangi,Yuze Sun"
10.1364/OE.440687,Complete 2 pi phase control by photonic crystal slabs,OPTICS EXPRESS,2021,"Mingsen Pan,Zhonghe Liu,Akhil Raj Kumar Kalapala,Yudong Chen,Yuze Sun,Weidong Zhou"
10.3390/bios11090326,A Portable Micro-Gas Chromatography With Integrated Photonic Crystal Slab Sensors On Chip,BIOSENSORS-BASEL,2021,"Priyanka Biswas,Chen Zhang,Yudong Chen,Zhonghe Liu,Seyedmohsen Vaziri,Weidong Zhou,Yuze Sun"
10.1021/acsami.0c05967,Reconfigurable integrated optofluidic droplet laser array.,ACS applied materials & interfaces,2020,"Han Zhang,Prithviraj Palit,Yonghao Liu,Seyedmohsen Vaziri,Yuze Sun"
10.1021/acs.analchem.0c02848,Versatile Optofluidic Solid-Core/Liquid-Cladding Waveguide Based On Evanescent Wave Excitation,ANALYTICAL CHEMISTRY,2020,"Yuanxian Zhang,Fariba Kenarangi,Han Zhang,Seyedmohsen Vaziri,Dongyang Li,Xiaoyun Pu,Yuze Sun"
10.1109/IPC47351.2020.9252338,Ioinc Liquid Droplet Lasers,2020 IEEE PHOTONICS CONFERENCE (IPC),2020,"Han Zhang,Seyedmohsen Vaziri,Chen Zhang,Fariba Kennarangi,Yuze Sun"
