doi,标题,期刊,年份,作者
,Quadrupolar excitons and hybridized interlayer Mott insulator in a trilayer moiré superlattice.,Nature communications,2023,"Zhen Lian,Dongxue Chen,Lei Ma,Yuze Meng,Ying Su,Li Yan,Xiong Huang,Qiran Wu,Xinyue Chen,Mark Blei,Takashi Taniguchi,Kenji Watanabe,Sefaattin Tongay,Chuanwei Zhang,Yong-Tao Cui,Su-Fei Shi"
,"Quadrupolar Excitons and Hybridized Interlayer Mott Insulator in a
  Trilayer Moir\'e Superlattice",,2023,"Zhen Lian,Dongxue Chen,Lei Ma,Yuze Meng,Ying Su,Li Yan,Xiong Huang,Qiran Wu,Xinyue Chen,Mark Blei,Takashi Taniguchi,Kenji Watanabe,Sefaattin Tongay,Chuanwei Zhang,Yong-Tao Cui,Su-Fei Shi"
,"Measurements of Correlated Insulator Gaps in a Transition Metal
  Dichalcogenide Moir\'e Superlattice",,2023,"Xiong Huang,Dongxue Chen,Zhen Lian,Qiran Wu,Mina Rashetnia,Mark Blei,Takashi Taniguchi,Kenji Watanabe,Sefaattin Tongay,Su-Fei Shi,Yong-Tao Cui"
,Exciton Superposition across Moiré States in a Semiconducting Moiré Superlattice.,Nature communications,2023,"Zhen Lian,Dongxue Chen,Yuze Meng,Xiaotong Chen,Ying Su,Rounak Banerjee,Takashi Taniguchi,Kenji Watanabe,Sefaattin Tongay,Chuanwei Zhang,Yong-Tao Cui,Su-Fei Shi"
,"Valley-polarized Exitonic Mott Insulator in WS2/WSe2 Moir\'e
  Superlattice",,2023,"Zhen Lian,Yuze Meng,Lei Ma,Indrajit Maity,Li Yan,Qiran Wu,Xiong Huang,Dongxue Chen,Xiaotong Chen,Xinyue Chen,Mark Blei,Takashi Taniguchi,Kenji Watanabe,Sefaattin Tongay,Johannes Lischner,Yong-Tao Cui,Su-Fei Shi"
10.1002/adma.202110583,A Van der Waals Interface Hosting Two Groups of Magnetic Skyrmions,ADVANCED MATERIALS,2022,"Yingying Wu,Brian Francisco,Zhijie Chen,Wei Wang,Yu Zhang,Caihua Wan,Xiufeng Han,Hang Chi,Yasen Hou,Alessandro Lodesani,Gen Yin,Kai Liu,Yong-Tao Cui,Kang L Wang,Jagadeesh S Moodera"
10.1038/s41467-022-32808-w,Proximity-magnetized quantum spin Hall insulator: monolayer 1 T' WTe2/Cr2Ge2Te6,NATURE COMMUNICATIONS,2022,"Junxue Li,Mina Rashetnia,Mark Lohmann,Jahyun Koo,Youming Xu,Xiao Zhang,Kenji Watanabe,Takashi Taniguchi,Shuang Jia,Xi Chen,Binghai Yan,Yong-Tao Cui,Jing Shi"
10.1038/s41467-022-33645-7,Topological current divider in a Chern insulator junction,NATURE COMMUNICATIONS,2022,"Dmitry Ovchinnikov,Jiaqi Cai,Zhong Lin,Zaiyao Fei,Zhaoyu Liu,Yong-Tao Cui,David H Cobden,Jiun-Haw Chu,Cui-Zu Chang,Di Xiao,Jiaqiang Yan,Xiaodong Xu"
10.1038/s41567-022-01703-y,Excitonic insulator in a heterojunction moire superlattice,NATURE PHYSICS,2022,"Dongxue Chen,Zhen Lian,Xiong Huang,Ying Su,Mina Rashetnia,Lei Ma,Li Yan,Mark Blei,Li Xiang,Takashi Taniguchi,Kenji Watanabe,Sefaattin Tongay,Dmitry Smirnov,Zenghui Wang,Chuanwei Zhang,Yong-Tao Cui,Su-Fei Shi"
10.1038/s41467-022-32493-9,Tuning moiré excitons and correlated electronic states through layer degree of freedom,Nature Communications,2022,"Dongxue Chen,Zhen Lian,Xiong Huang,Ying Su,Mina Rashetnia,Li Yan,Mark Blei,Takashi Taniguchi,Kenji Watanabe,Sefaattin Tongay,Zenghui Wang,Chuanwei Zhang,Yong-Tao Cui,Su-Fei Shi"
