doi,标题,期刊,年份,作者
,"Decoding Structure-Spectrum Relationships with Physically Organized
  Latent Spaces",,2023,"Zhu Liang,Matthew R. Carbone,Wei Chen,Fanchen Meng,Eli Stavitski,Deyu Lu,Mark S. Hybertsen,Xiaohui Qu"
,"Accurate, uncertainty-aware classification of molecular chemical motifs
  from multi-modal X-ray absorption spectroscopy",,2023,"Matthew R. Carbone,Phillip M. Maffettone,Xiaohui Qu,Shinjae Yoo,Deyu Lu"
,"Multi-code Benchmark on Simulated Ti K-edge X-ray Absorption Spectra of
  Ti-O Compounds",,2023,"Fanchen Meng,Benedikt Maurer,Fabian Peschel,Sencer Selcuk,Mark Hybertsen,Xiaohui Qu,Christian Vorwerk,Claudia Draxl,John Vinson,Deyu Lu"
,"Simulated sulfur K-edge X-ray absorption spectroscopy database of
  lithium thiophosphate solid electrolytes",,2023,"Haoyue Guo,Matthew R. Carbone,Chuntian Cao,Jianzhou Qu,Yonghua Du,Seong-Min Bak,Conan Weiland,Feng Wang,Shinjae Yoo,Nongnuch Artrith,Alexander Urban,Deyu Lu"
,"Atomic Insights into the Oxidative Degradation Mechanisms of Sulfide
  Solid Electrolytes",,2023,"Chuntian Cao,Matthew R. Carbone,Cem Komurcuoglu,Jagriti S. Shekhawat,Kerry Sun,Haoyue Guo,Sizhan Liu,Ke Chen,Seong-Min Bak,Yonghua Du,Conan Weiland,Xiao Tong,Dan Steingart,Shinjae Yoo,Nongnuch Artrith,Alexander Urban,Deyu Lu,Feng Wang"
,"Prediction of the Cu Oxidation State from EELS and XAS Spectra Using
  Supervised Machine Learning",,2023,"Samuel P. Gleason,Deyu Lu,Jim Ciston"
,"Lightshow: a Python package for generating computational x-ray
  absorption spectroscopy input files",,2022,"Matthew R. Carbone,Fanchen Meng,Christian Vorwerk,Benedikt Maurer,Fabian Peschel,Xiaohui Qu,Eli Stavitski,Claudia Draxl,John Vinson,Deyu Lu"
10.3390/nano12020183,Water Formation Reaction under Interfacial Confinement: Al0.25Si0.75O2 on O-Ru(0001),NANOMATERIALS,2022,"Jorge Cored,Mengen Wang,Nusnin Akter,Zubin Darbari,Yixin Xu,Burcu Karagoz,Iradwikanari Waluyo,Adrian Hunt,Dario Stacchiola,Ashley Rose Head,Patricia Concepcion,Deyu Lu,Jorge Anibal Boscoboinik"
,"Uncertainty-aware predictions of molecular X-ray absorption spectra
  using neural network ensembles",,2022,"Animesh Ghose,Mikhail Segal,Fanchen Meng,Zhu Liang,Mark S. Hybertsen,Xiaohui Qu,Eli Stavitski,Shinjae Yoo,Deyu Lu,Matthew R. Carbone"
10.1103/PhysRevResearch.4.033045,Geometric quantum adiabatic methods for quantum chemistry,PHYSICAL REVIEW RESEARCH,2022,"Hongye Yu,Deyu Lu,Qin Wu,Tzu-Chieh Wei"
10.1088/1361-6528/ac4351,Exfoliating silica bilayers via intercalation at the silica/transition metal interface,NANOTECHNOLOGY,2022,"Mengen Wang,Jorge Anibal Boscoboinik,Deyu Lu"
10.1103/physrevb.104.235111,Machine-learning Kondo physics using variational autoencoders,,2021,"Cole Miles,Matthew R. Carbone,Erica J. Sturm,Deyu Lu,Andreas Weichselbaum,Kipton Barros,Robert M. Konik"
10.1103/PhysRevMaterials.5.L012801,Importance Of Nuclear Quantum Effects On The Hydration Of Chloride Ion,PHYSICAL REVIEW MATERIALS,2021,"Jianhang Xu,Zhaoru Sun,Chunyi Zhang,Mark DelloStritto,Michael L. Klein,Deyu Lu,Xifan Wu"
10.1103/PhysRevB.103.245118,Predicting Impurity Spectral Functions Using Machine Learning,PHYSICAL REVIEW B,2021,"Erica J. Sturm,Matthew R. Carbone,Deyu Lu,Andreas Weichselbaum,Robert M. Konik"
10.1002/anie.202012773,Kinetic Limitations In Single-Crystal High-Nickel Cathodes,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,2021,"Feng Wang,Mingyuan Ge,Sungun Wi,Xiang Liu,Jianming Bai,Steven Ehrlich,Deyu Lu,Wah-Keat Lee,Zonghai Chen"
10.1021/acs.chemmater.0c04547,Resolving The Evolution Of Atomic Layer-Deposited Thin-Film Growth By Continuous In Situ X-Ray Absorption Spectroscopy,CHEMISTRY OF MATERIALS,2021,"Xiaohui Qu,Danhua Yan,Ruoshui Li,Jiajie Cen,Chenyu Zhou,Wenrui Zhang,Deyu Lu,Klaus Attenkofer,Dario J. Stacchiola,Mark S. Hybertsen,Eli Stavitski,Mingzhao Liu"
10.1103/PhysRevLett.124.156401,Machine-Learning X-ray Absorption Spectra to Quantitative Accuracy,PHYSICAL REVIEW LETTERS,2020,"Carbone Matthew R.,Topsakal Mehmet,Lu Deyu,Yoo Shinjae"
10.1142/9789811204579_0007,Machine-Learning Assisted Structure Determination of Metallic Nanoparticles: A Benchmark,Handbook on Big Data and Machine Learning in the Physical Sciences,2020,"Yuewei Lin,Mehmet Topsakal,Janis Timoshenko,Deyu Lu,Shinjae Yoo,Anatoly I. Frenkel"
10.1021/acs.jpcc.0c09095,Confinement Effects On Furfuryl Alcohol Reactions Over Porous Bilayer Silica-Modified Pd(111),JOURNAL OF PHYSICAL CHEMISTRY C,2020,"Lesli O. Mark,Wei Chen,Calley N. Eads,Deyu Lu,J. Anibal Boscoboinik,Dario Stacchiola,J. Will Medlin,Samuel A. Tenney"
10.1103/PhysRevMaterials.4.034401,Probing Ferroelectricity By X-Ray Absorption Spectroscopy In Molecular Crystals,PHYSICAL REVIEW MATERIALS,2020,"Tang Fujie,Jiang Xuanyuan,Ko Hsin-Yu,Xu Jianhang,Topsakal Mehmet,Hao Guanhua,N'Diaye Alpha T.,Dowben Peter A.,Lu Deyu,Xu Xiaoshan,Wu Xifan"
,Inversion Symmetry Breaking Probed by X-ray Absorption Spectroscopy in H-bonded Organic Ferroelectric Crystal,Bulletin of the American Physical Society,2020,"Fujie Tang,Xuanyuan Jiang,Hsin-Yu Ko,Jianhang Xu,Mehmet Topsakal,Guanhua Hao,Alpha N'Diaye,Peter Dowben,Deyu Lu,Xiaoshan Xu,Xifan Wu"
10.1039/d0ta00226g,Operando Structural and Chemical Evolutions of TiS2 in Na-ion Batteries,JOURNAL OF MATERIALS CHEMISTRY A,2020,"Cheng-Hung Lin,Mehmet Topsakal,Ke Sun,Jianming Bai,Chonghang Zhao,Eric Dooryhee,Paul Northrup,Hong Gan,Deyu Lu,Eli Stavitski,Yu-chen Karen Chen-Wiegart"
10.1021/acs.nanolett.0c00037,Correction to Ultrathin Amorphous Titania on Nanowires: Optimization of Conformal Growth and Elucidation of Atomic-Scale Motifs,NANO LETTERS,2020,"Danhua Yan,Mehmet Topsakal,Sencer Selcuk,John L. Lyons,Wenrui Zhang,Qiyuan Wu,Iradwikanari Waluyo,Eli Stavitski,Klaus Attenkofer,Shinjae Yoo,Mark S. Hybertsen,Deyu Lu,Dario J. Stacchiola,Mingzhao Liu"
10.1126/science.aax3520,Kinetic Pathways Of Ionic Transport In Fast-Charging Lithium Titanate,SCIENCE,2020,"Wei Zhang,Dong-Hwa Seo,Tina Chen,Lijun Wu,Mehmet Topsakal,Yimei Zhu,Deyu Lu,Gerbrand Ceder,Feng Wang"
10.1021/acscatal.9b05289,Mechanism of the Accelerated Water Formation Reaction under Interfacial Confinement,ACS Catalysis,2020,"Mengen Wang,Chen Zhou,Nusnin Akter,Wilfred T. Tysoe,Jorge Anibal Boscoboinik,Deyu Lu"
10.1021/acscatal.9b02083,Local Structure and Electronic State of AtomicallyDispersed Pt Supported on Nanosized CeO 2,ACS Catalysis,2019,"Matthew Kottwitz,Yuanyuan Li,Robert M. Palomino,Zongyuan Liu,Guangjin Wang,Qin Wu,Jiahao Huang,Janis Timoshenko,Sanjaya D. Senanayake,Mahalingam Balasubramanian,Deyu Lu,Ralph G. Nuzzo,Anatoly I. Frenkel"
10.1002/adfm.201970137,2D‐(Alumino)Silicate‐Noble Clathrates: Ionization‐Facilitated Formation of 2D (Alumino)Silicate–Noble Gas Clathrate Compounds (Adv. Funct. Mater. 20/2019),Advanced Functional Materials,2019,"Jian‐Qiang Zhong,Mengen Wang,Nusnin Akter,John D. Kestell,Tianchao Niu,Alejandro M. Boscoboinik,Taejin Kim,Dario J. Stacchiola,Qin Wu,Deyu Lu,Jorge Anibal Boscoboinik"
10.1039/c8sc03502d,Determination of the structure and geometry of N-heterocyclic carbenes on Au(111) using high-resolution spectroscopy.,CHEMICAL SCIENCE,2019,"Giacomo Lovat,Evan A Doud,Deyu Lu,Gregor Kladnik,Michael S Inkpen,Michael L Steigerwald,Dean Cvetko,Mark S Hybertsen,Alberto Morgante,Xavier Roy,Latha Venkataraman"
10.1021/acs.jpcc.8b05853,First-Principles Study of Interface Structures and Charge Rearrangement at the Aluminosilicate / Ru(0001) Heterojunction,JOURNAL OF PHYSICAL CHEMISTRY C,2019,"Mengen Wang,Jian-Qiang Zhong,Dario Stacchiola,J. Anibal Boscoboinik,Deyu Lu"
10.1021/acs.jpcc.9b01110,Room Temperature in vacuo Chemisorption of Xenon Atoms on Ru(0001) under Interface Confinement,JOURNAL OF PHYSICAL CHEMISTRY C,2019,"Jian-Qiang Zhong,Mengen Wang,Nusnin Akter,Dario J. Stacchiola,Deyu Lu,Jorge Anibal Boscoboinik"
10.1103/PhysRevMaterials.3.033604,Classification Of Local Chemical Environments From X-Ray Absorption Spectra Using Supervised Machine Learning,PHYSICAL REVIEW MATERIALS,2019,"Matthew R. Carbone,Shinjae Yoo,Mehmet Topsakal,Deyu Lu"
10.1021/acs.nanolett.8b04888,Ultrathin amorphous titania on nanowires: Optimization of conformal growth and elucidation of atomic-scale motifs.,NANO LETTERS,2019,"Danhua Yan,Mehmet Topsakal,Sencer Selcuk,John L Lyons,Wenrui Zhang,Qiyuan Wu,Iradwikanari Waluyo,Eli Stavitski,Klaus Attenkofer,Shinjae Yoo,Mark S Hybertsen,Deyu Lu,Dario J Stacchiola,Mingzhao Liu"
10.1002/adfm.201806583,Ionization-Facilitated Formation Of 2d (Alumino)Silicate-Noble Gas Clathrate Compounds,ADVANCED FUNCTIONAL MATERIALS,2019,"Jian-Qiang Zhong,Mengen Wang,Nusnin Akter,John D. Kestell,Tianchao Niu,Alejandro M. Boscoboinik,Taejin Kim,Dario J. Stacchiola,Qin Wu,Deyu Lu,Jorge Anibal Boscoboinik"
,Using machine learning to predict local chemical environments from X-ray absorption spectra,Bulletin of the American Physical Society,2019,"Deyu Lu,Matthew Carbone,Mehmet Topsakal,Shinjae Yoo"
,Electronic Structure and Charge Transport Properties of N-Heterocyclic Carbenes on Au,Bulletin of the American Physical Society,2018,"Giacomo Lovat,Evan A. Doud,Deyu Lu,Michael S. Inkpen,Gregor Kladnik,Dean Cvetko,A. Morgante,Mark S. Hybertsen,Xavier Roy,Latha Venkataraman"
,Multi-Stage Structural Transformations in Zero-Strain Lithium Titanate Unveiled by in Situ X-ray Absorption Fingerprints,Bulletin of the American Physical Society,2018,"Deyu Lu,Mehmet Topsakal,Wei Zhang,Feng Wang,Amy Marschilok,Esther Takeuchi"
