doi,标题,期刊,年份,作者
10.1038/s41590-022-01388-8,Inducing trained immunity in pro-metastatic macrophages to control tumor metastasis.,Nature immunology,2023,"Chuanlin Ding,Rejeena Shrestha,Xiaojuan Zhu,Anne E Geller,Shouzhen Wu,Matthew R Woeste,Wenqian Li,Haomin Wang,Fang Yuan,Raobo Xu,Julia H Chariker,Xiaoling Hu,Hong Li,David Tieri,Huang-Ge Zhang,Eric C Rouchka,Robert Mitchell,Leah J Siskind,Xiang Zhang,Xiaoji G Xu,Kelly M McMasters,Yan Yu,Jun Yan"
10.1101/2023.04.25.538287,Propulsive cell entry diverts pathogens from immune degradation by remodeling the phagocytic synapse,bioRxiv : the preprint server for biology,2023,"Zihan Zhang,Thomas K. Gaetjens,Yanqi Yu,D. Paul Mallory,Steven M. Abel,Yan Yu"
10.1016/j.bpj.2022.11.304,It takes two to tango: Crosstalk between innate immune receptors,Biophysical Journal,2023,Yan Yu
,"""Two-faced"" particle sensors reveal the effect of particle surface anisotropy on phagosome degradative function",BIOPHYSICAL JOURNAL,2022,"Mengchi Jiao,Wenqian Li,Yanqi Yu,Yan Yu"
10.1016/j.bpj.2021.12.032,Single-phagosome imaging reveals that homotypic fusion impairs phagosome degradative function,BIOPHYSICAL JOURNAL,2022,"Yanqi Yu,Mengchi Jiao,Zihan Zhang,Yan Yu"
10.1016/j.bpj.2022.02.010,Immobile ligands enhance FcγR-TLR2/1 crosstalk by promoting interface overlap of receptor clusters,Biophysical Journal,2022,"Miao Li,Seonik Lee,Maryam Zahedian,Chuanlin Ding,Jun Yan,Yan Yu"
10.1021/acs.analchem.1c04756,Dual-Color Peak Force Infrared Microscopy,ANALYTICAL CHEMISTRY,2022,"Qing Xie,Jared Wiemann,Yan Yu,Xiaoji G Xu"
10.1038/s42003-022-03988-4,Kinetics of phagosome maturation is coupled to their intracellular motility,COMMUNICATIONS BIOLOGY,2022,"Yanqi Yu,Zihan Zhang,Glenn F. W. Walpole,Yan Yu"
10.1021/acs.jpcb.2c03557,Spatial Organization of Dectin-1 and TLR2 during Synergistic Crosstalk Revealed by Super-resolution Imaging,JOURNAL OF PHYSICAL CHEMISTRY B,2022,"Miao Li,Christopher Vultorius,Manisha Bethi,Yan Yu"
,3D Tumor Spheroid and Organoid to Model Tumor Microenvironment for Cancer Immunotherapy,Organoids,2022,"Yichen Zhu,Elliot Kang,Matthew Wilson,Taylor Basso,Evelynn Chen,Yanqi Yu,Yan-Ruide Li"
