doi,标题,期刊,年份,作者
10.1007/978-0-85729-124-0,Human Recognition at a Distance in Video,Human Recognition at a Distance in Video,2012,"Bir Bhanu,Ju Han"
10.1007/978-0-85729-124-0_6,Fusion Of Color/Infrared Video For Human Detection,HUMAN RECOGNITION AT A DISTANCE IN VIDEO,2011,"Bir Bhanu,Ju Han"
10.1007/978-0-85729-124-0_11,Feature Level Fusion Of Face And Gait At A Distance,HUMAN RECOGNITION AT A DISTANCE IN VIDEO,2011,"bir bhanu,ju han"
10.1007/978-0-85729-124-0_3,Model-Free Gait-Based Human Recognition In Video,HUMAN RECOGNITION AT A DISTANCE IN VIDEO,2011,"bir bhanu,ju han"
10.1007/978-0-85729-124-0_4,Discrimination Analysis For Model-Based Gait Recognition,HUMAN RECOGNITION AT A DISTANCE IN VIDEO,2011,"Bir Bhanu,Ju Han"
10.1007/978-0-85729-124-0_8,Evaluating Quality Of Super-Resolved Face Images,HUMAN RECOGNITION AT A DISTANCE IN VIDEO,2011,"Bir Bhanu,Ju Han"
10.1007/978-0-85729-124-0_9,Integrating Face Profile And Gait At A Distance,HUMAN RECOGNITION AT A DISTANCE IN VIDEO,2011,"bir bhanu,ju han"
10.1007/978-0-85729-124-0_5,Model-Based Human Recognition-2d And 3d Gait,HUMAN RECOGNITION AT A DISTANCE IN VIDEO,2011,"Bir Bhanu,Ju Han"
10.1007/978-0-85729-124-0_2,Gait Representations In Video,HUMAN RECOGNITION AT A DISTANCE IN VIDEO,2011,"Bir Bhanu,Ju Han"
10.1007/978-0-85729-124-0_10,Match Score Level Fusion Of Face And Gait At A Distance,HUMAN RECOGNITION AT A DISTANCE IN VIDEO,2011,"Bir Bhanu,Ju Han"
10.1007/978-0-85729-124-0_7,Super-Resolution Of Facial Images In Video At A Distance,HUMAN RECOGNITION AT A DISTANCE IN VIDEO,2011,"Bir Bhanu,Ju Han"
10.1109/CVPR.2005.469,Human Activity Recognition in Thermal Infrared Imagery,CVPR Workshops,2005,"Ju Han,Bir Bhanu"
,Gait-based human recognition in video,Gait-based human recognition in video,2005,"Bir Bhanu,Ju Han"
10.1109/MOTION.2002.1182227,Bayesian based Performance Prediction for Gait Recognition,MOTION '02 Proceedings of the Workshop on Motion and Video Computing,2002,"Bir Bhanu,Ju Han"
10.1109/ICPR.2002.1047863,Individual recognition by kinematic-based gait analysis,ICPR (3),2002,"Bir Bhanu,Ju Han"
10.1109/ACV.2002.1182183,Kinematic-based human motion analysis in infrared sequences,WACV,2002,"Bir Bhanu,Ju Han"
