doi,标题,期刊,年份,作者
10.1103/PhysRevD.102.072004,Excess electronic recoil events in XENON1T,PHYSICAL REVIEW D,2020,"E. Aprile,J. Aalbers,F. Agostini,M. Alfonsi,L. Althueser,F. D. Amaro,V. C. Antochi,E. Angelino,J. R. Angevaare,F. Arneodo,D. Barge,L. Baudis,B. Bauermeister,L. Bellagamba,M. L. Benabderrahmane,T. Berger,A. Brown,E. Brown,S. Bruenner,G. Bruno,R. Budnik,C. Capelli,J. M. R. Cardoso,D. Cichon,B. Cimmino,M. Clark,D. Coderre,A. P. Colijn,J. Conrad,J. P. Cussonneau,M. P. Decowski,A. Depoian,P. Di Gangi,A. Di Giovanni,R. Di Stefano,S. Diglio,A. Elykov,G. Eurin,A. D. Ferella,W. Fulgione,P. Gaemers,R. Gaior,M. Galloway,F. Gao,L. Grandi,C. Hasterok,C. Hils,K. Hiraide,L. Hoetzsch,J. Howlett,M. Iacovacci,Y. Itow,F. Joerg,N. Kato,S. Kazama,M. Kobayashi,G. Koltman,A. Kopec,H. Landsman,R. F. Lang,L. Levinson,Q. Lin,S. Lindemann,M. Lindner,F. Lombardi,J. Long,J. A. M. Lopes,E. Lopez Fune,C. Macolino,J. Mahlstedt,A. Mancuso,L. Manenti,A. Manfredini,F. Marignetti,T. Marrodan Undagoitia,K. Martens,J. Masbou,D. Masson,S. Mastroianni,M. Messina,K. Miuchi,K. Mizukoshi,A. Molinario,K. Mora,S. Moriyama,Y. Mosbacher,M. Murra,J. Naganoma,K. Ni,U. Oberlack,K. Odgers,J. Palacio,B. Pelssers,R. Peres,J. Pienaar,V Pizzella,G. Plante,J. Qin,H. Qiu,D. Ramirez Garcia,S. Reichard,A. Rocchetti,N. Rupp,J. M. F. dos Santos,G. Sartorelli,N. Sarcevic,M. Scheibelhut,J. Schreiner,D. Schulte,M. Schumann,L. Scotto Lavina,M. Selvi,F. Semeria,P. Shagin,E. Shockley,M. Silva,H. Simgen,A. Takeda,C. Therreau,D. Thers,F. Toschi,G. Trinchero,C. Tunnell,M. Vargas,G. Volta,H. Wang,Y. Wei,C. Weinheimer,M. Weiss,D. Wenz,C. Wittweg,Z. Xu,M. Yamashita,J. Ye,G. Zavattini,Y. Zhang,T. Zhu,J. P. Zopounidis,X. Mougeot"
10.1088/1475-7516/2020/11/031,Projected Wimp Sensitivity Of The Xenonnt Dark Matter Experiment,JOURNAL OF COSMOLOGY AND ASTROPARTICLE PHYSICS,2020,"The XENON collaboration,E. Aprile,J. Aalbers,F. Agostini,M. Alfonsi,L. Althueser,F. D. Amaro,V. C. Antochi,E. Angelino,J. R. Angevaare,F. Arneodo,D. Barge,L. Baudis,B. Bauermeister,L. Bellagamba,M. L. Benabderrahmane,T. Berger,A. Brown,E. Brown,S. Bruenner,G. Bruno,R. Budnik,C. Capelli,J. M. R. Cardoso,D. Cichon,B. Cimmino,M. Clark,D. Coderre,A. P. Colijn,J. Conrad,J. P. Cussonneau,M. P. Decowski,A. Depoian,P. Di Gangi,A. Di Giovanni,R. Di Stefano,S. Diglio,A. Elykov,G. Eurin,A. D. Ferella,W. Fulgione,P. Gaemers,R. Gaior,M. Galloway,F. Gao,L. Grandi,C. Hasterok,C. Hils,K. Hiraide,L. Hoetzsch,J. Howlett,M. Iacovacci,Y. Itow,F. Joerg,N. Kato,S. Kazama,M. Kobayashi,G. Koltman,A. Kopec,H. Landsman,R. F. Lang,L. Levinson,Q. Lin,S. Lindemann,M. Lindner,F. Lombardi,J. Long,J. A. M. Lopes,E. López Fune,C. Macolino,J. Mahlstedt,A. Mancuso,L. Manenti,A. Manfredini,F. Marignetti,T. Marrodán Undagoitia,K. Martens,J. Masbou,D. Masson,S. Mastroianni,M. Messina,K. Miuchi,K. Mizukoshi,A. Molinario,K. Morå,S. Moriyama,Y. Mosbacher,M. Murra,J. Naganoma,K. Ni,U. Oberlack,K. Odgers,J. Palacio,B. Pelssers,R. Peres,J. Pienaar,V. Pizzella,G. Plante,J. Qin,H. Qiu,D. Ramírez García,S. Reichard,A. Rocchetti,N. Rupp,J. M. F. dos Santos,G. Sartorelli,N. Šarčević,M. Scheibelhut,J. Schreiner,D. Schulte,M. Schumann,L. Scotto Lavina,M. Selvi,F. Semeria,P. Shagin,E. Shockley,M. Silva,H. Simgen,A. Takeda,C. Therreau,D. Thers,F. Toschi,G. Trinchero,C. Tunnell,K. Valerius,M. Vargas,G. Volta,H. Wang,Y. Wei,C. Weinheimer,M. Weiss,D. Wenz,C. Wittweg,Z. Xu,M. Yamashita,J. Ye,G. Zavattini,Y. Zhang,T. Zhu,J. P. Zopounidis"
10.1103/PhysRevLett.122.141301,Constraining the Spin-Dependent WIMP-Nucleon Cross Sections with XENON1T.,PHYSICAL REVIEW LETTERS,2019,"E Aprile,J Aalbers,F Agostini,M Alfonsi,L Althueser,F D Amaro,M Anthony,V C Antochi,F Arneodo,L Baudis,B Bauermeister,M L Benabderrahmane,T Berger,P A Breur,A Brown,E Brown,S Bruenner,G Bruno,R Budnik,C Capelli,J M R Cardoso,D Cichon,D Coderre,A P Colijn,J Conrad,J P Cussonneau,M P Decowski,P de Perio,P Di Gangi,A Di Giovanni,S Diglio,A Elykov,G Eurin,J Fei,A D Ferella,A Fieguth,W Fulgione,A Gallo Rosso,M Galloway,F Gao,M Garbini,L Grandi,Z Greene,C Hasterok,E Hogenbirk,J Howlett,M Iacovacci,R Itay,F Joerg,S Kazama,A Kish,G Koltman,A Kopec,H Landsman,R F Lang,L Levinson,Q Lin,S Lindemann,M Lindner,F Lombardi,J A M Lopes,E López Fune,C Macolino,J Mahlstedt,A Manfredini,F Marignetti,T Marrodán Undagoitia,J Masbou,D Masson,S Mastroianni,M Messina,K Micheneau,K Miller,A Molinario,K Morå,Y Mosbacher,M Murra,J Naganoma,K Ni,U Oberlack,K Odgers,B Pelssers,F Piastra,J Pienaar,V Pizzella,G Plante,R Podviianiuk,N Priel,H Qiu,D Ramírez García,S Reichard,B Riedel,A Rizzo,A Rocchetti,N Rupp,J M F Dos Santos,G Sartorelli,N Šarčević,M Scheibelhut,S Schindler,J Schreiner,D Schulte,M Schumann,L Scotto Lavina,M Selvi,P Shagin,E Shockley,M Silva,H Simgen,C Therreau,D Thers,F Toschi,G Trinchero,C Tunnell,N Upole,M Vargas,O Wack,H Wang,Z Wang,Y Wei,C Weinheimer,D Wenz,C Wittweg,J Wulf,Z Xu,J Ye,Y Zhang,T Zhu,J P Zopounidis"
10.1103/PhysRevLett.122.071301,"First Results on the Scalar WIMP-Pion Coupling, Using the XENON1T Experiment.",PHYSICAL REVIEW LETTERS,2019,"E Aprile,J Aalbers,F Agostini,M Alfonsi,L Althueser,F D Amaro,M Anthony,V C Antochi,F Arneodo,L Baudis,B Bauermeister,M L Benabderrahmane,T Berger,P A Breur,A Brown,E Brown,S Bruenner,G Bruno,R Budnik,C Capelli,J M R Cardoso,D Cichon,D Coderre,A P Colijn,J Conrad,J P Cussonneau,M P Decowski,P de Perio,P Di Gangi,A Di Giovanni,S Diglio,A Elykov,G Eurin,J Fei,A D Ferella,A Fieguth,W Fulgione,A Gallo Rosso,M Galloway,F Gao,M Garbini,L Grandi,Z Greene,C Hasterok,E Hogenbirk,J Howlett,M Iacovacci,R Itay,F Joerg,B Kaminsky,S Kazama,A Kish,G Koltman,A Kopec,H Landsman,R F Lang,L Levinson,Q Lin,S Lindemann,M Lindner,F Lombardi,J A M Lopes,E López Fune,C Macolino,J Mahlstedt,A Manfredini,F Marignetti,T Marrodán Undagoitia,J Masbou,D Masson,S Mastroianni,M Messina,K Micheneau,K Miller,A Molinario,K Morå,M Murra,J Naganoma,K Ni,U Oberlack,K Odgers,B Pelssers,F Piastra,J Pienaar,V Pizzella,G Plante,R Podviianiuk,N Priel,H Qiu,D Ramírez García,S Reichard,B Riedel,A Rizzo,A Rocchetti,N Rupp,J M F Dos Santos,G Sartorelli,N Šarčević,M Scheibelhut,S Schindler,J Schreiner,D Schulte,M Schumann,L Scotto Lavina,M Selvi,P Shagin,E Shockley,M Silva,H Simgen,C Therreau,D Thers,F Toschi,G Trinchero,C Tunnell,N Upole,M Vargas,O Wack,H Wang,Z Wang,Y Wei,C Weinheimer,D Wenz,C Wittweg,J Wulf,J Ye,Y Zhang,T Zhu,J P Zopounidis,M Hoferichter,P Klos,J Menéndez,A Schwenk"
10.1103/PhysRevLett.123.251801,Light Dark Matter Search with Ionization Signals in XENON1T.,PHYSICAL REVIEW LETTERS,2019,"E Aprile,J Aalbers,F Agostini,M Alfonsi,L Althueser,F D Amaro,V C Antochi,E Angelino,F Arneodo,D Barge,L Baudis,B Bauermeister,L Bellagamba,M L Benabderrahmane,T Berger,P A Breur,A Brown,E Brown,S Bruenner,G Bruno,R Budnik,C Capelli,J M R Cardoso,D Cichon,D Coderre,A P Colijn,J Conrad,J P Cussonneau,M P Decowski,P de Perio,A Depoian,P Di Gangi,A Di Giovanni,S Diglio,A Elykov,G Eurin,J Fei,A D Ferella,A Fieguth,W Fulgione,P Gaemers,A Gallo Rosso,M Galloway,F Gao,M Garbini,L Grandi,Z Greene,C Hasterok,C Hils,E Hogenbirk,J Howlett,M Iacovacci,R Itay,F Joerg,S Kazama,A Kish,M Kobayashi,G Koltman,A Kopec,H Landsman,R F Lang,L Levinson,Q Lin,S Lindemann,M Lindner,F Lombardi,J A M Lopes,E López Fune,C Macolino,J Mahlstedt,A Manfredini,F Marignetti,T Marrodán Undagoitia,J Masbou,S Mastroianni,M Messina,K Micheneau,K Miller,A Molinario,K Morå,Y Mosbacher,M Murra,J Naganoma,K Ni,U Oberlack,K Odgers,J Palacio,B Pelssers,R Peres,J Pienaar,V Pizzella,G Plante,R Podviianiuk,J Qin,H Qiu,D Ramírez García,S Reichard,B Riedel,A Rocchetti,N Rupp,J M F Dos Santos,G Sartorelli,N Šarčević,M Scheibelhut,S Schindler,J Schreiner,D Schulte,M Schumann,L Scotto Lavina,M Selvi,P Shagin,E Shockley,M Silva,H Simgen,C Therreau,D Thers,F Toschi,G Trinchero,C Tunnell,N Upole,M Vargas,G Volta,O Wack,H Wang,Y Wei,C Weinheimer,D Wenz,C Wittweg,J Wulf,J Ye,Y Zhang,T Zhu,J P Zopounidis"
10.1103/PhysRevD.100.052014,"XENON1T Dark Matter Data Analysis: Signal Reconstruction, Calibration and Event Selection",PHYSICAL REVIEW D,2019,"E. Aprile,J. Aalbers,F. Agostini,M. Alfonsi,L. Althueser,F. D. Amaro,V. C. Antochi,F. Arneodo,L. Baudis,B. Bauermeister,L. Bellagamba,M. L. Benabderrahmane,T. Berger,P. A. Breur,A. Brown,E. Brown,S. Bruenner,G. Bruno,R. Budnik,C. Capelli,J. M. R. Cardoso,D. Cichon,D. Coderre,A. P. Colijn,J. Conrad,J. P. Cussonneau,M. P. Decowski,P. de Perio,P. Di Gangi,A. Di Giovanni,S. Diglio,A. Elykov,G. Eurin,J. Fei,A. D. Ferella,A. Fieguth,W. Fulgione,A. Gallo Rosso,M. Galloway,F. Gao,M. Garbini,L. Grandi,Z. Greene,C. Hasterok,E. Hogenbirk,J. Howlett,M. Iacovacci,R. Itay,F. Joerg,S. Kazama,A. Kish,G. Koltman,A. Kopec,H. Landsman,R. F. Lang,L. Levinson,Q. Lin,S. Lindemann,M. Lindner,F. Lombardi,J. A. M. Lopes,E. López Fune,C. Macolino,J. Mahlstedt,A. Manfredini,F. Marignetti,T. Marrodán Undagoitia,J. Masbou,D. Masson,S. Mastroianni,M. Messina,K. Micheneau,K. Miller,A. Molinario,K. Morå,Y. Mosbacher,M. Murra,J. Naganoma,K. Ni,U. Oberlack,K. Odgers,B. Pelssers,R. Peres,F. Piastra,J. Pienaar,V. Pizzella,G. Plante,R. Podviianiuk,H. Qiu,D. Ramírez García,S. Reichard,B. Riedel,A. Rizzo,A. Rocchetti,N. Rupp,J. M. F. dos Santos,G. Sartorelli,N. Šarčević,M. Scheibelhut,S. Schindler,J. Schreiner,D. Schulte,M. Schumann,L. Scotto Lavina,M. Selvi,P. Shagin,E. Shockley,M. Silva,H. Simgen,C. Therreau,D. Thers,F. Toschi,G. Trinchero,C. Tunnell,N. Upole,M. Vargas,O. Wack,H. Wang,Z. Wang,Y. Wei,C. Weinheimer,D. Wenz,C. Wittweg,J. Wulf,J. Ye,Y. Zhang,T. Zhu,J. P. Zopounidis"
10.1103/PhysRevD.99.112009,"XENON1T Dark Matter Data Analysis: Signal & Background Models, and Statistical Inference.",PHYSICAL REVIEW D,2019,"E. Aprile,J. Aalbers,F. Agostini,M. Alfonsi,L. Althueser,F. D. Amaro,V. C. Antochi,F. Arneodo,L. Baudis,B. Bauermeister,M. L. Benabderrahmane,T. Berger,P. A. Breur,A. Brown,E. Brown,S. Bruenner,G. Bruno,R. Budnik,C. Capelli,J. M. R. Cardoso,D. Cichon,D. Coderre,A. P. Colijn,J. Conrad,J. P. Cussonneau,M. P. Decowski,P. de Perio,P. Di Gangi,A. Di Giovanni,S. Diglio,A. Elykov,G. Eurin,J. Fei,A. D. Ferella,A. Fieguth,W. Fulgione,A. Gallo Rosso,M. Galloway,F. Gao,M. Garbini,L. Grandi,Z. Greene,C. Hasterok,E. Hogenbirk,J. Howlett,M. Iacovacci,R. Itay,F. Joerg,S. Kazama,A. Kish,G. Koltman,A. Kopec,H. Landsman,R. F. Lang,L. Levinson,Q. Lin,S. Lindemann,M. Lindner,F. Lombardi,J. A. M. Lopes,E. López Fune,C. Macolino,J. Mahlstedt,A. Manfredini,F. Marignetti,T. Marrodán Undagoitia,J. Masbou,D. Masson,S. Mastroianni,M. Messina,K. Micheneau,K. Miller,A. Molinario,K. Morå,Y. Mosbacher,M. Murra,J. Naganoma,K. Ni,U. Oberlack,K. Odgers,B. Pelssers,F. Piastra,J. Pienaar,V. Pizzella,G. Plante,R. Podviianiuk,H. Qiu,D. Ramírez García,S. Reichard,B. Riedel,A. Rizzo,A. Rocchetti,N. Rupp,J. M. F. dos Santos,G. Sartorelli,N. Šarčević,M. Scheibelhut,S. Schindler,J. Schreiner,D. Schulte,M. Schumann,L. Scotto Lavina,M. Selvi,P. Shagin,E. Shockley,M. Silva,H. Simgen,C. Therreau,D. Thers,F. Toschi,G. Trinchero,C. Tunnell,N. Upole,M. Vargas,O. Wack,H. Wang,Z. Wang,Y. Wei,C. Weinheimer,D. Wenz,C. Wittweg,J. Wulf,J. Ye,Y. Zhang,T. Zhu,J. P. Zopounidis"
10.1140/epjc/s10052-018-5565-y,Intrinsic backgrounds from Rn and Kr in the XENON100 experiment,European Physical Journal C,2018,"E. Aprile,J. Aalbers,F. Agostini,M. Alfonsi,F. D. Amaro,M. Anthony,F. Arneodo,P. Barrow,L. Baudis,B. Bauermeister,M. L. Benabderrahmane,T. Berger,P. A. Breur,A. Brown,E. Brown,S. Bruenner,G. Bruno,R. Budnik,L. Bütikofer,J. Calvén,João Cardoso,M. Cervantes,D. Cichon,D. Coderre,A.P. Colijn,J. Conrad,J. P. Cussonneau,M.P. Decowski,P. de Perio,P. Di Gangi,A. Di Giovanni,S. Diglio,G. Eurin,J. Fei,A. D. Ferella,A. Fieguth,W. Fulgione,A. Gallo Rosso,M. Galloway,F. Gao,M. Garbini,C. Geis,L. W. Goetzke,Z. Greene,C. Grignon,C. Hasterok,E. Hogenbirk,R. Itay,B. Kaminsky,S. Kazama,G. Kessler,A. Kish,H. Landsman,R. F. Lang,D. Lellouch,L. J. Levinson,Q. Lin,S. Lindemann,Manfred Lindner,F. Lombardi,J. A. M. Lopes,A. Manfredini,I. Maris,T. Marrodán Undagoitia,J. Masbou,F. V. Massoli,D. Masson,D. Mayani,M. Messina,K. Micheneau,A. Molinario,K. Morå,M. Murra,J. Naganoma,K. Ni,U. Oberlack,P. Pakarha,B. Pelssers,R. Persiani,F. Piastra,J. Pienaar,M.-C. Piro,V. Pizzella,G. Plante,N. Priel,D. Ramírez García,L. Rauch,S. Reichard,C. Reuter,A. Rizzo,N. Rupp,J.M.F. dos Santos,G. Sartorelli,M. Scheibelhut,S. Schindler,J. Schreiner,M. Schumann,L. Scotto Lavina,M. Selvi,P. Shagin,M. Silva,H. Simgen,M. von Sivers,A. Stein,D. Thers,A. Tiseni,G. Trinchero,C. Tunnell,M. Vargas,Hongwei Wang,Zhou Wang,Martin Weber,Y. Wei,C. Weinheimer,C. Wittweg,J. Wulf,J. Ye,Y. Zhang"
10.1103/PhysRevD.97.092007,Signal Yields of keV Electronic Recoils and Their Discrimination from Nuclear Recoils in Liquid Xenon,PHYSICAL REVIEW D,2018,"E. Aprile,J. Aalbers,F. Agostini,M. Alfonsi,F. D. Amaro,M. Anthony,F. Arneodo,P. Barrow,L. Baudis,B. Bauermeister,M.L. Benabderrahmane,T. Berger,P. A. Breur,April S. Brown,E. Brown,S. Bruenner,G. Bruno,R. Budnik,Lukas Bütikofer,J. Calvén,João Cardoso,M. Cervantes,D. Cichon,D. Coderre,A.P. Colijn,J. Conrad,J.P. Cussonneau,M.P. Decowski,P. de Perio,P. Di Gangi,A. Di Giovanni,S. Diglio,G. Eurin,J. Fei,A. D. Ferella,A. Fieguth,W. Fulgione,A. Gallo Rosso,M. Galloway,F. Gao,M. Garbini,C. Geis,L. W. Goetzke,L. Grandi,Z. Greene,C. Grignon,C. Hasterok,E. Hogenbirk,J. Howlett,R. Itay,B. Kaminsky,S. Kazama,G. Kessler,A. Kish,H. Landsman,R. F. Lang,D. Lellouch,L. J. Levinson,Q. Lin,S. Lindemann,Manfred Lindner,F. Lombardi,J. A. M. Lopes,J. Mahlstedt,A. Manfredini,I. Maris,T. Marrodán Undagoitia,J. Masbou,F. V. Massoli,D. Masson,D. Mayani,M. Messina,K. Micheneau,A. Molinario,K. Morå,M. Murra,J. Naganoma,K. Ni,U. Oberlack,P. Pakarha,B. Pelssers,R. Persiani,F. Piastra,J. Pienaar,V. Pizzella,M.-C. Piro,G. Plante,N. Priel,D. Ramírez García,L. Rauch,S. Reichard,C. Reuter,A. Rizzo,N. Rupp,R. Saldanha,J.M.F. dos Santos,G. Sartorelli,M. Scheibelhut,S. Schindler,J. Schreiner,M. Schumann,L. Scotto Lavina,M. Selvi,P. Shagin,E. Shockley,M. Silva,H. Simgen,Moritz von Sivers,A. Stein,D. Thers,A. Tiseni,G. Trinchero,C. Tunnell,M. Vargas,H. Wang,Zhou Wang,Y. Wei,C. Weinheimer,C. Wittweg,J. Wulf,J. Ye,Y. Zhang,T. Zhu"
10.1103/PhysRevLett.118.101101,Search for Electronic Recoil Event Rate Modulation with 4 Years of XENON100 Data.,PHYSICAL REVIEW LETTERS,2017,"E Aprile,J Aalbers,F Agostini,M Alfonsi,F D Amaro,M Anthony,F Arneodo,P Barrow,L Baudis,B Bauermeister,M L Benabderrahmane,T Berger,P A Breur,A Brown,E Brown,S Bruenner,G Bruno,R Budnik,L Bütikofer,J Calvén,J M R Cardoso,M Cervantes,D Cichon,D Coderre,A P Colijn,J Conrad,J P Cussonneau,M P Decowski,P de Perio,P Di Gangi,A Di Giovanni,S Diglio,G Eurin,J Fei,A D Ferella,A Fieguth,D Franco,W Fulgione,A Gallo Rosso,M Galloway,F Gao,M Garbini,C Geis,L W Goetzke,Z Greene,C Grignon,C Hasterok,E Hogenbirk,R Itay,B Kaminsky,G Kessler,A Kish,H Landsman,R F Lang,D Lellouch,L Levinson,Q Lin,S Lindemann,M Lindner,J A M Lopes,A Manfredini,I Maris,T Marrodán Undagoitia,J Masbou,F V Massoli,D Masson,D Mayani,M Messina,K Micheneau,B Miguez,A Molinario,M Murra,J Naganoma,K Ni,U Oberlack,P Pakarha,B Pelssers,R Persiani,F Piastra,J Pienaar,V Pizzella,M-C Piro,G Plante,N Priel,L Rauch,S Reichard,C Reuter,A Rizzo,S Rosendahl,N Rupp,J M F Dos Santos,G Sartorelli,M Scheibelhut,S Schindler,J Schreiner,M Schumann,L Scotto Lavina,M Selvi,P Shagin,M Silva,H Simgen,M V Sivers,A Stein,D Thers,A Tiseni,G Trinchero,C Tunnell,H Wang,Y Wei,C Weinheimer,J Wulf,J Ye,Y Zhang"
