doi,标题,期刊,年份,作者
,An integrated online radioassay data storage and analytics tool for nEXO,,2023,"R. H. M. Tsang,A. Piepke,S. Al Kharusi,E. Angelico,I. J. Arnquist,A. Atencio,I. Badhrees,J. Bane,V. Belov,E. P. Bernard,A. Bhat,T. Bhatta,A. Bolotnikov,P. A. Breur,J. P. Brodsky,E. Brown,T. Brunner,E. Caden,G. F. Cao,L. Q. Cao,D. Cesmecioglu,C. Chambers,E. Chambers,B. Chana,S. A. Charlebois,D. Chernyak,M. Chiu,B. Cleveland,J. R. Cohen,R. Collister,M. Cvitan,J. Dalmasson,L. Darroch,K. Deslandes,R. DeVoe,M. L. di Vacri,Y. Y. Ding,M. J. Dolinski,J. Echevers,B. Eckert,M. Elbeltagi,R. Elmansali,L. Fabris,W. Fairbank,J. Farine,Y. S. Fu,D. Gallacher,G. Gallina,P. Gautam,G. Giacomini,W. Gillis,C. Gingras,D. Goeldi,R. Gornea,G. Gratta,Y. D. Guan,C. A. Hardy,S. Hedges,M. Heffner,E. Hein,J. Holt,E. W. Hoppe,A. House,W. Hunt,A. Iverson,A. Jamil,X. S. Jiang,A. Karelin,L. J. Kaufman,I. Kotov,R. Krücken,A. Kuchenkov,K. S. Kumar,A. Larson,K. G. Leach,B. G. Lenardo,D. S. Leonard,G. Li,S. Li,Z. Li,C. Licciardi,R. Lindsay,R. MacLellan,M. Mahtab,S. Majidi,C. Malbrunot,P. Martel-Dion,J. Masbou,N. Massacret,K. McMichael,B. Mong,D. C. Moore,K. Murray,J. Nattress,C. R. Natzke,X. E. Ngwadla,K. Ni,A. Nolan,S. C. Nowicki,J. C. Nzobadila Ondze,J. L. Orrell,G. S. Ortega,C. T. Overman,H. Peltz-Smalley,A. Perna,T. Pinto Franco,A. Pocar,J. -F. Pratte,V. Radeka,E. Raguzin,H. Rasiwala,D. Ray,B. Rebeiro,S. Rescia,F. Retière,G. Richardson,J. Ringuette,V. Riot,P. C. Rowson,N. Roy,L. Rudolph,R. Saldanha,S. Sangiorgio,S. Schwartz,J. Soderstrom,A. K. Soma,F. Spadoni,V. Stekhanov,X. L. Sun,E. Teimoori Barakoohi,S. Thibado,A. Tidball,T. Totev,S. Triambak,T. Tsang,O. A. Tyuka,R. Underwood,E. van Bruggen,V. Veeraraghavan,M. Vidal,S. Viel,M. Walent,K. Wamba,Q. D. Wang,W. Wang,Y. G. Wang,M. Watts,W. Wei,L. J. Wen,U. Wichoski,S. Wilde,M. Worcester,S. Wu,X. M. Wu,H. Yang,L. Yang,M. Yvaine,O. Zeldovich,J. Zhao,T. Ziegler"
,Low-energy Calibration of XENON1T with an Internal $^{37}$Ar Source,,2023,"E. Aprile,K. Abe,F. Agostini,S. Ahmed Maouloud,M. Alfonsi,L. Althueser,B. Andrieu,E. Angelino,J. R. Angevaare,V. C. Antochi,D. Antón Martin,F. Arneodo,L. Baudis,A. L. Baxter,L. Bellagamba,R. Biondi,A. Bismark,A. Brown,S. Bruenner,G. Bruno,R. Budnik,T. K. Bui,C. Cai,C. Capelli,J. M. R. Cardoso,D. Cichon,A. P. Colijn,J. Conrad,J. J. Cuenca-García,J. P. Cussonneau,V. D'Andrea,M. P. Decowski,P. Di Gangi,S. Di Pede,S. Diglio,K. Eitel,A. Elykov,S. Farrell,A. D. Ferella,C. Ferrari,H. Fischer,W. Fulgione,P. Gaemers,R. Gaior,A. Gallo Rosso,M. Galloway,F. Gao,R. Glade-Beucke,L. Grandi,J. Grigat,M. Guida,R. Hammann,A. Higuera,C. Hils,L. Hoetzsch,J. Howlett,M. Iacovacci,Y. Itow,J. Jakob,F. Joerg,A. Joy,N. Kato,M. Kara,P. Kavrigin,S. Kazama,M. Kobayashi,G. Koltman,A. Kopec,F. Kuger,H. Landsman,R. F. Lang,L. Levinson,I. Li,S. Li,S. Liang,S. Lindemann,M. Lindner,K. Liu,J. Loizeau,F. Lombardi,J. Long,J. A. M. Lopes,Y. Ma,C. Macolino,J. Mahlstedt,A. Mancuso,L. Manenti,F. Marignetti,T. Marrodán Undagoitia,K. Martens,J. Masbou,D. Masson,E. Masson,S. Mastroianni,M. Messina,K. Miuchi,K. Mizukoshi,A. Molinario,S. Moriyama,K. Morå,Y. Mosbacher,M. Murra,J. Müller,K. Ni,U. Oberlack,B. Paetsch,J. Palacio,R. Peres,C. Peters,J. Pienaar,M. Pierre,V. Pizzella,G. Plante,J. Qi,J. Qin,D. Ramírez García,S. Reichard,A. Rocchetti,N. Rupp,L. Sanchez,P. Sanchez-Lucas,J. M. F. dos Santos,I. Sarnoff,G. Sartorelli,J. Schreiner,D. Schulte,P. Schulte,H. Schulze Eißing,M. Schumann,L. Scotto Lavina,M. Selvi,F. Semeria,P. Shagin,S. Shi,E. Shockley,M. Silva,H. Simgen,A. Takeda,P. -L. Tan,A. Terliuk,D. Thers,F. Toschi,G. Trinchero,C. Tunnell,F. Tönnies,K. Valerius,G. Volta,C. Weinheimer,M. Weiss,D. Wenz,C. Wittweg,T. Wolf,D. Xu,Z. Xu,M. Yamashita,L. Yang,J. Ye,L. Yuan,G. Zavattini,S. Zerbo,M. Zhong,T. Zhu,C. Geppert,J. Riemer"
,"Low Energy Electronic Recoils and Single Electron Detection with a
  Liquid Xenon Proportional Scintillation Counter",,2023,"Jianyang Qi,Noah Hood,Abigail Kopec,Yue Ma,Haiwen Xu,Min Zhong,Kaixuan Ni"
,"A Review of NEST Models, and Their Application to Improvement of
  Particle Identification in Liquid Xenon Experiments",,2023,"M. Szydagis,J. Balajthy,G. A. Block,J. P. Brodsky,E. Brown,J. E. Cutter,S. J. Farrell,J. Huang,E. S. Kozlova,C. S. Liebenthal,A. Manalaysay,D. N. McKinsey,K. McMichael,M. Mooney,J. Mueller,K. Ni,G. R. C. Rischbieter,M. Tripathi,C. D. Tunnell,V. Velan,M. D. Wyman,Z. Zhao,M. Zhong"
,Searching for Heavy Dark Matter near the Planck Mass with XENON1T,Physical review letters,2023,"E. Aprile,K. Abe,S. Ahmed Maouloud,L. Althueser,B. Andrieu,E. Angelino,J. R. Angevaare,V. C. Antochi,D. Antón Martin,F. Arneodo,L. Baudis,A. L. Baxter,M. Bazyk,L. Bellagamba,R. Biondi,A. Bismark,E. J. Brookes,A. Brown,S. Bruenner,G. Bruno,R. Budnik,T. K. Bui,C. Cai,J. M. R. Cardoso,D. Cichon,A. P. Cimental Chavez,M. Clark,A. P. Colijn,J. Conrad,J. J. Cuenca-García,J. P. Cussonneau,V. D'Andrea,M. P. Decowski,P. Di Gangi,S. Di Pede,S. Diglio,K. Eitel,A. Elykov,S. Farrell,A. D. Ferella,C. Ferrari,H. Fischer,M. Flierman,W. Fulgione,C. Fuselli,P. Gaemers,R. Gaior,A. Gallo Rosso,M. Galloway,F. Gao,R. Glade-Beucke,L. Grandi,J. Grigat,H. Guan,M. Guida,R. Hammann,A. Higuera,C. Hils,L. Hoetzsch,N. F. Hood,J. Howlett,M. Iacovacci,Y. Itow,J. Jakob,F. Joerg,A. Joy,N. Kato,M. Kara,P. Kavrigin,S. Kazama,M. Kobayashi,G. Koltman,A. Kopec,F. Kuger,H. Landsman,R. F. Lang,L. Levinson,I. Li,S. Li,S. Liang,S. Lindemann,M. Lindner,K. Liu,J. Loizeau,F. Lombardi,J. Long,J. A. M. Lopes,Y. Ma,C. Macolino,J. Mahlstedt,A. Mancuso,L. Manenti,F. Marignetti,T. Marrodán Undagoitia,K. Martens,J. Masbou,D. Masson,E. Masson,S. Mastroianni,M. Messina,K. Miuchi,K. Mizukoshi,A. Molinario,S. Moriyama,K. Morå,Y. Mosbacher,M. Murra,J. Müller,K. Ni,U. Oberlack,B. Paetsch,J. Palacio,Q. Pellegrini,R. Peres,C. Peters,J. Pienaar,M. Pierre,V. Pizzella,G. Plante,T. R. Pollmann,J. Qi,J. Qin,D. Ramírez García,R. Singh,L. Sanchez,J. M. F. dos Santos,I. Sarnoff,G. Sartorelli,J. Schreiner,D. Schulte,P. Schulte,H. Schulze Eißing,M. Schumann,L. Scotto Lavina,M. Selvi,F. Semeria,P. Shagin,S. Shi,E. Shockley,M. Silva,H. Simgen,A. Takeda,P. -L. Tan,A. Terliuk,D. Thers,F. Toschi,G. Trinchero,C. Tunnell,F. Tönnies,K. Valerius,G. Volta,C. Weinheimer,M. Weiss,D. Wenz,C. Wittweg,T. Wolf,V. H. S. Wu,Y. Xing,D. Xu,Z. Xu,M. Yamashita,L. Yang,J. Ye,L. Yuan,G. Zavattini,M. Zhong,T. Zhu"
,"First Dark Matter Search with Nuclear Recoils from the XENONnT
  Experiment",Physical review letters,2023,"XENON Collaboration,E. Aprile,K. Abe,F. Agostini,S. Ahmed Maouloud,L. Althueser,B. Andrieu,E. Angelino,J. R. Angevaare,V. C. Antochi,D. Antón Martin,F. Arneodo,L. Baudis,A. L. Baxter,M. Bazyk,L. Bellagamba,R. Biondi,A. Bismark,E. J. Brookes,A. Brown,S. Bruenner,G. Bruno,R. Budnik,T. K. Bui,C. Cai,J. M. R. Cardoso,D. Cichon,A. P. Cimental Chavez,A. P. Colijn,J. Conrad,J. J. Cuenca-García,J. P. Cussonneau,V. D'Andrea,M. P. Decowski,P. Di Gangi,S. Di Pede,S. Diglio,K. Eitel,A. Elykov,S. Farrell,A. D. Ferella,C. Ferrari,H. Fischer,M. Flierman,W. Fulgione,C. Fuselli,P. Gaemers,R. Gaior,A. Gallo Rosso,M. Galloway,F. Gao,R. Glade-Beucke,L. Grandi,J. Grigat,H. Guan,M. Guida,R. Hammann,A. Higuera,C. Hils,L. Hoetzsch,N. F. Hood,J. Howlett,M. Iacovacci,Y. Itow,J. Jakob,F. Joerg,A. Joy,N. Kato,M. Kara,P. Kavrigin,S. Kazama,M. Kobayashi,G. Koltman,A. Kopec,F. Kuger,H. Landsman,R. F. Lang,L. Levinson,I. Li,S. Li,S. Liang,S. Lindemann,M. Lindner,K. Liu,J. Loizeau,F. Lombardi,J. Long,J. A. M. Lopes,Y. Ma,C. Macolino,J. Mahlstedt,A. Mancuso,L. Manenti,F. Marignetti,T. Marrodán Undagoitia,K. Martens,J. Masbou,D. Masson,E. Masson,S. Mastroianni,M. Messina,K. Miuchi,K. Mizukoshi,A. Molinario,S. Moriyama,K. Morå,Y. Mosbacher,M. Murra,J. Müller,K. Ni,U. Oberlack,B. Paetsch,J. Palacio,R. Peres,C. Peters,J. Pienaar,M. Pierre,V. Pizzella,G. Plante,J. Qi,J. Qin,D. Ramírez García,R. Singh,L. Sanchez,J. M. F. dos Santos,I. Sarnoff,G. Sartorelli,J. Schreiner,D. Schulte,P. Schulte,H. Schulze Eißing,M. Schumann,L. Scotto Lavina,M. Selvi,F. Semeria,P. Shagin,S. Shi,E. Shockley,M. Silva,H. Simgen,A. Takeda,P. -L. Tan,A. Terliuk,D. Thers,F. Toschi,G. Trinchero,C. Tunnell,F. Tönnies,K. Valerius,G. Volta,C. Weinheimer,M. Weiss,D. Wenz,C. Wittweg,T. Wolf,V. H. S. Wu,Y. Xing,D. Xu,Z. Xu,M. Yamashita,L. Yang,J. Ye,L. Yuan,G. Zavattini,M. Zhong,T. Zhu"
,Detector signal characterization with a Bayesian network in XENONnT,,2023,"XENON Collaboration,E. Aprile,K. Abe,S. Ahmed Maouloud,L. Althueser,B. Andrieu,E. Angelino,J. R. Angevaare,V. C. Antochi,D. Antón Martin,F. Arneodo,L. Baudis,A. L. Baxter,M. Bazyk,L. Bellagamba,R. Biondi,A. Bismark,E. J. Brookes,A. Brown,S. Bruenner,G. Bruno,R. Budnik,T. K. Bui,C. Cai,J. M. R. Cardoso,D. Cichon,A. P. Cimental Chavez,A. P. Colijn,J. Conrad,J. J. Cuenca-García,J. P. Cussonneau,V. D'Andrea,M. P. Decowski,P. Di Gangi,S. Di Pede,S. Diglio,K. Eitel,A. Elykov,S. Farrell,A. D. Ferella,C. Ferrari,H. Fischer,M. Flierman,W. Fulgione,C. Fuselli,P. Gaemers,R. Gaior,A. Gallo Rosso,M. Galloway,F. Gao,R. Glade-Beucke,L. Grandi,J. Grigat,H. Guan,M. Guida,R. Hammann,A. Higuera,C. Hils,L. Hoetzsch,N. F. Hood,J. Howlett,M. Iacovacci,Y. Itow,J. Jakob,F. Joerg,A. Joy,N. Kato,M. Kara,P. Kavrigin,S. Kazama,M. Kobayashi,G. Koltman,A. Kopec,F. Kuger,H. Landsman,R. F. Lang,L. Levinson,I. Li,S. Li,S. Liang,S. Lindemann,M. Lindner,K. Liu,J. Loizeau,F. Lombardi,J. Long,J. A. M. Lopes,Y. Ma,C. Macolino,J. Mahlstedt,A. Mancuso,L. Manenti,F. Marignetti,T. Marrodán Undagoitia,K. Martens,J. Masbou,D. Masson,E. Masson,S. Mastroianni,M. Messina,K. Miuchi,K. Mizukoshi,A. Molinario,S. Moriyama,K. Morå,Y. Mosbacher,M. Murra,J. Müller,K. Ni,U. Oberlack,B. Paetsch,J. Palacio,Q. Pellegrini,R. Peres,C. Peters,J. Pienaar,M. Pierre,V. Pizzella,G. Plante,T. R. Pollmann,J. Qi,J. Qin,D. Ramírez García,R. Singh,L. Sanchez,J. M. F. dos Santos,I. Sarnoff,G. Sartorelli,J. Schreiner,D. Schulte,P. Schulte,H. Schulze Eißing,M. Schumann,L. Scotto Lavina,M. Selvi,F. Semeria,P. Shagin,S. Shi,E. Shockley,M. Silva,H. Simgen,A. Takeda,P. -L. Tan,A. Terliuk,D. Thers,F. Toschi,G. Trinchero,C. Tunnell,F. Tönnies,K. Valerius,G. Volta,C. Weinheimer,M. Weiss,D. Wenz,C. Wittweg,T. Wolf,V. H. S. Wu,Y. Xing,D. Xu,Z. Xu,M. Yamashita,L. Yang,J. Ye,L. Yuan,G. Zavattini,M. Zhong,T. Zhu"
,"Coherent elastic neutrino-nucleus scattering: Terrestrial and
  astrophysical applications",,2022,"M. Abdullah,H. Abele,D. Akimov,G. Angloher,D. Aristizabal-Sierra,C. Augier,A. B. Balantekin,L. Balogh,P. S. Barbeau,L. Baudis,A. L. Baxter,C. Beaufort,G. Beaulieu,V. Belov,A. Bento,L. Berge,I. A. Bernardi,J. Billard,A. Bolozdynya,A. Bonhomme,G. Bres,J-. L. Bret,A. Broniatowski,A. Brossard,C. Buck,M. Cadeddu,M. Calvo,L. Canonica,F. Cappella,L. Cardani,N. Casali,A. Cazes,R. Cerulli,D. Chaize,C. Chang,M. Chapellier,L. Chaplinsky,G. Chemin,R. Chen,I. Colantoni,J. Colas,P. Coloma,E. C. Corcoran,S. Crawford,A. Cruciani,A. Dastgheibi Fard,M. De Jesus,P. de Marcillac,V. De Romeri,G. del Castello,M. del GalloRoccagiovine,D. Delicato,M. Demarteau,Y. Deng,J. B. Dent,P. B. Denton,K. Dering,A. Doblhammer,F. Dordei,S. Dorer,L. Dumoulin,D. Dunford,B. Dutta,A. Erhart,O. Exshaw,S. Ferriol,E. Figueroa-Feliciano,J. B. Filippini,L . J. Flores,J. A. Formaggio,M. Friedl,S. Fuard,F. Gao,A. Garai,E. A. Garces,J. Gascon,J. Gehrlein,G. Gerbier,V. M. Ghete,I. Giomataris,G. Giroux,A. Giuliani,C. Giunti,P. Gorel,C. Goupy,J. Goupy,C. Goy,M. P. Green,M. Gros,C. Guerin,V. Guidi,O. Guillaudin,E. Guy,C. Ha,D. Hauff,J. Hakenmuller,P. M. Harrington,S. Hedges,S. T. Heine,S. Hertel,M. Heusch,C. Hoarau,M. Hoferichter,E. W. Hoppe,Z. Hong,S. Horiuchi,P. Huber,J. C. Ianigro,N. Jachowicz,E. Jericha,Y. Jin,J. P. Johnston,A. Juillard,I. Katsioulas,S. Kazarcev,M. Kaznacheeva,F. Kelly,K. J. Kelly,D. Kim,A. Kinast,L. Klinkenberg,H. Kluck,P. Knights,Y. J. Ko,T. S. Kosmas,L. Kwon,J. Lamblin,R. F. Lang,A. Langenkamper,S. Langrock,T. Lasserre,H. Lattaud,P. Lautridou,H. S. Lee,B. G. Lenardo,D. Lhuillier,M. Li,S. C. Li,Y. F. Li,Z. Li,M. Lindner,J. Liu,D. Loomba,A. Lubashevskiy,P. A. N. Machado,M. Mancuso,W. Maneschg,D. M. Markoff,S. Marnieros,R. Martin,R. D. Martin,B. Mauri,D. W. Mayer,A. Mazzolari,E. Mazzucato,J. Menendez,J. Minet,O. G. Miranda,D. Misiak,J. -P. Mols,A. Monfardini,F. Mounier,J. F. Muraz,T. Neep,R. Neilson,J. Newby,J. L. Newstead,H. Neyrial,K. Ni,K. Nikolopoulos,C. Nones,D. Norcini,V. Pandey,P. O'Brien,C. A. J. O'Hare,L. Oberauer,W. Oliver,E. Olivieri,A. Onillon,C. Oriol,T. Ortmann,R. Owen,K. J. Palladino,D. K. Papoulias,J. C. Park,D. S. Parno,P. K. Patel,L. Pattavina,E. Peinado,E. Perbet,L. Peters,F. Petricca,H. D. Pinckney,M. -C. Piro,D. Ponomarev,D. Poda,W. Potzel,F. Probst,F. Pucci,F. Rarbi,R. Rapp,H. Ray,J. -S. Real,F. Reindl,G. C. Rich,J. S. Ricol,T. Rink,T. Redon,R. Rogly,A. Robert,J. Rothe,S. Rozov,I. Rozova,T. Salagnac,E. Sanchez Garcia,G. Sanchez Garcia,O. Sanders,V. Sanglard,D. Santos,Y. Sarkis,V. Savu,G. Savvidis,I. Savvidis,N. Schermer,J. Schieck,B. Schmidt,S. Schonert,K. Scholberg,A. Schwenk,C. Schwertner,L. Scola,Ye. Shevchik,S. Shin,V. Sibille,I. M. Shoemaker,D. P. Snowden-Ifft,T. Soldner,G. Soum,N. J. C. Spooner,J. Stachurska,L. Stodolsky,R. Strauss,L. E. Strigari,A. Stutz,B. D. Suh,J. Suhonen,Z. Tabrizi,V. Takhistov,A. Thompson,C. Tomei,M. Tortola,M. Tripathi,L. Vagneron,J. W. F. Valle,K. v. Mirbach,W. Van De Ponteseele,M. Vignati,M. Vivier,F. Vazquez de Sola Fernandez,F. Vezzu,M. Vidal,V. Wagner,J. W. Walker,R. Ward,A. Wex,L. Winslow,H. T. Wong,M. H. Wood,J. Xu,L. Yang,E. Yakushev,M. Zampaolo,J. Zettlemoyer,Y. Y. Zhang,D. Zinatulina"
10.1140/epjc/s10052-022-10345-6,Material radiopurity control in the XENONnT experiment,The European Physical Journal C,2022,"E Aprile,K Abe,F Agostini,S Ahmed Maouloud,M Alfonsi,L Althueser,E Angelino,J R Angevaare,V C Antochi,D Antón Martin,F Arneodo,L Baudis,A L Baxter,L Bellagamba,R Biondi,A Bismark,A Brown,S Bruenner,G Bruno,R Budnik,C Capelli,J M R Cardoso,D Cichon,B Cimmino,M Clark,A P Colijn,J Conrad,J J Cuenca-García,J P Cussonneau,V D'Andrea,M P Decowski,P Di Gangi,S Di Pede,A Di Giovanni,R Di Stefano,S Diglio,A Elykov,S Farrell,A D Ferella,H Fischer,W Fulgione,P Gaemers,R Gaior,M Galloway,F Gao,R Glade-Beucke,L Grandi,J Grigat,A Higuera,C Hils,K Hiraide,L Hoetzsch,J Howlett,M Iacovacci,Y Itow,J Jakob,F Joerg,N Kato,P Kavrigin,S Kazama,M Kobayashi,G Koltman,A Kopec,H Landsman,R F Lang,L Levinson,I Li,S Liang,S Lindemann,M Lindner,K Liu,F Lombardi,J Long,J A M Lopes,Y Ma,C Macolino,J Mahlstedt,A Mancuso,L Manenti,A Manfredini,F Marignetti,T Marrodán Undagoitia,K Martens,J Masbou,D Masson,E Masson,S Mastroianni,M Messina,K Miuchi,K Mizukoshi,A Molinario,S Moriyama,K Morå,Y Mosbacher,M Murra,K Ni,U Oberlack,J Palacio,R Peres,J Pienaar,M Pierre,V Pizzella,G Plante,J Qi,J Qin,D Ramírez García,S Reichard,A Rocchetti,N Rupp,L Sanchez,J M F Dos Santos,G Sartorelli,J Schreiner,D Schulte,H Schulze Eißing,M Schumann,L Scotto Lavina,M Selvi,F Semeria,P Shagin,E Shockley,M Silva,H Simgen,A Takeda,P L Tan,A Terliuk,C Therreau,D Thers,F Toschi,G Trinchero,C Tunnell,F Tönnies,K Valerius,G Volta,Y Wei,C Weinheimer,M Weiss,D Wenz,J Westermann,C Wittweg,T Wolf,Z Xu,M Yamashita,L Yang,J Ye,L Yuan,G Zavattini,Y Zhang,M Zhong,T Zhu,J P Zopounidis,M Laubenstein,S Nisi"
10.1103/PhysRevD.106.022001,Emission of single and few electrons in XENON1T and limits on light dark matter,PHYSICAL REVIEW D,2022,"E. Aprile,K. Abe,F. Agostini,S. Ahmed Maouloud,M. Alfonsi,L. Althueser,E. Angelino,J. R. Angevaare,V. C. Antochi,D. Antón Martin,F. Arneodo,L. Baudis,A. L. Baxter,L. Bellagamba,A. Bernard,R. Biondi,A. Bismark,A. Brown,S. Bruenner,G. Bruno,R. Budnik,C. Capelli,J. M. R. Cardoso,D. Cichon,B. Cimmino,M. Clark,A. P. Colijn,J. Conrad,J. J. Cuenca-García,J. P. Cussonneau,V. D'Andrea,M. P. Decowski,P. Di Gangi,S. Di Pede,A. Di Giovanni,R. Di Stefano,S. Diglio,A. Elykov,S. Farrell,A. D. Ferella,H. Fischer,W. Fulgione,P. Gaemers,R. Gaior,M. Galloway,F. Gao,R. Glade-Beucke,L. Grandi,J. Grigat,A. Higuera,C. Hils,L. Hoetzsch,J. Howlett,M. Iacovacci,Y. Itow,J. Jakob,F. Joerg,A. Joy,N. Kato,P. Kavrigin,S. Kazama,M. Kobayashi,G. Koltman,A. Kopec,H. Landsman,R. F. Lang,L. Levinson,I. Li,S. Li,S. Liang,S. Lindemann,M. Lindner,K. Liu,F. Lombardi,J. Long,J. A. M. Lopes,Y. Ma,C. Macolino,J. Mahlstedt,A. Mancuso,L. Manenti,A. Manfredini,F. Marignetti,T. Marrodán Undagoitia,K. Martens,J. Masbou,D. Masson,E. Masson,S. Mastroianni,M. Messina,K. Miuchi,K. Mizukoshi,A. Molinario,S. Moriyama,K. Morå,Y. Mosbacher,M. Murra,J. Müller,K. Ni,U. Oberlack,B. Paetsch,J. Palacio,R. Peres,J. Pienaar,M. Pierre,V. Pizzella,G. Plante,J. Qi,J. Qin,D. Ramírez García,S. Reichard,A. Rocchetti,N. Rupp,L. Sanchez,J. M. F. dos Santos,I. Sarnoff,G. Sartorelli,J. Schreiner,D. Schulte,H. Schulze Eißing,M. Schumann,L. Scotto Lavina,M. Selvi,F. Semeria,P. Shagin,S. Shenyang,E. Shockley,M. Silva,H. Simgen,A. Takeda,P. -L. Tan,A. Terliuk,D. Thers,F. Toschi,G. Trinchero,C. Tunnell,F. Tönnies,K. Valerius,G. Volta,Y. Wei,C. Weinheimer,M. Weiss,D. Wenz,C. Wittweg,T. Wolf,Z. Xu,M. Yamashita,L. Yang,J. Ye,L. Yuan,G. Zavattini,Y. Zhang,M. Zhong,T. Zhu,J. P. Zopounidis"
