doi,标题,期刊,年份,作者
10.1021/acsaelm.3c00035,Metal-Semiconductor-Metal Photodetectors Based on ?-MgGaO Thin Films,ACS APPLIED ELECTRONIC MATERIALS,2023,"Tianchen Yang,Chengyun Shou,Long Xu,Jason Tran,Yanwei He,Yuan Li,Peng Wei,Jianlin Liu"
,The role of oxygen incorporation in Ni (111) substrates on the growth of hexagonal boron nitride monolayers.,Nanotechnology,2023,"Yuan Li,Hector Gomez,Jason Tran,Yanwei He,Chengyun Shou,Tianchen Yang,Peng Wei,Roger K Lake,Jianlin Liu"
,Superconducting nanowire diode,,2023,"Xiaofu Zhang,Qingchang Huan,Ruoyan Ma,Xingyu Zhang,Jia Huang,Xiaoyu Liu,Wei Peng,Hao Li,Zhen Wang,Xiaoming Xie,Lixing You"
10.1021/acsanm.1c00298,Robust Nanocapacitors Based On Wafer-Scale Single-Crystal Hexagonal Boron Nitride Monolayer Films,ACS APPLIED NANO MATERIALS,2021,"Yanwei He,Yuan Li,Miguel Isarraraz,Pedro Pena,Jason Tran,Long Xu,Hao Tian,Tianchen Yang,Peng Wei,Cengiz S. Ozkan,Mihrimah Ozkan,Jianlin Liu"
,Emergent quantum Hall ground states driven by proximity exchange coupling in 2D material/ferromagnet interfaces,Bulletin of the American Physical Society,2020,"Dhavala Suri,Andrew Saydjari,Lingyi Zhong,Siddharth Omar,Zhongxun Guo,Mason Gray,Mirko Rocci,Kenneth Burch,Wenzhong Bao,Bart Van Wees,Patrick Lee,Amir Yacoby,Peng Wei,Jagadeesh Moodera"
10.1038/s41586-020-1950-4,Spin current from sub-terahertz-generated antiferromagnetic magnons.,NATURE,2020,"Junxue Li,C Blake Wilson,Ran Cheng,Mark Lohmann,Marzieh Kavand,Wei Yuan,Mohammed Aldosary,Nikolay Agladze,Peng Wei,Mark S Sherwin,Jing Shi"
10.1021/acsami.0c08804,Strain-Controlled Superconductivity In Few-Layer Nbse2,ACS APPLIED MATERIALS & INTERFACES,2020,"Cliff Chen,Protik Das,Ece Aytan,Weimin Zhou,Justin Horowitz,Biswarup Satpati,A A Balandin,Roger K Lake,Peng Wei"
10.1038/s41563-020-0628-5,One compound with two distinct topological states.,NATURE MATERIALS,2020,"Peng Wei,Jagadeesh S Moodera"
10.1073/pnas.1919753117,Signature Of A Pair Of Majorana Zero Modes In Superconducting Gold Surface States,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2020,"Manna Sujit,Wei Peng,Xie Yingming,Law Kam Tuen,Lee Patrick,Moodera Jagadeesh"
10.1103/PhysRevLett.122.247002,Superconductivity in the surface state of noble metal gold and its Fermi level tuning by EuS dielectric.,PHYSICAL REVIEW LETTERS,2019,"Peng Wei,Sujit Manna,Marius Eich,Patrick Lee,Jagadeesh Moodera"
10.1103/physrevlett.122.217204,Spin Seebeck Effect from Antiferromagnetic Magnons and Critical Spin Fluctuations in Epitaxial FeF2 Films,Physical Review Letters,2019,"Junxue Li,Zhong Shi,Victor H. Ortiz,Mohammed Aldosary,Cliff Chen,Vivek Aji,Peng Wei,Jing Shi"
10.1103/PhysRevLett.122.217204,Spin Seebeck Effect from Antiferromagnetic Magnons and Critical Spin Fluctuations in Epitaxial FeF_{2} Films.,PHYSICAL REVIEW LETTERS,2019,"Junxue Li,Zhong Shi,Victor H Ortiz,Mohammed Aldosary,Cliff Chen,Vivek Aji,Peng Wei,Jing Shi"
,Demonstration of Majorana Fermion Pairs in Superconducting gold Surface States,Bulletin of the American Physical Society,2019,"Sujit Manna,Peng Wei,Yingming Xie,Kam Tuen Law,Patrick Lee,Jagadeesh Moodera"
,Surface superconductivity in gold – a material platform for Majorana bound states,Bulletin of the American Physical Society,2019,"Peng Wei,Sujit Manna,Marius Eich,Patrick Lee,Jagadeesh Moodera"
,Towards unveiling elusive Majorana fermions in gold nanowires via STS,Bulletin of the American Physical Society,2018,"Sujit Manna,Peng Wei,Patrick A. Lee,Jagadeesh S. Moodera"
