doi,标题,期刊,年份,作者
10.1002/adfm.202111148,Construction of Self-Activated Nanoreactors for Cascade Catalytic Anti-Biofilm Therapy Based on H2O2 Self-Generation and Switch-On NO Release,ADVANCED FUNCTIONAL MATERIALS,2022,"Yuting Shi,Yufei Cao,Ju Cheng,Wenwen Yu,Mingsheng Liu,Juanjuan Yin,Congshu Huang,Xiaoqin Liang,Haicun Zhou,Hongbin Liu,Zheng Yang,Yu Fang,Hua Wei,Guanghui Zhao"
,Magnetic properties of Co_2Z type ferrite thin films,Journal of Magnetic Materials and Devices,2011,"HAO Si-kun,LI Wei,MENG Wei-min,BAI Jian-min,YANG Zheng,WEI Fu-lin"
10.3969/j.issn.1001-3830.2010.05.005,"Morphology,Structure and Magnetic Properties of Sr-ferrite Particles Prepared by Molten Salt Method",Journal of Magnetic Materials and Devices,2010,"LI Fu-rui,MENG Wei-min,WANG Zhi-qiang,WEI Fu-lin,YANG Zheng"
null,Effect of interface on microstructure and soft magnetic properties of Fe65Co35 thin films,Wuli Xuebao/Acta Physica Sinica,2009,"YanBo Li,Xi Liu,Zhenghua Li,Yu Fu,Alexander S. Kamzin,Fulin Wei,Zheng Yang"
10.7498/aps.58.7972,Effect of interface on microstructure and soft magnetic properties of Fe-65 Co-35 thin films,ACTA PHYSICA SINICA,2009,"Li Yan-Bo,Liu Xi,Li Zheng-Hua,Fu Yu,A. S. Kamzin,Wei Fu-Lin,Yang Zheng"
10.1088/0256-307X/26/12/127503,Micromagnetic Simulation of Transfer Curve in Giant-Magnetoresistive Head,CHINESE PHYSICS LETTERS,2009,"She Sheng-Xian,Wei Dan,Zheng Yang,Qu Bing-Jun,Ren Tian-Ling,Liu Xi,Wei Fu-Lin"
10.1002/pssa.200723228,The influence of substrate on the magnetic properties of MnZn ferrite thin film fabricated by alternate sputtering,PHYSICA STATUS SOLIDI A-APPLICATIONS AND MATERIALS SCIENCE,2008,"Lanxi Wang,Jianmin Bai,Zhenghua Li,Jiangwei Cao,Fulin Wei,Zheng Yang"
10.1088/0256-307X/24/1/060,"Magnetic force microscopy study of alternate sputtered (001), oriented L10 phase FePt films",Chinese Physics Letters,2007,"Ailin Xia,Jiangwei Cao,Liuniu Tong,Fulin Wei,Zheng Yang,BaoShan Han,夏爱林,曹江伟,童六牛,魏福林,杨正,韩宝善"
10.1093/ietele/e90-c.8.1570,Fabrication Of Fept Films For Magnetic Recording Media,IEICE TRANSACTIONS ON ELECTRONICS,2007,"Fulin Wei,Zheng Yang"
,Fabrication of FePt Films for Magnetic Recording Media( Recent Progress of High-Density Information Storage),,2007,"fulin wei,zheng yang"
,"Micromagnetic studies of high frequency response in pole-tip of write head with FeCo thin film(Recording systems & heads (I),The 8th Asian Symposium on Information Storage Technology (ASIST-8))",,2006,"junhong tian,zhenghua li,yu fu,fulin wei,zheng yang,dan wei"
10.1063/1.2158975,Effect Of Crw Underlayer On Structural And Magnetic Properties Of Fept Thin Films,JOURNAL OF APPLIED PHYSICS,2006,"Jiangwei Cao,Jun Cai,Yan Liu,Zheng Yang,Fulin Wei,Ailin Xia,BaoShan Han,Jianmin Bai"
,Micromagnetic studies of high frequency response in pole-tip of write head with FeCo thin film,,2006,"junhong tian,l i zhenghua,f u yu,fulin wei,zheng yang,dan wei"
,Effect of Co-based underlayer on structural and soft magnetic properties of FeCo thin films,,2006,"yu fu,zheng yang,xiaoxi liu,akimitsu morisako,m matsumoto"
10.1016/j.jmmm.2006.02.239,Control of crystallographic orientation in L10 FePt films by using Cr and CrW underlayers,Journal of Magnetism and Magnetic Materials,2006,"Jiangwei Cao,Yan Liu,Jun Cai,Zheng Yang"
10.1088/1009-1963/15/6/037,Studies on high-moment soft magnetic FeCo/Co thin films,CHINESE PHYSICS,2006,"Yu Fu,Zheng Yang,Mitsunori Matsumoto,Liu Xiao-Xi,Akimitsu Morisako"
10.1002/pssa.200521083,Soft magnetic properties and microstructure of Fe65Co35 thin films with different underlayers,PHYSICA STATUS SOLIDI A-APPLICATIONS AND MATERIALS SCIENCE,2006,"Yu Fu,Xiaofeng Cheng,Zheng Yang"
,"Effect of Co-based underlayer on structural and soft magnetic properties of FeCo thin films(Head materials & recording media,The 8th Asian Symposium on Information Storage Technology (ASIST-8))",,2006,"yu fu,zheng yang,xiaoxi liu,akimitsu morisako,m matsumoto"
10.1016/j.mseb.2005.09.062,The structure and magnetic properties of Mn–Zn ferrite thin films fabricated by alternately sputtering,Materials Science and Engineering: B,2006,"Yan Liu,Jiangwei Cao,Zheng Yang"
10.1088/1009-1963/14/6/031,Evolution of structure and magnetic properties of nanocrystalline FeXN thin films via Ta and Al addition,CHINESE PHYSICS,2005,"Wu Guo-Guang,Wu Dong-Ping,Zheng Kuo-Hai,Wei Fu-Lin,Zheng Yang,Alexander S. Kamzin,伍国光,吴东平,郑阔海,魏福林,杨正,GG Wu,DP Wu,KH Zheng,FL Wei,AS Kamzin"
10.1109/TMAG.2005.855307,Soft Anisotropic Fe65co35/Co Thin Films Prepared By Facing Targets Sputtering,IEEE TRANSACTIONS ON MAGNETICS,2005,"Yu Fu,T. Miyao,T. Yamakami,Zheng Yang,M. Matsumoto,Xiaoxi Liu,A. Morisako"
,/Co Thin Films Prepared by Facing Targets Sputtering,,2005,"yu fu,takuji miyao,tomohiko yamakami,zheng yang,mitsunori matsumoto,xiaoxi liu,akimitsu morisako"
10.1088/0256-307X/22/11/048,Reduction of ordering temperature of FePt-Al 2O 3 thin films by N 2 addition during sputtering,Chinese Physics Letters,2005,"Cao Jiang-Wei,Nobuhiro Katayama,Zheng Yang,Wei Fu-Lin,Mitsunori Matsumoto,Akimitsu Morisako,Liu Xiao-Xi,Shigeto Takei"
10.1002/pssa.200420035,Microstructure and magnetic properties of FePt and FePt-Al 2O 3 thin films fabricated by in situ ordering process,PHYSICA STATUS SOLIDI A-APPLICATIONS AND MATERIALS SCIENCE,2005,"Jiangwei Cao,Zheng Yang,Nobuhiro Katayama,Mitsunori Matsumoto,Akimitsu Morisako,Xiaoxi Liu,Shigeto Takei"
10.1002/pssa.200420014,Magnetically soft and high-saturation-magnetization FeCo films fabricated by co-sputtering,PHYSICA STATUS SOLIDI A-APPLICATIONS AND MATERIALS SCIENCE,2005,"Yu Fu,Xiaofeng Cheng,Zheng Yang"
,The magnetic properties of Ni x Zn 1- x Fe 2O 4 films fabricated by alternative sputtering technolog,Materials Science and Engineering B-advanced Functional Solid-state Materials,2004,"jianhua gao,y cui,zheng yang"
10.1016/j.mseb.2003.10.111,The magnetic properties of NixZn1−xFe2O4 films fabricated by alternative sputtering technology,Materials Science and Engineering: B,2004,"Jianhua Gao,Yitao Cui,Zheng Yang"
10.1088/1009-1963/13/11/038,Effects of underlayer materials and substrate temperatures on the structural and magnetic properties of Nd2Fe14B films,CHINESE PHYSICS,2004,"Yungui Ma,Zheng Yang,Mitsunori Matsumoto,Akimitsu Morisako,Shigeto Takei"
10.1134/1.1841414,Effect of nitrogen concentration on the magnetic properties of Fe-Ta-N thin films,Technical Physics,2004,"A. S. Kamzin,S. Yu. Mal’tsev,S. A. Kamzin,Fulin Wei,Zheng Yang"
10.1002/pssa.200306820,Reduction of grain size and exchange coupling strength of Nd 2Fe14B thin films by Al addition,PHYSICA STATUS SOLIDI A-APPLICATIONS AND MATERIALS SCIENCE,2004,"Yungui Ma,Zheng Yang,Fulin Wei,Mitsunori Matsumoto,Akimitsu Morisako,Shigeto Takei"
null,The structure and magnetic properties of Ni-Zn ferrite films,Wuli Xuebao/Acta Physica Sinica,2004,"Jianhua Gao,Yitao Cui,Zheng Yang"
10.1016/j.mseb.2004.03.015,Reduction of crystallization temperature of the Nd–Fe–B thin films by Cu addition,Materials Science and Engineering: B,2004,"Yungui Ma,Zheng Yang,M Matsumoto,A Morisako,S Takei"
10.1016/S0921-5107(03)00239-3,A study of sputtering process for nanocrystalline FeAlN soft magnetic thin films,Materials Science and Engineering: B,2003,"Yungui Ma,Xiaohong Li,Tian Xie,Fulin Wei,Zheng Yang"
10.1134/1.1507253,"Crystallization of Ba-<Emphasis Type=""Italic"">Me</Emphasis> hexagonal ferrite thin films",Physics of the Solid State,2002,"A. S. Kamzin,Fulin Wei,Zheng Yang,Xiaoxi Liu"
10.1134/1.1467275,Synthesis and characterization of thin Ba-M hexagonal ferrite films,Technical Physics Letters,2002,"A. S. Kamzin,Wei Fulin,Yang Zheng,Liu Xiaoxi"
10.1088/1009-1963/11/7/315,Study of nanocrystalline Fe-Al-N soft magnetic thin films,CHINESE PHYSICS,2002,"Tian Xie,Zheng Dai-Shun,Li Xiao-Hong,Ma Yun-Gui,Wei Fu-Lin,Zheng Yang,DS Zheng,XH Li,YG Ma,FL Wei"
10.1002/1521-396X(200209)193:1<61::AID-PSSA61>3.0.CO;2-F,Morphological Structure and Magnetic Properties of FeTaN Films,PHYSICA STATUS SOLIDI A-APPLIED RESEARCH,2002,"Daishun Zheng,Yungui Ma,Dongping Wu,Tian Xie,Fulin Wei,Zheng Yang"
,Studies on Sputtered NdFeB Thin Films for Perpendicular Magnetic Recording (第7回アジア情報記録技術シンポジウム〔英文〕),,2002,"y g ma,zheng yang,f l wei,m matsumoto,akimitsu morisako,s takei"
10.1023/A:1015030503716,On Single-Mode Bandwidth in Rectangular-Groove Guide by Finite Element Method,International Journal of Infrared and Millimeter Waves,2002,"Mai Lu,Paul J. Leonard,Zhide Hu,Zheng Yang"
null,Microstrucrure and magnetic properties of RF-sputtered nanocrystalline FeTaN soft magnetic thin films,Wuli Xuebao/Acta Physica Sinica,2002,"DaiShun Zheng,Tian Xie,Jianmin Bai,Fulin Wei,Zheng Yang"
10.1016/S0921-5107(01)00925-4,"(Zn, Ni, Ti) substituted barium ferrite particles with improved temperature coefficient of coercivity",Materials Science and Engineering: B,2002,"zheng yang,C.S. Wang,X.H. Li,H.X. Zeng"
,Preparation of Nanocrystalline Soft Magnetic FeAlN Films for Magnetic Recording Head,,2001,"tian xie,yungui ma,xiaohong li,xiaohui wei,fulin wei,zheng yang"
10.1063/1.1390498,Micromagnetic Studies Of High Frequency Permeability In Fe-M-N Thin Films With Macroscopic And Mesoscopic Sizes,JOURNAL OF APPLIED PHYSICS,2001,"Dan Wei,Fu L. Wei,Zheng Yang"
null,Study on magnetization reversal of barium ferrite particles,Wuli Xuebao/Acta Physica Sinica,2001,"Xiaohong Li,Fulin Wei,Zheng Yang"
,Preparation of nanocrystalline soft magnetic FeAlN films for magnetic recording head (マルチメディアストレージ 第6回アジア情報記録技術シンポジウム〔英文〕),,2001,"tian xie,yungui ma,xiaohong li,xiaohui wei,fulin wei,zheng yang"
10.3321/j.issn:1000-3290.2001.02.025,STUDY ON MAGNETIZATION REVERSAL OF BARIUM FERRITE PARTICLES,ACTA PHYSICA SINICA,2001,"XIAO-HONG LI,Fu-lin WEI,ZHENG YANG"
10.1002/1521-396X(200103)184:1<157::AID-PSSA157>3.3.CO;2-D,The Preparation and Magnetic Properties of Strontium Ferrite Thin Film for High Density Recording,PHYSICA STATUS SOLIDI A-APPLICATIONS AND MATERIALS SCIENCE,2001,"Dongping Wu,Zheng Yang,Fulin Wei,mitsunori matsumoto"
10.3321/j.issn:1000-3290.2000.08.035,LA-Zn DOPED SrM FERRITE FOR HIGH-DENSITY MAGNETIC RECORDING,ACTA PHYSICA SINICA,2000,"JIAN-MIN BAI,XIAO-XI LIU,HAI XU,FU-LIN WEI,ZHENG YANG"
null,La-Zn doped SrM ferrite for high-density magnetic recording,Wuli Xuebao/Acta Physica Sinica,2000,"Jianmin Bai,Xiaoxi Liu,Hai Xu,Fulin Wei,Zheng Yang"
10.1063/1.372871,Magnetic And Crystallographic Properties Of La-Zn Substituted Sr-Ferrite Thin Films,JOURNAL OF APPLIED PHYSICS,2000,"Xiaoxi Liu,Jianmin Bai,Fulin Wei,Zheng Yang,Shigeto Takei,Akimitsu Morisako,Mitsunori Matsumoto"
10.1023/A:1006642904457,Finite Element Analysis of the Dominant Mode Variation in Groove Guide,International Journal of Infrared and Millimeter Waves,2000,"Mai Lu,Zhide Hu,Zhangyou Peng,Xiaoqiang Chen,Fuyong Xu,Keyu Zhao,Mitsunori Matsumoto,Fulin Wei,Zheng Yang"
,Study on The Fe-Al-N Soft Magnetic Thin Films,,2000,"daishun zheng,tian xie,xiaohong li,dongping wu,fulin wei,zheng yang"
