doi,标题,期刊,年份,作者
,Dispersive Non-reciprocity between a Qubit and a Cavity,,2023,"Ying-Ying Wang,Yu-Xin Wang,Sean van Geldern,Thomas Connolly,Aashish A. Clerk,Chen Wang"
10.1103/PhysRevApplied.18.034063,CNOT Gates for Fluxonium Qubits via Selective Darkening of Transitions,PHYSICAL REVIEW APPLIED,2022,"Konstantin N. Nesterov,Chen Wang,Vladimir E. Manucharyan,Maxim G. Vavilov"
,"Experimental Realization and Characterization of Stabilized Pair
  Coherent States",,2022,"Jeffrey M. Gertler,Sean van Geldern,Shruti Shirol,Liang Jiang,Chen Wang"
,Architectures for Multinode Superconducting Quantum Computers,,2022,"James Ang,Gabriella Carini,Yanzhu Chen,Isaac Chuang,Michael Austin DeMarco,Sophia E. Economou,Alec Eickbusch,Andrei Faraon,Kai-Mei Fu,Steven M. Girvin,Michael Hatridge,Andrew Houck,Paul Hilaire,Kevin Krsulich,Ang Li,Chenxu Liu,Yuan Liu,Margaret Martonosi,David C. McKay,James Misewich,Mark Ritter,Robert J. Schoelkopf,Samuel A. Stein,Sara Sussman,Hong X. Tang,Wei Tang,Teague Tomesh,Norm M. Tubman,Chen Wang,Nathan Wiebe,Yong-Xin Yao,Dillon C. Yost,Yiyu Zhou"
10.1103/PRXQuantum.2.040202,Practical Guide for Building Superconducting Quantum Devices,PRX QUANTUM,2021,"Yvonne Y. Gao,M. Adriaan Rol,Steven Touzard,Chen Wang"
10.1038/s41586-021-03257-0,Protecting A Bosonic Qubit With Autonomous Quantum Error Correction,NATURE,2021,"Jeffrey M. Gertler,Brian Baker,Juliang Li,Shruti Shirol,Jens Koch,Chen Wang"
,Protecting a Bosonic Qubit with Autonomous Quantum Error Correction I - Parity Recovery by Selective Photon Addition,Bulletin of the American Physical Society,2021,"Shruti Shirol,Jeffrey Gertler,Brian Baker,Juliang Li,Jens Koch,Chen Wang"
,Entanglement of fluxonium qubits without leaving the computational space,Bulletin of the American Physical Society,2021,"Konstantin Nesterov,Quentin Ficheux,Chen Wang,Vladimir Manucharyan,Maxim Vavilov"
10.1103/PhysRevApplied.16.064066,Low-Loss Ferrite Circulator as a Tunable Chiral Quantum System,PHYSICAL REVIEW APPLIED,2021,"Ying-Ying Wang,Sean van Geldern,Thomas Connolly,Yu-Xin Wang,Alexander Shilcusky,Alexander McDonald,Aashish A. Clerk,Chen Wang"
10.1103/PhysRevResearch.4.023040,Arbitrary controlled-phase gate on fluxonium qubits using differential  ac-Stark shifts,,2021,"Haonan Xiong,Quentin Ficheux,Aaron Somoroff,Long B. Nguyen,Ebru Dogan,Dario Rosenstock,Chen Wang,Konstantin N. Nesterov,Maxim G. Vavilov,Vladimir E. Manucharyan"
10.1103/PhysRevResearch.1.033198,Autonomous Quantum State Transfer By Dissipation Engineering,PHYSICAL REVIEW RESEARCH,2019,"Wang Chen,Gertler Jeffrey M."
,Interference between microwave quantum memories,Bulletin of the American Physical Society,2018,"Yvonne Y. Gao,Brian J. Lester,Serge Rosenblum,Chen Wang,Luigi Frunzio,Michel H. Devoret,Liang Jiang,S. M. Girvin,R. J. Schoelkopf"
,Tunable coupling between long-lived microwave cavity modes,Bulletin of the American Physical Society,2018,"Brian J. Lester,Yvonne Y. Gao,Chen Wang,Serge Rosenblum,Luigi Frunzio,Michel H. Devoret,S. M. Girvin,Liang Jiang,R. J. Schoelkopf"
10.1038/s41467-018-03059-5,A Cnot Gate Between Multiphoton Qubits Encoded In Two Cavities,NATURE COMMUNICATIONS,2018,"S Rosenblum,Y Y Gao,P Reinhold,C Wang,C J Axline,L Frunzio,S M Girvin,Liang Jiang,M Mirrahimi,M H Devoret,R J Schoelkopf"
10.1103/PhysRevX.8.021073,Programmable Interference between Two Microwave Quantum Memories,PHYSICAL REVIEW X,2018,"Yvonne Y. Gao,Brian J. Lester,Yaxing Zhang,Chen Wang,Serge Rosenblum,Luigi Frunzio,Liang Jiang,S. M. Girvin,R. J. Schoelkopf"
10.3969/j.issn.1673-5692.2017.04.012,Effects of Spatial Frequencies Distributions on the Phase Synchronization,Journal of China Academy of Electronics and Information Technology,2017,"Chen WANG,Xin FENG,Hong-jing MA,Yuan LIU,Ya Nie"
,Engineering interactions between long-lived cavities,Bulletin of the American Physical Society,2017,"Yvonne Y. Gao,Serge Rosenblum,Philip Reinhold,Chen Wang,Christopher Axline,Luigi Frunzio,S. M. Girvin,Liang Jiang,Mazyar Mirrahimi,Michel H. Devoret,R. J. Schoelkopf"
,Normal Metal Quasiparticle Traps in 3D-Transmon Qubits,Bulletin of the American Physical Society,2016,"Luke Burkhart,Yvonne Y. Gao,Chen Wang,K. Serniak,Gijs de Lange,Yiwen Chu,U. Vool,Luigi Frunzio,Michel H. Devoret,Gianluigi Catelani,Leonid I. Glazman,R. J. Schoelkopf"
,Entangled Schrodinger cats in circuit QED: Experimental Architecture,Bulletin of the American Physical Society,2016,"Chen Wang,Yvonne Y. Gao,Philip Reinhold,Reinier Heeres,Nissim Ofek,Kevin Chou,Christopher Axline,Luigi Frunzio,Michel H. Devoret,R. J. Schoelkopf"
10.1063/1.4959241,An Architecture For Integrating Planar And 3d Cqed Devices,APPLIED PHYSICS LETTERS,2016,"Christopher Axline,Matthew Reagor,Reinier Heeres,Philip Reinhold,Chen Wang,Kevin Shain,Wolfgang Pfaff,Yiwen Chu,Luigi Frunzio,R. J. Schoelkopf"
10.1063/1.4962327,Suspending Superconducting Qubits By Silicon Micromachining,APPLIED PHYSICS LETTERS,2016,"Yiwen Chu,Christopher Axline,C. Wang,T. Brecht,Yvonne Y. Gao,Luigi Frunzio,R. J. Schoelkopf"
,Engineering stabilizer measurements in circuit QED: II,Bulletin of the American Physical Society,2016,"Jacob Blumoff,Kevin Chou,Matthew Reagor,Christopher Axline,R Brierly,Simon E. Nigg,Philip Reinhold,Reinier Heeres,Chen Wang,K. Sliwa,A. Narla,Michael Hatridge,Liang Jiang,Michel Devoret,Steven Girvin,Robert Schoelkopf"
10.1103/PhysRevB.94.014506,Quantum Memory With Millisecond Coherence In Circuit Qed,PHYSICAL REVIEW B,2016,"m reagor,wolfgang pfaff,c axline,r heeres,nissim ofek,katrina sliwa,eric holland,chen wang,jacob blumoff,kevin chou,m hatridge,luigi frunzio,michel h devoret,liang jiang,robert j schoelkopf"
,Entangled Schrodinger cats in circuit QED: Joint Wigner Tomography,Bulletin of the American Physical Society,2016,"Yvonne Y. Gao,Chen Wang,Philip Reinhold,Reinier Heeres,Nissim Ofek,Kevin Chou,Christopher Axline,Luigi Frunzio,Michel H. Devoret,R. J. Schoelkopf"
10.1063/1.4934486,Surface Participation And Dielectric Loss In Superconducting Qubits,APPLIED PHYSICS LETTERS,2015,"chen wang,c axline,y y gao,t brecht,luigi frunzio,michel h devoret,robert j schoelkopf"
,Suppressing decoherence of superconducting qubits by trapping non-equilibrium quasiparticles,Bulletin of the American Physical Society,2015,"yvonne gao,chen wang,ioan pop,u vool,c axline,t brecht,r heeres,luigi frunzio,michel h devoret,g catelani,l i glazman,robert j schoelkopf"
,Measurement of recombination and single-vortex trapping of quasiparticles in a superconducting qubit,Bulletin of the American Physical Society,2015,"chen wang,y y gao,ioan pop,u vool,c axline,t brecht,r heeres,luigi frunzio,g catelani,michel h devoret,l i glazman,robert j schoelkopf"
,Effect of geometry and magnetic field on the coherence time of 3D transmons,Bulletin of the American Physical Society,2014,"Chen Wang,Y. Gao,C. Axline,T. Brecht,L. Frunzio,R.J. Schoelkopf"
10.1038/ncomms6836,Measurement and control of quasiparticle dynamics in a superconducting qubit.,NATURE COMMUNICATIONS,2014,"C Wang,Y Y Gao,I M Pop,U Vool,C Axline,T Brecht,R W Heeres,L Frunzio,M H Devoret,G Catelani,L I Glazman,R J Schoelkopf"
10.1038/nature14004,Deterministic switching of ferromagnetism at room temperature using an electric field.,NATURE,2014,"J. T. Heron,D. G. Schlom,J. L. Bosse,L. Ye,B. D. Huey,Q. He,Y. Gao,Jian Liu,R. Ramesh,M. Trassin,J. D. Clarkson,C. Wang,D. C. Ralph,S. Salahuddin,D. C. Ralph,J. Íñiguez"
,Spin dependent tunneling and possible spin torque effects in magnetic nanoparticle tunnel junctions,Bulletin of the American Physical Society,2012,"Chen Wang,Hsin-Wei Tseng,Robert A. Buhrman,Daniel C. Ralph"
,Network Analyzer Measurements of Spin-Torque Dynamics,,2012,"lin xue,chen wang,yongtao cui,r a buhrman,daniel c ralph"
10.1103/PhysRevLett.108.147201,Resonance Measurement Of Nonlocal Spin Torque In A Three-Terminal Magnetic Device,PHYSICAL REVIEW LETTERS,2012,"Lin Xue,Chen Wang,Yong-Tao Cui,Luqiao Liu,A Swander,J Z Sun,R A Buhrman,D C Ralph"
,Spin dependent tunneling and possible spin torque effects in magnetic nanoparticle tunnel junctions,Bulletin of the American Physical Society,2012,"Chen Wang,Hsin-wei Tseng,R. A. Buhrman,D. C. Ralph"
10.1063/1.4737017,Network Analyzer Measurements Of Spin Transfer Torques In Magnetic Tunnel Junctions,APPLIED PHYSICS LETTERS,2012,"lin xue,chen wang,yongtao cui,j a katine,r a buhrman,daniel c ralph"
10.1063/1.3606550,Conditions For Microwave Amplification Due To Spin-Torque Dynamics In Magnetic Tunnel Junctions,APPLIED PHYSICS LETTERS,2011,"lin xue,chen wang,yongtao cui,j a katine,r a buhrman,daniel c ralph"
10.1038/nphys1928,Time-resolved measurement of spin-transfer-driven ferromagnetic resonance and spin torque in magnetic tunnel junctions,Nature Physics,2011,"Chen Wang,Yong-Tao Cui,Robert A. Buhrman,Daniel C. Ralph,Jordan A. Katine"
10.1098/rsta.2011.0169,Spin-transfer torque in nanoscale magnetic devices.,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,2011,"D C Ralph,Y-T Cui,L Q Liu,T Moriyama,C Wang,R A Buhrman"
10.1038/nphys1928,Time-resolved measurement of spin-transfer-driven ferromagnetic resonance and spin torque in magnetic tunnel junctions,Nature Physics,2011,"Wang, Chen,Cui, Yong-Tao,Katine, Jordan A.,Buhrman, Robert A.,Ralph, Daniel C."
,Determining Conditions for Microwave-Frequency Gain in Magnetic Tunnel Junctions,Bulletin of the American Physical Society,2010,"lin xue,chen wang,yongtao cui,r a buhrman,daniel c ralph"
,Phase Transitions and Domain Structure in Mixed Tetragonal-Rhombohedral BiFeO3 thin films using Raman Spectroscopy and Nonlinear Optics,Bulletin of the American Physical Society,2010,"eftihia vlahos,a kumar,sava denev,alexander melville,c adamo,jon f ihlefeld,guo zhen sheng,r j zeches,john zhang,qing he,c han yang,rolf erni,marta d rossell,j a,hatt,yinghao chu,c h wang,claude ederer,venkatraman gopalan,longqing chen,d g schlom,nicola a spaldin,l martin,r ramesh,dmitri a tenne"
,Spin Torque Switching in Asymmetric Fe$_{60}$Co$_{20}$B$_{20}$/MgO/ Ni$_{60}$Fe$_{20}$B$_{20}$ Magnetic Tunnel Junctions,Bulletin of the American Physical Society,2010,"Hinwei Tseng,Y. Li,J.C. Read,C. Wang,O.L. Lee,P.G. Gowtham,Patrick M. Braganca,D. C. Ralph,R. A. Buhrman"
10.1038/nphys1928,Time-resolved detection of spin-transfer-driven ferromagnetic resonance  and spin torque measurement in magnetic tunnel junctions,Bulletin of the American Physical Society,2010,"Chen Wang,Yong-Tao Cui,Jordan A. Katine,Robert A. Buhrman,Daniel C. Ralph"
,Quantitative measurement of spin transfer torque in magnetic tunnel junctions by spin-transfer-driven ferromagnetic resonance,,2010,chen wang
10.1103/PhysRevLett.104.097201,Single-Shot Time-Domain Studies Of Spin-Torque-Driven Switching In Magnetic Tunnel Junctions,PHYSICAL REVIEW LETTERS,2010,"Y-T Cui,G Finocchio,C Wang,J A Katine,R A Buhrman,D C Ralph"
10.1103/PhysRevB.79.224416,Bias And Angular Dependence Of Spin-Transfer Torque In Magnetic Tunnel Junctions,PHYSICAL REVIEW B,2009,"c a wang,yongtao cui,J. Z. Sun,J. A. Katine,R. A. Buhrman,daniel c ralph"
10.1063/1.3197137,Sensitivity Of Spin-Torque Diodes For Frequency-Tunable Resonant Microwave Detection,JOURNAL OF APPLIED PHYSICS,2009,"C. Wang,Y.-T. Cui,J. Z. Sun,J. A. Katine,R. A. Buhrman,D. C. Ralph"
10.1103/PhysRevE.74.036208,Propagation Of Wave Modes And Antispiral Waves In A Reaction-Diffusion System,PHYSICAL REVIEW E,2006,"Chen Wang,ChunXia Zhang,Qi Ouyang"
