doi,标题,期刊,年份,作者
10.1063/1.5138645,Soft X-ray Absorption Spectroscopy and Magnetic Circular Dichroism as  Operando Probes of Complex Oxide Electrolyte Gate Transistors,Applied Physics Letters,2020,"Yu Biqiong,Yu Guichuan,Walter Jeff,Chaturvedi Vipul,Gotchnik Joseph,Freeland John W.,Leighton Chris,Greven Martin"
10.1021/acsami.0c11566,Strain-Work Function Relationship In Single-Crystal Tetracene,ACS APPLIED MATERIALS & INTERFACES,2020,"Zhuoran Zhang,Guichuan Yu,Javier Garcia-Barriocanal,Zuoti Xie,C Daniel Frisbie"
,High temperature RIXS study of charge transfer excitations in cuprates,Bulletin of the American Physical Society,2019,"Biqiong Yu,Kenji Ishii,Shun Asano,Masaki Fujita,Diego Casa,Guichuan Yu,Martin Greven"
,Wide Range Reversible Transport Modulation and Electron Density Dependence of Mobility in Ion-Gel-Gated BaSnO 3 Films,Bulletin of the American Physical Society,2019,"Helin Wang,Jeffery Walter,Koustav Ganguly,Abhinav Prakash,Biqiong Yu,Guichuan Yu,Han Fu,Martin Greven,Chris Leighton"
10.1103/PhysRevMaterials.3.075001,Wide-Voltage-Window Reversible Control Of Electronic Transport In Electrolyte-Gated Epitaxial Basno3,PHYSICAL REVIEW MATERIALS,2019,"Helin Wang,Jeff Walter,Koustav Ganguly,Biqiong Yu,Guichuan Yu,Zhan Zhang,Hua Zhou,Han Fu,Martin Greven,Chris Leighton"
10.1088/1367-2630/ab4d0f,Evidence for a universal Fermi-liquid scattering rate throughout the phase diagram of the copper-oxide superconductors,NEW JOURNAL OF PHYSICS,2019,"Neven Barisic,Mun Chan,Michael John Veit,Chelsey Dorow,Yang Ge,Yangmu Li,Wojciech Tabis,Yang Tang,Guichuan Yu,Xudong Zhao,Martin Greven"
,Wide-voltage-window reversible control of electronic transport in electrolyte-gated epitaxial [Formula : see text],Physical Review Materials,2019,"Wang Helin,Walter Jeff,Ganguly Koustav,Yu Biqiong,Yu Guichuan,Zhang Zhan,Zhou Hua,Fu Han,Greven Martin,Leighton Chris"
,Unusual dynamic charge-density-wave correlations in  HgBa$_2$CuO$_{4+\delta}$,,2019,"Yu B.,Tabis W.,Bialo I.,Yakhou F.,Brookes N.,Anderson Z.,Tang Y.,Yu G.,Greven M."
10.1103/physrevb.101.220509,Doping-dependent phonon anomaly and charge-order phenomena in the  HgBa$_{2}$CuO$_{4+\delta}$ and HgBa$_{2}$CaCu$_{2}$O$_{6+\delta}$,,2019,"Wang Lichen,Yu Biqiong,Jing Ran,Luo Xiangpeng,Zeng Junbang,Li Jiarui,Bialo Izabela,Bluschke Martin,Tang Yang,Freyermuth Jacob,Yu Guichuan,Sutarto Ronny,He Feizhou,Weschke Eugen,Tabis Wojciech,Greven Martin,Li Yuan"
10.1103/physrevmaterials.2.111404,Perpendicular magnetic anisotropy via strain-engineered oxygen vacancy ordering in epitaxial La1−xSrxCoO3−δ,Physical Review Materials,2018,"Jeff Walter,Shameek Bose,Mariona Cabero,Guichuan Yu,Martin Greven,Maria Varela,Chris Leighton"
,Growth and characterization of HgBa2CaCu2O6+d and HgBa2Ca2Cu3O8+d crystals,arXiv: Superconductivity,2018,"Lichen Wang,Xiangpeng Luo,Jiarui Li,Junbang Zeng,Minghao Cheng,Jacob Freyermuth,Y.C. Tang,Biqiong Yu,Guichuan Yu,M. Greven,Yuan Li"
,Neutron Scattering Study of the Magnetic Phase Transition in Rare-Earth Titanates,Bulletin of the American Physical Society,2018,"Sajna Hameed,Guichuan Yu,Karl Olson,Masaaki Matsuda,Daniel M. Pajerowski,M. Greven"
,Resonant Inelastic X-ray Scattering Study of Electronic Excitations in the Hole-doped Cuprates,Bulletin of the American Physical Society,2018,"Biqiong Yu,Wojciech Tabis,Izabela Bialo,Flora Yakhou-Harris,D. Casa,Kenji Ishii,Guichuan Yu,M. Greven"
10.1038/s41535-018-0115-2,Percolative nature of the dc paraconductivity in the cuprate superconductors,NPJ QUANTUM MATERIALS,2018,"Petar Popčević,Damjan Pelc,Y.C. Tang,Kristijan Velebit,Zachary Anderson,Vikram Nagarajan,Guichuan Yu,Miroslav Požek,Neven Barišić,M. Greven"
10.1103/PhysRevB.98.161114,Coupling Between Dynamic Magnetic And Charge-Order Correlations In The Cuprate Superconductor Nd2-Xcexcuo4,PHYSICAL REVIEW B,2018,"E. H. Da Silva Neto,M. Minola,B. Yu,W. Tabis,M. Bluschke,D. Unruh,H. Suzuki,Y. Li,G. Yu,D. Betto,K. Kummer,F. Yakhou,N. B. Brookes,M. Le Tacon,Martin Greven,B. Keimer,A. Damascelli"
,Electric-Field-Induced Ferromagnetism via Cluster Percolation in Ion-Gel-Gated La 1-x Sr x CoO 3-δ Films,Bulletin of the American Physical Society,2018,"Jeffery Walter,Biqiong Yu,Guichuan Yu,Alexander Grutter,Brian Kirby,Julie Borchers,Zhan Zhang,Hua Zhou,Timothy Charlton,Haile Ambaye,Michael Fitzsimmons,Peter Orth,Rafael Fernandes,Boris Shklovskii,Turan Birol,Martin Greven,Chris Leighton"
,Fluctuating charge-order correlations in the cuprate superconductor N2-xCexCuO4,Bulletin of the American Physical Society,2018,"Eduardo H. da Silva Neto,M. Minola,Biqiong Yu,Wojciech Tabis,M. Bluschke,Hakuto Suzuki,Yangmu Li,Guichuan Yu,Kurt Kummer,Nicholas B. Brookes,Matthieu le Tacon,M. Greven,B. Keimer,A. Damascelli"
10.1038/s41467-018-06707-y,Emergence Of Superconductivity In The Cuprates Via A Universal Percolation Process,NATURE COMMUNICATIONS,2018,"Damjan Pelc,Marija Vučković,Mihael S Grbić,Miroslav Požek,Guichuan Yu,Takao Sasagawa,Martin Greven,Neven Barišić"
10.1103/PhysRevMaterials.2.123401,Growth And Characterization Of Hgba2cacu2o6 +/-Delta And Hgba2ca2cu3o8 +/-Delta Crystals,PHYSICAL REVIEW MATERIALS,2018,"Lichen Wang,Xiangpeng Luo,Jiarui Li,Junbang Zeng,Minghao Cheng,Jacob Freyermuth,Yang Tang,Biqiong Yu,Guichuan Yu,Martin Greven,Yuan Li"
10.1103/physrevmaterials.2.123401,Growth and characterization of HgBa2CaCu2O6+δ and HgBa2Ca2Cu3O8+δ crystals,Physical Review Materials,2018,"Lichen Wang,Xiangpeng Luo,Jiarui Li,Junbang Zeng,Minghao Cheng,Jacob Freyermuth,Yang Tang,Biqiong Yu,Guichuan Yu,Martin Greven,Yuan Li"
