doi,标题,期刊,年份,作者
,Subwavelength control of light transport at the exceptional point by non-Hermitian metagratings,Science Advances,2023,"Yihao Xu,Lin Li,Heonyeong Jeong,Seokwoo Kim,Inki Kim,Junsuk Rho,Yongmin Liu"
,Software-defined nanophotonic devices and systems empowered by machine learning,Progress in Quantum Electronics,2023,"Yihao Xu,Bo Xiong,Wei Ma,Yongmin Liu"
,Ultrafast all-optical manipulation of magnetization in ferromagnetic thin films,"International Workshop on Thin Films for Electronics, Electro-Optics, Energy and Sensors 2022",2023,Yongmin Liu
10.1126/science.ade5140,Breaking the limitation of polarization multiplexing in optical metasurfaces with engineered noise.,"Science (New York, N.Y.)",2023,"Bo Xiong,Yu Liu,Yihao Xu,Lin Deng,Chao-Wei Chen,Jia-Nan Wang,Ruwen Peng,Yun Lai,Yongmin Liu,Mu Wang"
,Editorial of special issue on optical metasurfaces:fundamentals and applications,Chinese Optics Letters,2023,"Tao Li,Cheng Zhang,Yongmin Liu"
10.1109/TAP.2022.3161487,Reconfigurable Vector Vortex Beams Using Spoof Surface Plasmon Ring Resonators,IEEE Transactions on Antennas and Propagation,2022,"Zhen Liao,Yanziyi Che,Leilei Liu,Bai Cao Pan,Ben Geng Cai,Jia Nan Zhou,Guo Qing Luo,Yongmin Liu"
10.1002/adma.202108479,Rapid Identification of DNA Fragments through Direct Sequencing with Electro-Optical Zero-Mode Waveguides,ADVANCED MATERIALS,2022,"Fatemeh Farhangdoust,Feng Cheng,Wentao Liang,Yongmin Liu,Meni Wanunu"
10.1021/acsphotonics.2c01397,"Decoupled phase modulation for circularly polarized lights via chiral
  metasurface",,2022,"Renchao Jin,Lin Deng,Lili Tang,Yue Cao,Yongmin Liu,Zheng-Gao Dong"
10.1016/j.bioactmat.2021.08.015,3D direct printing of mechanical and biocompatible hydrogel meta-structures,BIOACTIVE MATERIALS,2022,"Lei Zhang,Wenhan Lee,Xinhao Li,Yanhui Jiang,Nicholas Xuanlai Fang,Guohao Dai,Yongmin Liu"
10.1002/adom.202200910,On‐Demand Mode Conversion and Wavefront Shaping via On‐Chip Metasurfaces,Advanced Optical Materials,2022,"Lin Deng,Yihao Xu,Renchao Jin,Ziqiang Cai,Yongmin Liu"
10.1016/j.photonics.2022.101073,Hybrid inverse design of photonic structures by combining optimization methods with neural networks,Photonics and Nanostructures - Fundamentals and Applications,2022,"Lin Deng,Yihao Xu,Yongmin Liu"
10.1002/adma.202110022,Pushing the Limits of Functionality-Multiplexing Capability in Metasurface Design Based on Statistical Machine Learning,ADVANCED MATERIALS,2022,"Wei Ma,Yihao Xu,Bo Xiong,Lin Deng,Ru-Wen Peng,Mu Wang,Yongmin Liu"
10.1103/PhysRevB.106.174401,Electric field tuning of ultrafast demagnetization in a magnetoelectric heterostructure,PHYSICAL REVIEW B,2022,"A. R. Will-Cole,Chuangtang Wang,Nirjhar Bhattacharjee,Yongmin Liu,N. X. Sun"
10.1002/adom.202102135,Near‐Infrared Reflection Modulation Through Electrical Tuning of Hybrid Graphene Metasurfaces,Advanced Optical Materials,2022,"Ziqiang Cai,Yongmin Liu"
10.1021/acs.nanolett.1c03772,Optical Pulling Forces Enabled by Hyperbolic Metamaterials,NANO LETTERS,2021,"Renchao Jin,Yihao Xu,Zheng-Gao Dong,Yongmin Liu"
10.1002/lpor.202000426,Polarization Shaping Of Free-Electron Radiation By Gradient Bianisotropic Metasurfaces,LASER & PHOTONICS REVIEWS,2021,"Liqiao Jing,Xiao Lin,Zuojia Wang,Ido Kaminer,Hao Hu,Erping Li,Yongmin Liu,Min Chen,Baile Zhang,Hongsheng Chen"
10.1002/adma.202005864,Realizing Colorful Holographic Mimicry By Metasurfaces,ADVANCED MATERIALS,2021,"Bo Xiong,Yihao Xu,Jianan Wang,Lin Li,Lin Deng,Feng Cheng,Ru-Wen Peng,Mu Wang,Yongmin Liu"
10.1364/PRJ.417693,Interfacing Photonics With Artificial Intelligence: An Innovative Design Strategy For Photonic Structures And Devices Based On Artificial Neural Networks,PHOTONICS RESEARCH,2021,"Yihao Xu,Xianzhe Zhang,Yun Fu,Yongmin Liu"
10.1038/s41566-020-0685-y,Deep Learning For The Design Of Photonic Structures,NATURE PHOTONICS,2021,"Wei Ma,Zhaocheng Liu,Zhaxylyk A. Kudyshev,Alexandra Boltasseva,Wenshan Cai,Yongmin Liu"
10.1002/lpor.202100155,Electrically Driven Tunable Broadband Polarization States Via Active Metasurfaces Based On Joule-Heat-Induced Phase Transition Of Vanadium Dioxide,LASER & PHOTONICS REVIEWS,2021,"Fang-Zhou Shu,Jia-Nan Wang,Ru-Wen Peng,Bo Xiong,Ren-Hao Fan,Ya-Jun Gao,Yongmin Liu,Dong-Xiang Qi,Mu Wang"
10.1021/acsami.1c02724,Self-Assembly Of Silica-Gold Core-Shell Microparticles By Electric Fields Toward Dynamically Tunable Metamaterials,ACS APPLIED MATERIALS & INTERFACES,2021,"Han Gao,Yihao Xu,Kan Yao,Yongmin Liu"
10.1063/5.0053834,Demonstration Of Microwave Plasmonic-Like Vortices With Tunable Topological Charges By A Single Metaparticle,APPLIED PHYSICS LETTERS,2021,"Guangxu Su,Hai Su,Lumang Hu,Zhaofu Qin,Xiaopeng Shen,Jianping Ding,Fanxin Liu,Minghui Lu,Peng Zhan,Yongmin Liu"
,Rapid Identification of DNA Fragments through Direct Sequencing with Electro-Optical Waveguides,,2021,"Fatemeh  Farhangdoust,Feng  Cheng,Wentao  Liang,Yongmin  Liu,Meni  Wanunu"
10.1364/OME.442854,Artificial Intelligence Meets Engineered Photonic Materials: Introduction To Special Issue,OPTICAL MATERIALS EXPRESS,2021,"Wenshan Cai,Yongmin Liu,Junsuk Rho,Haim Suchowski,Peter Wiecha"
10.1109/RAPID49481.2020.9195680,Accelerating the Design of Photonic Metamaterials by Artificial Intelligence,2020 IEEE Research and Applications of Photonics in Defense Conference (RAPID),2020,Yongmin Liu
10.1103/PhysRevApplied.13.044037,Nonreciprocal Isolation and Wavelength Conversion via a Spatiotemporally Engineered Cascaded Cavity,PHYSICAL REVIEW APPLIED,2020,"Xingping Zhou,Samit Kumar Gupta,Xueyi Zhu,Guangxu Su,Peng Zhan,Yongmin Liu,Zhuo Chen,Minghui Lu,Zhenlin Wang"
10.1002/adom.202000379,All-Optical Helicity-Dependent Switching in Hybrid Metal-Ferromagnet Thin Films,ADVANCED OPTICAL MATERIALS,2020,"Feng Cheng,Zhidong Du,Xinjun Wang,Ziqiang Cai,Lin Li,Chuangtang Wang,Abdelkrim Benabbas,Paul Champion,Nianxiang Sun,Liang Pan,Yongmin Liu"
10.1002/adom.201901090,Polariton Photonics Using Structured Metals and 2D Materials,ADVANCED OPTICAL MATERIALS,2020,"Ziqiang Cai,Yihao Xu,Chuangtang Wang,Yongmin Liu"
