doi,标题,期刊,年份,作者
,"Disorder Operator and R\'enyi Entanglement Entropy of Symmetric Mass
  Generation",,2023,"Zi Hong Liu,Yuan Da Liao,Gaopei Pan,Weilun Jiang,Chao-Ming Jian,Yi-Zhuang You,Fakher F. Assaad,Zi Yang Meng,Cenke Xu"
,"Conformal Field Theories generated by Chern Insulators under Quantum
  Decoherence",,2023,"Kaixiang Su,Nayan Myerson-Jain,Cenke Xu"
10.1038/s41565-022-01309-8,Evidence of frustrated magnetic interactions in a Wigner-Mott insulator.,Nature nanotechnology,2023,"Yanhao Tang,Kaixiang Su,Lizhong Li,Yang Xu,Song Liu,Kenji Watanabe,Takashi Taniguchi,James Hone,Chao-Ming Jian,Cenke Xu,Kin Fai Mak,Jie Shan"
,Nonlinear Lifshitz Photon Theory in Condensed Matter Systems,,2023,"Yi-Hsien Du,Cenke Xu,Dam Thanh Son"
,Higher-form Symmetries under Weak Measurement,,2023,"Kaixiang Su,Nayan Myerson-Jain,Chong Wang,Chao-Ming Jian,Cenke Xu"
,Quantum criticality under decoherence or weak measurement,,2023,"Jong Yeon Lee,Chao-Ming Jian,Cenke Xu"
,"A no-go result for implementing chiral symmetries by locality-preserving
  unitaries in a 3 dimensional Hamiltonian lattice model of fermions",,2023,"Lukasz Fidkowski,Cenke Xu"
,Deconfined quantum critical point with nonlocality,Physical Review B,2022,"Yichen Xu,Xiao-Chuan Wu,Cenke Xu"
10.1103/PhysRevB.106.115130,Multicritical point with infinite fractal symmetries,PHYSICAL REVIEW B,2022,"Nayan Myerson-Jain,Kaixiang Su,Cenke Xu"
,A construction of exotic metallic states,,2022,"Xiao-Chuan Wu,Yichen Xu,Mengxing Ye,Zhu-Xi Luo,Cenke Xu"
10.1103/PhysRevLett.128.017601,Construction of Fractal Order and Phase Transition with Rydberg Atoms,PHYSICAL REVIEW LETTERS,2022,"Nayan E. Myerson-Jain,Stephen Yan,David Weld,Cenke Xu"
10.1103/PhysRevLett.128.115301,Pascal's Triangle Fractal Symmetries,PHYSICAL REVIEW LETTERS,2022,"Nayan E. Myerson-Jain,Shang Liu,Wenjie Ji,Cenke Xu,Sagar Vijay"
,Vortex Fermi Liquid and Strongly Correlated Quantum Bad Metal,,2022,"Nayan Myerson-Jain,Chao-Ming Jian,Cenke Xu"
10.1038/s41565-022-01309-8,Frustrated magnetic interactions in a Wigner-Mott insulator,,2022,"Yanhao Tang,Kaixiang Su,Lizhong Li,Yang Xu,Song Liu,Kenji Watanabe,Takashi Taniguchi,James Hone,Chao-Ming Jian,Cenke Xu,Kin Fai Mak,Jie Shan"
,Loops in 4+1d Topological Phases,,2022,"Xie Chen,Arpit Dua,Po-Shen Hsin,Chao-Ming Jian,Wilbur Shirley,Cenke Xu"
,Symmetry protected topological phases under decoherence,,2022,"Jong Yeon Lee,Yi-Zhuang You,Cenke Xu"
,"Boundary states of Three Dimensional Topological Order and the
  Deconfined Quantum Critical Point",,2022,"Wenjie Ji,Nathanan Tantivasadakarn,Cenke Xu"
10.1103/PhysRevX.12.021067,Interaction-Driven Metal-Insulator Transition with Charge Fractionalization,PHYSICAL REVIEW X,2022,"Yichen Xu,Xiao-Chuan Wu,Mengxing Ye,Zhu-Xi Luo,Chao-Ming Jian,Cenke Xu"
10.1103/PhysRevB.106.155131,Deconfined Quantum Critical Point with Non-locality,,2022,"Yichen Xu,Xiao-Chuan Wu,Cenke Xu"
10.1103/PhysRevB.104.205142,Self-duality protected multicriticality in deconfined quantum phase transitions,PHYSICAL REVIEW B,2021,"Da-Chuan Lu,Cenke Xu,Yi-Zhuang You"
10.1088/1742-5468/ac08fe,Categorical Symmetries At Criticality,JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT,2021,"Xiao-Chuan Wu,Wenjie Ji,Cenke Xu"
10.1103/PhysRevB.103.064426,Physics Of Symmetry Protected Topological Phases Involving Higher Symmetries And Its Applications,PHYSICAL REVIEW B,2021,"Chao-Ming Jian,Xiao-Chuan Wu,Yichen Xu,Cenke Xu"
10.21468/SciPostPhys.11.2.033,Universal features of higher-form symmetries at phase transitions,SCIPOST PHYSICS,2021,"Xiao-Chuan Wu,Chao-Ming Jian,Cenke Xu"
10.21468/SciPostPhys.10.2.033,Continuous Neel-Vbs Quantum Phase Transition In Non-Local One-Dimensional Systems With So(3) Symmetry,SCIPOST PHYSICS,2021,"Chao-Ming Jian,Yichen Xu,Xiao-Chuan Wu,Cenke Xu"
