doi,标题,期刊,年份,作者
10.1016/j.cej.2022.138240,Grading patterning perovskite nanocrystal-polymer composite films for robust multilevel information encryption and decryption,Chemical Engineering Journal,2023,"Jiaxing Fu,Jingyun Feng,Bori Shi,Yongfeng Zhou,Chang Xue,Mengying Zhang,Yabing Qi,Weijia Wen,Jinbo Wu"
10.1002/adfm.202211097,Metal Halide Perovskite Surfaces with Mixed A-Site Cations: Atomic Structure and Device Stability,ADVANCED FUNCTIONAL MATERIALS,2023,"Jeremy Hieulle,Dae-Yong Son,Afshan Jamshaid,Xin Meng,Collin Stecker,Robin Ohmann,Zonghao Liu,Luis K. Ono,Yabing Qi"
,Recent progress in the development of high-efficiency inverted perovskite solar cells,NPG Asia Materials,2023,"Sanwan Liu,Vasudevan P. Biju,Yabing Qi,Wei Chen,Zonghao Liu"
,"Recent Advances in Phosphorene: Structure, Synthesis, and Properties.","Small (Weinheim an der Bergstrasse, Germany)",2023,"Wei Zhang,Xuan Zhang,Luis K Ono,Yabing Qi,Hamid Oughaddou"
,Constructing Heterostructure through Bidentate Coordination toward Operationally Stable Inverted Perovskite Solar Cells,SOLAR RRL,2023,"Caiyi Zhang,Ting Guo,Luis K. K. Ono,Shuai Yuan,Tianhao Wu,Hengyuan Wang,Jiahao Zhang,Xiaomin Liu,Xiaomin Huo,Congyang Zhang,Chenfeng Ding,Tongtong Li,Yanbo Wang,Liyuan Han,Yabing Qi"
10.1002/adma.202300169,Graphene-Like Conjugated Molecule as Hole-Selective Contact for Operationally Stable Inverted Perovskite Solar Cells and Modules.,"Advanced materials (Deerfield Beach, Fla.)",2023,"Tianhao Wu,Xiushang Xu,Luis K Ono,Ting Guo,Silvia Mariotti,Chenfeng Ding,Shuai Yuan,Congyang Zhang,Jiahao Zhang,Kirill Mitrofanov,Qizheng Zhang,Saurav Raj,Xiao Liu,Hiroshi Segawa,Penghui Ji,Tongtong Li,Ryota Kabe,Liyuan Han,Akimitsu Narita,Yabing Qi"
,High-Efficiency CsPbI2Br Perovskite Solar Cells with over 83% Fill Factor by Synergistic Effects of a Multifunctional Additive,INORGANIC CHEMISTRY,2023,"Yanqiang Hu,Lijuan Cai,Zong Xu,Zhi Wang,Yifan Zhou,Guangping Sun,Tongming Sun,Yabing Qi,Shufang Zhang,Yanfeng Tang"
,Passivation strategies for enhancing device performance of perovskite solar cells,Nano Energy,2023,"Zhifang Wu,Enbing Bi,Luis K. Ono,Dengbing Li,Osman M. Bakr,Yanfa Yan,Yabing Qi"
,Holistic Strategies Lead to Enhanced Efficiency and Stability of Hybrid Chemical Vapor Deposition Based Perovskite Solar Cells and Modules,ADVANCED ENERGY MATERIALS,2023,"Guoqing Tong,Jiahao Zhang,Tongle Bu,Luis K. Ono,Congyang Zhang,Yuqiang Liu,Chenfeng Ding,Tianhao Wu,Silvia Mariotti,Said Kazaoui,Yabing Qi"
,Modulation of perovskite degradation with multiple-barrier for light-heat stable perovskite solar cells.,Nature communications,2023,"Jing Zhou,Zonghao Liu,Peng Yu,Guoqing Tong,Ruijun Chen,Luis K Ono,Rui Chen,Haixin Wang,Fumeng Ren,Sanwan Liu,Jianan Wang,Zhigao Lan,Yabing Qi,Wei Chen"
,Local Built-In Field at the Sub-nanometric Heterointerface Mediates Cascade Electrochemical Conversion of Lithium-sulfur Batteries,SMALL,2023,"Chenfeng Ding,Mang Niu,Cathal Cassidy,Hyung-Been Kang,Luis K. Ono,Hengyuan Wang,Guoqing Tong,Congyang Zhang,Yuan Liu,Jiahao Zhang,Silvia Mariotti,Tianhao Wu,Yabing Qi"
10.1039/d2tc05491d,A hole injection monolayer enables cost-effective perovskite light-emitting diodes,JOURNAL OF MATERIALS CHEMISTRY C,2023,"Congyang Zhang,Silvia Mariotti,Luis K. Ono,Chenfeng Ding,Kirill Mitrofanov,Caiyi Zhang,Shuai Yuan,Penghui Ji,Jiahao Zhang,Tianhao Wu,Ryota Kabe,Yabing Qi"
10.1002/anie.202112352,Atomic Level Insights into Metal Halide Perovskite Materials by Scanning Tunneling Microscopy and Spectroscopy,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,2022,"Wei Zhang,Luis K Ono,Jiamin Xue,Yabing Qi"
10.1016/j.jechem.2021.12.019,Synergistic stabilization of CsPbI3 inorganic perovskite via 1D capping and secondary growth,Journal of Energy Chemistry,2022,"Jingya Mi,Yuetian Chen,Xiaomin Liu,Xingtao Wang,Yanfeng Miao,Yabing Qi,Yixin Zhao"
10.1007/s40820-022-00842-4,Heterogeneous FASnI3 Absorber with Enhanced Electric Field for High-Performance Lead-Free Perovskite Solar Cells,Nano-Micro Letters,2022,"Tianhao Wu,Xiao Liu,Xinhui Luo,Hiroshi Segawa,Guoqing Tong,Yiqiang Zhang,Luis K Ono,Yabing Qi,Liyuan Han"
10.1039/d2ta07565b,Understanding the active formation of a cathode-electrolyte interphase (CEI) layer with energy level band bending for lithium-ion batteries,JOURNAL OF MATERIALS CHEMISTRY A,2022,"Taehoon Kim,Luis K. Ono,Yabing Qi"
10.1063/5.0085221,Perovskite solar cells by vapor deposition based and assisted methods,APPLIED PHYSICS REVIEWS,2022,"Yan Jiang,Sisi He,Longbin Qiu,Yixin Zhao,Yabing Qi"
10.1039/d2ee01801b,Elimination of light-induced degradation at the nickel oxide-perovskite heterojunction by aprotic sulfonium layers towards long-term operationally stable inverted perovskite solar cells,ENERGY & ENVIRONMENTAL SCIENCE,2022,"Tianhao Wu,Luis K. Ono,Rengo Yoshioka,Chenfeng Ding,Congyang Zhang,Silvia Mariotti,Jiahao Zhang,Kirill Mitrofanov,Xiao Liu,Hiroshi Segawa,Ryota Kabe,Liyuan Han,Yabing Qi"
10.23919/IEN.2022.0053,Applications of vacuum vapor deposition for perovskite solar cells: A progress review,iEnergy,2022,"Hang Li,Mingzhen Liu,Meicheng Li,Hyesung Park,Nripan Mathews,Yabing Qi,Xiaodan Zhang,Henk J. Bolink,Karl Leo,Michael Graetzel,Chenyi Yi"
10.1016/j.jelechem.2022.116340,Understanding the nucleation and growth of the degenerated surface structure of the layered transition metal oxide cathodes for lithium-ion batteries by operando Raman spectroscopy,Journal of Electroanalytical Chemistry,2022,"Taehoon Kim,Luis K. Ono,Yabing Qi"
10.1002/aenm.202103151,CsI Enhanced Buried Interface for Efficient and UV-Robust Perovskite Solar Cells,ADVANCED ENERGY MATERIALS,2022,"Hang Xu,Yanfeng Miao,Ning Wei,Haoran Chen,Zhixiao Qin,Xiaomin Liu,Xingtao Wang,Yabing Qi,Taiyang Zhang,Yixin Zhao"
10.1021/acs.chemmater.2c00951,"Air-Exposure Induced Dopant Redistribution and Energy Level Shifts in Spin-Coated Spiro-MeOTAD Films (vol 27, pg 562, 2015)",CHEMISTRY OF MATERIALS,2022,"Zafer Hawash,Luis K. Ono,Sonia R. Raga,Michael V. Lee,Yabing Qi"
10.1002/solr.202100458,Recent Progress on Metal Halide Perovskite Solar Minimodules,SOLAR RRL,2022,"Zhichun Yang,Zonghao Liu,Vahid Ahmadi,Wei Chen,Yabing Qi"
10.1038/s41560-022-01039-0,Modulating crystal growth of formamidinium–caesium perovskites for over 200 cm2 photovoltaic sub-modules,Nature Energy,2022,"Tongle Bu,Luis K. Ono,Jing Li,Jie Su,Guoqing Tong,Wei Zhang,Yuqiang Liu,Jiahao Zhang,Jingjing Chang,Said Kazaoui,Fuzhi Huang,Yi-Bing Cheng,Yabing Qi"
10.1039/d2ma00431c,Residual strain reduction leads to efficiency and operational stability improvements in flexible perovskite solar cells,MATERIALS ADVANCES,2022,"Sisi He,Sibo Li,Anning Zhang,Guanshui Xie,Xin Wang,Jun Fang,Yabing Qi,Longbin Qiu"
10.1063/5.0085137,<p>From film to ring: Quasi-circular inorganic lead halide perovskite grain induced growth of uniform lead silicate glass ring structure</p>,APPLIED PHYSICS LETTERS,2022,"Guoqing Tong,Wentao Song,Luis K. Ono,Yabing Qi"
10.1039/d1se01739j,Investigating lithium metal anodes with nonaqueous electrolytes for safe and high-performance batteries,SUSTAINABLE ENERGY & FUELS,2022,"Hui Zhang,Yabing Qi"
10.1016/J.NANOEN.2021.106152,Removal of residual compositions by powder engineering for high efficiency formamidinium-based perovskite solar cells with operation lifetime over 2000 hours,Nano Energy,2021,"Guoqing Tong,Dae-Yong Son,Luis K. Ono,Hyung-Been Kang,Sisi He,Longbin Qiu,Hui Zhang,Yuqiang Liu,Jeremy Hieulle,Yabing Qi"
10.1126/sciadv.abg3749,Slot-Die Coating Large-Area Formamidinium-Cesium Perovskite Film For Efficient And Stable Parallel Solar Module,SCIENCE ADVANCES,2021,"Zhichun Yang,Wenjun Zhang,Shaohang Wu,Hongmei Zhu,Zonghao Liu,Zhiyang Liu,Zhaoyi Jiang,Rui Chen,Jing Zhou,Qian Lu,Zewen Xiao,Lei Shi,Han Chen,Luis K Ono,Shasha Zhang,Yiqiang Zhang,Yabing Qi,Liyuan Han,Wei Chen"
10.1007/s12274-020-3065-5,CsPbBrxI3-x thin films with multiple ammonium ligands for low turn-on pure-red perovskite light-emitting diodes,NANO RESEARCH,2021,"Maowei Jiang,Zhanhao Hu,Luis K. Ono,Yabing Qi"
10.1088/1361-6463/ac196e,A Solid-Liquid Hybrid Electrolyte For Lithium Ion Batteries Enabled By A Single-Body Polymer/Indium Tin Oxide Architecture,JOURNAL OF PHYSICS D-APPLIED PHYSICS,2021,"Taehoon Kim,Dae-Yong Son,Luis K. Ono,Yan Jiang,Yabing Qi"
10.1002/smll.202100244,"Unclonable Micro-Texture With Clonable Micro-Shape Towards Rapid, Convenient, And Low-Cost Fluorescent Anti-Counterfeiting Labels",SMALL,2021,"Yuhong Lin,Hongkun Zhang,Jingyun Feng,Bori Shi,Mengying Zhang,Yuexing Han,Weijia Wen,Tongyi Zhang,Yabing Qi,Jinbo Wu"
10.1038/s41377-021-00515-8,2d Materials For Conducting Holes From Grain Boundaries In Perovskite Solar Cells,LIGHT-SCIENCE & APPLICATIONS,2021,"Peng You,Guanqi Tang,Jiupeng Cao,Dong Shen,Tsz-Wai Ng,Zafer Hawash,Naixiang Wang,Chun-Ki Liu,Wei Lu,Qidong Tai,Yabing Qi,Chun-Sing Lee,Feng Yan"
