doi,标题,期刊,年份,作者
,<i>Special Issue:</i> Spatial Omics,GEN Biotechnology,2023,"Rong Fan,Omer Bayraktar"
,SIMVI reveals intrinsic and spatial-induced states in spatial omics data.,bioRxiv : the preprint server for biology,2023,"Mingze Dong,Harriet Kluger,Rong Fan,Yuval Kluger"
,Prior cycles of anti-CD20 antibodies affect antibody responses after repeated SARS-CoV-2 mRNA vaccination.,JCI insight,2023,"Hiromitsu Asashima,Dongjoo Kim,Kaicheng Wang,Nikhil Lele,Nicholas C Buitrago-Pocasangre,Rachel Lutz,Isabella Cruz,Khadir Raddassi,William E Ruff,Michael K Racke,JoDell E Wilson,Tara S Givens,Alba Grifoni,Daniela Weiskopf,Alessandro Sette,Steven H Kleinstein,Ruth R Montgomery,Albert C Shaw,Fangyong Li,Rong Fan,David A Hafler,Mary M Tomayko,Erin E Longbrake"
,Microfluidic Immuno-Serolomic Assay Reveals Systems Level Association with COVID-19 Pathology and Vaccine Protection.,Small methods,2023,"Dongjoo Kim,Giulia Biancon,Zhiliang Bai,Jennifer VanOudenhove,Yuxin Liu,Shalin Kothari,Lohith Gowda,Jennifer M Kwan,Nicholas Carlos Buitrago-Pocasangre,Nikhil Lele,Hiromitsu Asashima,Michael K Racke,JoDell E Wilson,Tara S Givens,Mary M Tomayko,Wade L Schulz,Erin E Longbrake,David A Hafler,Stephanie Halene,Rong Fan"
,CXCL8/CXCR2 signaling mediates bone marrow fibrosis and represents a therapeutic target in myelofibrosis,Blood,2023,"Andrew Dunbar,Dongjoo Kim,Min Lu,Mirko Farina,Robert L. Bowman,Julie L. Yang,Young C. Park,Abdul Karzai,Wenbin Xiao,Zach Zaroogian,Kavi O'Connor,Shoron Mowla,Francesca Gobbo,Paola Verachi,Fabrizio Martelli,Giuseppe Sarli,Lijuan Xia,Nada Elmansy,Maria Kleppe,Zhuo Chen,Yang Xiao,Erin M McGovern,Jenna Snyder,Aishwarya Krishnan,Corinne E. Hill,Keith Bryan Cordner,Anouar Zouak,Mohamed E. Salama,Jayden Yohai,Eric Tucker,Jonathan J Chen,Jing Zhou,Timothy S McConnell,Anna Rita Migliaccio,Richard Patrick Koche,Raajit K. Rampal,Rong Fan,Ross L Levine,Ronald Hoffman"
,Secretory MPP3 reinforce myeloid differentiation trajectory and amplify myeloid cell production,JOURNAL OF EXPERIMENTAL MEDICINE,2023,"Yoon-A Kang,Hyojung Paik,Si Yi Zhang,Jonathan J. Chen,Oakley C. Olson,Carl A. Mitchell,Amelie Collins,James W. Swann,Matthew R. Warr,Rong Fan,Emmanuelle Passegue"
,Microtechnologies for single-cell and spatial multi-omics,Nature Reviews Bioengineering,2023,"Yanxiang Deng,Zhiliang Bai,Rong Fan"
10.1158/1538-7445.METASTASIS22-B046,MLL1 regulates cytokine-driven cell migration and metastasis,CANCER RESEARCH,2023,"Praful R. Nair,Ludmila Danilova,Estibaliz Gomez-de-Mariscal,Dongjoo Kim,Rong Fan,Arrate Munoz-Barrutia,Elana Fertig,Denis Wirtz"
10.1126/sciadv.abq7459,Anti-seed PNAs targeting multiple oncomiRs for brain tumor therapy.,Science advances,2023,"Yazhe Wang,Shipra Malik,Hee-Won Suh,Yong Xiao,Yanxiang Deng,Rong Fan,Anita Huttner,Ranjit S Bindra,Vijender Singh,W Mark Saltzman,Raman Bahal"
10.1038/s41586-023-05795-1,Spatial epigenome-transcriptome co-profiling of mammalian tissues.,Nature,2023,"Di Zhang,Yanxiang Deng,Petra Kukanja,Eneritz Agirre,Marek Bartosovic,Mingze Dong,Cong Ma,Sai Ma,Graham Su,Shuozhen Bao,Yang Liu,Yang Xiao,Gorazd B Rosoklija,Andrew J Dwork,J John Mann,Kam W Leong,Maura Boldrini,Liya Wang,Maximilian Haeussler,Benjamin J Raphael,Yuval Kluger,Gonçalo Castelo-Branco,Rong Fan"
10.1038/s41587-023-01676-0,High-plex protein and whole transcriptome co-mapping at cellular resolution with spatial CITE-seq.,Nature biotechnology,2023,"Yang Liu,Marcello DiStasio,Graham Su,Hiromitsu Asashima,Archibald Enninful,Xiaoyu Qin,Yanxiang Deng,Jungmin Nam,Fu Gao,Pino Bordignon,Marco Cassano,Mary Tomayko,Mina Xu,Stephanie Halene,Joseph E Craft,David Hafler,Rong Fan"
,The technological landscape and applications of single-cell multi-omics,Nature Reviews Molecular Cell Biology,2023,"Alev Baysoy,Zhiliang Bai,Rahul Satija,Rong Fan"
10.1016/j.compstruct.2022.116572,Direct 3D printing of thin-walled cardiovascular stents with negative Poisson’s ratio (NPR) structure and functional metallic coating,Composite Structures,2023,"Ran Xiao,Xiaobin Feng,Wengang Liu,Wenzhao Zhou,Xiang Li,Insu Song,Mingyang Ding,Yiru Pu,Dingkun Zhang,Rong Fan,Ting-Hsuan Chen,Yang Lu"
10.1101/2022.04.01.486788,Spatial-CITE-seq: spatially resolved high-plex protein and whole transcriptome co-mapping,,2022,"Yang Liu,Marcello Distasio,Graham Su,Hiromitsu Asashima,Archibald Enninful,Xiaoyu Qin,Yanxiang Deng,Pino Bordignon,Marco Cassano,Mary Tomayko,Mina L Xu,Stephanie Halene,Joseph E Craft,David A Hafler,Rong Fan"
10.1126/sciadv.abo0522,In vivo correction of cystic fibrosis mediated by PNA nanoparticles.,Science advances,2022,"Alexandra S Piotrowski-Daspit,Christina Barone,Chun-Yu Lin,Yanxiang Deng,Douglas Wu,Thomas C Binns,Emily Xu,Adele S Ricciardi,Rachael Putman,Alannah Garrison,Richard Nguyen,Anisha Gupta,Rong Fan,Peter M Glazer,W Mark Saltzman,Marie E Egan"
10.1126/sciadv.abj2820,Single-cell antigen-specific landscape of CART infusion product identifies determinants of CD19-positive relapse in patients with ALL,SCIENCE ADVANCES,2022,"Zhiliang Bai,Steven Woodhouse,Ziran Zhao,Rahul Arya,Kiya Govek,Dongjoo Kim,Stefan Lundh,Alev Baysoy,Hongxing Sun,Yanxiang Deng,Yang Xiao,David M Barrett,Regina M Myers,Stephan A Grupp,Carl H June,Rong Fan,Pablo G Camara,J Joseph Melenhorst"
10.1093/neuonc/noac186,Cross-platform analysis reveals cellular and molecular landscape of glioblastoma invasion,NEURO-ONCOLOGY,2022,"Ann T. Chen,Yang Xiao,Xiangjun Tang,Mehdi Baqri,Xingchun Gao,Melanie Reschke,Wendy C. Sheu,Gretchen Long,Yu Zhou,Gang Deng,Shenqi Zhang,Yanxiang Deng,Zhiliang Bai,Dongjoo Kim,Anita Huttner,Russell Kunes,Murat Gunel,Jennifer Moliterno,W. Mark Saltzman,Rong Fan,Jiangbing Zhou"
