doi,标题,期刊,年份,作者
,Molecular dynamics simulation data: mW and MLmW water model ice nucleation on a hydrophilic substrate with negative pressure,Michigan Tech Research Data,2023,"Will Cantrell,Tianshu Li,Issei Nakamura,Elise Rosky,Raymond Shaw"
,On the challenge of sampling multiple nucleation pathways: A case study of heterogeneous ice nucleation on FCC (211) surface,The Journal of Chemical Physics,2023,"Wanyu Zhao,Tianshu Li"
10.1038/s43246-022-00298-4,"Coexistence of two types of short-range order in Si-Ge-Sn medium-entropy alloys (Sep, 10.1038/s43246-022-00289-5, 2022)",COMMUNICATIONS MATERIALS,2022,"Xiaochen Jin,Shunda Chen,Tianshu Li"
10.1016/j.cplett.2021.139289,Homogeneous ice nucleation rate at negative pressures: The role of the density anomaly,CHEMICAL PHYSICS LETTERS,2022,"Elise Rosky,Will Cantrell,Tianshu Li,Raymond A. Shaw"
10.1021/acs.est.2c06560,Which Surface Is More Scaling Resistant? A Closer Look at Nucleation Theories for Heterogeneous Gypsum Nucleation in Aqueous Solutions,ENVIRONMENTAL SCIENCE & TECHNOLOGY,2022,"Yiming Yin,Tianshu Li,Kuichang Zuo,Xitong Liu,Shihong Lin,Yiqun Yao,Tiezheng Tong"
10.1021/acs.langmuir.2c02144,Heterogeneous Ice Nucleation Studied with Single-Layer Graphene.,Langmuir : the ACS journal of surfaces and colloids,2022,"Cory Cline,Haozhe Wang,Jing Kong,Tianshu Li,Jifeng Liu,Ulrike G K Wegst"
10.1038/s43246-022-00289-5,Coexistence of two types of short-range order in Si-Ge-Sn medium-entropy alloys,COMMUNICATIONS MATERIALS,2022,"Xiaochen Jin,Shunda Chen,Tianshu Li"
10.1103/PhysRevMaterials.5.104606,Short-range order in SiSn alloy enriched by second-nearest-neighbor repulsion,PHYSICAL REVIEW MATERIALS,2021,"Xiaochen Jin,Shunda Chen,Tianshu Li"
10.1002/9781119508229.ch8,Crystallization Of Water Mediated By Carbon,CARBON IN EARTH'S INTERIOR,2020,"Tianshu Li,Yuanfei Bi,Boxiao Cao"
,Anomalous Stability Of Interfacial Ice Revealed By The Freezing Of Water In Confinement,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,2019,"Tianshu Li,Boxiao Cao,Enshi Xu"
