doi,标题,期刊,年份,作者
10.1021/acs.orglett.1c01553,Switchable Cobalt-Catalyzed α-Olefination and α-Alkylation of Nitriles with Primary Alcohols,Organic Letters,2021,"Keshav Paudel,Shi Xu,Keying Ding"
10.1021/acs.organomet.0c00727,Switchable Imine and Amine Synthesis Catalyzed by a Well-Defined Cobalt Complex,Organometallics,2021,"Keshav Paudel,Shi Xu,Oleksandr Hietsoi,Bedraj Pandey,Chuka Onuh,Keying Ding"
10.1016/j.tet.2021.132451,Switching between borrowing hydrogen and acceptorless dehydrogenative coupling by base transition-metal catalysts,TETRAHEDRON,2021,Keying Ding
10.1021/ACS.ORGANOMET.1C00147,Switchable β-alkylation of Secondary Alcohols with Primary Alcohols by a Well-Defined Cobalt Catalyst,Organometallics,2021,"Bedraj Pandey,Shi Xu,Keying Ding"
10.1021/acs.joc.0c01822,Alpha-Alkylation Of Nitriles With Primary Alcohols By A Well-Defined Molecular Cobalt Catalyst,JOURNAL OF ORGANIC CHEMISTRY,2020,"Keshav Paudel,Shi Xu,Keying Ding"
10.1021/acs.joc.0c01822,α-Alkylation of Nitriles with Primary Alcohols by a Well-Defined Molecular Cobalt Catalyst,The Journal of Organic Chemistry,2020,"Keshav Paudel,Shi Xu,Keying Ding"
10.1021/acs.orglett.9b02727,Selective Ketone Formations via Cobalt-Catalyzed β‑Alkylation of Secondary Alcohols with Primary Alcohols,Organic Letters,2019,"Bedraj Pandey,Shi Xu,Keying Ding"
10.1080/15421406.2018.1459156,Isomorphism Of Inclusion Compounds Built With Composite Host Lattices Of Thiadiazole And V-Shaped Molecules With The Existence Of Tetrabutylammonium Guest Template,MOLECULAR CRYSTALS AND LIQUID CRYSTALS,2018,"Yang Yunxia,Xu Min,Dong Wenjing,Ding Keying"
10.1007/s00775-017-1518-4,Acid-facilitated product release from a Mo(IV) center: relevance to oxygen atom transfer reactivity of molybdenum oxotransferases.,Journal of biological inorganic chemistry : JBIC : a publication of the Society of Biological Inorganic Chemistry,2018,"Feifei Li,Marat R Talipov,Chao Dong,Sofia Bali,Keying Ding"
10.1021/acs.orglett.8b01775,Cobalt-Catalyzed Acceptorless Dehydrogenative Coupling of Primary Alcohols to Esters,Organic Letters,2018,"Keshav Paudel,Bedraj Pandey,Shi Xu,Daniela K Taylor,David L Tyer,Claudia Lopez Torres,Sky Gallagher,Lin Kong,Keying Ding"
