doi,标题,期刊,年份,作者
,Author Correction: Enhanced low-temperature proton conductivity in hydrogen-intercalated brownmillerite oxide,Nature Energy,2023,"Nianpeng Lu,Zhuo Zhang,Yujia Wang,Hao-Bo Li,Shuang Qiao,Bo Zhao,Qing He,Sicheng Lu,Cong Li,Yongshun Wu,Mingtong Zhu,Xiangyu Lyu,Xiaokun Chen,Zhuolu Li,Meng Wang,Jingzhao Zhang,Sze Chun Tsang,Jingwen Guo,Shuzhen Yang,Jianbing Zhang,Ke Deng,Ding Zhang,Jing Ma,Jun Ren,Yang Wu,Junyi Zhu,Shuyun Zhou,Yoshinori Tokura,Ce-Wen Nan,Jian Wu,Pu Yu"
10.1002/aelm.202201245,Manipulation of the Ferromagnetism in LaCoO3 Thin Films Through Cation-Stoichiometric Engineering,ADVANCED ELECTRONIC MATERIALS,2023,"Tongtong Huang,Yingjie Lyu,Huaixun Huyan,Jinyang Ni,Sahar Saremi,Yujia Wang,Xingxu Yan,Di Yi,Qing He,Lane W. W. Martin,Hongjun Xiang,Xiaoqing Pan,Pu Yu"
,Manipulation of the Ferromagnetism in LaCoO <sub>3</sub> Thin Films Through Cation‐Stoichiometric Engineering,Advanced Electronic Materials,2023,"Tongtong Huang,Yingjie Lyu,Huaixun Huyan,Jinyang Ni,Sahar Saremi,Yujia Wang,Xingxu Yan,Di Yi,Qing He,Lane W. Martin,Hongjun Xiang,Xiaoqing Pan,Pu Yu"
,Enhanced Magnetization in CoFe <sub>2</sub> O <sub>4</sub> Through Hydrogen Doping,Advanced Functional Materials,2023,"Zhuolu Li,Yingjie Lyu,Zhao Ran,Yujia Wang,Yang Zhang,Nianpeng Lu,Meng Wang,Michel Sassi,Thai Duy Ha,Alpha T. N'Diaye,Padraic Shafer,Carolyn Pearce,Kevin Rosso,Elke Arenholz,Jenh‐Yih Juang,Qing He,Ying‐Hao Chu,Weidong Luo,Pu Yu"
,Enhanced low-temperature proton conductivity in hydrogen-intercalated brownmillerite oxide,Nature Energy,2022,"Nianpeng Lu,Zhuo Zhang,Yujia Wang,Hao-Bo Li,Shuang Qiao,Bo Zhao,Qing He,Sicheng Lu,Cong Li,Yongshun Wu,Mingtong Zhu,Xiangyu Lyu,Xiaokun Chen,Zhuolu Li,Meng Wang,Jingzhao Zhang,Sze Chun Tsang,Jingwen Guo,Shuzhen Yang,Jianbing Zhang,Ke Deng,Ding Zhang,Jing Ma,Jun Ren,Yang Wu,Junyi Zhu,Shuyun Zhou,Yoshinori Tokura,Ce-Wen Nan,Jian Wu,Pu Yu"
10.1002/ADFM.202001984,Atomic‐Scale Control of Electronic Structure and Ferromagnetic Insulating State in Perovskite Oxide Superlattices by Long‐Range Tuning of BO6 Octahedra,Advanced Functional Materials,2020,"Weiwei Li,Bonan Zhu,Ruixue Zhu,Qiang Wang,Ping Lu,Yuanwei Sun,Clodomiro Cafolla,Zhimin Qi,Aiping Chen,Peng Gao,Haiyan Wang,Qing He,Kelvin H. L. Zhang,Judith L. MacManus‐Driscoll"
10.1103/PhysRevX.10.021030,Robust ferromagnetism in highly strained SrCoO3 thin films,PHYSICAL REVIEW X,2020,"Wang Yujia,He Qing,Ming Wenmei,Du Mao-Hua,Lu Nianpeng,Cafolla Clodomiro,Fujioka Jun,Zhang Qinghua,Zhang Ding,Shen Shengchun,Lyu Yingjie,N'Diaye Alpha T.,Arenholz Elke,Gu Lin,Nan Cewen,Tokura Yoshinori,Okamoto Satoshi,Yu Pu"
10.1002/adfm.202001984,"Atomic‐Scale Control of Electronic Structure and Ferromagnetic Insulating State in Perovskite Oxide Superlattices by Long‐Range Tuning of BO
            <sub>6</sub>
            Octahedra",Advanced Functional Materials,2020,"Weiwei Li,Bonan Zhu,Ruixue Zhu,Qiang Wang,Ping Lu,Yuanwei Sun,Clodomiro Cafolla,Zhimin Qi,Aiping Chen,Peng Gao,Haiyan Wang,Qing He,Kelvin H. L. Zhang,Judith L. MacManus‐Driscoll"
10.1038/s41467-019-13999-1,Reversible manipulation of the magnetic state in SrRuO 3 through electric-field controlled proton evolution.,NATURE COMMUNICATIONS,2020,"Zhuolu Li,Shengchun Shen,Zijun Tian,Kyle Hwangbo,Meng Wang,Yujia Wang,F Michael Bartram,Liqun He,Yingjie Lyu,Yongqi Dong,Gang Wan,Haobo Li,Nianpeng Lu,Jiadong Zang,Hua Zhou,Elke Arenholz,Qing He,Luyi Yang,Weidong Luo,Pu Yu"
,Robust Ferromagnetism in Highly Strained SrCoO_{3} Thin Films,Physical Review X,2020,"Yujia Wang,Qing He,Wenmei Ming,Mao-Hua Du,Nianpeng Lu,Clodomiro Cafolla,Jun Fujioka,Qinghua Zhang,Ding Zhang,Shengchun Shen,Yingjie Lyu,Alpha T. N’Diaye,Elke Arenholz,Lin Gu,Cewen Nan,Yoshinori Tokura,Satoshi Okamoto,Pu Yu"
