doi,标题,期刊,年份,作者
10.1038/s41467-023-36533-w,Spatially confined protein assembly in hierarchical mesoporous metal-organic framework.,Nature communications,2023,"Xiaoliang Wang,Lilin He,Jacob Sumner,Shuo Qian,Qiu Zhang,Hugh O'Neill,Yimin Mao,Chengxia Chen,Abdullah M Al-Enizi,Ayman Nafady,Shengqian Ma"
,Thermodynamics and Phase Behavior of Poly(ethylene oxide)/ Poly(methyl methacrylate)/Salt Blend Electrolytes Studied by Small- Angle Neutron Scattering,MACROMOLECULES,2023,"Neel J. Shah,Lilin He,Kevin W. Gao,Nitash P. Balsara"
,Revealing the Correlation between the Solvation Structures and the Transport Properties of Water-in-Salt Electrolytes,Chemistry of Materials,2023,"Xinyi Liu,Shao-Chun Lee,Soenke Seifert,Lilin He,Changwoo Do,Randall E. Winans,Gihan Kwon,Y Z,Tao Li"
10.1021/acsaem.2c03682,Quaternized Polynorbornene Random Copolymers for Fuel Cell Devices,ACS APPLIED ENERGY MATERIALS,2023,"Michelle Lehmann,Daniel Leonard,Jackie Zheng,Lilin He,Xiaomin Tang,Xi Chelsea Chen,Katie Heeyum Lim,Sandip Maurya,Yu Seung Kim,Tomonori Saito"
10.1038/s41598-023-30757-y,Grain boundary widening controls siderite (FeCO 3 ) replacement of limestone (CaCO 3 ).,Scientific reports,2023,"Juliane Weber,Vitalii Starchenko,Jan Ilavsky,Lawrence F Allard,Jitendra Mata,Lisa Debeer-Schmitt,Carolyn Grace Cooke,Ken Littrell,Lilin He,Rui Zhang,Andrew G Stack,Lawrence M Anovitz"
,Chimney-Shaped Phase Diagram in a Polymer Blend Electrolyte.,ACS macro letters,2023,"Neel J Shah,Marwan Shalaby,Lilin He,Xin Wang,David Deslandes,Bruce A Garetz,Nitash P Balsara"
10.1021/acs.langmuir.1c02738,"Manipulating Assemblies in Metallosupramolecular Gels, Driven by Isomeric Ligands, Metal Coordination, and Adaptive Binary Gelator Systems",LANGMUIR,2022,"Arnab Dawn,Jinnipha Pajoubpong,Amira Mesmer,Marzieh Mirzamani,Lilin He,Harshita Kumari"
10.1039/d2cp01826h,Structural insights into self-assembly of a slow-evolving and mechanically robust supramolecular gel via time-resolved small-angle neutron scattering.,Physical chemistry chemical physics : PCCP,2022,"Marzieh Mirzamani,Arnab Dawn,Christopher J Garvey,Lilin He,Hilmar Koerner,Harshita Kumari"
,Where Does Sulfur Precipitate in Lithium Sulfur Batteries? an Operando SANS Experiment,ECS Meeting Abstracts,2022,"Charl Jafta,Sylvain Prévost,Lilin He,Mengya Li,Xiao-Guang Sun,Guang Yang,Ilias Belharouak,Jagjit Nanda"
10.1021/acs.macromol.2c01724,Relationship between Ion Transport and Phase Behavior in Acetal-Based Polymer Blend Electrolytes Studied by Electrochemical Characterization and Neutron Scattering,MACROMOLECULES,2022,"Jaeyong Lee,Kevin W. Gao,Neel J. Shah,Cheol Kang,Rachel L. Snyder,Brooks A. Abel,Lilin He,Susana C. M. Teixeira,Geoffrey W. Coates,Nitash P. Balsara"
10.1016/j.softx.2022.101101,drtsans: The data reduction toolkit for small-angle neutron scattering at Oak Ridge National Laboratory,SoftwareX,2022,"William T. Heller,John Hetrick,Jean Bilheux,Jose M. Borreguero Calvo,Wei-Ren Chen,Lisa DeBeer-Schmitt,Changwoo Do,Mathieu Doucet,Michael R. Fitzsimmons,William F. Godoy,Garrett E. Granroth,Steven Hahn,Lilin He,Fahima Islam,Jiao Lin,Kenneth C. Littrell,Marshall McDonnell,Jesse McGaha,Peter F. Peterson,Sai Venkatesh Pingali,Shuo Qian,Andrei T. Savici,Yingrui Shang,Christopher B. Stanley,Volker S. Urban,Ross E. Whitfield,Chen Zhang,Wenduo Zhou,Jay Jay Billings,Matthew J. Cuneo,Ricardo M. Ferraz Leal,Tianhao Wang,Bin Wu"
10.1039/d2cp01826h,Structural Insights into Self-Assembly of a Slow-Evolving and Mechanically Robust Supramolecular Gel via Time-resolved SANS,Physical Chemistry Chemical Physics,2022,"Marzieh Mirzamani,Arnab Dawn,Christopher J. Garvey,Lilin He,Hilmar Koerner,Harshita Kumari"
10.2139/ssrn.4043788,Drtsans: The Data Reduction Toolkit for Small-Angle Neutron Scattering at Oak Ridge National Laboratory,Social Science Research Network,2022,"William  T. Heller,John Hetrick,Jean Bilheux,Jose  M. Borreguero Calvo,Wei-Ren Chen,Lisa Debeer-Schmitt,Changwoo Do,Mathieu Doucet,Michael  R. Fitzsimmons,William  F. Godoy,Garrett  E. Granroth,Steven Hahn,Lilin He,Fahima Islam,Jiao Lin,Kenneth  C. Littrell,Marshall McDonnell,Jesse McGaha,Peter  F. Peterson,Sai Venkatesh Pingali,Shuo Qian,Andrei  T. Savici,Yingrui Shang,Christopher  B. Stanley,Volker  S. Urban,Ross  E. Whitfield,Chen Zhang,Wenduo Zhuo,Jay Jay Billings,Matthew  J. Cuneo,Ricardo  M. Ferraz Leal,Tianhao Wang,Bin Wu"
,Chemomechanical Influences During Replacement of Limestones by Siderite,Goldschmidt2022 abstracts,2022,"Juliane Weber,Vitaliy Starchenko,Jan Ilavsky,Lawrence Anovitz,Lisa Debeer-Schmitt,Jitendra Mata,Ken Littrell,Lilin He,Rui Zhang,Andrew Stack,Wei-Ren Chen,Lawrence Allard"
10.3390/batteries8020012,Reduced Graphene Oxide Aerogels with Functionalization-Mediated Disordered Stacking for Sodium-Ion Batteries,BATTERIES-BASEL,2022,"Jaehyeung Park,Jaswinder Sharma,Charl J. Jafta,Lilin He,Harry M. Meyer,Jianlin Li,Jong K. Keum,Ngoc A. Nguyen,Georgios Polizos"
10.1080/00268976.2021.1905190,Characterisation Of Nano-Assemblies Inside Mesopores Using Neutron Scattering*,MOLECULAR PHYSICS,2021,"Yingzhen Ma,William T. Heller,Lilin He,William A. Shelton,Gernot Rother,Bhuvnesh Bharti"
10.1016/j.ensm.2021.05.016,"Quantifying The Chemical, Electrochemical Heterogeneity And Spatial Distribution Of (Poly) Sulfide Species Using Operando Sans",ENERGY STORAGE MATERIALS,2021,"Charl J. Jafta,Sylvain Prévost,Lilin He,Mengya Li,Xiao-Guang Sun,Guang Yang,Ilias Belharouak,Jagjit Nanda"
10.1021/acsanm.1c02873,In Situ Polymerization of Polypyrrole and Polyaniline on the Surface of Magnetic Molybdenum Trioxide Nanoparticles: Implications for Water Treatment,ACS APPLIED NANO MATERIALS,2021,"Sofia K. Fanourakis,Sharona Q. Barroga,Jem Valerie D. Perez,Lilin He,Debora F. Rodrigues"
10.1021/acs.est.1c03862,Degradation Of Adsorbed Bisphenol A By Soluble Mn(Iii),ENVIRONMENTAL SCIENCE & TECHNOLOGY,2021,"Yanchen Sun,Jeongdae Im,Nusrat Shobnam,Sofia K Fanourakis,Lilin He,Lawrence M Anovitz,Paul R Erickson,Huihui Sun,Jie Zhuang,Frank E Löffler"
10.3390/app11031216,A Unified User-Friendly Instrument Control And Data Acquisition System For The Ornl Sans Instrument Suite,APPLIED SCIENCES-BASEL,2021,"Xingxing Yao,Blake Avery,Miljko Bobrek,Lisa Debeer-Schmitt,Xiaosong Geng,Ray Gregory,Greg Guyotte,Mike Harrington,Steven Hartman,Lilin He,Luke Heroux,Kay Kasemir,Rob Knudson,James Kohl,Carl Lionberger,Kenneth Littrell,Matthew Pearson,Sai Venkatesh Pingali,Cody Pratt,Shuo Qian,Mariano Ruiz-Rodriguez,Vladislav Sedov,Gary Taufer,Volker Urban,Klemen Vodopivec"
10.1021/acs.jpcc.1c02288,Investigating Multiscale Spatial Distribution Of Sulfur In A Cnt Scaffold And Its Impact On Li-S Cell Performance,JOURNAL OF PHYSICAL CHEMISTRY C,2021,"Guang Yang,Runming Tao,Charl J. Jafta,Chao Shen,Sheng Zhao,Lilin He,Ilias Belharouak,Jagjit Nanda"
10.1002/anie.201916201,Observation of Ion Electrosorption in Metal-Organic Framework Micropores with in operando Small-Angle Neutron Scattering.,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,2020,"Lilin He,Luming Yang,Rui Zhang,Jianlin Li,Mircea Dinca"
10.1021/acs.energyfuels.0c00109,Characterizing anisotropic pore structure and its impact on gas storage and transport in coalbed methane and shale gas reservoirs,ENERGY & FUELS,2020,"Rui Zhang,Shimin Liu,Lilin He,Tomasz P Blach,Yi Wang"
10.1149/ma2020-02592958mtgabs,Ionic Liquids at the Electrode Interface: Insights into Surface Passivation and Framework Expansion of Hard Carbon Anodes,Meeting abstracts,2020,"Craig A. Bridges,Xiao-Guang Sun,Bingkun Guo,William Heller,Lilin He,Mariappan Parans Paranthaman,Sheng Dai"
