doi,标题,期刊,年份,作者
,Protein-Based Hydrogels and Their Biomedical Applications.,"Molecules (Basel, Switzerland)",2023,"Kok Zhi Lee,Juya Jeon,Bojing Jiang,Shri Venkatesh Subramani,Jingyao Li,Fuzhong Zhang"
,Genome-wide promoter responses to CRISPR perturbations of regulators reveal regulatory networks in Escherichia coli.,Nature communications,2023,"Yichao Han,Wanji Li,Alden Filko,Jingyao Li,Fuzhong Zhang"
10.3390/ijms24076416,"Microbial Synthesis of High-Molecular-Weight, Highly Repetitive Protein Polymers",International Journal of Molecular Sciences,2023,"Juya Jeon,Shri Venkatesh Subramani,Kok Zhi Lee,Bojing Jiang,Fuzhong Zhang"
,Diverse Mechanisms of Bioproduction Heterogeneity in Fermentation and Their Control Strategies.,Journal of industrial microbiology & biotechnology,2023,"Xinyue Mu,Fuzhong Zhang"
,Engineering Protein-based Materials via Synthetic biology,PROTEIN SCIENCE,2023,Fuzhong Zhang
,Applications and Tuning Strategies for Transcription Factor-Based Metabolite Biosensors,BIOSENSORS-BASEL,2023,"Gloria J. Zhou,Fuzhong Zhang"
10.1038/s41467-023-37563-0,Bi-terminal fusion of intrinsically-disordered mussel foot protein fragments boosts mechanical strength for protein fibers.,Nature communications,2023,"Jingyao Li,Bojing Jiang,Xinyuan Chang,Han Yu,Yichao Han,Fuzhong Zhang"
10.3389/fmicb.2022.854272,Transient Antibiotic Tolerance Triggered by Nutrient Shifts From Gluconeogenic Carbon Sources to Fatty Acid,FRONTIERS IN MICROBIOLOGY,2022,"Christopher J Hartline,Ruixue Zhang,Fuzhong Zhang"
10.1021/acssynbio.1c00391,Trade-Offs in Biosensor Optimization for Dynamic Pathway Engineering,ACS SYNTHETIC BIOLOGY,2022,"Babita K Verma,Ahmad A Mannan,Fuzhong Zhang,Diego A Oyarzún"
10.1021/acssynbio.2c00143,The Growth Dependent Design Constraints of Transcription-Factor-Based Metabolite Biosensors.,ACS synthetic biology,2022,"Christopher J Hartline,Fuzhong Zhang"
10.1016/j.ymben.2022.08.011,Engineering diverse fatty acid compositions of phospholipids in Escherichia coli,Metabolic Engineering,2022,"Wenqin Bai,Winston E. Anthony,Christopher J. Hartline,Shaojie Wang,Bin Wang,Jie Ning,Fong-Fu Hsu,Gautam Dantas,Fuzhong Zhang"
10.1038/s41467-021-25360-6,Microbial production of megadalton titin yields fibers with advantageous mechanical properties,NATURE COMMUNICATIONS,2021,"Christopher H Bowen,Cameron J Sargent,Ao Wang,Yaguang Zhu,Xinyuan Chang,Jingyao Li,Xinyue Mu,Jonathan M Galazka,Young-Shin Jun,Sinan Keten,Fuzhong Zhang"
10.1016/j.watres.2021.117722,Enhanced microalgae cultivation using wastewater nutrients extracted by a microbial electrochemical system,WATER RESEARCH,2021,"Zixuan Wang,Christopher J Hartline,Fuzhong Zhang,Zhen He"
