doi,标题,期刊,年份,作者
10.1029/2022GL101155,Superstoichiometric Alloying of H and Close-Packed Fe-Ni Metal Under High Pressures: Implications for Hydrogen Storage in Planetary Core,GEOPHYSICAL RESEARCH LETTERS,2023,"Helene Piet,Andrew Chizmeshya,Bin Chen,Stella Chariton,Eran Greenberg,Vitali Prakapenka,Peter Buseck,Sang-Heon Shim"
10.1016/j.epsl.2021.117359,High pressure-temperature single-crystal elasticity of ringwoodite: Implications for detecting the 520 discontinuity and metastable ringwoodite at depths greater than 660 km,EARTH AND PLANETARY SCIENCE LETTERS,2022,"Wen-Yi Zhou,Jin S. Zhang,Quancheng Huang,Xiaojing Lai,Bin Chen,Przemyslaw Dera,Brandon Schmandt"
10.1038/s41467-022-28709-7,Constraining composition and temperature variations in the mantle transition zone,NATURE COMMUNICATIONS,2022,"Wen-Yi Zhou,Ming Hao,Jin S Zhang,Bin Chen,Ruijia Wang,Brandon Schmandt"
10.1029/2022gl098271,Water‐induced Diamond Formation at Earth’s Core‐Mantle Boundary,Geophysical Research Letters,2022,"Byeongkwan Ko,Stella Chariton,Vitali Prakapenka,Bin Chen,Edward J. Garnero,Mingming Li,Sang‐Heon Shim"
,The fate of subducted carbon and hydrogen from high-pressure melting in the Fe-C-H system,Goldschmidt2022 abstracts,2022,"Xiaojing Lai,Feng Zhu,Jing Gao,Eran Greenberg,Vitali Prakapenka,Yue Meng,Bin Chen"
,Melting and thermoelastic properties of high-pressure ices under conditions of planetary interiors,Goldschmidt2022 abstracts,2022,"Bin Chen,Xiaojing Lai,Keng-Hsien Chao,Feng Zhu,Jin Zhang,Sergey Tkachev,Dongzhou Zhang,Stella Chariton,Vitali Prakapenka"
10.1029/2022JB025169,Experimental Constraints on the Fate of Subducted Sedimentary Nitrogen in the Reduced Mantle,JOURNAL OF GEOPHYSICAL RESEARCH-SOLID EARTH,2022,"Shengxuan Huang,Xiang Wu,Stella Chariton,Vitali B. Prakapenka,Lin Liang,Dongzhou Zhang,Yan Yang,Bin Chen,Shan Qin"
,Effect of LEs on the diffusivity and viscosity of Fe-Ni alloy under the earth’s outer core conditions,Goldschmidt2022 abstracts,2022,"Jianwei Wang,Sajin Satyal,Feng Zhu,Bin Chen"
,Constraining elemental partitioning and isotope fractionation of mantle minerals with <i>in-situ</i> single crystal X-ray diffraction,Goldschmidt2022 abstracts,2022,"Dongzhou Zhang,Jingui Xu,Przemyslaw Dera,Bin Chen,Peter Eng,Vitali Prakapenka,Ming Chen"
,Hydrogen in the deep mantle,Goldschmidt2022 abstracts,2022,"Sang-Heon Shim,Carole Nisr,Helene Piet,Huawei Chen,Byeongkwan Ko,Taehyun Kim,Harrison Allen-Sutter,Stella Chariton,Vitali Prakapenka,Andrew Chizmeshya,Bin Chen,Sergio Speziale,Joseph O'Rourke,Yongjae Lee,Martin Kunz,Zhenxian Liu"
,Density and viscosity of Fe-Ni-C liquids at high pressures and implications for the liquid cores of Earth and terrestrial bodies,Goldschmidt2022 abstracts,2022,"Feng Zhu,Bin Chen,Xiaojing Lai,Jianwei Wang,Yoshio Kono,Quentin Williams,Zhicheng Jing"
10.1029/2022gl098919,Melting of the Fe‐C‐H System and Earth's Deep Carbon‐Hydrogen Cycle,Geophysical Research Letters,2022,"Xiaojing Lai,Feng Zhu,Jing Gao,Eran Greenberg,Vitali B. Prakapenka,Yue Meng,Bin Chen"
