doi,标题,期刊,年份,作者
10.1175/JCLI-D-22-0335.s1,Influence of Spatial Dipole Pattern in Asian Aerosol Changes on East Asian Summer Monsoon,JOURNAL OF CLIMATE,2023,"Chao Liu,Yang Yang,Hailong Wang,Lili Ren,Jiangfeng Wei,Pinya Wang,Hong Liao"
,Uncertain role of clouds in shaping summertime atmosphere-sea ice connections in reanalyses and CMIP6 models,CLIMATE DYNAMICS,2023,"Rui Luo,Qinghua Ding,Ian Baxter,Xianyao Chen,Zhiwei Wu,Mitchell Bushuk,Hailong Wang"
10.5194/gmd-16-75-2023,Improving snow albedo modeling in the E3SM land model (version 2.0) and assessing its impacts on snow and surface fluxes over the Tibetan Plateau,GEOSCIENTIFIC MODEL DEVELOPMENT,2023,"Dalei Hao,Gautam Bisht,Karl Rittger,Edward Bair,Cenlin He,Huilin Huang,Cheng Dang,Timbo Stillinger,Yu Gu,Hailong Wang,Yun Qian,L. Ruby Leung"
10.5194/tc-17-233-2023,Causes and evolution of winter polynyas north of Greenland,CRYOSPHERE,2023,"Younjoo J. Lee,Wieslaw Maslowski,John J. Cassano,Jaclyn Clement Kinney,Anthony P. Craig,Samy Kamal,Robert Osinski,Mark W. Seefeldt,Julienne Stroeve,Hailong Wang"
10.5194/acp-23-1131-2023,Climate-driven deterioration of future ozone pollution in Asia predicted by machine learning with multi-source data,Atmospheric Chemistry and Physics,2023,"H. Li,Y. Yang,J. Jin,H. Wang,K. Li,P. Wang,H. Liao"
10.1016/j.scib.2023.03.048,Climate effects of future aerosol reductions for achieving carbon neutrality in China.,Science bulletin,2023,"Yang Yang,Liangying Zeng,Hailong Wang,Pinya Wang,Hong Liao"
,"Numerical coupling of aerosol emissions, dry removal, and turbulent
  mixing in the E3SM Atmosphere Model version 1 (EAMv1), part I: dust budget
  analyses and the impacts of a revised coupling scheme",,2023,"Hui Wan,Kai Zhang,Christopher J. Vogl,Carol S. Woodward,Richard C. Easter,Philip J. Rasch,Yan Feng,Hailong Wang"
10.5194/acp-23-1533-2023,Summertime ozone pollution in China affected by stratospheric quasi-biennial oscillation,Atmospheric Chemistry and Physics,2023,"M. Li,Y. Yang,H. Wang,H. Li,P. Wang,H. Liao"
,A cleaner snow future mitigates Northern Hemisphere snowpack loss from warming.,Nature communications,2023,"Dalei Hao,Gautam Bisht,Hailong Wang,Donghui Xu,Huilin Huang,Yun Qian,L Ruby Leung"
,Rapid increase in tropospheric ozone over Southeast Asia attributed to changes in precursor emission source regions and sectors,ATMOSPHERIC ENVIRONMENT,2023,"Su Li,Yang Yang,Hailong Wang,Pengwei Li,Ke Li,Lili Ren,Pinya Wang,Baojie Li,Yuhao Mao,Hong Liao"
