doi,标题,期刊,年份,作者
,Evaluation of EPIC oxygen bands stability with radiative transfer simulations over the South Pole,Journal of Quantitative Spectroscopy and Radiative Transfer,2023,"Yaping Zhou,Peng-Wang Zhai,Yuekui Yang"
,Lidar attenuation coefficient in the global oceans: insights from ICESat-2 mission.,Optics express,2023,"Xiaomei Lu,Yongxiang Hu,Ali Omar,Yuekui Yang,Mark Vaughan,Zhongping Lee,Thomas Neumann,Charles Trepte,Brian Getzewich"
10.1029/2022JD036801,"Impact of Clouds and Blowing Snow on Surface and Atmospheric Boundary Layer Properties Over Dome C, Antarctica",JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,2022,"Manisha Ganeshan,Yuekui Yang,Stephen P. Palm"
10.3389/frsen.2022.796273,EPIC/DSCOVR as a Pathfinder in Cloud Remote Sensing Using Differential Oxygen Absorption Spectroscopy,Frontiers in remote sensing,2022,"Anthony B. Davis,Yuekui Yang,Alexander Marshak"
10.1029/2020EA001470,"Icesat-2 Atmospheric Channel Description, Data Processing And First Results",EARTH AND SPACE SCIENCE,2021,"Stephen P. Palm,Yuekui Yang,Ute Herzfeld,David Hancock,Adam Hayes,Patrick Selmer,William Hart,Dennis Hlavka"
10.1029/2020EA001310,Study Of Antarctic Blowing Snow Storms Using Modis And Caliop Observations With A Machine Learning Model,EARTH AND SPACE SCIENCE,2021,"Yuekui Yang,Adam Anderson,Daniel Kiv,Justin Germann,Maya Fuchs,Stephen Palm,Tao Wang"
10.1029/2021EA001729,Enabling Value Added Scientific Applications Of Icesat-2 Data With Effective Removal Of Afterpulses,EARTH AND SPACE SCIENCE,2021,"X. Lu,Y. Hu,Y. Yang,M. Vaughan,S. Palm,C. Trepte,A. Omar,P. Lucker,R. Baize"
10.1029/2021EA001839,New Ocean Subsurface Optical Properties From Space Lidars: CALIOP/CALIPSO and ATLAS/ICESat-2,EARTH AND SPACE SCIENCE,2021,"Xiaomei Lu,Yongxiang Hu,Yuekui Yang,Thomas Neumann,Ali Omar,Rosemary Baize,Mark Vaughan,Sharon Rodier,Brian Getzewich,Patricia Lucker,Charles Trepte,Chris Hostetler,David Winker"
10.1029/2020GL091511,Global Daytime Variability Of Clouds From Dscovr/Epic Observations,GEOPHYSICAL RESEARCH LETTERS,2021,"A. Delgado‐Bonal,A. Marshak,Y. Yang,L. Oreopoulos"
10.5194/amt-13-1575-2020,Cloud Detection over Snow and Ice with Oxygen A- and B-band Observations from the Earth Polychromatic Imaging Camera (EPIC),ATMOSPHERIC MEASUREMENT TECHNIQUES,2020,"Yaping Zhou,Yuekui Yang,Meng Gao,Peng-Wang Zhai"
10.1038/s41598-020-57917-8,Analyzing Changes In The Complexity Of Climate In The Last Four Decades Using Merra-2 Radiation Data,SCIENTIFIC REPORTS,2020,"Alfonso Delgado-Bonal,Alexander Marshak,Yuekui Yang,Daniel Holdaway"
10.5194/amt-13-5259-2020,Cloud-top pressure retrieval with DSCOVR EPIC oxygen A- and B-band observations,ATMOSPHERIC MEASUREMENT TECHNIQUES,2020,"Bangsheng Yin,Qilong Min,Emily Morgan,Yuekui Yang,Alexander Marshak,Anthony B. Davis"
10.1029/2019JD031488,Daytime variability of cloud fraction from DSCOVR/EPIC observations,JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,2020,"A. Delgado‐Bonal,A. Marshak,Y. Yang,L. Oreopoulos"
10.1016/j.rse.2020.111827,Antarctic spring ice-edge blooms observed from space by ICESat-2,Remote Sensing of Environment,2020,"Xiaomei Lu,Yongxiang Hu,Yuekui Yang,Paula Bontempi,Ali Omar,Rosemary Baize"
10.1016/j.jqsrt.2019.03.022,Cloud remote sensing with EPIC/DSCOVR observations: A sensitivity study with radiative transfer simulations,Journal of Quantitative Spectroscopy and Radiative Transfer,2019,"Meng Gao,Peng-Wang Zhai,Yuekui Yang,Yongxiang Hu"
,Ocean Subsurface Study From Icesat-2 Mission,2019 PHOTONICS & ELECTROMAGNETICS RESEARCH SYMPOSIUM - FALL (PIERS - FALL),2019,"Xiaomei Lu,Yongxiang Hu,Yuekui Yang"
10.1029/2019eo133233,New Earth Orbiter Provides a Sharper Look at a Changing Planet,Eos,2019,"Lori Magruder,Tom Neumann,Helen Fricker,Sinead Farrell,Kelly Brunt,Alex Gardner,David Hancock,Kaitlin Harbeck,Michael Jasinski,Ron Kwok,Nathan Kurtz,Jeffrey Lee,Thorsten Markus,Jamie Morison,Amy Neuenschwander,Stephen Palm,Sorin Popescu,Ben Smith,Yuekui Yang"
10.1029/2019EA000890,Evaluation of the Antarctic boundary layer thermodynamic structure in MERRA2 using dropsonde observations from the Concordiasi campaign,EARTH AND SPACE SCIENCE,2019,"Manisha Ganeshan,Yuekui Yang"
10.5194/amt-12-2019-2019,Cloud Products from the Earth Polychromatic Imaging Camera (EPIC): Algorithms and Initial Evaluation.,ATMOSPHERIC MEASUREMENT TECHNIQUES,2019,"Yuekui Yang,Kerry Meyer,Galina Wind,Yaping Zhou,Alexander Marshak,Steven Platnick,Qilong Min,Anthony B Davis,Joanna Joiner,Alexander Vasilkov,David Duda,Wenying Su"
10.3390/s19051243,Remote Sensing of Daytime Water Leaving Reflectances of Oceans and Large Inland Lakes from EPIC onboard the DSCOVR Spacecraft at Lagrange-1 Point.,SENSORS,2019,"Bo-Cai Gao,Rong-Rong Li,Yuekui Yang"
10.5194/amt-11-3281-2018,Laser pulse bidirectional reflectance from CALIPSO mission,ATMOSPHERIC MEASUREMENT TECHNIQUES,2018,"Xiaomei Lu,Yongxiang Hu,Yuekui Yang,Mark A. Vaughan,Zhaoyan Liu,Sharon Rodier,William H. Hunt,Kathy Powell,Patricia L. Lucker,Charles R. Trepte"
10.1016/j.jqsrt.2018.09.006,Cloud information content in EPIC/DSCOVR’s oxygen A- and B-band channels: A physics-based approach,Journal of Quantitative Spectroscopy and Radiative Transfer,2018,"Anthony B. Davis,Nicolas Ferlay,Quentin Libois,Alexander Marshak,Yuekui Yang,Qilong Min"
10.1175/JAMC-D-18-0082.1,Insight into the Thermodynamic Structure of Blowing-Snow Layers in Antarctica from Dropsonde and CALIPSO Measurements,JOURNAL OF APPLIED METEOROLOGY AND CLIMATOLOGY,2018,"Stephen P. Palm,Yuekui Yang,Vinay Kayetha,Julien P. Nicolas"
10.1016/j.jqsrt.2018.05.007,Cloud information content in EPIC/DSCOVR’s oxygen A- and B-band channels: An optimal estimation approach,Journal of Quantitative Spectroscopy and Radiative Transfer,2018,"Anthony B. Davis,Guillaume Merlin,Céline Cornet,Laurent C. Labonnote,Jérôme Riédi,Nicolas Ferlay,Philippe Dubuisson,Qilong Min,Yuekui Yang,Alexander Marshak"
10.1175/BAMS-D-17-0223.1,Earth Observations from DSCOVR/EPIC Instrument.,BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,2018,"Alexander Marshak,Jay Herman,Adam Szabo,Karin Blank,Alexander Cede,Simon Carn,Igor Geogdzhayev,Dong Huang,Liang-Kang Huang,Yuri Knyazikhin,Matthew Kowalewski,Nickolay Krotkov,Alexei Lyapustin,Richard McPeters,Omar Torres,Yuekui Yang"
10.1029/2018JD028629,A Regional Analysis of Factors Affecting the Antarctic Boundary Layer During the Concordiasi Campaign,JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,2018,"Manisha Ganeshan,Yuekui Yang"
10.1029/2018JD028632,Toward a Satellite‐Derived Climatology of Blowing Snow Over Antarctica,JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,2018,"Stephen P. Palm,Vinay Kayetha,Yuekui Yang"
10.1016/j.rse.2016.12.029,"The Ice, Cloud, and Land Elevation Satellite-2 (ICESat-2): Science Requirements, Concept, and Implementation",Remote Sensing of Environment,2017,"Thorsten Markus,Tom Neumann,Anthony J. Martino,Waleed Abdalati,Kelly M. Brunt,Beata Csatho,Sinead L. Farrell,Helen Amanda Fricker,Alex S. Gardner,David J. Harding,Michael F. Jasinski,R. Kwok,Lori A. Magruder,Dan Lubin,Scott B. Luthcke,James H. Morison,Ross Nelson,Amy L. Neuenschwander,Stephen P. Palm,Sorin C. Popescu,C. K. Shum,B. E. Schutz,Benjamin E. Smith,Yuekui Yang,Jay Zwally"
10.1002/2017gl073939,Passive remote sensing of altitude and optical depth of dust plumes using the oxygen A and B bands: First results from EPIC/DSCOVR at Lagrange-1 point: Aerosol Height Retrieval from O2 A and B,Geophysical research letters,2017,"Xiaoguang Xu,Jun Wang,Yi Wang,Jing Zeng,Omar Torres,Yuekui Yang,Alexander Marshak,Jeffrey S. Reid,Steve Miller"
,"氷,雲,and land Elevation2姿勢(ICESat 2):科学的要求,概念,および実装【Powered by NICT】",Remote Sensing of Environment,2017,"Markus Thorsten,Neumann Tom,Martino Anthony,Abdalati Waleed,Brunt Kelly,Csatho Beata,Farrell Sinead,Fricker Helen,Gardner Alex,Harding David,Jasinski Michael,Kwok Ron,Magruder Lori,Lubin Dan,Luthcke Scott,Morison James,Nelson Ross,Neuenschwander Amy,Palm Stephen,Popescu Sorin,Shum Ck,E Schutz Bob,Smith Benjamin,Yang Yuekui,Zwally Jay"
10.1016/j.jqsrt.2016.03.033,"Snow Grain Size Retrieval over the Polar Ice Sheets with the Ice, Cloud, and land Elevation Satellite (ICESat) Observations.",Journal of Quantitative Spectroscopy and Radiative Transfer,2017,"Yuekui Yang,Alexander Marshak,Mei Han,Stephen P Palm,David J Harding"
10.1002/2017GL073939,Passive remote sensing of altitude and optical depth of dust plumes using the oxygen A and B bands: first results from EPIC/DSCOVR at Lagrange-1 point,GEOPHYSICAL RESEARCH LETTERS,2017,"Xiaoguang Xu,Jun Wang,Yi Wang,Jing Zeng,Omar Torres,Yuekui Yang,Alexander Marshak,Jeffrey S. Reid,Steve Miller"
10.5194/tc-11-2555-2017,Blowing snow sublimation and transport over Antarctica from 11 years of CALIPSO observations,CRYOSPHERE,2017,"Stephen P. Palm,Vinay Kayetha,Yuekui Yang,Rebecca Pauly"
10.3390/rs8020098,Study of the Effect of Temporal Sampling Frequency on DSCOVR Observations Using the GEOS-5 Nature Run Results (Part I): Earth's Radiation Budget.,REMOTE SENSING,2016,"Daniel Holdaway,Yuekui Yang"
10.3390/rs8050431,Study of the Effect of Temporal Sampling Frequency on DSCOVR Observations Using the GEOS-5 Nature Run Results (Part II): Cloud Coverage,REMOTE SENSING,2016,"Daniel Holdaway,Yuekui Yang"
10.5194/amt-9-1785-2016,Uncertainties in cloud phase and optical thickness retrievals from the Earth Polychromatic Imaging Camera (EPIC).,ATMOSPHERIC MEASUREMENT TECHNIQUES,2016,"Kerry Meyer,Yuekui Yang,Steven Platnick"
10.1016/j.rse.2014.12.010,Quantification of trans-Atlantic dust transport from seven-year (2007–2013) record of CALIPSO lidar measurements,Remote Sensing of Environment,2015,"hongbin yu,mian chin,huisheng bian,tianle yuan,joseph m prospero,a h omar,lorraine a remer,david m winker,yuekui yang,yan zhang,zhibo zhang"
