doi,标题,期刊,年份,作者
10.1112/plms.12472,The prism manifold realization problem III,PROCEEDINGS OF THE LONDON MATHEMATICAL SOCIETY,2022,"William Ballinger,Yi Ni,Tynan Ochse,Faramarz Vafaee"
,"Characterizing slopes for torus knots, II",,2021,"Yi Ni,Xingru Zhang"
,The prism manifold realization problem II,COMMUNICATIONS IN ANALYSIS AND GEOMETRY,2021,"William Ballinger,Yi Ni,Tynan Ochse,Faramarz Vafaee"
10.1007/s10114-021-0408-4,"A Characterization of T-2g(+1,2) among Alternating Knots",ACTA MATHEMATICA SINICA-ENGLISH SERIES,2021,Yi Ni
10.2140/agt.2020.20.757,The prism manifold realization problem,ALGEBRAIC AND GEOMETRIC TOPOLOGY,2020,"William Ballinger,Chloe Ching-Yun Hsu,Wyatt Mackey,Yi Ni,Tynan Ochse,Faramarz Vafaee"
10.1090/tran/7510,Null surgery on knots in L-spaces,TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,2019,"Yi Ni,Faramarz Vafaee"
10.2140/agt.2018.18.441,Finite Dehn surgeries on knots in S^3,ALGEBRAIC AND GEOMETRIC TOPOLOGY,2018,"Yi Ni,Xingru Zhang"
10.2140/agt.2017.17.65,Detection of knots and a cabling formula for A-polynomials,ALGEBRAIC AND GEOMETRIC TOPOLOGY,2017,"yi ni,xingru zhang"
10.1112/topo.12002,Fintushel-Stern knot surgery in torus bundles,JOURNAL OF TOPOLOGY,2017,Yi Ni
10.1007/s11425-016-9052-8,"Virtual Betti numbers and virtual symplecticity of 4-dimensional mapping tori, II",Science China-mathematics,2017,Yi Ni
10.1007/s00209-015-1427-6,Erratum to: Pseudo-Anosov extensions and degree one maps between hyperbolic surface bundles,Mathematische Zeitschrift,2015,"michel boileau,yi ni,shicheng wang"
10.1016/j.topol.2015.09.002,"Correction terms, Z_2-Thurston norm, and triangulations",Topology and its Applications,2015,"yi ni,zhongtao wu"
10.1016/j.aim.2013.10.001,Some applications of Gabaiʼs internal hierarchy,Advances in Mathematics,2014,yi ni
10.4310/MRL.2014.v21.n5.a12,Homological actions on sutured Floer homology,MATHEMATICAL RESEARCH LETTERS,2014,Yi Ni
10.4310/MRL.2014.v21.n6.a4,Sutured Khovanov homology distinguishes braids from other tangles,MATHEMATICAL RESEARCH LETTERS,2014,"J. Elisenda Grigsby,Yi Ni"
10.1007/s00209-013-1250-x,Virtual Betti numbers and virtual symplecticity of 4-dimensional mapping tori,Mathematische Zeitschrift,2014,"tianjun li,yi ni"
10.1016/j.aim.2014.09.006,Heegaard Floer correction terms and rational genus bounds,Advances in Mathematics,2014,"yi ni,zhongtao wu"
10.2140/agt.2014.14.1249,Characterizing slopes for torus knots,ALGEBRAIC AND GEOMETRIC TOPOLOGY,2014,"yi ni,xingru zhang"
10.2140/gt.2013.17.3027,Khovanov module and the detection of unlinks,GEOMETRY & TOPOLOGY,2013,"matthew hedden,yi ni"
10.2140/agt.2013.13.1143,Non-separating spheres and twisted Heegaard Floer homology,ALGEBRAIC AND GEOMETRIC TOPOLOGY,2013,Yi Ni
10.2140/pjm.2013.261.117,On slope genera of knotted tori in 4-space,PACIFIC JOURNAL OF MATHEMATICS,2013,"Yi Liu,Yi Ni,Hongbin Sun,Shicheng Wang"
,Thurston norm and cosmetic surgeries,Proceedings of Symposia in Pure Mathematics,2011,Yi Ni
10.1112/jtopol/jtr020,Dehn surgeries on knots in product manifolds,JOURNAL OF TOPOLOGY,2011,Yi Ni
10.2140/gt.2010.14.1479,Manifolds with small Heegaard Floer ranks,GEOMETRY & TOPOLOGY,2010,"Matthew Hedden,Yi Ni"
10.1142/S0218216509007701,CLOSED 3-BRAIDS ARE NEARLY FIBRED,JOURNAL OF KNOT THEORY AND ITS RAMIFICATIONS,2009,YI NI
