doi,标题,期刊,年份,作者
10.1016/j.atmosres.2022.106535,Effects of aerosols on the forecasting of Mei-yu frontal storms over the Yangtze–Huai River valley,Atmospheric Research,2023,"Lin Liu,Huiling Yuan,Yi Deng,Jing Ren,Yongqing Bai,Chunguang Cui"
,Quantitative attribution of the temperature associated with winter extreme cold events in China,CLIMATE DYNAMICS,2023,"Weiwei Wang,Tuantuan Zhang,Junwen Chen,Qingquan Li,Song Yang,Yi Deng"
10.1175/JCLI-D-22-0150.1,A Hierarchical Dissection of Multiscale Forcing on the Springtime Mesoscale Convective Systems in the United States,JOURNAL OF CLIMATE,2023,"Zhenyu You,Yi Deng"
10.1007/s00376-022-2107-1,Analysis of the Characteristics of the Low-level Jets in the Middle Reaches of the Yangtze River during the Mei-yu Season,ADVANCES IN ATMOSPHERIC SCIENCES,2023,"Chunguang Cui,Wen Zhou,Hao Yang,Xiaokang Wang,Yi Deng,Xiaofang Wang,Guirong Xu,Jingyu Wang"
,An energetics tale of the 2022 mega-heatwave over central-eastern China,npj Climate and Atmospheric Science,2023,"Tuantuan Zhang,Yi Deng,Junwen Chen,Song Yang,Yongjiu Dai"
10.5194/gmd-16-1445-2023,Porting the WAVEWATCH III (v6.07) wave action source terms to GPU,GEOSCIENTIFIC MODEL DEVELOPMENT,2023,"Olawale James Ikuyajolu,Luke Van Roekel,Steven R. Brus,Erin E. Thomas,Yi Deng,Sarat Sreepathi"
10.1029/2022JD037867,An Application of the Maximum Entropy Production Method in the WRF Noah Land Surface Model,JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,2023,"Chunhui Jia,Ping Zhao,Jingfeng Wang,Yi Deng,Na Li,Yingchun Wang,Shiguang Miao"
10.1038/s41612-022-00259-1,Amplifying subtropical hydrological transition over China in early summer tied to weakened mid-latitude synoptic disturbances,NPJ CLIMATE AND ATMOSPHERIC SCIENCE,2022,"Yana Li,Yi Deng,Ho-Nam Cheung,Wen Zhou,Song Yang,Henian Zhang"
10.1175/jamc-d-21-0221.1,A New Algorithm for Estimating Low Cloud Base Height in Southwest China,Journal of Applied Meteorology and Climatology,2022,"Rongjiang Wang,Renjun Zhou,Shuping Yang,Rui Li,Jiangping Pu,Kaiyu Liu,Yi Deng"
10.1016/j.atmosres.2022.106221,Multi-predictor ensembles improving seasonal prediction of summer rainfall over the Bohai Sea Rim based on statistical downscaling of BCC_CSM1.1 m,Atmospheric Research,2022,"Na Wang,Hong-Li Ren,Ying Liu,Yi Deng,Xiangxin Meng,Jie Wu,Fang Zhou"
10.1007/s00704-022-03958-0,Revisiting the linear instability view of the South Asian monsoon onset,Theoretical and Applied Climatology,2022,"Olawale James Ikuyajolu,Yi Deng"
10.1007/s00382-021-06048-5,Intraseasonal transition of Northern Hemisphere planetary waves and the underlying mechanism during the abrupt-change period of early summer,Climate Dynamics,2022,"Xie, Zuowei,Cholaw, Bueh,Deng, Yi,He, Bian,Lai, Sheng"
