doi,标题,期刊,年份,作者
,Robust Cross-Modal Knowledge Distillation for Unconstrained Videos,CoRR,2023,"Wenke Xia,Xingjian Li,Andong Deng,Haoyi Xiong,Dejing Dou,Di Hu"
,"Video4MRI: An Empirical Study on Brain Magnetic Resonance Image
  Analytics with CNN-based Video Classification Frameworks",,2023,"Yuxuan Zhang,Qingzhong Wang,Jiang Bian,Yi Liu,Yanwu Xu,Dejing Dou,Haoyi Xiong"
,Fast Federated Machine Unlearning with Nonlinear Functional Theory,ICML 2023,2023,"Tianshi Che,Yang Zhou,Zijie Zhang,Lingjuan Lyu,Ji Liu,Da Yan,Dejing Dou,Jun Huan"
,Beyond Intuition: Rethinking Token Attributions inside Transformers.,Trans. Mach. Learn. Res.,2023,"Jiamin Chen,Xuhong Li 0002,Lei Yu,Dejing Dou,Haoyi Xiong"
,HeterPS: Distributed deep learning with reinforcement learning based scheduling in heterogeneous environments.,Future Gener. Comput. Syst.,2023,"Ji Liu 0003,Zhihua Wu,Danlei Feng,Minxu Zhang,Xinxuan Wu,Xuefeng Yao,Dianhai Yu,Yanjun Ma,Feng Zhao,Dejing Dou"
10.1016/j.artint.2022.103823,G-LIME: Statistical learning for local interpretations of deep neural networks using global priors,Artificial Intelligence,2023,"Xuhong Li,Haoyi Xiong,Xingjian Li,Xiao Zhang,Ji Liu,Haiyan Jiang,Zeyu Chen,Dejing Dou"
,Distributed and Deep Vertical Federated Learning with Big Data,,2023,"Ji Liu,Xuehai Zhou,Lei Mo,Shilei Ji,Yuan Liao,Zheng Li,Qin Gu,Dejing Dou"
10.1093/bioinformatics/btad189,Structure-aware Protein Self-supervised Learning,,2023,"Can Chen,Jingbo Zhou,Fan Wang,Xue Liu,Dejing Dou"
10.1145/3543507.3583344,ColdNAS: Search to Modulate for User Cold-Start Recommendation: ColdNAS,WWW 2023,2023,"Shiguang Wu,Yaqing Wang,Qinghe Jing,Daxiang Dong,Dejing Dou,Quanming Yao"
,"Towards Long-Term Time-Series Forecasting: Feature, Pattern, and Distribution.",ICDE,2023,"Yan Li,Xinjiang Lu,Haoyi Xiong,Jian Tang,Jiantao Su,Bo Jin,Dejing Dou"
,Semi-supervised transfer learning with hierarchical self-regularization.,Pattern Recognit.,2023,"Xingjian Li 0002,Abulikemu Abuduweili,Humphrey Shi,Pengkun Yang,Dejing Dou,Haoyi Xiong,Chengzhong Xu 0001"
,"Doubly Stochastic Models: Learning with Unbiased Label Noises and
  Inference Stability",CoRR,2023,"Haoyi Xiong,Xuhong Li,Boyang Yu,Zhanxing Zhu,Dongrui Wu,Dejing Dou"
,SMILE: Sample-to-feature Mixup for Efficient Transfer Learning.,Trans. Mach. Learn. Res.,2023,"Xingjian Li 0002,Haoyi Xiong,Cheng-Zhong Xu 0001,Dejing Dou"
,Multimodal Biological Knowledge Graph Completion via Triple Co-Attention Mechanism.,ICDE,2023,"Derong Xu,Jingbo Zhou,Tong Xu 0001,Yuan Xia,Ji Liu,Enhong Chen,Dejing Dou"
10.1109/TPDS.2022.3224941,Multi-Job Intelligent Scheduling With Cross-Device Federated Learning,IEEE Transactions on Parallel and Distributed Systems,2023,"Ji Liu,Juncheng Jia,Beichen Ma,Chendi Zhou,Jingbo Zhou,Yang Zhou,Huaiyu Dai,Dejing Dou"
,"Spectral Enhanced Rectangle Transformer for Hyperspectral Image
  Denoising",CoRR,2023,"Miaoyu Li,Ji Liu,Ying Fu,Yulun Zhang,Dejing Dou"
,Towards Unsupervised Time Series Representation Learning: A Decomposition Perspective,ICLR 2023,2023,"Yan Li,Xinjiang Lu,Jingjing Gu,Haishuai Wang,Dejing Dou"
,Matching Point of Interests and Travel Blog with Multi-view Information Fusion.,SIGIR,2023,"Shuokai Li,Jingbo Zhou,Jizhou Huang,Hao Chen,Fuzhen Zhuang,Qing He,Dejing Dou"
,Urbanites' mental health undermined by air pollution,NATURE SUSTAINABILITY,2023,"Zhi Cao,Jingbo Zhou,Meng Li,Jizhou Huang,Dejing Dou"
,Dual-Space Hierarchical Learning for Goal-Guided Conversational Recommendation,SSRN Electronic Journal,2022,"Can Chen,Hao Liu,Zeming Liu,Xue Liu,Dejing Dou"
