doi,标题,期刊,年份,作者
,"Towards Quantitative Evaluation of Crystal Structure Prediction
  Performance",,2023,"Lai Wei, Qin Li, Sadman Sadeed Omee, Jianjun Hu"
,Screening outstanding mechanical properties and low lattice thermal conductivity using global attention graph neural network,Energy and AI,2023,"Joshua Ojih, Alejandro Rodriguez, Jianjun Hu, Ming Hu"
10.1038/s41524-023-00974-0,Million-scale data integrated deep neural network for phonon properties of heuslers spanning the periodic table,NPJ COMPUTATIONAL MATERIALS,2023,"Alejandro Rodriguez, Changpeng Lin, Hongao Yang, Mohammed Al-Fahdi, Chen Shen, Kamal Choudhary, Yong Zhao, Jianjun Hu, Bingyang Cao, Hongbin Zhang, Ming Hu"
,Multi-Head multimodal deep interest recommendation network,Knowledge-Based Systems,2023,"Mingbao Yang, Peng Zhou, Shaobo Li, Yuanmeng Zhang, Jianjun Hu, Ansi Zhang"
,"Discovery of 2D materials using Transformer Network based Generative
  Design",,2023,"Rongzhi Dong, Yuqi Song, Edirisuriya M. D. Siriwardane, Jianjun Hu"
,Global mapping of structures and properties of crystal materials,,2023,"Qinyang Li, Rongzhi Dong, Nihang Fu, Sadman Sadeed Omee, Lai Wei, Jianjun Hu"
,"Crystal structure prediction using neural network potential and
  age-fitness Pareto genetic algorithm",,2023,"Sadman Sadeed Omee, Lai Wei, Jianjun Hu"
,"MD-HIT: Machine learning for materials property prediction with dataset
  redundancy control",CoRR,2023,"Qin Li, Nihang Fu, Sadman Sadeed Omee, Jianjun Hu"
,Composition Based Oxidation State Prediction of Materials Using Deep Learning Language Models.,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2023,"Nihang Fu, Jeffrey Hu, Ying Feng, Gregory Morrison, Hans-Conrad Zur Loye, Jianjun Hu"
,"Generative Design of inorganic compounds using deep diffusion language
  models",,2023,"Rongzhi Dong, Nihang Fu, dirisuriya M. D. Siriwardane, Jianjun Hu"
,Deep Learning-Based Prediction of Contact Maps and Crystal Structures of Inorganic Materials.,ACS omega,2023,"Jianjun Hu, Yong Zhao, Qin Li, Yuqi Song, Rongzhi Dong, Wenhui Yang, Edirisuriya M D Siriwardane"
,"Materials Property Prediction with Uncertainty Quantification: A
  Benchmark Study",,2022,"Daniel Varivoda, Rongzhi Dong, Sadman Sadeed Omee, Jianjun Hu"
10.1186/s12879-022-07047-5,Studying patterns and predictors of HIV viral suppression using A Big Data approach: a research protocol,BMC INFECTIOUS DISEASES,2022,"Jiajia Zhang, Bankole Olatosi, Xueying Yang, Sharon Weissman, Zhenlong Li, Jianjun Hu, Xiaoming Li"
,"Probabilistic Generative Transformer Language models for Generative
  Design of Molecules",,2022,"Lai Wei, Nihang Fu, Yuqi Song, Qian Wang, Jianjun Hu"
10.1021/acsami.2c05812,"DeepXRD, a Deep Learning Model for Predicting XRD spectrum from Material Composition.",ACS applied materials & interfaces,2022,"Rongzhi Dong, Yong Zhao, Yuqi Song, Nihang Fu, Sadman Sadeed Omee, Sourin Dey, Qinyang Li, Lai Wei, Jianjun Hu"
,"Materials Transformers Language Models for Generative Materials Design:
  a benchmark study",,2022,"Nihang Fu, Lai Wei, Yuqi Song, Qinyang Li, Rui Xin, Sadman Sadeed Omee, Rongzhi Dong, Edirisuriya M. Dilanga Siriwardane, Jianjun Hu"
10.1021/acsami.2c11350,Machine Learning Accelerated Discovery of Promising Thermal Energy Storage Materials with High Heat Capacity.,ACS applied materials & interfaces,2022,"Joshua Ojih, Uche Onyekpe, Alejandro Rodriguez, Jianjun Hu, Chengxiao Peng, Ming Hu"
10.1038/s41524-023-00987-9,"Physics Guided Deep Learning for Generative Design of Crystal Materials
  with Symmetry Constraints",,2022,"Yong Zhao, Edirisuriya M. Dilanga Siriwardane, Zhenyao Wu, Nihang Fu, Mohammed Al-Fahdi, Ming Hu, Jianjun Hu"
10.1016/j.neucom.2022.04.058,NODE-SELECT: A graph neural network based on a selective propagation technique,Neurocomputing,2022,"Steph-Yves Louis, Alireza Nasiri, Fatima J. Rolland, Cameron Mitro, Jianjun Hu"
10.11999/JEIT220711,Spiking Neural Network Robot Tactile Object Recognition Method with Regularization Constraints,Journal of Electronics & Information Technology,2022,"YANG Jing, JI Xiaoyang, LI Shaobo, HU Jianjun, WANG Yang, LIU Tingqing"
10.1038/s41524-022-00750-6,MaterialsAtlas.org: a materials informatics web app platform for materials discovery and survey of state-of-the-art,NPJ COMPUTATIONAL MATERIALS,2022,"Jianjun Hu, Stanislav Stefanov, Yuqi Song, Sadman Sadeed Omee, Steph-Yves Louis, Edirisuriya M. D. Siriwardane, Yong Zhao"
10.26434/chemrxiv-2022-0gz3p,Generative Design of Stable Semiconductor Materials Using Deep Learning And DFT,,2022,"Edirisuriya  Siriwardane, Yong  Zhao, Indika  Perera, Jianjun  Hu"
10.1021/acs.jpca.1c07170,Crystal Structure Prediction Using an Age-Fitness Multiobjective Genetic Algorithm and Coordination Number Constraints,JOURNAL OF PHYSICAL CHEMISTRY A,2022,"Wenhui Yang, Edirisuriya M. Dilanga Siriwardane, Jianjun Hu"
,"Composition based oxidation state prediction of materials using deep
  learning",,2022,"Nihang Fu, Jeffrey Hu, Ying Feng, Gregory Morrison, Hans-Conrad zur Loye, Jianjun Hu"
10.1016/j.patter.2022.100491,Scalable deeper graph neural networks for high-performance materials property prediction,Patterns,2022,"Sadman Sadeed Omee, Steph-Yves Louis, Nihang Fu, Lai Wei, Sourin Dey, Rongzhi Dong, Qinyang Li, Jianjun Hu"
10.11999/JEIT210932,"Brain-inspired Continuous Learning: Technology, Application and Future",JOURNAL OF ELECTRONICS & INFORMATION TECHNOLOGY,2022,"Yang Jing, Li Bin, Li Shaobo, Wang Qi, Yu Liya, Hu Jianjun, Yuan Kun"
10.1038/s41524-022-00850-3,Generative design of stable semiconductor materials using deep learning and density functional theory,NPJ COMPUTATIONAL MATERIALS,2022,"Edirisuriya M. Dilanga Siriwardane, Yong Zhao, Indika Perera, Jianjun Hu"
10.3969/j.issn.1001-3997.2022.03.057,Research on Machine Learning Algorithm for Obstacle Avoidance of Mobile Robots,Machinery Design & Manufacture,2022,"SONG Qi-song, LI Shao-bo, LI Zhi-ang, HU Jian-jun"
10.1039/d2ma00694d,High-throughput computational evaluation of lattice thermal conductivity using an optimized Slack model,MATERIALS ADVANCES,2022,"Guangzhao Qin, An Huang, Yinqiao Liu, Huimin Wang, Zhenzhen Qin, Xue Jiang, Jijun Zhao, Jianjun Hu, Ming Hu"
10.1088/2632-2153/acadcd,Material transformers: deep learning language models for generative materials design,Machine Learning: Science and Technology,2022,"Nihang Fu, Lai Wei, Yuqi Song, Qinyang Li, Rui Xin, Sadman Sadeed Omee, Rongzhi Dong, Edirisuriya Mudalige Dilanga Siriwardane, Jianjun Hu"
10.1021/acs.inorgchem.1c03879,TCSP: a Template-Based Crystal Structure Prediction Algorithm for Materials Discovery,INORGANIC CHEMISTRY,2022,"Lai Wei, Nihang Fu, Edirisuriya M D Siriwardane, Wenhui Yang, Sadman Sadeed Omee, Rongzhi Dong, Rui Xin, Jianjun Hu"
,"Designing novel protein structures using sequence generator and
  AlphaFold2",,2022,"Xeerak Agha, Nihang Fu, Jianjun Hu"
10.1371/journal.pone.0275955,Knowledge distillation for multi-depth-model-fusion recommendation algorithm.,PloS one,2022,"Mingbao Yang, Shaobo Li, Peng Zhou, JianJun Hu"
10.1038/s41597-022-01158-z,Large scale dataset of real space electronic charge density of cubic inorganic materials from density functional theory (DFT) calculations,SCIENTIFIC DATA,2022,"Fancy Qian Wang, Kamal Choudhary, Yu Liu, Jianjun Hu, Ming Hu"
10.26434/chemrxiv-2021-6n061-v2,Accurate Prediction of Voltage of Battery Electrode Materials Using Attention Based Graph Neural Networks,ACS APPLIED MATERIALS & INTERFACES,2022,"Steph-Yves  Louis, Edirisuriya  Siriwardane, Rajendra  Joshi, Sadman  Omee, Neeraj  Kumar, Jianjun  Hu"
,Big Data driven Product Design: A Survey,ArXiv,2021,"Huafeng  Quan, Shaobo  Li, Changchang  Zeng, Hongjing  Wei, Jianjun  Hu"
10.1002/advs.202100566,High-Throughput Discovery of Novel Cubic Crystal Materials Using Deep Generative Neural Networks,ADVANCED SCIENCE,2021,"Yong Zhao, Mohammed Al-Fahdi, Ming Hu, Edirisuriya MD Siriwardane, Yuqi Song, Alireza Nasiri, Jianjun Hu"
10.1021/acs.jpcc.1c02438,Active learning based generative design for the discovery of wide  bandgap materials,,2021,"Rui Xin, Edirisuriya M. D. Siriwardane, Yuqi Song, Yong Zhao, Steph-Yves Louis, Alireza Nasiri, Jianjun Hu"
10.1002/prot.26065,Deep Learning Pan-Specific Model For Interpretable Mhc-I Peptide Binding Prediction With Improved Attention Mechanism,PROTEINS-STRUCTURE FUNCTION AND BIOINFORMATICS,2021,"Jing Jin, Zhonghao Liu, Alireza Nasiri, Yuxin Cui, Stephen Louis, Ansi Zhang, Yong Zhao, Jianjun Hu"
10.1016/j.commatsci.2021.110686,Composition Based Crystal Materials Symmetry Prediction Using Machine Learning With Enhanced Descriptors,COMPUTATIONAL MATERIALS SCIENCE,2021,"Yuxin Li, Rongzhi Dong, Wenhui Yang, Jianjun Hu"
10.1021/acsami.1c01044,Computational Discovery of New 2D Materials Using Deep Learning Generative Models,ACS APPLIED MATERIALS & INTERFACES,2021,"Yuqi Song, Edirisuriya M. Dilanga Siriwardane, Yong Zhao, Jianjun Hu"
10.1021/acs.jpca.0c08103,Lattice Thermal Conductivity Prediction Using Symbolic Regression And Machine Learning,JOURNAL OF PHYSICAL CHEMISTRY A,2021,"Christian Loftis, Kunpeng Yuan, Yong Zhao, Ming Hu, Jianjun Hu"
10.1021/acs.jpcc.1c00082,First-Principles Investigation Of Ti2cso And Ti2csse Janus Mxene Structures For Li And Mg Electrodes,JOURNAL OF PHYSICAL CHEMISTRY C,2021,"Siriwardane E, Hu J"
10.1021/acsomega.1c00781,Mlatticeabc: Generic Lattice Constant Prediction Of Crystal Materials Using Machine Learning,ACS OMEGA,2021,"Yuxin Li, Wenhui Yang, Rongzhi Dong, Jianjun Hu"
10.1021/acsomega.2c02765,"Predicting Lattice Phonon Vibrational Frequencies Using Deep Graph
  Neural Networks",,2021,"Nghia Nguyen, Steph-Yves Louis, Lai Wei, Kamal Choudhary, Ming Hu, Jianjun Hu"
10.1021/acs.jpcc.1c00082,First-Principles Investigation of Ti<sub>2</sub>CSO and Ti<sub>2</sub>CSSe Janus MXene Structures for Li and Mg Electrodes,The Journal of Physical Chemistry C,2021,"Edirisuriya M. Dilanga Siriwardane, Jianjun Hu"
10.1088/1361-648X/ac1d6c,Crystal Structure Prediction Of Materials With High Symmetry Using Differential Evolution,JOURNAL OF PHYSICS-CONDENSED MATTER,2021,"Wenhui Yang, Edirisuriya M. Dilanga Siriwardane, Rongzhi Dong, Yuxin Li, Jianjun Hu"
10.1016/j.commatsci.2020.110166,Inverse Design Of Composite Metal Oxide Optical Materials Based On Deep Transfer Learning And Global Optimization,COMPUTATIONAL MATERIALS SCIENCE,2021,"Rongzhi Dong, Yabo Dan, Xiang Li, Jianjun Hu"
10.1109/ACCESS.2021.3070981,Unified Multi-Objective Genetic Algorithm For Energy Efficient Job Shop Scheduling,IEEE ACCESS,2021,"Hongjing Wei, Shaobo Li, Huafeng Quan, Dacheng Liu, Shu Rao, Chuanjiang Li, Jianjun Hu"
10.1177/17298814211024052,Real-Time Motion Tracking Of Cognitive Baxter Robot Based On Differential Inverse Kinematics,INTERNATIONAL JOURNAL OF ADVANCED ROBOTIC SYSTEMS,2021,"Shaobo Li, Xingxing Zhang, Jing Yang, Qiang Bai, Jianjun Hu, Qisong Song, Zhiang Li"
10.1039/d0ce01714k,Contact Map Based Crystal Structure Prediction Using Global Optimization,CRYSTENGCOMM,2021,"Jianjun Hu, Wenhui Yang, Rongzhi Dong, Yuxin Li, Xiang Li, Shaobo Li"
10.1007/978-3-030-73539-5_34,Towards Automated GUI Design of Display Control Systems Based on SysML and Ontologies.,CSDM Asia / CSDM,2021,"Jin Su, Jianjun Hu, Yue Cao, Yusheng Liu, Wang Chen, Chao Wang"
10.1155/2021/8025730,Intelligent Optimization Algorithm-Based Path Planning for a Mobile Robot,COMPUTATIONAL INTELLIGENCE AND NEUROSCIENCE,2021,"Qisong Song, Shaobo Li, Jing Yang, Qiang Bai, Jianjun Hu, Xingxing Zhang, Ansi Zhang"
10.1016/j.commatsci.2019.109203,Evaluating explorative prediction power of machine learning algorithms for materials discovery using k-fold forward cross-validation,Computational Materials Science,2020,"Zheng Xiong, Yuxin Cui, Zhonghao Liu, Yong Zhao, Ming Hu, Jianjun Hu"
,Global Attention based Graph Convolutional Neural Networks for Improved  Materials Property Prediction,,2020,"Steph-Yves Louis, Yong Zhao, Alireza Nasiri, Xiran Wong, Yuqi Song, Fei Liu, Jianjun Hu"
,Thermal conductivity prediction based on machine learning,New Chemical Materials,2020,"Chengcheng Niu, Shaobo Li, Yabo Dan, Zhuo Cao, Xiang Li, Jianjun Hu"
10.1021/acsomega.9b04012,Machine Learning-Based Prediction of Crystal Systems and Space Groups from Inorganic Materials Compositions.,ACS omega,2020,"Yong Zhao, Yuxin Cui, Zheng Xiong, Jing Jin, Zhonghao Liu, Rongzhi Dong, Jianjun Hu"
10.16731/j.cnki.1671-3133.2020.10.026,A research review on fault diagnosis of mechanical equipment based on deep belief network,Modern Manufacturing Engineering,2020,"Shaobo Li, Chuanjiang Li, Jianjun Hu, Ansi Zhang, Jing Yang"
10.1038/s41524-020-00352-0,Generative adversarial networks (GAN) based efficient sampling of chemical composition space for inverse design of inorganic materials,NPJ COMPUTATIONAL MATERIALS,2020,"Dan Yabo, Zhao Yong, Li Xiang, Li Shaobo, Hu Ming, Hu Jianjun"
10.3389/fimmu.2020.01370,Identification of a Heme Activation Site on the MD-2/TLR4 Complex.,FRONTIERS IN IMMUNOLOGY,2020,"John D Belcher, Ping Zhang, Julia Nguyen, Zachary M Kiser, Karl A Nath, Jianjun Hu, John O Trent, Gregory M Vercellotti"
