doi,标题,期刊,年份,作者
,Supervised deep learning with vision transformer predicts delirium using limited lead EEG,Scientific Reports,2023,"Malissa A. Mulkey,Huyunting Huang,Thomas Albanese,Sunghan Kim,Baijian Yang"
,spaCl: deciphering spatial cellular communications through adaptive graph model,BRIEFINGS IN BIOINFORMATICS,2023,"Ziyang Tang,Tonglin Zhang,Baijian Yang,Jing Su,Qianqian Song"
,"Husformer: A Multi-Modal Transformer for Multi-Modal Human State
  Recognition",,2023,"Ruiqi Wang,Wonse Jo,Dezhong Zhao,Weizheng Wang,Baijian Yang,Guohua Chen,Byung-Cheol Min"
,SiGra: single-cell spatial elucidation through an image-augmented graph transformer,Nature Communications,2023,"Ziyang Tang,Zuotian Li,Tieying Hou,Tonglin Zhang,Baijian Yang,Jing Su,Qianqian Song"
10.1109/JAS.2022.105632,A Triangulation-Based Visual Localization for Field Robots,IEEE/CAA Journal of Automatica Sinica,2022,"James Liang,Yuxing Wang,Yingjie Chen,Baijian Yang,Dongfang Liu"
10.1093/bib/bbac563,spaCI: deciphering spatial cellular communications through adaptive graph model.,Briefings in bioinformatics,2022,"Ziyang Tang,Tonglin Zhang,Baijian Yang,Jing Su,Qianqian Song"
10.1101/2022.08.18.504464,SiGra: Single-cell spatial elucidation through image-augmented graph transformer,,2022,"Ziyang Tang,Tonglin Zhang,Baijian Yang,Jing Su,Qianqian Song"
10.1142/S0129065722500447,Uncovering Brain Differences in Preschoolers and Young Adolescents with Autism Spectrum Disorder Using Deep Learning,INTERNATIONAL JOURNAL OF NEURAL SYSTEMS,2022,"Shijun Li,Ziyang Tang,Nanxin Jin,Qiansu Yang,Gang Liu,Tiefang Liu,Jianxing Hu,Sijun Liu,Ping Wang,Jingru Hao,Zhiqiang Zhang,Xiaojing Zhang,Jinfeng Li,Xin Wang,Zhenzhen Li,Yi Wang,Baijian Yang,Lin Ma"
10.1109/CSCloud-EdgeCom54986.2022.00012,SemiCon: A Semi-supervised Learning for Industrial Image Inspection,2022 IEEE 9th International Conference on Cyber Security and Cloud Computing (CSCloud)/2022 IEEE 8th International Conference on Edge Computing and Scalable Cloud (EdgeCom),2022,"Weitao Tang,Tonglin Zhang,Baijian Yang"
10.1109/FIE56618.2022.9962643,Cybersecurity Education in the Age of Artificial Intelligence: A Novel Proactive and Collaborative Learning Paradigm.,FIE,2022,"Jin Wei-Kocsis,Moein Sabounchi,Baijian Yang,Tonglin Zhang"
,The Alcoholic Hepatitis Network Research Data Commons (ARDaC): Design and Development.,AMIA,2022,"Jing Su,Nanxin Jin,Zuotan Li,Carla Kettler,Bruce Barton,Greg Puetz,Chi Mai Nguyen,Donna McGrath,Yingjie Chen,Baijian Yang,Vijay Shah,Svetlana Radaeva,Samer Gawrieh,Wanzhu Tu"
,Managing Controlled Unclassified Information in Research Institutions,,2022,"Baijian Yang,Carolyn Ellis,Preston Smith,Huyunting Huang"
