doi,标题,期刊,年份,作者
10.1364/OE.476781,"Untrained, physics-informed neural networks for structured illumination microscopy.",Optics express,2023,"Zachary Burns,Zhaowei Liu"
10.1088/1361-6463/acb55d,Tunable dielectric BIC metasurface for high resolution optical filters,JOURNAL OF PHYSICS D-APPLIED PHYSICS,2023,"Fanglin Tian,Junxiao Zhou,Elizabeth Abraham,Zhaowei Liu"
10.1186/s12951-022-01293-0,"LED control of gene expression in a nanobiosystem composed of metallic nanoparticles and a genetically modifed E. coli strain (vol 19, 190, 2021)",JOURNAL OF NANOBIOTECHNOLOGY,2022,"Hossein Alishah Aratboni,Nahid Rafei,Larousse Khosravi Khorashad,Albert Isaac Lerma-Escalera,Francisco de Jesus Balderas-Cisneros,Zhaowei Liu,Abbas Alemzadeh,Sadasivan Shaji,Jose Ruben Morones-Ramirez"
10.1038/s41467-022-34553-6,Hyperbolic material enhanced scattering nanoscopy for label-free super-resolution imaging,NATURE COMMUNICATIONS,2022,"Yeon Ui Lee,Shilong Li,G. Bimananda M. Wisna,Junxiang Zhao,Yuan Zeng,Andrea R. Tao,Zhaowei Liu"
10.1002/adfm.202204734,Nonlinear Computational Edge Detection Metalens,ADVANCED FUNCTIONAL MATERIALS,2022,"Junxiao Zhou,Junxiang Zhao,Qianyi Wu,Ching-Fu Chen,Ming Lei,Guanghao Chen,Fanglin Tian,Zhaowei Liu"
10.1364/OL.465128,Visible and near-infrared dual band switchable metasurface edge imaging,OPTICS LETTERS,2022,"Guanghao Chen,Junxiao Zhou,Steven Edward Bopp,Junxiang Zhao,Zhaowei Liu"
10.1103/PhysRevLett.129.020801,Fourier Optical Spin Splitting Microscopy,PHYSICAL REVIEW LETTERS,2022,"Junxiao Zhou,Qianyi Wu,Junxiang Zhao,Clara Posner,Ming Lei,Guanghao Chen,Jin Zhang,Zhaowei Liu"
10.1021/acs.nanolett.2c01932,Ultrathin Layered Hyperbolic Metamaterial-Assisted Illumination Nanoscopy,NANO LETTERS,2022,"Yeon Ui Lee,Zhaoyu Nie,Shilong Li,Charles-Henri Lambert,Junxiang Zhao,Fan Yang,G Bimananda M Wisna,Sui Yang,Xiang Zhang,Zhaowei Liu"
10.1016/j.ceramint.2020.09.010,Fabrication and energy absorption ability of 3D highly elastic sponge constructed by BN fiber balls,CERAMICS INTERNATIONAL,2021,"Zhaowei Liu,Kang Zhao,Dan Li,Yufei Tang"
10.1002/adma.202006496,Unprecedented Fluorophore Photostability Enabled By Low-Loss Organic Hyperbolic Materials,ADVANCED MATERIALS,2021,"Yeon Ui Lee,Shilong Li,Steven Edward Bopp,Junxiang Zhao,Zhaoyu Nie,Clara Posner,Sui Yang,Xiang Zhang,Jin Zhang,Zhaowei Liu"
10.1093/nsr/nwaa176,Two-dimensional optical spatial differentiation and high-contrast imaging,NATIONAL SCIENCE REVIEW,2021,"Junxiao Zhou,Haoliang Qian,Junxiang Zhao,Min Tang,Qianyi Wu,Ming Lei,Hailu Luo,Shuangchun Wen,Shaochen Chen,Zhaowei Liu"
10.1002/pssr.202100372,Influence of Hafnium Defects on the Optical and Structural Properties of Zirconium Nitride,PHYSICA STATUS SOLIDI-RAPID RESEARCH LETTERS,2021,"Steven Edward Bopp,Haoliang Qian,Zhaowei Liu"
10.1364/ntm.2021.nw4c.5,Metamaterial Assisted Speckle Illumination Nanoscopy for High-resolution Biological Imaging,Biophotonics Congress 2021,2021,"Junxiang Zhao,Yeon Ui Lee,Qian Ma,Larousse Khosravi Khorashad,Clara Posner,Guangru Li,G. Bimananda,M. Wisna,Zachary Burns,Jin Zhang,Zhaowei Liu"
10.1038/s41467-021-23512-2,Highly-Efficient Electrically-Driven Localized Surface Plasmon Source Enabled By Resonant Inelastic Electron Tunneling,NATURE COMMUNICATIONS,2021,"Haoliang Qian,Shilong Li,Su-Wen Hsu,Ching-Fu Chen,Fanglin Tian,Andrea R Tao,Zhaowei Liu"
10.1002/advs.202102230,Organic Hyperbolic Material Assisted Illumination Nanoscopy,ADVANCED SCIENCE,2021,"Yeon Ui Lee,Clara Posner,Zhaoyu Nie,Junxiang Zhao,Shilong Li,Steven Edward Bopp,Gde Bimananda Mahardika Wisna,Jeongho Ha,Chengyu Song,Jin Zhang,Sui Yang,Xiang Zhang,Zhaowei Liu"
10.1186/s12951-021-00937-x,Led Control Of Gene Expression In A Nanobiosystem Composed Of Metallic Nanoparticles And A Genetically Modified E. Coli Strain,JOURNAL OF NANOBIOTECHNOLOGY,2021,"Hossein Alishah Aratboni,Nahid Rafiei,Larousse Khosravi Khorashad,Albert Isaac Lerma-Escalera,Francisco de Jesús Balderas-Cisneros,Zhaowei Liu,Abbas Alemzadeh,Sadasivan Shaji,José Ruben Morones-Ramírez"
