doi,标题,期刊,年份,作者
10.1038/s41598-020-61672-1,Weak Antilocalization And Anisotropic Magnetoresistance As A Probe Of Surface States In Topological Bi2texse3-X Thin Films,SCIENTIFIC REPORTS,2020,"Gregory M Stephen,Owen A Vail,Jiwei Lu,William A Beck,Patrick J Taylor,Adam L Friedman"
10.1103/PhysRevB.99.245129,"Structural, Transport, And Ultrafast Dynamic Properties Of V1-Xnbxo2 Thin Films",PHYSICAL REVIEW B,2019,"Yuhan Wang,Jiawei Zhang,Yue Ni,Xinzhong Chen,Ryan Mescall,Tamara Isaacs-Smith,Ryan B. Comes,Salinporn Kittiwatanakul,Stuart A. Wolf,Jiwei Lu,Mengkun Liu"
10.1109/TASC.2019.2908254,Growth and characterization of NbTiN films synthesized by reactive bias target ion beam deposition (RBTIBD),IEEE Transactions on Applied Superconductivity,2019,"Michael E. Cyberey,Tannaz Farrahi,Michael B. Eller,Jiwei Lu,Robert Weikle,Omid Noroozian,Arthur W. Lichtenberger"
10.1002/adma.201900251,Phase-Change Hyperbolic Heterostructures for Nanopolaritonics: A Case Study of hBN/VO 2 .,ADVANCED MATERIALS,2019,"Siyuan Dai,Jiawei Zhang,Qiong Ma,Salinporn Kittiwatanakul,Alex McLeod,Xinzhong Chen,Stephanie Gilbert Corder,Kenji Watanabe,Takashi Taniguchi,Jiwei Lu,Qing Dai,Pablo Jarillo-Herrero,Mengkun Liu,D N Basov"
10.1109/TASC.2018.2884967,NbTiN/AlN/NbTiN SIS Junctions Realized by Reactive Bias Target Ion Beam Deposition,IEEE Transactions on Applied Superconductivity,2019,"Michael Cyberey,Tannaz Farrahi,Jiwei Lu,Anthony Kerr,Robert M. Weikle,Arthur W. Lichtenberger"
,Phase change materials for nano-polaritonics: a case study of hBN/VO2 heterostructures.,arXiv: Mesoscale and Nanoscale Physics,2018,"S. Dai,Jingdi Zhang,Q. Ma,Salinporn Kittiwatanakul,A. S. McLeod,Xinzhong Chen,S. N. Gilbert Corder,K. Watanabe,T. Taniguchi,Jiwei Lu,Qing Dai,P. Jarillo-Herrero,Mengkun Liu,D. N. Basov"
10.1103/physrevlett.121.256403,Observation of Weakened V—V Dimers in the Monoclinic Metallic Phase of Strained VO 2,Physical Review Letters,2018,"J. Laverock,V. Jovic,A. A. Zakharov,Y. R. Niu,S. Kittiwatanakul,B. Westhenry,J. W. Lu,S. A. Wolf,K. E. Smith"
10.1088/1361-6463/aaabac,Transport phenomena in SrVO3/SrTiO3 superlattices,JOURNAL OF PHYSICS D-APPLIED PHYSICS,2018,"Man Gu,Stuart A. Wolf,Jiwei Lu"
10.1364/OE.26.025657,Insulator to metal transition induced by surface plasmon polaritons in VO 2 /Au thin films.,OPTICS EXPRESS,2018,"S E Madaras,J Creeden,S Kittiwatanakul,J Lu,I Novikova,R A Lukaszew"
10.1109/ipcon.2018.8527319,Effect Of Surface Plasmons On The Insulator To Metal Transition In Thin Film Vanadium Dioxide,2018 IEEE PHOTONICS CONFERENCE (IPC),2018,"Scott Madaras,Jason Creedem,Salinporn Kittiwatanakul,Jiwei Lu,Irina Novikova,Ale Lukaszew"
