doi,标题,期刊,年份,作者
10.1016/j.jcis.2022.11.114,Probing interaction forces associated with calcite scaling in aqueous solutions by atomic force microscopy,Journal of Colloid and Interface Science,2023,"An Li, Jing Chang, Tao Shui, Qingxia Liu, Hao Zhang, Hongbo Zeng"
,Influence of impurity metal doping on calcite growth: A first-principles study,Applied Surface Science,2023,"Yue Li, Hongbo Zeng, Hao Zhang"
,Erratum to “Probing the Interfacial Forces and Surface Interaction Mechanisms in Petroleum Production Processes” [Engineering 18 (2022) 49–61],Engineering,2023,"Diling Yang, Xuwen Peng, Qiongyao Peng, Tao Wang, Chenyu Qiao, Ziqian Zhao, Lu Gong, Yueliang Liu, Hao Zhang, Hongbo Zeng"
10.1016/j.jcis.2022.12.084,Unraveling the hydrophobic interaction mechanisms of hydrocarbon and fluorinated surfaces,Journal of Colloid and Interface Science,2023,"Lu Gong, Feiyi Wu, Wenshuai Yang, Charley Huang, Wenhui Li, Xiaogang Wang, Jianmei Wang, Tian Tang, Hongbo Zeng"
,Recent advances in antimicrobial surfaces via tunable molecular interactions: Nanoarchitectonics and bioengineering applications,Current Opinion in Colloid & Interface Science,2023,"Meng Wu, Jifang Liu, Xiaogang Wang, Hongbo Zeng"
10.1002/cphc.202200608,Chirality Discrimination at Binary Organic|Water Interfaces Monitored by Interfacial Tension Measurements with Preliminary Comparison with Molecular Dynamics Simulations.,Chemphyschem : a European journal of chemical physics and physical chemistry,2023,"Yanqing Yang, Xiaoyu Sun, Mohammad Reza Poopari, Cuiying Jian, Hongbo Zeng, Tian Tang, Yunjie Xu"
10.1021/acsnano.2c12767,Multifunctional Underwater Adhesive Film Enabled by a Single-Component Poly(ionic liquid).,ACS nano,2023,"Binmin Wang, Chenyu Qiao, Yong-Lei Wang, Xiaoxiao Dong, Wangqing Zhang, Yan Lu, Jiayin Yuan, Hongbo Zeng, Hong Wang"
,"Surface interaction mechanisms of air bubbles, asphaltenes and oil drops in aqueous solutions with implications for interfacial engineering processes.",Journal of colloid and interface science,2023,"Diling Yang, Ziqian Zhao, Lu Gong, Yongxiang Sun, Xuwen Peng, Qiongyao Peng, Tao Wang, Qi Liu, Hao Zhang, Hongbo Zeng"
,Photo-thermal synergistic excitation: Feasible strategy to detect ethanol for wide bandgap ZIF-8 at low work temperature,Journal of Environmental Sciences,2023,"Shuhao Shi, Qian Du, Ming Hou, Xiaolei Ye, Li Yang, Shenghui Guo, Jianhong Yi, Ullah Ehsan, Hongbo Zeng"
,Mxene Ti3C2Tx derived lamellar Ti3C2Tx-TiO2-CuO heterojunction: Significantly improved ammonia sensor performance,Arabian Journal of Chemistry,2023,"Ming Hou, Guoxin Jiang, Shenghui Guo, Jiyun Gao, Zhigang Shen, Zhihang Wang, Xiaolei Ye, Li Yang, Qian Du, Jianhong Yi, Hongbo Zeng, Pascal Briois"
,"Nanomaterials-enhanced, stretchable, self-healing, temperature-tolerant and adhesive tough organohydrogels with long-term durability as flexible sensors for intelligent motion-speech recognition",Chemical Engineering Journal,2023,"Tao Qin, Xukai Li, Anqi Yang, Meng Wu, Li Yu, Hongbo Zeng, Linbo Han"
,Tailored pH-triggered surfactant for stepwise separation of a three-component mineral system,SEPARATION AND PURIFICATION TECHNOLOGY,2023,"Qing Sun, Jingsi Chen, Ziqian Zhao, Diling Yang, Yaoyu Xiao, Hao Zhang, Xin Ma, Hong Zhong, Hongbo Zeng"
,Targeted Repair of Super-Lubricating Surfaces via Pairing Click Chemistry,ADVANCED FUNCTIONAL MATERIALS,2023,"Li Xiang, Jiawen Zhang, Wenda Wang, Zhiyong Wei, Yunfei Chen, Hongbo Zeng"
,Plant-inspired multifunctional fluorescent cellulose nanocrystals intelligent nanocomposite hydrogel.,International journal of biological macromolecules,2023,"Qi-Lin Lu, Jiayin Wu, Hanchen Wang, Biao Huang, Hongbo Zeng"
,The effect of clay type and solid wettability on bitumen extraction from Canadian oil sands,Fuel,2023,"An Li, Rui Li, Ci Yan, Han Wang, Qingxia Liu, Jacob H. Masliyah, Hongbo Zeng, Zhenghe Xu"
10.1021/acs.langmuir.2c02804,Molecular Simulations on the Coalescence of Water-in-Oil Emulsion Droplets with Non-ionic Surfactant and Model Asphaltene.,Langmuir : the ACS journal of surfaces and colloids,2023,"Xiaoyu Sun, Hongbo Zeng, Tian Tang"
,Deciphering the specific interaction of humic acid with divalent cations at the nanoscale,Chemical Engineering Journal,2023,"Qiuyi Lu, Zhoujie Wang, Jingyi Wang, Lei Xie, Qi Liu, Hongbo Zeng"
,Synthesis of graphene/hollow carbon fiber composite aerogels for oil spill cleanup,Mendeleev Communications,2023,"Cynthia E. Ibarra Torres, Thelma E. Serrano Quezada, Oxana V. Kharissova, Hongbo Zeng, Boris I. Kharisov, Edith Luevano Hipólito, Leticia M. Torres-Martínez, Lucy T. González"
10.1016/j.cej.2022.140642,"Nanomechanical insights into hydrophobic interactions of mineral surfaces in interfacial adsorption, aggregation and flotation processes",CHEMICAL ENGINEERING JOURNAL,2023,"Zhoujie Wang, Qiuyi Lu, Jingyi Wang, Jing Liu, Guangyi Liu, Wei Sun, Lei Xie, Qi Liu, Hongbo Zeng"
10.1002/adfm.202214947,Fabricating Tunable Superhydrophobic Surfaces Enabled by Surface-Initiated Emulsion Polymerization in Water,ADVANCED FUNCTIONAL MATERIALS,2023,"Lu Gong, Wenshuai Yang, Yongxiang Sun, Chengliang Zhou, Feiyi Wu, Hongbo Zeng"
10.1016/j.jcis.2023.02.080,Novel polymer nanoparticles with core-shell structure for breaking asphaltenes-stabilized W/O and O/W emulsions.,Journal of colloid and interface science,2023,"Xiaohui Mao, Feifei Wang, Baoshan Lu, Tian Tang, Qi Liu, Hongbo Zeng"
,Synthesis of a green ALG@KLN adsorbent for high-efficient recovery of rare earth elements from aqueous solution,Separation and Purification Technology,2023,"Xuyi Wei, Xiaohui Mao, Wenqing Qin, Hongbo Zeng, Junwei Han"
10.1016/j.fuel.2022.125842,Molecular dynamics simulation of model asphaltenes between surfaces of varying polarity,FUEL,2023,"Wenyuan Sun, Hongbo Zeng, Tian Tang"
,Pre-heating temperature induced flowability and wax deposition characteristics of crude oil adding wax inhibitors,Petroleum Science,2023,"Bo Yao, Hao-Ran Zhu, Bao-Dong Yan, Chuan-Xian Li, Fei Yang, Guang-Yu Sun, Hong-Bo Zeng"
10.1016/j.fuel.2022.126944,Effect of salinity on water/oil interface with model asphaltene and non-ionic surfactant: Insights from molecular simulations,FUEL,2023,"Xiaoyu Sun, Hongbo Zeng, Tian Tang"
10.1016/j.wasman.2022.11.045,Facile separation and regeneration of LiFePO4 from spent lithium-ion batteries via effective pyrolysis and flotation: An economical and eco-friendly approach,Waste Management,2023,"Xuehu Zhong, Xiaohui Mao, Wenqing Qin, Hongbo Zeng, Guangjin Zhao, Junwei Han"
10.1002/adma.202208824,Bionic Engineered Protein Coating Boosting Anti-Biofouling in Complex Biological Fluids.,"Advanced materials (Deerfield Beach, Fla.)",2023,"Ziqian Zhao, Mingfei Pan, Chenyu Qiao, Li Xiang, Xiong Liu, Wenshuai Yang, Xing-Zhen Chen, Hongbo Zeng"
,"Highly Stretchable, Self-Healing, Injectable and pH Responsive Hydrogel from Multiple Hydrogen Bonding and Boron-Carbohydrate Interactions.","Gels (Basel, Switzerland)",2023,"Yi-Yang Peng, Qiuli Cheng, Meng Wu, Wenda Wang, Jianyang Zhao, Diana Diaz-Dussan, Michelle McKay, Hongbo Zeng, Sarute Ummartyotin, Ravin Narain"
10.1109/JSEN.2023.3252016,High-Throughput Experimental Technology: Rapid Identification of the Precious Metal Modified In<sub>2</sub>O<sub>3</sub> for NO<sub>2</sub> Low-Temperature Sensing,IEEE Sensors Journal,2023,"Deqi Zhang, Qian Du, Li Yang, Jiyun Gao, Jianhong Yi, Ming Hou, Shenghui Guo, Hongbo Zeng"
,An injectable hydrogel based on hyaluronic acid prepared by Schiff base for long-term controlled drug release,International Journal of Biological Macromolecules,2023,"Wenqian Wang, Depeng Shi, Yongfei Zhang, Wenhui Li, Feng Li, Hui Feng, Lichun Ma, Chao Yang, Zhi Peng, Guojun Song, Hongbo Zeng, Lixin Xie"
10.1016/j.cis.2023.102855,Characterization of structures and molecular interactions of RNA and lipid carriers using atomic force microscopy,Advances in Colloid and Interface Science,2023,"Jingyi Wang, Jiawen Zhang, Sijia Li, Dengfeng Liu, Akhilesh Bhambhani, Hongbo Zeng"
,2023 Highlights in Interface Science and Engineering: A Collection of Virtual Special Issues.,Langmuir : the ACS journal of surfaces and colloids,2023,"Hendrik Heinz, Yogesh M Joshi, Hongbo Zeng, Heng-Kwong Tsao, Sissi J A de Beer, Erin Koos, Atsushi Takahara, Gilbert C Walker"
,Biochar seeding properties affect struvite crystallization for soil application,Soil & Environmental Health,2023,"Nageshwari Krishnamoorthy, Christopher Nzediegwu, Xiaohui Mao, Hongbo Zeng, Balasubramanian Paramasivan, Scott X. Chang"
,Bioinspired engineered proteins enable universal anchoring strategy for surface functionalization.,Journal of colloid and interface science,2023,"Ziqian Zhao, Mingfei Pan, Wenshuai Yang, Charley Huang, Chenyu Qiao, Haoyu Yang, Jianmei Wang, Xiaogang Wang, Jifang Liu, Hongbo Zeng"
10.1021/acsami.2c21255,"A pH and Temperature Dual-Responsive Microgel-Embedded, Adhesive, and Tough Hydrogel for Drug Delivery and Wound Healing.",ACS applied materials & interfaces,2023,"Xuwen Peng, Qian Peng, Meng Wu, Wenda Wang, Yongfeng Gao, Xiong Liu, Yongxiang Sun, Diling Yang, Qiongyao Peng, Tao Wang, Xing-Zhen Chen, Jifang Liu, Hao Zhang, Hongbo Zeng"
10.1039/d2tb02511f,Electrospun fibrous membrane reinforced hydrogels with preferable mechanical and tribological performance as cartilage substitutes.,Journal of materials chemistry. B,2023,"Qin Chen, Xiaodong Yan, Kai Chen, Cunao Feng, Dagang Wang, Xiaowei Li, Xiaoduo Zhao, Zhimin Chai, Qingliang Wang, Dekun Zhang, Hongbo Zeng"
10.1016/j.seppur.2023.123484,"Removal of colloidal impurities by thermal softening-coagulation-flocculation-sedimentation in steam assisted gravity drainage (SAGD) produced water: Performance, interaction effects and mechanism study",Separation and Purification Technology,2023,"Jia Li, Zuo Tong How, Chelsea Benally, Yongxiang Sun, Hongbo Zeng, Mohamed Gamal El-Din"
,Designing Bio-Inspired Wet Adhesives through Tunable Molecular Interactions.,Journal of colloid and interface science,2023,"Jingsi Chen, Hongbo Zeng"
10.1016/j.jcis.2021.12.146,High-efficiency and durable removal of water-in-heavy oil emulsions enabled by delignified and carboxylated basswood with zwitterionic nanohydrogel coatings,Journal of Colloid and Interface Science,2022,"Tao Shui, Mingfei Pan, Yi Lu, Jiawen Zhang, Qingxia Liu, Petr A Nikrityuk, Tian Tang, Qi Liu, Hongbo Zeng"
10.2139/ssrn.4013048,Real-Time Reconstructed Interphase Enables Reversible Aqueous Zinc Battery Chemistries,SSRN Electronic Journal,2022,"Wenyao Zhang, Muyao Dong, Keren Jiang, Diling Yang, Xuehai Tan, Shengli Zhai, Renfei Feng, Ning Chen, Graham King, Hao Zhang, Hongbo Zeng, Hui Li, Markus Antonietti, Zhi Li"
10.1016/j.jcis.2022.03.105,Effects of chemical inhibitors on the scaling behaviors of calcite and the associated surface interaction mechanisms,Journal of Colloid and Interface Science,2022,"An Li, Hao Zhang, Qingxia Liu, Hongbo Zeng"
10.1016/j.jcis.2022.08.027,Molecular dynamics simulation on water/oil interface with model asphaltene subjected to electric field,Journal of Colloid and Interface Science,2022,"Wenhui Li, Hongbo Zeng, Tian Tang"
10.1021/acs.langmuir.2c00516,Growth Rates of Hydrogen Microbubbles in Reacting Femtoliter Droplets.,Langmuir : the ACS journal of surfaces and colloids,2022,"Zhengxin Li, Hongbo Zeng, Xuehua Zhang"
