doi,标题,期刊,年份,作者
,Why Dissolving Salt in Water Decreases Its Dielectric Permittivity.,Physical review letters,2023,"Chunyi Zhang,Shuwen Yue,Athanassios Z Panagiotopoulos,Michael L Klein,Xifan Wu"
,Why does dissolving salt in water decrease its dielectric permittivity,,2023,"Chunyi Zhang,Shuwen Yue,Athanassios Z. Panagiotopoulos,Michael L. Klein,Xifan Wu"
,"Exploring the Impact of Ions on Oxygen K-Edge X-ray Absorption
  Spectroscopy in NaCl Solution using the GW-Bethe-Salpeter-Equation Approach",,2023,"Fujie Tang,Kefeng Shi,Xifan Wu"
10.1201/9780429028663-1,Theoretical X-ray Absorption Spectroscopy of Liquid Water Using First-Principles Calculations,Properties of Water from Numerical and Experimental Perspectives,2022,"Fujie Tang,Xifan Wu"
10.1021/acs.jpca.2c05000,DeePKS + ABACUS as a Bridge between Expensive Quantum Mechanical Models and Machine Learning Potentials.,The journal of physical chemistry. A,2022,"Wenfei Li,Qi Ou,Yixiao Chen,Yu Cao,Renxi Liu,Chunyi Zhang,Daye Zheng,Chun Cai,Xifan Wu,Han Wang,Mohan Chen,Linfeng Zhang"
10.1063/5.0094944,Structural and dynamic properties of solvated hydroxide and hydronium ions in water from ab initio modeling,JOURNAL OF CHEMICAL PHYSICS,2022,"Renxi Liu,Chunyi Zhang,Xinyuan Liang,Jianchuan Liu,Xifan Wu,Mohan Chen"
10.1073/pnas.2201258119,Many-body effects in the X-ray absorption spectra of liquid water,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2022,"Fujie Tang,Zhenglu Li,Chunyi Zhang,Steven G Louie,Roberto Car,Diana Y Qiu,Xifan Wu"
10.1103/PhysRevLett.128.197601,Convert Widespread Paraelectric Perovskite to Ferroelectrics,PHYSICAL REVIEW LETTERS,2022,"Hongwei Wang,Fujie Tang,Massimiliano Stengel,Hongjun Xiang,Qi An,Tony Low,Xifan Wu"
10.1038/s41467-022-28538-8,Dissolving salt is not equivalent to applying a pressure on water,NATURE COMMUNICATIONS,2022,"Chunyi Zhang,Shuwen Yue,Athanassios Z Panagiotopoulos,Michael L Klein,Xifan Wu"
10.1021/acs.jpcb.1c03884,Modeling Liquid Water by Climbing up Jacob's Ladder in Density Functional Theory Facilitated by Using Deep Neural Network Potentials,JOURNAL OF PHYSICAL CHEMISTRY B,2021,"Chunyi Zhang,Fujie Tang,Mohan Chen,Linfeng Zhang,Diana Y. Qiu,John P. Perdew,Michael L. Klein,Xifan Wu"
10.1103/PhysRevMaterials.5.L012801,Importance Of Nuclear Quantum Effects On The Hydration Of Chloride Ion,PHYSICAL REVIEW MATERIALS,2021,"Jianhang Xu,Zhaoru Sun,Chunyi Zhang,Mark DelloStritto,Michael L. Klein,Deyu Lu,Xifan Wu"
10.1103/PhysRevB.104.035117,Nuclear Quantum Effects On The Quasiparticle Properties Of The Chloride Anion Aqueous Solution Within The Gw Approximation,PHYSICAL REVIEW B,2021,"Fujie Tang,Jianhang Xu,Diana Y. Qiu,Xifan Wu"
10.1103/PhysRevLett.125.156803,Stabilization of Hydroxide Ions at the Interface of a Hydrophobic Monolayer on Water via Reduced Proton Transfer.,PHYSICAL REVIEW LETTERS,2020,"Shanshan Yang,Mohan Chen,Yudan Su,Jianhang Xu,Xifan Wu,Chuanshan Tian"
10.1103/PhysRevB.102.214113,Isotope Effects In Molecular Structures And Electronic Properties Of Liquid Water Via Deep Potential Molecular Dynamics Based On The Scan Functional,PHYSICAL REVIEW B,2020,"Jianhang Xu,Chunyi Zhang,Linfeng Zhang,Mohan Chen,Biswajit Santra,Xifan Wu"
10.1039/c9cp06821j,Aqueous solvation of the chloride ion revisited with density functional theory: impact of correlation and exchange approximations.,PHYSICAL CHEMISTRY CHEMICAL PHYSICS,2020,"Mark DelloStritto,Jianhang Xu,Xifan Wu,Michael L Klein"
10.1038/s41524-020-0326-5,Interface Enhanced Functionalities In Oxide Superlattices Under Mechanical And Electric Boundary Conditions,NPJ COMPUTATIONAL MATERIALS,2020,"Hongwei Wang,Fujie Tang,Pratikkumar H. Dhuvad,Xifan Wu"
10.1103/PhysRevMaterials.4.034401,Probing Ferroelectricity By X-Ray Absorption Spectroscopy In Molecular Crystals,PHYSICAL REVIEW MATERIALS,2020,"Tang Fujie,Jiang Xuanyuan,Ko Hsin-Yu,Xu Jianhang,Topsakal Mehmet,Hao Guanhua,N'Diaye Alpha T.,Dowben Peter A.,Lu Deyu,Xu Xiaoshan,Wu Xifan"
,Inversion Symmetry Breaking Probed by X-ray Absorption Spectroscopy in H-bonded Organic Ferroelectric Crystal,Bulletin of the American Physical Society,2020,"Fujie Tang,Xuanyuan Jiang,Hsin-Yu Ko,Jianhang Xu,Mehmet Topsakal,Guanhua Hao,Alpha N'Diaye,Peter Dowben,Deyu Lu,Xiaoshan Xu,Xifan Wu"
10.1021/acs.jctc.9b01167,"Enabling Large-Scale Condensed-Phase Hybrid Density Functional Theory Based Ab Initio Molecular Dynamics. 1. Theory, Algorithm, And Performance",JOURNAL OF CHEMICAL THEORY AND COMPUTATION,2020,"Hsin-Yu Ko,Junteng Jia,Biswajit Santra,Xifan Wu,Roberto Car,Robert Distasio"
10.1103/PhysRevB.102.115155,Isotope Effects In X-Ray Absorption Spectra Of Liquid Water,PHYSICAL REVIEW B,2020,"Chunyi Zhang,Linfeng Zhang,Jianhang Xu,Fujie Tang,Biswajit Santra,Xifan Wu"
,Importance of nuclear quantum effects on the hydration of chloride ion,Bulletin of the American Physical Society,2020,"Jianhang Xu,Zhaoru Sun,Fujie Tang,Deyu Lu,Xifan Wu"
,Attacking the Strong and Weak Scaling Limits in Linear Scaling Hybrid Density Functional Theory,Bulletin of the American Physical Society,2019,"Robert Distasio,Hsin-Yu Ko,Junteng Jia,Biswajit Santra,Zachary Sparrow,Alvaro Vazquez-Mayagoitia,Xifan Wu,Roberto Car"
10.1021/acs.jpclett.9b01983,Accessing the Accuracy of Density Functional Theory through Structure and Dynamics of the Water-Air Interface.,JOURNAL OF PHYSICAL CHEMISTRY LETTERS,2019,"Tatsuhiko Ohto,Mayank Dodia,Jianhang Xu,Sho Imoto,Fujie Tang,Frederik Zysk,Thomas D Kühne,Yasuteru Shigeta,Mischa Bonn,Xifan Wu,Yuki Nagata"
10.1103/PhysRevB.99.205123,First-Principles Study Of The Infrared Spectrum In Liquid Water From A Systematically Improved Description Of H-Bond Network,PHYSICAL REVIEW B,2019,"Jianhang Xu,Mohan Chen,Cui Zhang,Xifan Wu"
