doi,标题,期刊,年份,作者
,Optimal Charging Control of Energy Storage Systems for Pulse Power Load Using Deep Reinforcement Learning in Shipboard Integrated Power Systems.,IEEE Trans. Ind. Informatics,2023,"Wei Zhang 0111,Zhenghong Tu,Wenxin Liu 0001"
,Multi-Agent Deep Reinforcement Learning-Based Distributed Optimal Generation Control of DC Microgrids.,IEEE Trans. Smart Grid,2023,"Zhen Fan 0010,Wei Zhang 0111,Wenxin Liu 0001"
,Deep Reinforcement Learning-Based Optimal Control of DC Shipboard Power Systems for Pulsed Power Load Accommodation,IEEE TRANSACTIONS ON SMART GRID,2023,"Zhenghong Tu,Wei Zhang,Wenxin Liu"
10.1109/tsg.2022.3195681,Deep Reinforcement Learning based Optimal Control of DC Shipboard Power Systems for Pulsed Power Load Accommodation,IEEE Transactions on Smart Grid,2022,"Zhenghong Tu,Wei Zhang,Wenxin Liu"
10.1109/TSTE.2022.3190084,Optimal Reset-Control-Based Load Frequency Regulation in Isolated Microgrids,IEEE Transactions on Sustainable Energy,2022,"Zhenghong Tu,Bo Fan,Javad Khazaei,Wei Zhang,Wenxin Liu"
10.1109/tii.2022.3195701,Optimal Charging Control of Energy Storage Systems for Pulse Power Load Using Deep Reinforcement Learning in Shipboard Integrated Power Systems,IEEE Transactions on Industrial Informatics,2022,"Wei Zhang,Zhenghong Tu,Wenxin Liu"
10.1109/TCSI.2022.3167790,Penalty-Based Distributed Optimal Control of DC Microgrids With Enhanced Current Regulation Performance,IEEE Transactions on Circuits and Systems I: Regular Papers,2022,"Jiangkai Peng,Bo Fan,Wenxin Liu"
10.1109/tpwrs.2022.3201370,Deep Reinforcement Learning Control for Pulsed Power Load Online Deployment in DC Shipboard Integrated Power System,IEEE Transactions on Power Systems,2022,"Zhenghong Tu,Wei Zhang,Wenxin Liu"
10.1109/TSG.2021.3120599,Optimal State-Constrained Control of DC Shipboard Power Systems for Online Pulsed Power Load Accommodation,IEEE Transactions on Smart Grid,2022,"Zhenghong Tu,Bo Fan,Wei Zhang,Jiangkai Peng,Wenxin Liu"
10.1109/TII.2020.3000172,Operating State Reconstruction in Cyber Physical Smart Grid for Automatic Attack Filtering,IEEE Transactions on Industrial Informatics,2022,"Huaizhi Wang,Xichang Wen,Yinliang Xu,Bin Zhou,Jian-Chun Peng,Wenxin Liu"
10.1109/JAS.2022.105452,Distributed Periodic Event-Triggered Optimal Control of DC Microgrids Based on Virtual Incremental Cost,IEEE/CAA Journal of Automatica Sinica,2022,"Jiangkai Peng,Bo Fan,Zhenghong Tu,Wei Zhang,Wenxin Liu"
10.1109/JSYST.2020.3038664,Fully Distributed Discrete-Time Control of DC Microgrids With ZIP Loads,IEEE Systems Journal,2022,"Jiangkai Peng,Bo Fan,Qinmin Yang,Wenxin Liu"
10.1109/TSMC.2021.3101813,Distributed Control of DC Microgrids With Improved ZIP Load Adaptability,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",2022,"Bo Fan,Jiangkai Peng,Qinmin Yang,Wenxin Liu"
10.1109/TPWRS.2021.3049324,Feedback Linearization Control of Converters with LCL Filter For Weak AC Grid Integration,IEEE Transactions on Power Systems,2021,"Javad Khazaei,Zhenghong Tu,Arash Asrari,Wenxin Liu"
10.1109/TSG.2020.3013303,Voltage-Based Distributed Optimal Control for Generation Cost Minimization and Bounded Bus Voltage Regulation in DC Microgrids,IEEE Transactions on Smart Grid,2021,"Jiangkai Peng,Bo Fan,Wenxin Liu"
10.1109/TSG.2021.3094878,Distributed Control of DC Microgrids for Optimal Coordination of Conventional and Renewable Generators,IEEE Transactions on Smart Grid,2021,"Zhen Fan,Bo Fan,Wenxin Liu"
10.1109/JSYST.2020.2994532,Distributed Event-Triggered Control Of Dc Microgrids,IEEE SYSTEMS JOURNAL,2021,"Jiangkai Peng,Bo Fan,Qinmin Yang,Wenxin Liu"
10.1109/JSYST.2020.3035059,Operation Loss Minimization Targeted Distributed Optimal Control of DC Microgrids,IEEE Systems Journal,2021,"Zhen Fan,Bo Fan,Jiangkai Peng,Wenxin Liu"
10.1109/TPEC48276.2020.9042558,Nonlinear Control Design for Voltage Source Converters in Weak AC Grids,2020 IEEE Texas Power and Energy Conference (TPEC),2020,"Javad Khazaei,Zhenghong Tu,Arash Asrari,Wenxin Liu"
10.1109/TSG.2019.2926108,Distributed Periodic Event-Triggered Algorithm for Current Sharing and Voltage Regulation in DC Microgrids,IEEE Transactions on Smart Grid,2020,"Bo Fan,Jiangkai Peng,Qinmin Yang,Wenxin Liu"
10.1109/TII.2019.2916054,Zero-Sum Game Based Cooperative Control for Onboard Pulsed Power Load Accommodation,IEEE Transactions on Industrial Informatics,2020,"Jiajun Duan,Hao Xu,Wenxin Liu,Jian-Chun Peng,Hui Jiang"
10.1109/tii.2019.2941268,A Consensus-Based Algorithm for Power Sharing and Voltage Regulation in DC Microgrids,IEEE Transactions on Industrial Informatics,2020,"Bo Fan,Shilin Guo,Jiangkai Peng,Qinmin Yang,Wenxin Liu,Liming Liu"
