doi,标题,期刊,年份,作者
10.1039/d2ta06913j,Post cobalt doping and defect engineering of NbSSe for efficient hydrogen evolution reaction,JOURNAL OF MATERIALS CHEMISTRY A,2023,"Yuxin Ren,Xiaoyan Miao,Jiaxiang Zhang,Qidong Lu,Yi Chen,Haibo Fan,Feng Teng,Huifei Zhai,Xuexia He,Yi Long,Chunmei Zhang,Peng Hu"
,"Vanadium Oxide: Phase Diagrams, Structures, Synthesis, and Applications",CHEMICAL REVIEWS,2023,"Peng Hu,Ping Hu,Tuan Duc Vu,Ming Li,Shancheng Wang,Yujie Ke,Xianting Zeng,Liqiang Mai,Yi Long"
10.34133/research.0103,Switchable Kirigami Structures as Window Envelopes for Energy-Efficient Buildings,Research,2023,"Hanzhi Yin,Xishu Zhou,Zhengui Zhou,Rong Liu,Xiwei Mo,Zewen Chen,Erqi Yang,Zhen Huang,Hao Li,Hao Wu,Jun Zhou,Yi Long,Bin Hu"
10.1021/acs.chemrev.2c00762,"Thermochromic Energy Efficient Windows: Fundamentals, Recent Advances, and Perspectives.",Chemical reviews,2023,"Zongtao Zhang,Liangmiao Zhang,Yang Zhou,Yuanyuan Cui,Zhang Chen,Yinping Liu,Jin Li,Yi Long,Yanfeng Gao"
,A solar/radiative cooling dual-regulation smart window based on shape-morphing kirigami structures.,Materials horizons,2023,"Shancheng Wang,Yuting Dong,Yanbin Li,Keunhyuk Ryu,Zhili Dong,Jian Chen,Zhendong Dai,Yujie Ke,Jie Yin,Yi Long"
10.1039/d3mh00057e,Physical crosslinked hydrogel derived smart window: anti-freezing and fast thermal responsive performance,Materials Horizons,2023,"GANG LI,jiwei chen,Zhaonan Yan,Shancheng Wang,Yujie Ke,wei Luo,Huiru Ma,Jianguo Guan,Yi Long"
,Three dimensional hybrid microcrystalline graphite-silica sol stabilized stearic acid as composite phase change material for thermal energy storage,Journal of Energy Storage,2023,"Chuanchang Li,Juan Liao,Baoshan Xie,Penghui Cao,Yi Long"
,"Entanglement in Smart Hydrogels: Fast Response Time, Anti-Freezing and Anti-Drying",ADVANCED FUNCTIONAL MATERIALS,2023,"Yuqin Feng,Shancheng Wang,Yaqin Li,Wenxia Ma,Gang Zhang,Ming Yang,Haibo Li,Yongsheng Yang,Yi Long"
,Recent progress in vanadium dioxide: The multi-stimuli responsive material and its applications,Materials Science and Engineering: R: Reports,2023,"Saranya Bhupathi,Shancheng Wang,Yujie Ke,Yi Long"
,Polyphenol-Mediated Synthesis of Superparamagnetic Magnetite Nanoclusters for Highly Stable Magnetically Responsive Photonic Crystals,ADVANCED FUNCTIONAL MATERIALS,2023,"Yun Liu,Wei Luo,Qingsong Fan,Huiru Ma,Yadong Yin,Yi Long,Jianguo Guan"
