doi,标题,期刊,年份,作者
10.1016/j.jhydrol.2022.128780,Temperature effect on non-Darcian flow in low-permeability porous media,Journal of Hydrology,2023,"Yuntian Teng,Yifeng Wang,Zihao Li,Rui Qiao,Cheng Chen"
,"Inference of relative permeability curves in reservoir rocks with
  ensemble Kalman method","The European physical journal. E, Soft matter",2023,"Xu-Hui Zhou,Haochen Wang,James McClure,Cheng Chen,Heng Xiao"
10.1016/j.advwatres.2023.104385,Application of unsupervised deep learning to image segmentation and in-situ contact angle measurements in a CO2-water-rock system,Advances in Water Resources,2023,"Hongsheng Wang,Laura Dalton,Ruichang Guo,James McClure,Dustin Crandall,Cheng Chen"
,"Numerical Simulation of the Impact of Different Cushion Gases on
  Underground Hydrogen Storage in Aquifers Based on an
  Experimentally-Benchmarked Equation-of-State",,2023,"Qingqi Zhao,Yuhang Wang,Cheng Chen"
,Using 3D-printed fluidics to study the role of permeability heterogeneity on miscible density-driven convection in porous media,Advances in Water Resources,2023,"Ruichang Guo,Hanxing Sun,Hongsheng Wang,Yang Liu,Cheng Chen"
10.1103/PhysRevApplied.17.034048,Generalizable Framework of Unpaired Domain Transfer and Deep Learning for the Processing of Real-Time Synchrotron-Based X-Ray Microcomputed Tomography Images of Complex Structures,PHYSICAL REVIEW APPLIED,2022,"Kunning Tang,Ying Da Wang,James McClure,Cheng Chen,Peyman Mostaghimi,Ryan T. Armstrong"
10.1016/j.advwatres.2022.104226,"Role of heterogeneous surface wettability on dynamic immiscible displacement, capillary pressure, and relative permeability in a CO2-water-rock system",Advances in Water Resources,2022,"Ruichang Guo,Laura Dalton,Dustin Crandall,James McClure,Hongsheng Wang,Zhe Li,Cheng Chen"
10.2118/206726-PA,A Novel Multiphysics Multiscale Multiporosity Shale Gas Transport Model for Geomechanics/Flow Coupling in Steady and Transient States,SPE JOURNAL,2022,"Zihao Li,Yuntian Teng,Ming Fan,Nino Ripepi,Cheng Chen"
10.1016/j.petrol.2022.110103,Experimental investigation of non-monotonic fracture conductivity evolution in energy georeservoirs,Journal of Petroleum Science and Engineering,2022,"Zihao Li,Qingqi Zhao,Yuntian Teng,Ming Fan,Nino Ripepi,Xiaolong Yin,Cheng Chen"
10.1016/j.petrol.2022.110596,Deep-learning-based workflow for boundary and small target segmentation in digital rock images using UNet++ and IK-EBM,Journal of Petroleum Science and Engineering,2022,"Hongsheng Wang,Laura Dalton,Ming Fan,Ruichang Guo,James McClure,Dustin Crandall,Cheng Chen"
10.1007/s00603-021-02642-5,Thermal-Mechanical Modeling of a Rock/Proppant System to Investigate the Role of Shale Creep on Proppant Embedment and Fracture Conductivity,ROCK MECHANICS AND ROCK ENGINEERING,2021,"Ming Fan,Yanhui Han,Cheng Chen"
10.1103/PhysRevFluids.7.074302,"Neural Network Based Pore Flow Field Prediction in Porous Media Using
  Super Resolution",,2021,"Xu-Hui Zhou,James McClure,Cheng Chen,Heng Xiao"
10.1029/2021GL095619,A Novel Experimental Study on Density-Driven Instability and Convective Dissolution in Porous Media,GEOPHYSICAL RESEARCH LETTERS,2021,"Ruichang Guo,Hanxing Sun,Qingqi Zhao,Zihao Li,Yang Liu,Cheng Chen"
10.2118/204222-PA,Experimental And Numerical Investigations Of The Role Of Proppant Embedment On Fracture Conductivity In Narrow Fractures,SPE JOURNAL,2021,"Ming Fan,Zihao Li,Yanhui Han,Yuntian Teng,Cheng Chen"
10.1007/s00603-021-02491-2,Experimental And Numerical Characterization Of Lower Huron Shale As A Heterogeneous Material,ROCK MECHANICS AND ROCK ENGINEERING,2021,"Ming Fan,Yanhui Han,Xinyu Tan,Liang Fan,Ellen S. Gilliland,Nino Ripepi,Cheng Chen"
10.1016/j.petrol.2020.107010,Using pressure pulse decay experiments and a novel multi-physics shale transport model to study the role of Klinkenberg effect and effective stress on the apparent permeability of shales,Journal of Petroleum Science and Engineering,2020,"Zihao Li,Nino Ripepi,Cheng Chen"
10.1016/j.petrol.2020.107885,Real-Time Synchrotron-Based X-Ray Computed Microtomography During In Situ Emulsification,JOURNAL OF PETROLEUM SCIENCE AND ENGINEERING,2020,"Yara A. Alzahid,Hussain Aborshaid,Mohanad Asali,James McClure,Cheng Chen,Peyman Mostaghimi,Ying Da Wang,Chenhao Sun,Ryan T. Armstrong"
10.1016/j.jngse.2020.103234,Investigation of the Conductivity of a Proppant Mixture Using an Experiment/Simulation-integrated Approach,Journal of Natural Gas Science and Engineering,2020,"Ming Fan,Yanhui Han,Ming Gu,James McClure,Nino Ripepi,Erik Westman,Cheng Chen"
10.1029/2020GL088545,Influence of Clay Wettability Alteration on Relative Permeability,GEOPHYSICAL RESEARCH LETTERS,2020,"Ming Fan,James E. McClure,Ryan T. Armstrong,Mehdi Shabaninejad,Laura E. Dalton,Dustin Crandall,Cheng Chen"
