doi,标题,期刊,年份,作者
10.1016/j.trc.2023.104026,Leveraging connected vehicle platooning technology to improve the efficiency and effectiveness of train fleeting under moving blocks,Transportation Research Part C: Emerging Technologies,2023,"Pooria Choobchian,Geordie Roscoe,Tyler Dick,Bo Zou,Daniel Work,Kuilin Zhang,Yanbing Wang,Yun-Chu Hung"
10.1177/03611981221091762,Real-Time Distributed Cooperative Adaptive Cruise Control Model Considering Time Delays and Actuator Lag,TRANSPORTATION RESEARCH RECORD,2022,"Yingtong Tan,Kuilin Zhang"
,Data-Driven Analysis of Short-Distance Freight Rail Transportation Potential: A Case Study of Log Movements in the U.S. Lake Superior Region,Transportation Research Record: Journal of the Transportation Research Board,2022,"Sangpil Ko,Pasi Lautala,Kuilin Zhang"
10.1016/j.trb.2020.12.009,Online Predictive Connected And Automated Eco-Driving On Signalized Arterials Considering Traffic Control Devices And Road Geometry Constraints Under Uncertain Traffic Conditions,TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,2021,"Shuaidong Zhao,Kuilin Zhang"
10.1016/j.trb.2020.05.001,A distributionally robust stochastic optimization-based model predictive control with distributionally robust chance constraints for cooperative adaptive cruise control under uncertain traffic conditions,Transportation Research Part B: Methodological,2020,"Shuaidong Zhao,Kuilin Zhang"
10.3390/su12114563,Data-Driven Study on the Sustainable Log Movements: Impact of Rail Car Fleet Size on Freight Storage and Car Idling,SUSTAINABILITY,2020,"Sangpil Ko,Pasi Lautala,Kuilin Zhang"
10.1109/TSG.2019.2942581,Establishment of Enhanced Load Modeling by Correlating With Occupancy Information,IEEE Transactions on Smart Grid,2020,"Yachen Tang,Shuaidong Zhao,Chee-Wooi Ten,Kuilin Zhang,Thillainathan Logenthiran"
10.1007/978-3-030-52840-9_5,Enabling Transportation Networks with Automated Vehicles: From Individual Vehicle Motion Control to Networked Fleet Management,Road Vehicle Automation 7Lecture Notes in Mobility,2020,"Lily Elefteriadou,Blaine Leonard,Lili Du,Wei Ma,Jun Liu,Kuilin Zhang,Jiaqi Ma,Ziqi Song,Xiaopeng Li,Sevgi Erdogan"
10.3390/f11060677,Log Truck Value Analysis from Increased Rail Usage,FORESTS,2020,"Sangpil Ko,Pasi Lautala,Kuilin Zhang"
10.1109/ICC40277.2020.9149404,A Novel Clustering Scheme For Heterogeneous Vehicular Networks,ICC 2020 - 2020 IEEE INTERNATIONAL CONFERENCE ON COMMUNICATIONS (ICC),2020,"Ali Jalooli,Kuilin Zhang,Min Song,Wenye Wang"
10.1016/j.trc.2019.03.012,A distributionally robust optimization approach to reconstructing missing locations and paths using high-frequency trajectory data,Transportation Research Part C: Emerging Technologies,2019,"Shuaidong Zhao,Kuilin Zhang"
10.1109/TTE.2017.2764320,Electric Vehicle Battery Cycle Aging Evaluation in Real-World Daily Driving and Vehicle-to-Grid Services,IEEE Transactions on Transportation Electrification,2018,"Mehdi Jafari,Antonio Gauchia,Shuaidong Zhao,Kuilin Zhang,Lucia Gauchia"
10.1115/1.2017-sep-5,Connected Vehicles and Powertrain Optimization,Mechanical Engineering,2017,"Bo Chen,Darrell Robinette,Mahdi Shahbakhti,Kuilin Zhang,Jeffrey Naber,Jeremy Worm,Christopher K. Pinnow,Christopher Morgan"
10.1016/j.trc.2017.09.005,Observing individual dynamic choices of activity chains from location-based crowdsourced data ☆,Transportation Research Part C: Emerging Technologies,2017,"Shuaidong Zhao,Kuilin Zhang"
10.1109/ISGT.2017.8086056,Enhancement Of Distribution Load Modeling Using Statistical Hybrid Regression,2017 IEEE POWER & ENERGY SOCIETY INNOVATIVE SMART GRID TECHNOLOGIES CONFERENCE (ISGT),2017,"Yachen Tang,Shuaidong Zhao,Chee-Wooi Ten,Kuilin Zhang"
10.1016/j.trc.2015.07.017,POLARIS: Agent-based modeling framework development and implementation for integrated travel demand and network and operations simulations,Transportation Research Part C: Emerging Technologies,2016,"joshua auld,michael hope,hubert ley,vadim sokolov,bo xu,kuilin zhang"
10.1109/tdc.2016.7520007,Investigate the impacts of PEV charging facilities on integrated electric distribution system and electrified transportation system,ieee/pes transmission and distribution conference and exposition,2016,"Jingwei Xiong,Kuilin Zhang,Yi Guo,Wencong Su"
10.1061/(ASCE)NH.1527-6996.0000197,Dynamic Coordinated Control System for Emergency Evacuation: Exploration and Assessment,NATURAL HAZARDS REVIEW,2016,"samer h hamdar,kuilin zhang,muhammad zeeshan khan"
,Optimizing Multi-Layer Merge-In-Transit Supply Chains,,2015,"dengfeng yang,kuilin zhang"
,A Bayesian Adaptive Inference Approach to Estimating Heterogeneous Gap Acceptance Functions,,2015,"juanping zhu,kuilin zhang"
