doi,标题,期刊,年份,作者
10.1016/j.nanoen.2023.108215,Multifunctional wearable humidity and pressure sensors based on biocompatible graphene/bacterial cellulose bioaerogel for wireless monitoring and early warning of sleep apnea syndrome,Nano Energy,2023,"Jingyao Sun,Kunhao Xiu,Ziying Wang,Ning Hu,Libin Zhao,Hao Zhu,Fanzhong Kong,Jianliang Xiao,Lijin Cheng,Xiaoyang Bi"
,Deep-learning-assisted printed liquid metal sensory system for wearable applications and boxing training,npj Flexible Electronics,2023,"Ye Qiu,Zhihui Zou,Zhanan Zou,Nikolas Kurnia Setiawan,Karan Vivek Dikshit,Gregory Whiting,Fan Yang,Wenan Zhang,Jiutian Lu,Bingqing Zhong,Huaping Wu,Jianliang Xiao"
,"Soft, flexible pressure sensors for pressure monitoring under large hydrostatic pressure and harsh ocean environments.",Soft matter,2023,"Yi Li,Andres Villada,Shao-Hao Lu,He Sun,Jianliang Xiao,Xueju Wang"
10.1016/j.isci.2022.104369,Elastomeric tubes with self-regulated distension,iScience,2022,"Nathan Jen,Guilherme M. Bessa,Kaelyn Nicolson,Jianliang Xiao,David S. Nobes,Hyun-Joong Chung"
10.1002/advs.202202549,Self-Cooling Gallium-Based Transformative Electronics with a Radiative Cooler for Reliable Stiffness Tuning in Outdoor Use,ADVANCED SCIENCE,2022,"Sang-Hyuk Byun,Joo Ho Yun,Se-Yeon Heo,Chuanqian Shi,Gil Ju Lee,Karen-Christian Agno,Kyung-In Jang,Jianliang Xiao,Young Min Song,Jae-Woong Jeong"
10.2139/ssrn.4220568,"Wireless, Ai-Enabled Wearable Thermal Comfort Sensor for Energy-Efficient, Human-in-The-Loop Control of Indoor Temperature",SSRN Electronic Journal,2022,"Seonghun Cho,Hong Jae Nam,Chuanqi Shi,Choong Yeon Kim,Sang-Hyuk Byun,Karen-Christian Agno,Byung Chul Lee,Jianliang Xiao,Joo Yong Sim,Jae-Woong Jeong"
10.1115/1.4049165,Fabrication And Characterization Of Highly Deformable Artificial Muscle Fibers Based On Liquid Crystal Elastomers,JOURNAL OF APPLIED MECHANICS-TRANSACTIONS OF THE ASME,2021,"Haiqing Lu,Zhanan Zou,Xingli Wu,Chuanqian Shi,Jianliang Xiao"
10.1007/s10409-021-01106-x,Confined thin film wrinkling on shape memory polymer with hybrid surface morphologies,ACTA MECHANICA SINICA,2021,"Yu Wang,Jianliang Xiao"
10.1038/s41928-021-00600-1,"Curvy, Shape-Adaptive Imagers Based On Printed Optoelectronic Pixels With A Kirigami Design",NATURE ELECTRONICS,2021,"Zhoulyu Rao,Yuntao Lu,Zhengwei Lie,Kyoseung Sim,Zhenqiang Ma,Jianliang Xiao,Cunjiang Yu"
10.1088/1361-665X/ac1b3a,Highly Stretchable And Rehealable Wearable Strain Sensor Based On Dynamic Covalent Thermoset And Liquid Metal,SMART MATERIALS AND STRUCTURES,2021,"Chuanqian Shi,Ying Zhao,Pengcheng Zhu,Jianliang Xiao,Guohua Nie"
10.34133/2021/9846036,"Stretchable, Rehealable, Recyclable, And Reconfigurable Integrated Strain Sensor For Joint Motion And Respiration Monitoring",RESEARCH,2021,"Chuanqian Shi,Zhanan Zou,Zepeng Lei,Pengcheng Zhu,Guohua Nie,Wei Zhang,Jianliang Xiao"
10.1145/3470446,eBP: an ear-worn device for frequent and comfortable blood pressure monitoring,Communications of the ACM,2021,"Nam Bui,Nhat Pham,Jessica Jacqueline Barnitz,Zhanan Zou,Phuc Nguyen,Hoang Truong,Taeho Kim,Nicholas Farrow,Anh Nguyen,Jianliang Xiao,Robin Deterding,Thang N. Dinh,Tam Vu"
10.1126/sciadv.abe0586,"High-Performance Wearable Thermoelectric Generator With Self-Healing, Recycling, And Lego-Like Reconfiguring Capabilities",SCIENCE ADVANCES,2021,"Wei Ren,Yan Sun,Dongliang Zhao,Ablimit Aili,Shun Zhang,Chuanqian Shi,Jialun Zhang,Huiyuan Geng,Jie Zhang,Lixia Zhang,Jianliang Xiao,Ronggui Yang"
10.1002/aenm.202100920,"Recyclable, Healable, And Stretchable High-Power Thermoelectric Generator",ADVANCED ENERGY MATERIALS,2021,"Pengcheng Zhu,Chuanqian Shi,Yalong Wang,Yaling Wang,Yuedong Yu,Yao Wang,Yuan Deng,Jianliang Xiao"
10.3390/mi12070736,Biomimetic Prosthetic Hand Enabled By Liquid Crystal Elastomer Tendons,MICROMACHINES,2021,"Haiqing Lu,Zhanan Zou,Xingli Wu,Chuanqian Shi,Yimeng Liu,Jianliang Xiao"
10.1002/adfm.202004285,"Rapidly-Customizable, Scalable 3d-Printed Wireless Optogenetic Probes For Versatile Applications In Neuroscience",ADVANCED FUNCTIONAL MATERIALS,2020,"Juhyun Lee,Kyle E Parker,Chinatsu Kawakami,Jenny R Kim,Raza Qazi,Junwoo Yea,Shun Zhang,Choong Yeon Kim,John Bilbily,Jianliang Xiao,Kyung-In Jang,Jordan G McCall,Jae-Woong Jeong"
10.1002/ADFM.202070305,"Optogenetic Probes: Rapidly Customizable, Scalable 3D‐Printed Wireless Optogenetic Probes for Versatile Applications in Neuroscience (Adv. Funct. Mater. 46/2020)",Advanced Functional Materials,2020,"Juhyun Lee,Kyle E. Parker,Chinatsu Kawakami,Jenny R. Kim,Raza Qazi,Junwoo Yea,Shun Zhang,Choong Yeon Kim,John Bilbily,Jianliang Xiao,Kyung‐In Jang,Jordan G. McCall,Jae‐Woong Jeong"
10.1126/sciadv.abd0202,"Heterogeneous integration of rigid, soft, and liquid materials for self-healable, recyclable, and reconfigurable wearable electronics.",SCIENCE ADVANCES,2020,"Chuanqian Shi,Zhanan Zou,Zepeng Lei,Pengcheng Zhu,Wei Zhang,Jianliang Xiao"
10.1126/sciadv.abb3656,Air/water interfacial assembled rubbery semiconducting nanofilm for fully rubbery integrated electronics.,SCIENCE ADVANCES,2020,"Ying-Shi Guan,Anish Thukral,Shun Zhang,Kyoseung Sim,Xu Wang,Yongcao Zhang,Faheem Ershad,Zhoulyu Rao,Fengjiao Pan,Peng Wang,Jianliang Xiao,Cunjiang Yu"
10.1145/3400713.3400721,eBP: Frequent and Comfortable Blood Pressure Monitoring from Inside Human's Ears,"Special Interest Group on Mobility of Systems, Users, Data & Comp",2020,"Nam Bui,Nhat Pham,Hoang Truong,Phuc Nguyen,Jianliang Xiao,Robin Deterding,Thang Dinh"
10.1038/s41551-019-0432-1,Wireless optofluidic brain probes for chronic neuropharmacology and photostimulation.,NATURE BIOMEDICAL ENGINEERING,2019,"Raza Qazi,Adrian M Gomez,Daniel C Castro,Zhanan Zou,Joo Yong Sim,Yanyu Xiong,Jonas Abdo,Choong Yeon Kim,Avery Anderson,Frederik Lohner,Sang-Hyuk Byun,Byung Chul Lee,Kyung-In Jang,Jianliang Xiao,Michael R Bruchas,Jae-Woong Jeong"
10.1115/1.4044088,Investigating the self-healing of dynamic covalent thermoset polyimine and its nanocomposites,JOURNAL OF APPLIED MECHANICS-TRANSACTIONS OF THE ASME,2019,"Chuanqian Shi,Zhanan Zou,Zepeng Lei,Xingli Wu,Zhengwei Liu,Haiqing Lu,Wei Zhang,Jianliang Xiao"
10.1126/sciadv.aav9653,Metal oxide semiconductor nanomembrane-based soft unnoticeable multifunctional electronics for wearable human-machine interfaces.,SCIENCE ADVANCES,2019,"Kyoseung Sim,Zhoulyu Rao,Zhanan Zou,Faheem Ershad,Jianming Lei,Anish Thukral,Jie Chen,Qing-An Huang,Jianliang Xiao,Cunjiang Yu"
10.1088/1361-6463/ab188a,Wrinkling of silicon nanoribbons on shape memory polymers,JOURNAL OF PHYSICS D-APPLIED PHYSICS,2019,"Shun Zhang,Chengjun Wang,Shuang Nie,Jianliang Xiao,Jizhou Song"
10.1145/3300061.3345454,eBP: A Wearable System For Frequent and Comfortable Blood Pressure Monitoring From User's Ear,"MobiCom '19: The 25th Annual International Conference on Mobile Computing and Networking
		      Los Cabos
		      Mexico
		    October, 2019",2019,"Nam Bui,Jianliang Xiao,Robin Deterding,Thang Dinh,Tam Vu,Nhat Pham,Jessica Jacqueline Barnitz,Zhanan Zou,Phuc Nguyen,Hoang Truong,Taeho Kim,Nicholas Farrow,Anh Nguyen"
10.1088/1361-6439/ab1d97,Improved design of highly efficient microsized lithium-ion batteries for stretchable electronics,JOURNAL OF MICROMECHANICS AND MICROENGINEERING,2019,"Hassan Hafeez,Chuanqian Shi,Chang Min Lee,Justin Jesuraj Periyanayagam,Donghyun Kim,Myungkwan Song,Chang Su Kim,Zhanan Zou,Jianliang Xiao,Seung Yoon Ryu"
10.1016/j.jmps.2018.12.018,Mapping the nonlinear crack tip deformation field in soft elastomer with a particle tracking method,Journal of the Mechanics and Physics of Solids,2019,"Yuan Qi,Zhanan Zou,Jianliang Xiao,Rong Long"
10.1038/s41928-019-0304-4,Three-dimensional curvy electronics created using conformal additive stamp printing,NATURE ELECTRONICS,2019,"Kyoseung Sim,Song Chen,Zhengwei Li,Zhoulyu Rao,Jingshen Liu,Yuntao Lu,Seonmin Jang,Faheem Ershad,Ji Chen,Jianliang Xiao,Cunjiang Yu"
10.1063/1.5096767,Tunable Surface Wrinkling On Shape Memory Polymers With Application In Smart Micromirror,APPLIED PHYSICS LETTERS,2019,"Yu Wang,Andres Villada,Yao Zhai,Zhanan Zou,Yizhou Chen,Xiaobo Yin,Jianliang Xiao"
,Smartphone controlled optofluidic device with replaceable lego drug cartridges for chronic wireless in vivo pharmacology and optogenetics,Neuroscience,2019,"Raza Qazi,Adrian M Gomez,Daniel C Castro,Zhanan Zou,Joo Yong Sim,Yanyu Xiong,Jonas Abdo,Choong Yeon Kim,Avery Anderson,Frederik Lohner,Sang-Hyuk Byun,Byung Chul Lee,Kyung-In Jang,Jianliang Xiao,Michael R Bruchas,Jae-Woong Jeong"
10.1126/sciadv.aay0418,"Mechanically transformative electronics, sensors, and implantable devices.",SCIENCE ADVANCES,2019,"Sang-Hyuk Byun,Joo Yong Sim,Zhanan Zhou,Juhyun Lee,Raza Qazi,Marie C Walicki,Kyle E Parker,Matthew P Haney,Su Hwan Choi,Ahnsei Shon,Graydon B Gereau,John Bilbily,Shuo Li,Yuhao Liu,Woon-Hong Yeo,Jordan G McCall,Jianliang Xiao,Jae-Woong Jeong"
10.1063/1.5020177,Simultaneous Formation Of Multiscale Hierarchical Surface Morphologies Through Sequential Wrinkling And Folding,APPLIED PHYSICS LETTERS,2018,"Yu Wang,Qingyang Sun,Jianliang Xiao"
10.1126/sciadv.aaq0508,"Rehealable, fully recyclable, and malleable electronic skin enabled by dynamic covalent thermoset nanocomposite.",SCIENCE ADVANCES,2018,"Zhanan Zou,Chengpu Zhu,Yan Li,Xingfeng Lei,Wei Zhang,Jianliang Xiao"
,Controlled Storage And Release Of Elastic Energy In Crosslinked Polymer Microparticles,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,2018,"Lewis Cox,Wenbing Li,Jinsong Leng,Jianliang Xiao,Yifu Ding"
10.1063/1.5026742,Direction-dependent stretchability of AgNW electrodes on microprism-mediated elastomeric substrates,AIP ADVANCES,2018,"P. Justin Jesuraj,Chuanqian Shi,Dong Hyun Kim,Hassan Hafeez,Jong Chan Lee,Won Ho Lee,Dae Keun Choi,Zhanan Zou,Jianliang Xiao,Jeongho Min,Myungkwan Song,Chang Su Kim,Seung Yoon Ryu"
10.1002/smll.201870015,"Optofluidic Systems: Miniaturized, Battery-Free Optofluidic Systems with Potential for Wireless Pharmacology and Optogenetics (Small 4/2018)",Small,2018,"Kyung Nim Noh,Sung Il Park,Raza Qazi,Zhanan Zou,Aaron D. Mickle,Jose G. Grajales-Reyes,Kyung In Jang,Robert W. Gereau,Jianliang Xiao,John A. Rogers,Jae Woong Jeong"
10.1002/smll.201702479,"Miniaturized, Battery-Free Optofluidic Systems with Potential for Wireless Pharmacology and Optogenetics.",SMALL,2018,"Kyung Nim Noh,Sung Il Park,Raza Qazi,Zhanan Zou,Aaron D Mickle,Jose G Grajales-Reyes,Kyung-In Jang,Robert W Gereau,Jianliang Xiao,John A Rogers,Jae-Woong Jeong"
10.1063/1.5037120,Programmable Localized Wrinkling Of Thin Films On Shape Memory Polymers With Application In Nonuniform Optical Gratings,APPLIED PHYSICS LETTERS,2018,"Yu Wang,Yao Zhai,Andres Villada,Sabrina N. David,Xiaobo Yin,Jianliang Xiao"
10.1002/adma.201701312,Scalable Manufacturing of Solderable and Stretchable Physiologic Sensing Systems.,ADVANCED MATERIALS,2017,"Yun-Soung Kim,Jesse Lu,Benjamin Shih,Armen Gharibans,Zhanan Zou,Kristen Matsuno,Roman Aguilera,Yoonjae Han,Ann Meek,Jianliang Xiao,Michael T Tolley,Todd P Coleman"
10.1016/j.orgel.2017.06.019,Multiaxial wavy top-emission organic light-emitting diodes on thermally prestrained elastomeric substrates,Organic Electronics,2017,"Hassan Hafeez,Zhanan Zou,Dong Hyun Kim,Jun Young Shin,Myungkwan Song,Chang Su Kim,Won Jin Choi,Jizhou Song,Jianliang Xiao,Seung Yoon Ryu"
10.1039/c7sm01071k,"Programmable, reversible and repeatable wrinkling of shape memory polymer thin films on elastomeric substrates for smart adhesion.",SOFT MATTER,2017,"Yu Wang,Jianliang Xiao"
10.1039/c7sm01404j,Temperature dependent evolution of wrinkled single-crystal silicon ribbons on shape memory polymers.,SOFT MATTER,2017,"Yu Wang,Kai Yu,H Jerry Qi,Jianliang Xiao"
