doi,标题,期刊,年份,作者
10.1021/acsnano.2c04542,Simultaneous and Multimodal Antigen-Binding Profiling and Isolation of Rare Cells via Quantitative Ferrohydrodynamic Cell Separation.,ACS nano,2023,"Yang Liu,Rafaela Maggioni Simoes Vieira,Leidong Mao"
10.1038/s41598-022-05501-7,Enhancing membrane-based soft materials with magnetic reconfiguration events,SCIENTIFIC REPORTS,2022,"Michelle M Makhoul-Mansour,Joyce B El-Beyrouthy,Leidong Mao,Eric C Freeman"
10.1038/s41598-022-10612-2,The macroscopic limit to synchronization of cellular clocks in single cells of Neurospora crassa,SCIENTIFIC REPORTS,2022,"Jia Hwei Cheong,Xiao Qiu,Yang Liu,Ahmad Al-Omari,James Griffith,Heinz-Bernd Schüttler,Leidong Mao,Jonathan Arnold"
10.1039/d1lc00282a,Label-Free Inertial-Ferrohydrodynamic Cell Separation With High Throughput And Resolution,LAB ON A CHIP,2021,"Yang Liu,Wujun Zhao,Rui Cheng,Alicia Puig,Jamie Hodgson,Mary Egan,Christen N Cooper Pope,Petros G Nikolinakos,Leidong Mao"
10.1021/acsbiomaterials.0c00895,Brain-On-A-Chip Device For Modeling Multiregional Networks,ACS BIOMATERIALS SCIENCE & ENGINEERING,2021,"Kenneth Ndyabawe,Michael Cipriano,Wujun Zhao,Mark Haidekker,Kun Yao,Leidong Mao,William S Kisaalita"
10.1039/d1lc00454a,Simultaneous Biochemical And Functional Phenotyping Of Single Circulating Tumor Cells Using Ultrahigh Throughput And Recovery Microfluidic Devices,LAB ON A CHIP,2021,"Yang Liu,Wujun Zhao,Rui Cheng,Jamie Hodgson,Mary Egan,Christen N Cooper Pope,Petros G Nikolinakos,Leidong Mao"
10.1039/d1lc00119a,Fundamentals Of Integrated Ferrohydrodynamic Cell Separation In Circulating Tumor Cell Isolation,LAB ON A CHIP,2021,"Yang Liu,Wujun Zhao,Rui Cheng,Bryana N Harris,Jonathan R Murrow,Jamie Hodgson,Mary Egan,Anastacia Bankey,Petros G Nikolinakos,Travis Laver,Kristina Meichner,Leidong Mao"
10.1039/d0lc00609b,Label-free ferrohydrodynamic separation of exosome-like nanoparticles.,LAB ON A CHIP,2020,"Yang Liu,Wujun Zhao,Rui Cheng,Meghan Logun,Maria Del Mar Zayas-Viera,Lohitash Karumbaiah,Leidong Mao"
10.1039/c9lc00210c,Tumor antigen-independent and cell size variation-inclusive enrichment of viable circulating tumor cells.,LAB ON A CHIP,2019,"Wujun Zhao,Yang Liu,Brittany D Jenkins,Rui Cheng,Bryana N Harris,Weizhong Zhang,Jin Xie,Jonathan R Murrow,Jamie Hodgson,Mary Egan,Ana Bankey,Petros G Nikolinakos,Haythem Y Ali,Kristina Meichner,Lisa A Newman,Melissa B Davis,Leidong Mao"
10.1109/ACCESS.2019.2910731,"Single Cells of Neurospora Crassa Show Circadian Oscillations, Light Entrainment, Temperature Compensation, and Phase Synchronization",IEEE ACCESS,2019,"Zhaojie Deng,Jia Hwei Cheong,Cristian Caranica,Lingyun Wu,Xiao Qiu,Michael T. Judge,Brooke Hull,Carmen Rodriguez,James Griffith,Ahmad Al-Omari,Sam Arsenault,Heinz-Bernd Schuttler,Leidong Mao,Jonathan Arnold"
10.1096/fj.201802610RR,Surfen-mediated blockade of extratumoral chondroitin sulfate glycosaminoglycans inhibits glioblastoma invasion.,FASEB JOURNAL,2019,"Meghan T Logun,Kallie E Wynens,Gregory Simchick,Wujun Zhao,Leidong Mao,Qun Zhao,Subhas Mukherjee,Daniel J Brat,Lohitash Karumbaiah"
