doi,标题,期刊,年份,作者
,3D Thermal-Chemical Reactive Transport Modeling of Fluid-UO2 Reactions under Geological Repository Conditions,JOURNAL OF ENERGY ENGINEERING,2023,"Min Liu,Qinjun Kang,Hongwu Xu,Joshua White"
10.1021/acs.energyfuels.2c03298,Minireview on Lattice Boltzmann Modeling of Gas Flow and Adsorption in Shale Porous Media: Progress and Future Direction,Energy &amp; Fuels,2023,"Jianlin Zhao,Junjian Wang,Guangqing Zhang,Dawei Zhou,Li Chen,Hari Viswanathan,Qinjun Kang"
,Universal scaling of nanoparticle deposition by colloidal droplet drying,,2023,"Feifei Qin,Linlin Fei,Jianlin Zhao,Qinjun Kang,Sauro Succi,Dominique Derome,Jan Carmeliet"
10.1016/j.jhydrol.2022.128695,Competition between main meniscus and corner film flow during imbibition in a strongly wetting square tube,Journal of Hydrology,2022,"Jianlin Zhao,Feifei Qin,Linlin Fei,Chaozhong Qin,Qinjun Kang,Dominique Derome,Jan Carmeliet"
,Deep Learning Accelerated Inverse Modeling and Forecasting for Large-Scale Geologic CO2 Sequestration,SSRN Electronic Journal,2022,"Bailian Chen,Bicheng Yan,Qinjun Kang,Dylan Harp,Rajesh Pawar"
10.1080/07373937.2021.1933017,Pore-scale simulation of drying in porous media using a hybrid lattice Boltzmann: pore network model,DRYING TECHNOLOGY,2022,"Jianlin Zhao,Feifei Qin,Qinjun Kang,Dominique Derome,Jan Carmeliet"
10.1016/j.desal.2021.115520,Numerical modeling of ion transport and adsorption in porous media: A pore-scale study for capacitive deionization desalination,Desalination,2022,"Min Liu,John Waugh,Siddharth Komini Babu,Jacob S. Spendelow,Qinjun Kang"
10.1016/j.egyr.2022.08.229,Shale fundamentals: Experimental and modeling insights,ENERGY REPORTS,2022,"Mohamed Mehana,Javier E. Santos,Chelsea Neil,James William Carey,George Guthrie,Jeffery Hyman,Qinjun Kang,Satish Karra,Mathew Sweeney,Hongwu Xu,Hari Viswanathan"
10.1038/s41597-022-01664-0,A Dataset of 3D Structural and Simulated Transport Properties of Complex Porous Media,SCIENTIFIC DATA,2022,"Javier E Santos,Bernard Chang,Alex Gigliotti,Ying Yin,Wenhui Song,Maša Prodanović,Qinjun Kang,Nicholas Lubbers,Hari Viswanathan"
,Scale-bridging using machine-learning: nanoconfinement effects in porous media,Goldschmidt2022 abstracts,2022,"Hari Viswanathan,Javier Santos,Aleksandra Pachalieva,Qinjun Kang,Tim Germann"
10.3390/en15228557,Geochemical Modelling of the Fracturing Fluid Transport in Shale Reservoirs,ENERGIES,2022,"Mohamed Mehana,Fangxuan Chen,Mashhad Fahes,Qinjun Kang,Hari Viswanathan"
,Predictive Scale-Bridging Simulations through Active Learning,,2022,"Satish Karra,Mohamed Mehana,Nicholas Lubbers,Yu Chen,Abdourahmane Diaw,Javier E. Santos,Aleksandra Pachalieva,Robert S. Pavel,Jeffrey R. Haack,Michael McKerns,Christoph Junghans,Qinjun Kang,Daniel Livescu,Timothy C. Germann,Hari S. Viswanathan"
10.1029/2022WR032332,A Dynamic Pore Network Model for Imbibition Simulation Considering Corner Film Flow,WATER RESOURCES RESEARCH,2022,"Jianlin Zhao,Feifei Qin,Qinjun Kang,Chaozhong Qin,Dominique Derome,Jan Carmeliet"
,Generating and Optimizing Hierarchical Porosity in Electrospun Capacitive Deionization Electrodes through Control of Mesopore Volume,ECS Meeting Abstracts,2022,"John Waugh,Min Liu,Siddharth Komini Babu,Peter N. Pintauro,Qinjun Kang,Jacob S. Spendelow"
10.1063/5.0123966,Pore-scale study of mineral dissolution in heterogeneous structures and deep learning prediction of permeability,PHYSICS OF FLUIDS,2022,"Zi Wang,Li Chen,Hangkai Wei,Zhenxue Dai,Qinjun Kang,Wen-Quan Tao"
