doi,标题,期刊,年份,作者
,"Convex Approximation for Probabilistic Reachable Set under Data-driven
  Uncertainties",,2023,"Pengcheng Wu,Sonia Martinez,Jun Chen"
10.1109/TITS.2022.3163657,Safety Assured Online Guidance With Airborne Separation for Urban Air Mobility Operations in Uncertain Environments,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,2022,"Pengcheng Wu,Xuxi Yang,Peng Wei,Jun Chen"
10.1109/TITS.2022.3160402,Multiregional Coverage Path Planning for Multiple Energy Constrained UAVs,IEEE Transactions on Intelligent Transportation Systems,2022,"Junfei Xie,Jun Chen"
10.1016/j.ast.2022.107738,Risk-bounded and fairness-aware path planning for urban air mobility operations under uncertainty,Aerospace Science and Technology,2022,"Pengcheng Wu,Junfei Xie,Yanchao Liu,Jun Chen"
10.2514/6.2022-3613,Online Evaluation for Chance-Constrained Geofences under Data-Driven Uncertainties,AIAA AVIATION 2022 Forum,2022,"Pengcheng Wu,Jun Chen"
10.2514/6.2022-1841,Comparisons of RRT and MCTS for Safe Assured Path Planning in Urban Air Mobility,AIAA SCITECH 2022 Forum,2022,"Pengcheng Wu,Jun Chen"
10.1109/TITS.2021.3060377,UAV Trajectory Planning With Probabilistic Geo-Fence via Iterative Chance-Constrained Optimization,IEEE Transactions on Intelligent Transportation Systems,2022,"Bin Du,Jun Chen,Dengfeng Sun,Satyanarayana Gupta Manyam,David W. Casbeer"
10.1016/j.combustflame.2021.111443,High-Speed Digital Off-Axis Holography To Study Atomization And Evaporation Of Burning Droplets,COMBUSTION AND FLAME,2021,"Longchao Yao,Libin Yu,Xiaodan Lin,Yingchun Wu,Jun Chen,Chenghang Zheng,Xuecheng Wu,Xiang Gao"
10.2514/6.2021-1284,Data-Driven Multi-UAV Navigation in Large-Scale Dynamic Environments Under Wind Disturbances,AIAA Scitech 2021 Forum,2021,"Baoqian Wang,Junfei Xie,Jun Chen"
10.1109/TITS.2020.3040549,Optimized Landing of Drones in the Context of Congested Air Traffic and Limited Vertiports,IEEE Transactions on Intelligent Transportation Systems,2021,"Zhenyu Zhou,Jun Chen,Yanchao Liu"
10.2514/6.2020-2914,Probabilistically Guaranteed Path Planning for Safe Urban Air Mobility Using Chance Constrained RRT*,AIAA AVIATION 2020 FORUM,2020,"Pengcheng Wu,Lin Li,Junfei Xie,Jun Chen"
10.2514/6.2020-2887,Path Planning for Multiple Energy Constrained Unmanned Aerial Vehicles to Cover Multiple Regions,AIAA AVIATION 2020 FORUM,2020,"Junfei Xie,Wen Zhang,Jun Chen"
10.3873/j.issn.1000-1328.2016.09.001,Aerodynamic and Stealthy Optimization Design Method of Hypersonic Vehicle,Journal of Astronautics,2016,"Zi-han JIAO,Fan DENG,Hui LIU,Lin CHEN,Qiu-jun FU,Jun CHEN"
10.1109/TASC.2007.899568,Dispersion Strengthened Nb3sn Wire,IEEE TRANSACTIONS ON APPLIED SUPERCONDUCTIVITY,2007,"jun chen,K. Han,peter n kalu,w d markiewicz"
10.1016/S0016-5085(01)81421-9,"Inhibitory Effects Of Chronic Retrograde Gastric Electrical Stimulation On Food Intake, Weight And Postprandial Gastric Myoelectrical Activity",GASTROENTEROLOGY,2001,"Hui Ouyang,Steve Aldler,Jieyun Yin,Jiande Chen"
10.1016/S0016-5085(01)81418-9,"Role Of Enteric Nerves In The Regulation And Propagation Of Spontaneous And Electrically ""Paced"" Gastric Slow Waves In Rats.",GASTROENTEROLOGY,2001,"Xiao-Hua Hou,Jieyun Yin,Pankaj Jay Pastricha,Maria Adelaide Micci,Jiande Chen"
10.1016/S0016-5085(01)81312-3,Effects Of Human Milk And Infant Formula On The Development Of Gastric Myoelectrical Activity In Preterm Infants.,GASTROENTEROLOGY,2001,"Hui Ouyang,James Hayes,Hong Zhu,Jieyun Yin,Edward Co,William C. Orr,Jiande Chen"
10.1109/55.215204,High-performance sub-quarter-micrometer PMOSFET's on SOI,"Electron Device Letters, IEEE",1993,"Assaderaghi, F.,Parke, S.,King, J.,Jian Chen,P. K. Ko,C. Hu"
10.1007/BF02442603,Adaptive spectral analysis of cutaneous electrogastric signals using autoregressive moving average modelling.,Medical & biological engineering & computing,1990,"jiande d z chen,joos vandewalle,willy sansen,G Vantrappen,jozef f janssens"
10.2514/6.2023-2677,Safe Path Planning of UAV Based on Reinforcement Learning in Probabilistic Environments,AIAA SCITECH 2023 Forum,0,"James Gault,Jun Xiang,Jun Chen"
10.2514/6.2023-0127,Landing Trajectory Prediction for UAS Based on Generative Adversarial Network,AIAA SCITECH 2023 Forum,0,"Jun Xiang,Junfei Xie,Jun Chen"
